Date,Open,High,Low,Close,Volume,data_interval,download_interval,timeframe_label,data_source,source_period_requested,downloaded_at_utc
2023-05-05 16:00:00,408.9100036621094,411.6400146484375,408.6400146484375,410.789306640625,33801041,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-05 20:00:00,410.7900085449219,413.7200012207031,410.20001220703125,412.5899963378906,39703042,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-08 16:00:00,412.9700012207031,413.1300048828125,411.67999267578125,412.3599853515625,21742797,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-08 20:00:00,412.4700927734375,413.239990234375,411.2799987792969,412.7900085449219,24732141,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-09 16:00:00,411.0,411.8399963378906,410.68939208984375,410.8699951171875,19924565,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-09 20:00:00,410.864990234375,412.0899963378906,410.80999755859375,410.9599914550781,23557065,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-10 16:00:00,413.8800048828125,414.5350036621094,410.17999267578125,411.3883056640625,40332307,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-10 20:00:00,411.3900146484375,413.7900085449219,408.8699951171875,412.80999755859375,46210724,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-11 16:00:00,411.75048828125,412.25,409.9700012207031,411.82989501953125,33938089,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-11 20:00:00,411.82000732421875,412.42999267578125,410.2699890136719,412.17999267578125,27250405,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-12 16:00:00,413.4200134277344,413.6400146484375,410.010009765625,410.0801086425781,27285057,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-12 20:00:00,410.0899963378906,411.6700134277344,409.07000732421875,411.6099853515625,31869393,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-15 16:00:00,412.2200012207031,412.2900085449219,410.2300109863281,411.94500732421875,22859257,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-15 20:00:00,411.94000244140625,413.42999267578125,411.57000732421875,413.0,25336013,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-16 16:00:00,411.8599853515625,412.81500244140625,410.70001220703125,411.8659973144531,24554996,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-16 20:00:00,411.8699035644531,412.32000732421875,410.25,410.25,26225315,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-17 16:00:00,412.2699890136719,412.8999938964844,410.635009765625,412.8599853515625,30817532,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-17 20:00:00,412.8599853515625,415.8550109863281,412.8599853515625,415.2200012207031,49124974,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-18 16:00:00,414.92999267578125,418.05999755859375,414.6700134277344,416.1596984863281,39397166,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-18 20:00:00,416.1600036621094,419.6700134277344,415.3949890136719,419.239501953125,45881944,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-19 16:00:00,420.0950012207031,420.7200012207031,417.3500061035156,418.2200012207031,52123847,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-19 20:00:00,418.2099914550781,419.05999755859375,417.4700012207031,418.6099853515625,37773913,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-22 16:00:00,418.6400146484375,420.3900146484375,417.3500061035156,418.8949890136719,27407469,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-22 20:00:00,418.9010009765625,420.239990234375,418.25,418.7699890136719,27741871,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-23 16:00:00,417.0799865722656,418.1300048828125,416.8399963378906,417.2300109863281,23504596,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-23 20:00:00,417.239990234375,417.3399963378906,413.67999267578125,414.0899963378906,50688929,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-24 16:00:00,412.4200134277344,412.489990234375,409.8794860839844,410.010009765625,37515522,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-24 20:00:00,410.0199890136719,412.82000732421875,409.8900146484375,411.0799865722656,37809952,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-25 16:00:00,414.739990234375,414.79998779296875,412.41009521484375,414.17669677734375,41330950,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-25 20:00:00,414.11419677734375,416.1600036621094,413.489990234375,414.6199951171875,39683195,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-26 16:00:00,415.3299865722656,419.8299865722656,415.25,419.8299865722656,39823643,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-26 20:00:00,419.8299865722656,420.7699890136719,419.04998779296875,420.0,36215752,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-30 16:00:00,422.0400085449219,422.5799865722656,419.67999267578125,420.1000061035156,29969557,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-30 20:00:00,420.1099853515625,420.9750061035156,418.7349853515625,420.1600036621094,35408752,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-31 16:00:00,418.44000244140625,419.2200012207031,416.2200012207031,416.7701110839844,30798309,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-05-31 20:00:00,416.7799987792969,419.1300048828125,416.44000244140625,417.8299865722656,56317291,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-06-01 16:00:00,418.0899963378906,421.8450012207031,416.7900085449219,421.739990234375,39043611,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-06-01 20:00:00,421.75,422.9200134277344,420.8699951171875,421.80999755859375,40573131,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-06-02 16:00:00,424.5,427.69000244140625,423.95001220703125,427.4465026855469,41330352,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-06-02 20:00:00,427.44000244140625,428.739990234375,427.2900085449219,427.9200134277344,40303796,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-06-05 16:00:00,428.3599853515625,429.6700134277344,427.6300048828125,429.2786865234375,26392453,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-06-05 20:00:00,429.2900085449219,429.6199951171875,426.3699951171875,427.0799865722656,34847487,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-06-06 16:00:00,426.6700134277344,428.45001220703125,425.989990234375,427.6300048828125,25818014,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-06-06 20:00:00,427.6400146484375,428.45001220703125,426.56500244140625,428.0400085449219,30793789,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-06-07 16:00:00,428.44000244140625,429.6199951171875,426.6549987792969,426.8599853515625,34223452,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-06-07 20:00:00,426.8699951171875,427.54998779296875,426.1099853515625,426.5899963378906,40265105,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
2023-06-08 16:00:00,426.6199951171875,429.20001220703125,425.82000732421875,429.1000061035156,25594122,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:54:19Z
