Date,Open,High,Low,Close,Volume,data_interval,download_interval,timeframe_label,data_source,source_period_requested,downloaded_at_utc
2024-04-03 00:00:00,65465.40625,65612.03125,64583.06640625,65353.3359375,0,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-03 04:00:00,65404.046875,66396.5625,65145.6484375,66368.3203125,956407808,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-03 08:00:00,66352.734375,66649.09375,65977.640625,66617.3203125,0,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-03 12:00:00,66550.296875,66638.78125,65580.46875,65942.5703125,0,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-03 16:00:00,65944.265625,66850.0703125,65695.859375,66289.1875,0,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-03 20:00:00,66215.9609375,66356.5390625,65571.328125,65730.6328125,0,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-04 00:00:00,65748.6640625,66346.7734375,65556.5078125,66285.9609375,357224448,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-04 04:00:00,66299.375,66304.484375,65113.796875,65507.1171875,52252672,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-04 08:00:00,65494.2109375,66372.3984375,65405.046875,66222.984375,206411776,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-04 12:00:00,66208.2578125,66814.8203125,66134.2265625,66670.078125,272666624,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-04 16:00:00,66672.7265625,68108.96875,66672.7265625,67898.2109375,1126701056,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-04 20:00:00,67856.3203125,69209.4609375,67419.7734375,67941.8515625,4153327616,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-05 00:00:00,67942.2734375,68718.7421875,67534.34375,68685.078125,661217280,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-05 04:00:00,68658.0703125,68658.0703125,67490.9765625,67638.5,857997312,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-05 08:00:00,67650.125,67742.7265625,66482.0859375,67110.296875,1975226368,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-05 12:00:00,67148.6796875,67188.703125,66069.265625,66891.375,2802667520,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-05 16:00:00,66905.1171875,68597.4453125,66603.7265625,67923.015625,668925952,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-05 20:00:00,67979.7734375,68010.234375,67360.734375,67704.0,0,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-06 00:00:00,67681.546875,68049.796875,67557.0390625,67964.96875,0,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-06 04:00:00,67944.5390625,67993.359375,67500.640625,67769.640625,0,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-06 08:00:00,67769.8828125,68221.921875,67765.3828125,68070.953125,0,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-06 12:00:00,68048.65625,68122.71875,67651.578125,67748.625,0,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-06 16:00:00,67768.7734375,68274.21875,67604.6015625,68111.734375,0,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-06 20:00:00,68148.6875,68486.4296875,68059.984375,68412.6953125,0,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-07 00:00:00,68396.125,69559.3671875,68330.9375,69015.1796875,1610997760,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-07 04:00:00,69021.453125,69755.03125,69021.453125,69344.09375,712724480,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-07 08:00:00,69336.171875,69575.8828125,69196.2734375,69491.8671875,0,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-07 12:00:00,69514.3984375,69514.3984375,69236.5078125,69354.7734375,0,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-07 16:00:00,69354.671875,70284.4296875,69246.4453125,70061.5546875,1613844480,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
2024-04-07 20:00:00,70063.265625,70069.5546875,68976.8984375,69334.0703125,1084141568,4h,1h,4-Hour,yfinance,730d,2026-04-02T22:52:03Z
