agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,p_value_interpretation,lower_5pct,upper_95pct,number_of_trades,transaction_cost,execution_cost_model,simulation_count,research_grade,reproducible,seed_used,null_model,bh_adjusted_p_value
trend_pullback,-0.050395708214255035,0.006629638874059172,0.007917353051059442,0.04935722983662621,10.494752623688155,0.895552223888056,0.047909083310104995,no evidence,-0.07739265376857796,0.09227402452912806,3,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,1.0
breakout_volume_momentum,-0.06286659725305051,0.005916531580380102,0.003018552620543871,0.038857042475627046,5.047476261869066,0.9500249875062469,0.02226497177076827,no evidence,-0.06282149961932915,0.06507694826700779,3,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,1.0
mean_reversion_vol_filter,0.0,0.0,0.0,0.0,100.0,1.0,-0.0,no trades,0.0,0.0,0,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,1.0
trend_momentum_verification,-0.09579858938191463,0.04361535056802526,0.047896851854162974,0.0932713386541583,5.747126436781609,0.9430284857571214,0.025475188471280063,no evidence,-0.1001156880018115,0.20161677427116367,10,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,1.0
adx_trend_following,-0.06299349235521512,0.01132530109497154,0.0052771779976235385,0.05480913497180017,11.594202898550725,0.8845577211394303,0.05327382227440476,no evidence,-0.0937569258631597,0.0878287293345819,4,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,1.0
uptrend_oversold_reversion,-0.03212945174236785,0.005405508649295556,0.003562049188613135,0.04201502684202432,15.742128935532234,0.8430784607696152,0.07413200604708617,no evidence,-0.06832538301684342,0.06808905676922689,6,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,1.0
volatility_squeeze_breakout,-0.0211111035922565,0.0009048822465674406,0.0003054337055309836,0.013900780655030373,5.397301349325337,0.9465267366316842,0.023867113968956778,no evidence,-0.021502585574178133,0.020181597423340435,1,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,1.0
connors_rsi2_pullback,0.01236088653299912,0.0034544141236539866,0.004686085651052902,0.057962577181069265,56.52173913043478,0.4352823588205897,0.36122893362854824,no evidence,-0.0873003963742447,0.10067638994132272,23,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,1.0
donchian_trend_reentry,-0.048426119789616945,0.021469931868962094,0.0189148288036999,0.06673565301920531,15.792103948025987,0.8425787106446777,0.07438951834748786,no evidence,-0.09437707689007502,0.13392736537006994,3,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,1.0
turn_of_month_seasonality,0.07263196482391313,0.0037405477956282437,0.007821871297375663,0.07409995318673825,80.70964517741129,0.1934032983508246,0.7135361236173,no evidence,-0.10803285056828217,0.13621668628058944,12,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,1.0
random,0.07098687257541049,0.13392006433863407,0.14078979403003716,0.1404375380720675,32.68365817091454,0.6736631684157921,0.1715571964369104,no evidence,-0.07780804421151516,0.37327380251355385,29,0.00047,stochastic_spread_slippage_plus_expected_commission,2000,False,True,42,structure_preserving_random_timing,1.0
