Date,Open,High,Low,Close,Volume,data_interval,timeframe_label,data_source,source_period_requested,downloaded_at_utc
1962-01-02,0.24495496211355464,0.24831968700284965,0.24495496211355464,0.24630095064640045,192000,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-03,0.24630097320184635,0.24630097320184635,0.24159025934831357,0.24360916018486023,428800,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-04,0.2436089523457616,0.2442818639520952,0.2395711541175842,0.23957115411758423,326400,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-05,0.2395713320853461,0.24024424419155863,0.2348606187514385,0.2378888875246048,544000,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-08,0.23654299537384643,0.23654299537384643,0.22880401548951174,0.23149582743644714,1523200,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-09,0.23149599422951295,0.2348607205136798,0.2301501694339587,0.2311595380306244,499200,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-10,0.23115929456020964,0.23351464976691366,0.22981330688704674,0.23183220624923706,300800,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-11,0.23183228339291875,0.23351472747043941,0.23149582743644717,0.23149582743644714,371200,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-12,0.23149593508593697,0.23486066051046928,0.23149593508593697,0.23284192383289337,390400,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-15,0.23284181555749625,0.23351472747043941,0.23015000361056084,0.23149582743644714,281600,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-16,0.23250965774059296,0.23386154058363878,0.23115793991223654,0.23250965774059296,236800,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-17,0.23250976133059306,0.23284769093823984,0.22439895570278168,0.22439895570278168,377600,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-18,0.22439889315842151,0.22541268169879913,0.22372303413150307,0.22541268169879913,544000,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-19,0.22541268169879913,0.2267645647673529,0.22473682267188072,0.22541268169879913,697600,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-22,0.22541276889313533,0.22710258212880316,0.22439897996060312,0.2257508635520935,646400,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-23,0.22575077622697529,0.2267645647673529,0.22507475218533993,0.22541268169879913,332800,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-24,0.22541261244952984,0.2257507068738396,0.22237108274807185,0.2233850359916687,422400,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-25,0.22338516687984136,0.2257508391481317,0.2223712130421381,0.22439895570278168,294400,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-26,0.22439881294773423,0.2254126011257363,0.22237107157707214,0.22237107157707214,230400,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-29,0.22237110319371445,0.22372298597125204,0.22169524431228638,0.22169524431228638,313600,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-30,0.22169524431228638,0.22304712708982397,0.21966750265332072,0.22169524431228638,294400,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-01-31,0.22304726912618109,0.225750871388227,0.22304726912618109,0.2237231284379959,422400,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-02-01,0.22372309648748814,0.2257508391481317,0.22372309648748814,0.22439895570278168,435200,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-02-02,0.22439881985330573,0.2257507024802355,0.2237229610471724,0.2250746786594391,595200,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-02-05,0.2243989877498108,0.2243989877498108,0.22237124479957973,0.2237231284379959,396800,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-02-06,0.2237229654013122,0.2237229654013122,0.22169522392878482,0.2233850359916687,249600,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
1962-02-07,0.22338503599166867,0.2237229654013122,0.22237108274807185,0.2233850359916687,268800,1d,Daily,yfinance,max,2026-04-02T16:12:44Z
