Date,Open,High,Low,Close,Volume
2013-04-18,43.642066955566406,43.642066955566406,43.642066955566406,43.642066955566406,400
2013-04-19,43.642066955566406,43.642066955566406,43.642066955566406,43.642066955566406,0
2013-04-22,43.642066955566406,43.642066955566406,43.642066955566406,43.642066955566406,0
2013-04-23,44.75627899169922,44.75627899169922,44.75627899169922,44.75627899169922,600
2013-04-24,44.31060229363643,44.31060229363643,44.19061279296875,44.19061279296875,1100
2013-04-25,44.40486145019531,44.40486145019531,44.40486145019531,44.40486145019531,400
2013-04-26,44.37058639526367,44.37058639526367,44.37058639526367,44.37058639526367,100
2013-04-29,44.43914787845234,44.739124810531884,44.43914787845234,44.62770462036133,4800
2013-04-30,44.24201959222613,44.50771287224452,44.24201959222613,44.43057632446289,1400
2013-05-01,44.396297454833984,44.396297454833984,44.396297454833984,44.396297454833984,100
2013-05-02,44.413437734617176,44.601994480560464,44.413437734617176,44.593421936035156,2500
2013-05-03,45.12480875510286,45.193372764301266,45.08195257120259,45.09909439086914,1000
2013-05-06,45.47621806904548,45.47621806904548,44.99625681929763,45.030540466308594,19500
2013-05-07,45.07338336653462,45.07338336653462,45.03909972714795,45.047672271728516,1500
2013-05-08,45.2019552323411,45.2705192565918,45.2019552323411,45.2705192565918,1600
2013-05-09,45.30478671378118,45.347639622307945,45.22765017064607,45.279075622558594,4700
2013-05-10,45.84476606022153,45.84476606022153,45.3819465637207,45.3819465637207,700
2013-05-13,45.58765137441549,45.596223923978314,45.50194549560547,45.50194549560547,4200
2013-05-14,45.699053142139164,45.904751745313035,45.699053142139164,45.89617919921875,2200
2013-05-15,46.05902191688062,46.30757015666075,46.03330754972061,46.05044937133789,3400
2013-05-16,45.921895999345,45.956176377131946,45.853328704833984,45.853328704833984,5700
2013-05-17,45.9390365282367,45.9390365282367,45.74191045224672,45.75905227661133,2800
2013-05-20,45.76761437042104,45.76761437042104,45.68190526817355,45.69904708862305,4300
2013-05-21,45.887609922592844,45.89617919921875,45.887609922592844,45.89617919921875,600
2013-05-22,46.179011633919906,46.179011633919906,45.64762496948242,45.64762496948242,1900
2013-05-23,45.14195984550141,45.54478454589844,45.14195984550141,45.54478454589844,700
2013-05-24,45.57905289074988,45.57905289074988,45.53619997880174,45.57048034667969,1200
2013-05-28,46.11902548515117,46.16187841266249,45.647633474120305,45.77619552612305,4000
2013-05-29,45.4247814295696,45.4247814295696,45.0990934019821,45.159088134765625,2500
2013-05-30,45.33052123241545,45.35623233692588,45.193389892578125,45.193389892578125,13000
2013-05-31,45.021965359785376,45.03053790578493,44.567718505859375,44.567718505859375,2400
2013-06-03,44.139180054746916,44.31916427612305,44.087754590295965,44.31916427612305,2100
2013-06-04,44.25917719704537,44.293460845947266,43.95063089586574,44.293460845947266,8400
2013-06-05,43.93349245282892,43.94206500044855,43.547812816138624,43.68494415283203,5400
2013-06-06,43.41924196054014,44.0106201171875,43.41924196054014,44.0106201171875,9900
2013-06-07,44.57628479320425,44.74769973754883,44.490578955766026,44.74769973754883,1300
2013-06-10,45.42479578083214,45.42479578083214,44.567724162325874,44.66200256347656,8500
2013-06-11,44.21632743695893,44.67914692187062,44.21632743695893,44.45630645751953,14500
2013-06-12,44.68770261452368,44.68770261452368,43.967762502241,43.99347686767578,3400
2013-06-13,43.72779865077066,44.55058670043945,43.72779865077066,44.55058670043945,2100
2013-06-14,44.67913103394928,44.67913103394928,44.593421936035156,44.593421936035156,700
2013-06-17,44.99623595822047,44.99623595822047,44.69626235961914,44.69626235961914,600
2013-06-18,44.92767957469462,44.92767957469462,44.88482666015625,44.88482666015625,1000
2013-06-19,44.99626252324983,44.99626252324983,44.45630645751953,44.45630645751953,1100
2013-06-20,43.79635729413468,43.79635729413468,43.016422271728516,43.016422271728516,2300
