Date,Open,High,Low,Close,Volume,data_interval,timeframe_label,data_source,source_period_requested,downloaded_at_utc
1980-03-17,0.18149979412555695,0.18440361216779327,0.18149979412555695,0.18149979412555695,10924800,1d,Daily,yfinance,max,2026-04-02T16:12:33Z
1980-03-18,0.18149965667901538,0.18295156460062886,0.18004776537418365,0.18004776537418365,17068800,1d,Daily,yfinance,max,2026-04-02T16:12:33Z
1980-03-19,0.18440364301204681,0.1873080098942945,0.18440364301204681,0.18440364301204681,18508800,1d,Daily,yfinance,max,2026-04-02T16:12:33Z
1980-03-20,0.18440355311210824,0.1865813993295306,0.18367759883403778,0.18367759883403778,11174400,1d,Daily,yfinance,max,2026-04-02T16:12:33Z
1980-03-21,0.18004783651305611,0.18004783651305611,0.17714345455169678,0.17714345455169678,12172800,1d,Daily,yfinance,max,2026-04-02T16:12:33Z
1980-03-24,0.17641752766623484,0.17641752766623484,0.17351371049880984,0.17351371049880981,8966400,1d,Daily,yfinance,max,2026-04-02T16:12:33Z
1980-03-25,0.17423972487449646,0.17714352642646247,0.17423972487449646,0.17423972487449646,11347200,1d,Daily,yfinance,max,2026-04-02T16:12:33Z
1980-03-26,0.1742396943602006,0.17569160319031082,0.17278778553009033,0.17278778553009033,16262400,1d,Daily,yfinance,max,2026-04-02T16:12:33Z
1980-03-27,0.1698839313219163,0.1698839313219163,0.1669795662164688,0.1669795662164688,26918400,1d,Daily,yfinance,max,2026-04-02T16:12:33Z
1980-03-28,0.17351371049880984,0.17641752766623484,0.17351371049880984,0.17351371049880981,20102400,1d,Daily,yfinance,max,2026-04-02T16:12:33Z
1980-03-31,0.17932185530662537,0.18222565524384401,0.17932185530662537,0.17932185530662537,9004800,1d,Daily,yfinance,max,2026-04-02T16:12:33Z
1980-04-01,0.18004776537418365,0.18295156460062886,0.18004776537418365,0.18004776537418365,8179200,1d,Daily,yfinance,max,2026-04-02T16:12:33Z
1980-04-02,0.18149979412555695,0.18440361216779327,0.18149979412555695,0.18149979412555695,12556800,1d,Daily,yfinance,max,2026-04-02T16:12:33Z
