Date,Open,High,Low,Close,Volume,data_interval,timeframe_label,data_source,source_period_requested,downloaded_at_utc
1998-12-22,11.230788430271943,11.230788430271943,11.111073202811136,11.163448333740234,55887,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1998-12-23,11.118565002261116,11.3280668258667,11.118565002261116,11.3280668258667,78784,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1998-12-24,11.328056359061442,11.402877807617188,11.290645072613609,11.402877807617188,43824,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1998-12-28,11.395403969136071,11.395403969136071,11.22331349501734,11.253243446350098,51948,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1998-12-29,11.268208621686604,11.372960090637209,11.133528322227386,11.372960090637207,100819,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1998-12-30,11.313101847724393,11.38792448975401,11.253245308178041,11.3280668258667,154614,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1998-12-31,11.32806189899518,11.343025746288358,11.223310470581056,11.223310470581055,65366,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-04,11.088631347580574,11.410365869958834,11.088631347580574,11.223310470581055,250632,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-05,11.178422666148427,11.343030679668049,11.178422666148427,11.3280668258667,47763,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-06,11.537561250878927,11.702170283182078,11.462739781170393,11.68720531463623,129871,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-07,11.567491171221043,11.866779327392578,11.537562355603889,11.866779327392578,89986,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-08,12.001460513566341,12.001460513566341,11.814405120009216,11.941601753234863,173694,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-11,11.956572213990892,11.956572213990892,11.64980140760484,11.762035369873047,62904,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-12,11.702173196906323,11.702173196906323,11.432812690734863,11.432812690734863,117437,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-13,10.879126596782058,11.432809031144147,10.879126596782058,11.283164978027344,359206,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-14,11.253244531227569,11.33554853230492,10.894097448359114,10.998848915100098,59950,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-15,11.148491876530546,11.31309986114502,11.096116710911463,11.31309986114502,96757,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-19,11.49267293794522,11.49267293794522,11.103598187049394,11.253243446350098,54903,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-20,11.372957805233439,11.515119440496653,11.268206357332712,11.335546493530273,76445,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-21,11.23827440612248,11.290649553330677,11.103594171198129,11.133522987365723,438482,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-22,11.07367109090816,11.13352875424808,10.998849573903732,11.058707237243652,109928,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-25,11.118561130565535,11.163453800678052,10.983880871546852,11.148489952087402,169632,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-26,11.193382835800996,11.215830295626182,11.073667547429025,11.15597152709961,118053,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-27,11.223309001823917,11.223309001823917,11.01380729675293,11.01380729675293,56872,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-28,10.98388214226511,11.193383917155304,10.98388214226511,11.178420066833496,47270,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-01-29,11.245759095106916,11.432813389556562,11.088632498349499,11.41784954071045,72998,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-02-01,11.46274214633613,11.46274214633613,11.223310470581056,11.223310470581055,59827,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-02-02,11.133525510266479,11.193383156165643,10.991363882341117,11.103596687316895,107220,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-02-03,11.043741884668941,11.268208676750904,10.961437881453282,11.185903549194336,69675,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-02-04,11.103600441341593,11.163458107478082,10.924027442932127,10.924027442932129,48625,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-02-05,10.901576270681993,10.953951424268128,10.75941465765941,10.834236145019531,103035,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-02-08,10.909052634628821,10.924016473967033,10.729479816531056,10.804301261901855,137749,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-02-09,10.804311051303475,10.834239881437217,10.579845387470856,10.654666900634766,264050,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
1999-02-10,10.684591976244771,10.744449615478516,10.564876697777285,10.744449615478516,31883,1d,Daily,yfinance,max,2026-04-02T13:00:41Z
