Date,Open,High,Low,Close,Volume,data_interval,timeframe_label,data_source,source_period_requested,downloaded_at_utc
2010-09-09,77.42671391238771,77.42671391238771,76.39939314967197,76.53536224365234,26500,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-09-10,76.80730590733978,76.94327501101363,76.52026258318928,76.88284301757812,8600,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-09-13,77.77417909149308,77.9101481677921,77.42670384386466,77.84971618652344,33750,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-09-14,77.68350719053385,78.16695712865388,77.33603204993912,77.83458709716797,59400,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-09-15,77.51735316526545,78.09143970797922,77.35116809543898,78.03101348876953,9250,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-09-16,77.81950513112218,78.04612219369604,77.57778295382869,78.00080108642578,59550,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-09-17,78.469143774117,78.469143774117,77.81951426580196,78.07634735107422,49350,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-09-20,78.36339061819018,79.34539031982422,78.15188440875811,79.34539031982422,19000,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-09-21,79.33027188783721,79.64753693489307,78.7712904213954,79.1036605834961,19250,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-09-22,78.98278189441297,79.34536798215676,78.52955360706598,78.68063354492188,18100,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-09-23,78.0461186027942,78.81660620649481,77.89504441010342,78.03101348876953,33350,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-09-24,78.94091085977995,79.67001611639706,78.88015063979181,79.62444305419922,24100,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-09-27,79.7307351381561,79.7307351381561,79.24465942382812,79.24465942382812,15000,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-09-28,79.229486398294,79.76112365722656,78.54594864080104,79.76112365722656,49850,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-09-29,79.42692831759693,79.68515038955205,79.15351330352114,79.38135528564453,15900,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-09-30,79.8978141226306,80.26236944680413,78.95605441059696,79.25984954833984,44750,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-10-01,79.80667920319627,79.86743938929632,79.10795444627637,79.53326416015625,17100,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-10-04,79.94340243398415,79.94340243398415,78.60670704916699,78.86492919921875,88700,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-10-05,79.76112695597672,80.65731965410733,79.60923224554581,80.59656524658203,19850,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-10-06,80.59653875000211,80.71805331951585,80.2167963043556,80.45983123779297,276900,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-10-07,80.88515894656419,80.88515894656419,79.98896634336103,80.41427612304688,49900,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-10-08,80.52063325621926,81.0674636285258,80.24722386447928,81.02189636230469,61550,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-10-11,81.05227293644074,81.14340746490845,80.7180975469577,80.88518524169922,14200,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-10-12,80.79401784345434,81.44717545251692,80.30794787313957,81.35604095458984,42050,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-10-13,81.7053716743511,82.23700868730502,81.44714384348143,81.84207916259766,74450,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-10-14,81.79655226019163,81.88769256855099,81.11302022793897,81.538330078125,19100,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-10-15,82.05476380106325,82.08514389776455,81.05224378756415,81.6902084350586,54950,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-10-18,81.73577608154002,82.35855353677672,81.59906855261438,82.28260040283203,22850,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-10-19,81.37121746814285,81.78134003843117,80.52059223409184,80.97628784179688,38550,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
2010-10-20,81.2193018926764,82.14587422474655,81.2193018926764,81.84207916259766,22800,1d,Daily,yfinance,max,2026-04-02T21:04:18Z
