candidate_id,candidate_name,candidate_family,ticker,seed_runs,trade_count_median,RCSI_z_mean,RCSI_z_std,p_value_mean,p_value_std,percentile_mean,share_p_le_0_20,share_rcsi_z_ge_0_5
cand_cross_asset_monthly_momentum,Cross-Asset Monthly Momentum Rotation,relative_strength_momentum,BTC-USD,5,9.0,1.0685586994889409,0.059830091901513796,0.09042464612822647,0.0028650542105054526,91.04079933388843,1.0,1.0
cand_cross_asset_monthly_momentum,Cross-Asset Monthly Momentum Rotation,relative_strength_momentum,CL=F,5,28.0,-0.4015200207386881,0.011766219400288264,0.629142381348876,0.011153639999760458,37.16902581182349,0.0,0.0
cand_cross_asset_monthly_momentum,Cross-Asset Monthly Momentum Rotation,relative_strength_momentum,DIA,5,33.0,-0.620639954771711,0.028059107599686703,0.7440466278101582,0.01599534874479351,25.678601165695255,0.0,0.0
cand_cross_asset_monthly_momentum,Cross-Asset Monthly Momentum Rotation,relative_strength_momentum,ES=F,5,18.0,-0.489999916952946,0.024843833995708005,0.653788509575354,0.016054187184006675,34.70441298917569,0.0,0.0
cand_cross_asset_monthly_momentum,Cross-Asset Monthly Momentum Rotation,relative_strength_momentum,GC=F,5,26.0,-1.3601771693530695,0.02821025018646989,0.9332223147377186,0.004024328384211374,6.761032472939218,0.0,0.0
cand_cross_asset_monthly_momentum,Cross-Asset Monthly Momentum Rotation,relative_strength_momentum,IWM,5,30.0,-0.49143289661509265,0.015560633659936662,0.7032472939217319,0.007821494465157317,29.758534554537885,0.0,0.0
cand_cross_asset_monthly_momentum,Cross-Asset Monthly Momentum Rotation,relative_strength_momentum,NQ=F,5,19.0,-0.9786623510221263,0.01387450746545071,0.8398001665278935,0.004031213467746944,16.103247293921733,0.0,0.0
cand_cross_asset_monthly_momentum,Cross-Asset Monthly Momentum Rotation,relative_strength_momentum,QQQ,5,30.0,-0.4276437574735734,0.02472770676965765,0.6792672772689425,0.01168546530747634,32.15653621981683,0.0,0.0
cand_cross_asset_monthly_momentum,Cross-Asset Monthly Momentum Rotation,relative_strength_momentum,SPY,5,39.0,-0.06706335750233561,0.029417486331848878,0.4969192339716903,0.008113856929278835,50.39134054954205,0.0,0.0
cand_cross_asset_monthly_momentum,Cross-Asset Monthly Momentum Rotation,relative_strength_momentum,XLF,5,30.0,-0.8601033746890023,0.027445166983809957,0.812323064113239,0.00828633159342197,18.850957535387174,0.0,0.0
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,BTC-USD,5,19.0,-1.0929102798078767,0.025086532830931187,0.881931723563697,0.00973013232838736,11.890091590341381,0.0,0.0
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,CL=F,5,19.0,-0.8190477978091577,0.020474495678389222,0.7991673605328892,0.006731518045431372,20.16652789342215,0.0,0.0
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,DIA,5,21.0,-0.5342689923970123,0.01882279921304424,0.6937552039966695,0.006059418950428041,30.707743547044128,0.0,0.0
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,ES=F,5,21.0,-0.06347276537890881,0.024292948480174197,0.520233139050791,0.015634122529936508,48.05995004163198,0.0,0.0
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,GC=F,5,27.0,-1.5095895546883447,0.02037936242118641,0.9413821815154039,0.005229081921101608,5.9450457951706905,0.0,0.0
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,IWM,5,19.0,0.7480630682876864,0.014443579355662626,0.22514571190674437,0.0033965159124681337,77.56869275603664,0.0,1.0
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,NQ=F,5,25.0,-0.0622767874264451,0.016489117262059236,0.5077435470441299,0.0070730260055271695,49.30890924229808,0.0,0.0
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,QQQ,5,22.0,-0.7794110272878959,0.03196253280286389,0.7871773522064947,0.012523960484238594,21.365528726061616,0.0,0.0
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,SPY,5,13.0,-1.2258103671891933,0.04793976328111036,0.8917568692756037,0.00966722749288926,10.907577019150708,0.0,0.0
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,XLF,5,25.0,1.799437777148555,0.052226058902904215,0.04113238967527061,0.005411516006418624,95.97002497918402,1.0,1.0
existing_trend_pullback,Existing Strategy: Trend + Pullback,existing_production,BTC-USD,5,13.0,-1.2577822320868937,0.01761125130556034,0.9277268942547877,0.006954408998441659,7.310574521232306,0.0,0.0
existing_trend_pullback,Existing Strategy: Trend + Pullback,existing_production,CL=F,5,12.0,-1.696970699114231,0.03573718786066769,0.9910074937552039,0.002319465158565235,0.9825145711906742,0.0,0.0
existing_trend_pullback,Existing Strategy: Trend + Pullback,existing_production,DIA,5,26.0,1.708116253475946,0.03129159210013781,0.05095753538717736,0.007835663850803391,94.98751040799334,1.0,1.0
existing_trend_pullback,Existing Strategy: Trend + Pullback,existing_production,ES=F,5,26.0,-0.3973944316347868,0.029793507751972252,0.6406328059950042,0.013182026595945601,36.019983347210655,0.0,0.0
existing_trend_pullback,Existing Strategy: Trend + Pullback,existing_production,GC=F,5,18.0,-0.2565652027515662,0.020996213710908294,0.5735220649458783,0.008675447978438717,42.73105745212323,0.0,0.0
existing_trend_pullback,Existing Strategy: Trend + Pullback,existing_production,IWM,5,11.0,1.236419868373702,0.017017476339587365,0.1144046627810158,0.005067485113972671,88.64279766860949,1.0,1.0
existing_trend_pullback,Existing Strategy: Trend + Pullback,existing_production,NQ=F,5,24.0,-0.24110825499680372,0.027483782717140595,0.5705245628642798,0.012354529219644552,43.030807660283095,0.0,0.0
existing_trend_pullback,Existing Strategy: Trend + Pullback,existing_production,QQQ,5,24.0,-0.08111704854494689,0.013537606715869016,0.504412989175687,0.0060594189504280735,49.64196502914238,0.0,0.0
existing_trend_pullback,Existing Strategy: Trend + Pullback,existing_production,SPY,5,28.0,0.1677693288649603,0.038392656558325584,0.4196502914238135,0.015833291355876397,58.118234804329724,0.0,0.0
existing_trend_pullback,Existing Strategy: Trend + Pullback,existing_production,XLF,5,28.0,0.6127791345295139,0.03381232924455031,0.25695253955037467,0.013097606729216107,74.38800999167361,0.0,1.0
