agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,p_value_interpretation,lower_5pct,upper_95pct,number_of_trades,transaction_cost,execution_cost_model,simulation_count,research_grade,reproducible,seed_used,null_model,bh_adjusted_p_value
trend_pullback,0.010158436911059438,0.0001298275310693362,0.004334545304303756,0.06443910288260318,55.688622754491014,0.44510978043912175,0.351532862819085,no evidence,-0.09787496599604717,0.11722588733962623,60,0.00047,stochastic_spread_slippage_plus_expected_commission,500,False,True,42,structure_preserving_random_timing,0.8333333333333333
breakout_volume_momentum,0.003565077262867268,0.0416118516751199,0.04067391647643954,0.08186509670158555,33.532934131736525,0.6666666666666666,0.17609125905568127,no evidence,-0.09711341728383051,0.18555573063125344,60,0.00047,stochastic_spread_slippage_plus_expected_commission,500,False,True,42,structure_preserving_random_timing,0.8333333333333333
mean_reversion_vol_filter,-0.012346461573529277,-0.00487759367005355,-0.005309277443383588,0.025854109060772547,38.72255489021956,0.6147704590818364,0.21128700936680142,no evidence,-0.046456482889642305,0.03665373710316035,17,0.00047,stochastic_spread_slippage_plus_expected_commission,500,False,True,42,structure_preserving_random_timing,0.8333333333333333
momentum_relative_strength,-0.0960106427158462,0.5387564003295167,0.6625808260552848,0.5461211488247718,0.7984031936127743,0.9940119760479041,0.0026083831075282018,no evidence,0.05097519752559419,1.664830905386297,260,0.00047,stochastic_spread_slippage_plus_expected_commission,500,False,True,42,structure_preserving_random_timing_shared_calendar,0.994011976047904
random,0.1824964733542533,0.06081329489745745,0.06356977039321682,0.10893646699383903,85.62874251497006,0.14570858283433133,0.8365148657467898,no evidence,-0.1125621544834924,0.24692796012488394,90,0.00047,stochastic_spread_slippage_plus_expected_commission,500,False,True,42,structure_preserving_random_timing,0.7285429141716566
