name,gate,score,tr_trades,tr_z,tr_p,va_trades,va_z,va_p,se_trades,se_z,se_p,adx,r63,r126,stop,trail,time_stop,vol
a8_r630.02_r1260.0_s2.8_t2.8_h80_v1.5,False,10.158509602511213,70,8.424061395578681,0.008264462809917356,16,0.8367792222728128,0.21487603305785125,9,1.0865872988919463,0.15469613259668508,8,0.02,0.0,2.8,2.8,80,1.5
a12_r630.0_r1260.0_s2.8_t3.4_h80_v1.2,False,10.147966315211928,62,9.283960009967753,0.008264462809917356,14,1.151170486853907,0.12396694214876033,10,-5.400399227189664e-05,0.4419889502762431,12,0.0,0.0,2.8,3.4,80,1.2
a12_r630.02_r1260.0_s2.2_t3.4_h120_v1.5,False,10.147233026117163,62,7.24191262575608,0.008264462809917356,14,0.8090390202076193,0.19834710743801653,6,2.213399319973564,0.027624309392265192,12,0.02,0.0,2.2,3.4,120,1.5
a12_r630.0_r1260.03_s2.2_t3.4_h80_v1.5,False,10.07316461750717,63,8.580371491712524,0.008264462809917356,14,1.0749335231833752,0.09917355371900827,9,0.6069377268978319,0.27071823204419887,12,0.0,0.03,2.2,3.4,80,1.5
a16_r630.0_r1260.03_s2.2_t3.4_h80_v1.5,False,9.99240316490737,58,8.961398343532196,0.008264462809917356,13,0.7252131903206043,0.18181818181818182,9,0.5472417931476261,0.292817679558011,16,0.0,0.03,2.2,3.4,80,1.5
a8_r630.02_r1260.03_s2.8_t3.4_h120_v1.2,False,9.956747694036837,61,7.094535964791761,0.008264462809917356,14,1.2429092980512901,0.10743801652892562,6,1.715827704012378,0.07734806629834254,8,0.02,0.03,2.8,3.4,120,1.2
a16_r630.02_r1260.0_s2.8_t3.4_h120_v1.2,False,9.915332475465505,57,7.861721197045413,0.008264462809917356,13,0.5750071716110392,0.2727272727272727,6,1.6577740077268193,0.07734806629834254,16,0.02,0.0,2.8,3.4,120,1.2
a8_r630.0_r1260.03_s2.2_t3.4_h120_v1.2,False,9.84722322135067,63,8.513793542423343,0.008264462809917356,14,0.8466051680327437,0.1652892561983471,9,0.703435624542362,0.2596685082872928,8,0.0,0.03,2.2,3.4,120,1.2
a12_r630.0_r1260.0_s2.8_t3.4_h120_v1.5,False,9.822750587119812,62,9.118019735799352,0.008264462809917356,14,1.085924608151314,0.1487603305785124,10,-0.062349868423932024,0.48066298342541436,12,0.0,0.0,2.8,3.4,120,1.5
a12_r630.02_r1260.03_s2.2_t3.4_h80_v1.2,False,9.751916876799068,62,6.885812120722824,0.008264462809917356,14,0.9855256716346255,0.18181818181818182,6,1.9949574233302527,0.03867403314917127,12,0.02,0.03,2.2,3.4,80,1.2
a8_r630.02_r1260.03_s2.2_t2.8_h80_v1.2,False,9.75063951633864,70,8.048251198662475,0.008264462809917356,16,0.7946638563490321,0.19834710743801653,9,1.0939031746278953,0.16574585635359115,8,0.02,0.03,2.2,2.8,80,1.2
a8_r630.02_r1260.03_s2.8_t3.4_h80_v1.2,False,9.621756222766836,61,6.960900801238941,0.008264462809917356,14,0.826348854330087,0.15702479338842976,6,1.9392506428107934,0.04419889502762431,8,0.02,0.03,2.8,3.4,80,1.2
a16_r630.0_r1260.03_s2.2_t3.4_h120_v1.5,False,9.61157319494317,58,8.240743378640738,0.008264462809917356,13,0.8228256882288989,0.1487603305785124,9,0.7480634860937162,0.2430939226519337,16,0.0,0.03,2.2,3.4,120,1.5
a16_r630.02_r1260.03_s2.2_t3.4_h120_v1.2,False,9.575944167612043,58,6.55780336671856,0.008264462809917356,13,0.8509155322705007,0.12396694214876033,6,2.2526779876769063,0.03867403314917127,16,0.02,0.03,2.2,3.4,120,1.2
a16_r630.0_r1260.03_s2.8_t3.4_h120_v1.5,False,9.548589153173513,57,8.660600279677665,0.008264462809917356,13,0.6930016537004108,0.2396694214876033,9,0.4764127254801092,0.3149171270718232,16,0.0,0.03,2.8,3.4,120,1.5
a12_r630.0_r1260.03_s2.2_t3.4_h120_v1.2,False,9.478000444763907,63,8.23077285967168,0.008264462809917356,14,0.9733595659454554,0.15702479338842976,9,0.527783365477989,0.3425414364640884,12,0.0,0.03,2.2,3.4,120,1.2
a8_r630.02_r1260.0_s2.2_t2.8_h80_v1.2,False,9.456821517679844,70,7.480505310069421,0.008264462809917356,16,0.9254869436496957,0.18181818181818182,9,1.2121689288162136,0.13259668508287292,8,0.02,0.0,2.2,2.8,80,1.2
a12_r630.02_r1260.03_s2.8_t3.4_h80_v1.2,False,9.449869004350525,61,6.733958236753702,0.008264462809917356,14,1.0031039529660708,0.14049586776859505,6,1.820336151190725,0.06629834254143646,12,0.02,0.03,2.8,3.4,80,1.2
a16_r630.02_r1260.0_s2.8_t2.8_h80_v1.5,False,9.37518342947527,66,7.763509727904499,0.008264462809917356,15,0.5472084491195929,0.2066115702479339,9,1.2520137662176702,0.16022099447513813,16,0.02,0.0,2.8,2.8,80,1.5
a8_r630.02_r1260.0_s2.2_t3.4_h80_v1.2,False,9.246101047214687,62,6.4529281607722835,0.01652892561983471,14,0.8771864052416839,0.1652892561983471,6,2.0289950196236224,0.04419889502762431,8,0.02,0.0,2.2,3.4,80,1.2
a12_r630.02_r1260.03_s2.8_t3.4_h80_v1.5,False,9.232130285315394,61,5.995481661788956,0.008264462809917356,14,1.2755864385551694,0.09917355371900827,6,2.0341182098103174,0.03867403314917127,12,0.02,0.03,2.8,3.4,80,1.5
a8_r630.02_r1260.0_s2.2_t3.4_h80_v1.5,False,9.22390851293771,62,6.628550900562491,0.01652892561983471,14,0.8901880520742085,0.1652892561983471,6,1.8292278224808183,0.06629834254143646,8,0.02,0.0,2.2,3.4,80,1.5
a8_r630.02_r1260.03_s2.2_t3.4_h80_v1.2,False,9.165502083448274,62,6.4728645626851335,0.008264462809917356,14,0.8294258395396004,0.19834710743801653,6,1.9858544829220925,0.03867403314917127,8,0.02,0.03,2.2,3.4,80,1.2
a12_r630.02_r1260.0_s2.8_t3.4_h120_v1.2,False,9.138493136727668,61,6.145190355749998,0.01652892561983471,14,1.4503263122801435,0.08264462809917356,6,1.6395245715238826,0.09392265193370165,12,0.02,0.0,2.8,3.4,120,1.2
a16_r630.02_r1260.0_s2.2_t3.4_h120_v1.5,False,9.125625345155214,58,6.112304962268881,0.01652892561983471,13,0.647224384809531,0.18181818181818182,6,2.4763192755527146,0.022099447513812154,16,0.02,0.0,2.2,3.4,120,1.5
a8_r630.02_r1260.0_s2.8_t3.4_h120_v1.2,False,9.115375541719516,61,6.078867206953132,0.008264462809917356,14,0.8841610433155283,0.1652892561983471,6,2.255698736590347,0.03314917127071823,8,0.02,0.0,2.8,3.4,120,1.2
a8_r630.02_r1260.03_s2.2_t2.8_h120_v1.5,False,9.097946691644315,70,7.412802617475715,0.008264462809917356,16,0.7440207775064678,0.19008264462809918,9,1.1204073476187093,0.16022099447513813,8,0.02,0.03,2.2,2.8,120,1.5
a12_r630.0_r1260.0_s2.8_t3.4_h120_v1.2,False,9.049126105824852,62,8.22562339539636,0.008264462809917356,14,1.1183620968066925,0.14049586776859505,10,-0.021584193464633576,0.39779005524861877,12,0.0,0.0,2.8,3.4,120,1.2
a16_r630.02_r1260.0_s2.2_t2.8_h120_v1.2,False,9.005691408682408,66,7.2267646342461225,0.008264462809917356,15,0.4643056202729986,0.2231404958677686,9,1.4800473904082074,0.09944751381215469,16,0.02,0.0,2.2,2.8,120,1.2
a8_r630.0_r1260.03_s2.8_t3.4_h80_v1.5,False,8.998863676511547,62,7.903218866788247,0.008264462809917356,14,0.7221285917839951,0.2066115702479339,9,0.6301255051864643,0.2983425414364641,8,0.0,0.03,2.8,3.4,80,1.5
a12_r630.02_r1260.0_s2.8_t2.8_h120_v1.2,False,8.98388142712515,70,6.491975757595133,0.008264462809917356,16,1.1395193842014164,0.14049586776859505,9,1.4682029147062539,0.08287292817679558,12,0.02,0.0,2.8,2.8,120,1.2
a12_r630.02_r1260.0_s2.2_t3.4_h80_v1.5,False,8.955814940146192,62,6.093307210714918,0.008264462809917356,14,0.8125855711425265,0.18181818181818182,6,2.161538066238157,0.03314917127071823,12,0.02,0.0,2.2,3.4,80,1.5
a12_r630.0_r1260.0_s2.2_t3.4_h80_v1.2,False,8.941719310766228,63,7.755225675601656,0.008264462809917356,14,1.2723967828785927,0.09917355371900827,10,0.16671088817475097,0.39779005524861877,12,0.0,0.0,2.2,3.4,80,1.2
a16_r630.0_r1260.0_s2.2_t3.4_h120_v1.5,False,8.939250063214503,58,8.359261679006819,0.008264462809917356,13,0.7074352410307481,0.2231404958677686,10,0.16505120262627698,0.35359116022099446,16,0.0,0.0,2.2,3.4,120,1.5
a16_r630.02_r1260.03_s2.2_t3.4_h120_v1.5,False,8.915166828675014,58,6.177397593621901,0.008264462809917356,13,0.7311950663875013,0.19008264462809918,6,2.127847169898432,0.04419889502762431,16,0.02,0.03,2.2,3.4,120,1.5
a12_r630.02_r1260.0_s2.8_t3.4_h80_v1.5,False,8.854561641875675,61,6.032288425790265,0.008264462809917356,14,1.2456788297410843,0.14049586776859505,6,1.6951734466612067,0.08839779005524862,12,0.02,0.0,2.8,3.4,80,1.5
a16_r630.02_r1260.0_s2.8_t3.4_h120_v1.5,False,8.828101888496732,57,6.598962493959995,0.008264462809917356,13,0.6963057503624427,0.2231404958677686,6,1.698259880419215,0.09944751381215469,16,0.02,0.0,2.8,3.4,120,1.5
a12_r630.02_r1260.0_s2.2_t2.8_h80_v1.5,False,8.827938484778667,70,7.222980122549339,0.008264462809917356,16,0.7705166494502244,0.19008264462809918,9,1.0330627803102652,0.19889502762430938,12,0.02,0.0,2.2,2.8,80,1.5
a12_r630.02_r1260.03_s2.2_t3.4_h120_v1.5,False,8.819873320488135,62,5.408372170726297,0.01652892561983471,14,1.1554113795202194,0.10743801652892562,6,2.326360534133679,0.016574585635359115,12,0.02,0.03,2.2,3.4,120,1.5
a12_r630.0_r1260.0_s2.8_t3.4_h80_v1.5,False,8.789164335084935,62,8.26524748895428,0.008264462809917356,14,0.8734536967139894,0.17355371900826447,10,-0.04039571547534839,0.43646408839779005,12,0.0,0.0,2.8,3.4,80,1.5
a16_r630.02_r1260.03_s2.8_t2.8_h80_v1.5,False,8.710784925024232,66,6.9760639465314185,0.008264462809917356,15,0.6674627642231287,0.256198347107438,9,1.2657879617697987,0.13259668508287292,16,0.02,0.03,2.8,2.8,80,1.5
a16_r630.0_r1260.03_s2.2_t2.8_h120_v1.2,False,8.624463798175496,66,8.300546096610423,0.008264462809917356,15,0.5341619313346864,0.2396694214876033,12,0.12090503282113535,0.4143646408839779,16,0.0,0.03,2.2,2.8,120,1.2
a16_r630.0_r1260.03_s2.2_t2.8_h120_v1.5,False,8.611611793963265,66,8.070437440745769,0.008264462809917356,15,0.6357656576391657,0.23140495867768596,12,0.18270196985804338,0.3149171270718232,16,0.0,0.03,2.2,2.8,120,1.5
a12_r630.02_r1260.0_s2.2_t3.4_h80_v1.2,False,8.571257212393757,62,5.848711900749379,0.01652892561983471,14,0.6973527219420065,0.2066115702479339,6,2.156099854210843,0.03867403314917127,12,0.02,0.0,2.2,3.4,80,1.2
a16_r630.0_r1260.0_s2.2_t3.4_h120_v1.2,False,8.552433403922342,58,7.90504087483643,0.008264462809917356,13,0.6001294181383087,0.19008264462809918,10,0.30113279726329756,0.30939226519337015,16,0.0,0.0,2.2,3.4,120,1.2
a8_r630.02_r1260.03_s2.8_t3.4_h120_v1.5,False,8.434836363906484,61,5.903712592839829,0.01652892561983471,14,0.9296498633651884,0.17355371900826447,6,1.729664401286234,0.06629834254143646,8,0.02,0.03,2.8,3.4,120,1.5
a8_r630.02_r1260.0_s2.2_t2.8_h80_v1.5,False,8.425966496380218,70,6.636391068486974,0.008264462809917356,16,0.9760202689268047,0.1652892561983471,9,0.9942546704042726,0.1878453038674033,8,0.02,0.0,2.2,2.8,80,1.5
a12_r630.02_r1260.03_s2.2_t2.8_h80_v1.2,False,8.357769656006852,70,6.1033419539211495,0.01652892561983471,16,0.8504658870484014,0.23140495867768596,9,1.566602790335231,0.07734806629834254,12,0.02,0.03,2.2,2.8,80,1.2
a8_r630.02_r1260.0_s2.8_t3.4_h80_v1.2,False,8.312785206834898,61,5.582919968322274,0.01652892561983471,14,0.9677168011641645,0.14049586776859505,6,1.8655227124957114,0.049723756906077346,8,0.02,0.0,2.8,3.4,80,1.2
a12_r630.0_r1260.0_s2.2_t3.4_h120_v1.2,False,8.288478530828867,63,7.144749053218306,0.008264462809917356,14,1.1069821774517967,0.15702479338842976,10,0.26856319897616887,0.2983425414364641,12,0.0,0.0,2.2,3.4,120,1.2
a16_r630.0_r1260.03_s2.8_t3.4_h80_v1.5,False,8.282058949156516,57,7.114353320816236,0.008264462809917356,13,0.7029335841266676,0.17355371900826447,9,0.6799905273878968,0.24861878453038674,16,0.0,0.03,2.8,3.4,80,1.5
a8_r630.02_r1260.0_s2.8_t2.8_h120_v1.2,False,8.25369836222134,70,6.213177219637749,0.008264462809917356,16,1.0308887534441018,0.1652892561983471,9,1.1709948840027369,0.14917127071823205,8,0.02,0.0,2.8,2.8,120,1.2
a12_r630.0_r1260.03_s2.8_t3.4_h80_v1.2,False,8.248694588236743,62,6.9233331739688815,0.008264462809917356,14,1.1225574422573323,0.1322314049586777,9,0.4443226241268718,0.3425414364640884,12,0.0,0.03,2.8,3.4,80,1.2
a8_r630.02_r1260.03_s2.8_t3.4_h80_v1.5,False,8.155944444059312,61,5.3813024632137845,0.01652892561983471,14,1.1469664990911537,0.15702479338842976,6,1.7420766506507714,0.055248618784530384,8,0.02,0.03,2.8,3.4,80,1.5
a16_r630.0_r1260.0_s2.2_t3.4_h80_v1.2,False,8.120717925316695,58,7.58599816324603,0.008264462809917356,13,0.5991552477332872,0.19834710743801653,10,0.21842831051106842,0.35911602209944754,16,0.0,0.0,2.2,3.4,80,1.2
a12_r630.0_r1260.03_s2.8_t2.8_h80_v1.5,False,8.07505288020555,71,7.261085288588559,0.008264462809917356,16,0.9250598666515039,0.15702479338842976,12,0.17044738068897156,0.39779005524861877,12,0.0,0.03,2.8,2.8,80,1.5
a12_r630.02_r1260.03_s2.8_t2.8_h80_v1.5,False,8.069347624377748,70,6.361827836717341,0.01652892561983471,16,0.7080712579917217,0.21487603305785125,9,1.1759244896705123,0.12154696132596685,12,0.02,0.03,2.8,2.8,80,1.5
a8_r630.02_r1260.0_s2.2_t2.8_h120_v1.2,False,7.94060452222225,70,6.177151824422953,0.008264462809917356,16,0.7555275361625071,0.23140495867768596,9,1.207870369618159,0.16022099447513813,8,0.02,0.0,2.2,2.8,120,1.2
a12_r630.0_r1260.03_s2.8_t2.8_h120_v1.2,False,7.877639394864605,71,7.028885407177208,0.008264462809917356,16,0.8426559225873321,0.18181818181818182,12,0.27517253658538443,0.34806629834254144,12,0.0,0.03,2.8,2.8,120,1.2
a8_r630.0_r1260.0_s2.8_t3.4_h80_v1.2,False,7.870123437197299,62,6.9547304862891215,0.008264462809917356,14,1.0526339345070301,0.11570247933884298,10,0.1153502222821569,0.3812154696132597,8,0.0,0.0,2.8,3.4,80,1.2
a16_r630.02_r1260.03_s2.8_t2.8_h80_v1.2,False,7.822313952024075,66,5.812869360503251,0.008264462809917356,15,0.7920097656323212,0.2231404958677686,9,1.3828610621334232,0.09944751381215469,16,0.02,0.03,2.8,2.8,80,1.2
a16_r630.0_r1260.03_s2.2_t3.4_h80_v1.2,False,7.776762964027725,58,6.570106303676523,0.008264462809917356,13,0.7664681872822707,0.19834710743801653,9,0.6926655289111303,0.2983425414364641,16,0.0,0.03,2.2,3.4,80,1.2
a12_r630.02_r1260.0_s2.2_t3.4_h120_v1.2,False,7.696812580586947,62,4.921203515661214,0.008264462809917356,14,0.9787085752168221,0.1322314049586777,6,1.9030600258031527,0.0718232044198895,12,0.02,0.0,2.2,3.4,120,1.2
a12_r630.0_r1260.0_s2.2_t3.4_h120_v1.5,False,7.687774207594593,63,6.592482207521696,0.008264462809917356,14,1.1027812218820223,0.12396694214876033,10,0.22437233702380457,0.3314917127071823,12,0.0,0.0,2.2,3.4,120,1.5
a16_r630.02_r1260.03_s2.8_t2.8_h120_v1.2,False,7.661140966268955,66,5.920570417533328,0.008264462809917356,15,0.7011688608256719,0.21487603305785125,9,1.2283200021421825,0.15469613259668508,16,0.02,0.03,2.8,2.8,120,1.2
a16_r630.02_r1260.03_s2.8_t2.8_h120_v1.5,False,7.656753188958141,66,6.260771263073591,0.008264462809917356,15,0.4876342991818941,0.2727272727272727,9,1.1179042679519136,0.13812154696132597,16,0.02,0.03,2.8,2.8,120,1.5
a8_r630.0_r1260.03_s2.2_t3.4_h80_v1.5,False,7.630159782582339,63,6.27399971785402,0.01652892561983471,14,0.883016478136599,0.18181818181818182,9,0.7132011182112813,0.281767955801105,8,0.0,0.03,2.2,3.4,80,1.5
a16_r630.02_r1260.03_s2.8_t3.4_h120_v1.5,False,7.573971644936972,57,4.793946618765202,0.01652892561983471,13,0.7741892193593705,0.19834710743801653,6,2.1298484089766845,0.03314917127071823,16,0.02,0.03,2.8,3.4,120,1.5
a12_r630.0_r1260.03_s2.8_t3.4_h120_v1.2,False,7.558788382412763,62,6.5205601697478,0.008264462809917356,14,1.0656231619167191,0.17355371900826447,9,0.2651716002208698,0.40331491712707185,12,0.0,0.03,2.8,3.4,120,1.2
a12_r630.02_r1260.03_s2.2_t2.8_h80_v1.5,False,7.558325032356481,70,5.768261553232404,0.008264462809917356,16,0.7473178068403983,0.19834710743801653,9,1.2151122308883089,0.13812154696132597,12,0.02,0.03,2.2,2.8,80,1.5
a16_r630.0_r1260.03_s2.8_t3.4_h80_v1.2,False,7.55652173153116,57,6.743679249134847,0.008264462809917356,13,0.5488193331515591,0.256198347107438,9,0.5371385321039847,0.281767955801105,16,0.0,0.03,2.8,3.4,80,1.2
a12_r630.02_r1260.0_s2.8_t3.4_h80_v1.2,False,7.544534012758278,61,4.693490311089406,0.01652892561983471,14,0.986430438543265,0.15702479338842976,6,1.970727139204324,0.03867403314917127,12,0.02,0.0,2.8,3.4,80,1.2
a8_r630.02_r1260.0_s2.8_t3.4_h120_v1.5,False,7.535559147869832,61,5.173658825953601,0.01652892561983471,14,0.693453609832323,0.21487603305785125,6,1.8172983626934691,0.06629834254143646,8,0.02,0.0,2.8,3.4,120,1.5
a8_r630.02_r1260.03_s2.8_t2.8_h120_v1.2,False,7.529278971330458,70,5.406239301950428,0.008264462809917356,16,0.9958055002948547,0.17355371900826447,9,1.2899664644141557,0.143646408839779,8,0.02,0.03,2.8,2.8,120,1.2
a12_r630.0_r1260.03_s2.8_t3.4_h80_v1.5,False,7.499405114460274,62,6.48697673177303,0.008264462809917356,14,0.8121049032691448,0.19008264462809918,9,0.4541931657337919,0.30939226519337015,12,0.0,0.03,2.8,3.4,80,1.5
a12_r630.0_r1260.03_s2.2_t3.4_h80_v1.2,False,7.432039875738874,63,5.674754841589836,0.01652892561983471,14,1.0976945418796973,0.1322314049586777,9,0.8499927570061109,0.23204419889502761,12,0.0,0.03,2.2,3.4,80,1.2
a16_r630.02_r1260.0_s2.2_t3.4_h120_v1.2,False,7.417376562373018,58,4.891425403626539,0.01652892561983471,13,0.5563304572308047,0.19834710743801653,6,2.0936333036799595,0.03314917127071823,16,0.02,0.0,2.2,3.4,120,1.2
a8_r630.0_r1260.03_s2.2_t2.8_h120_v1.5,False,7.154064146526633,71,6.689578439685583,0.008264462809917356,16,0.6387901663723883,0.24793388429752067,12,0.16097703446436876,0.4143646408839779,8,0.0,0.03,2.2,2.8,120,1.5
a12_r630.02_r1260.0_s2.8_t2.8_h120_v1.5,False,7.144219770461424,70,5.383682513705754,0.008264462809917356,16,0.8034284827480241,0.19834710743801653,9,1.1322377635515029,0.143646408839779,12,0.02,0.0,2.8,2.8,120,1.5
a8_r630.02_r1260.0_s2.8_t2.8_h120_v1.5,False,7.133765473295247,70,5.307562382698101,0.01652892561983471,16,0.7930402687759612,0.2066115702479339,9,1.2110314122965062,0.13259668508287292,8,0.02,0.0,2.8,2.8,120,1.5
