name,gate,score,tr_trades,tr_z,tr_p,va_trades,va_z,va_p,se_trades,se_z,se_p,adx,r63,r126,stop,trail,time_stop,vol
a12_r630.0_r1260.0_s2.2_t3.4_h80_v1.5,False,13.85344268490245,63,12.59032045284325,0.008264462809917356,14,1.073713205801304,0.14049586776859505,10,0.40467316944770587,0.281767955801105,12,0.0,0.0,2.2,3.4,80,1.5
a8_r630.02_r1260.0_s2.8_t3.4_h80_v1.5,False,13.626450258941617,61,10.8891774327303,0.008264462809917356,14,0.9722336951434799,0.1487603305785124,6,1.873938268093545,0.06077348066298342,8,0.02,0.0,2.8,3.4,80,1.5
a16_r630.02_r1260.0_s2.8_t3.4_h80_v1.5,False,12.789139274989877,57,10.02045062006661,0.008264462809917356,13,0.8761193105333538,0.17355371900826447,6,2.0083403137520426,0.049723756906077346,16,0.02,0.0,2.8,3.4,80,1.5
a12_r630.02_r1260.03_s2.2_t3.4_h120_v1.2,False,12.475172900726763,62,9.314235387825368,0.008264462809917356,14,0.9460517618335648,0.1652892561983471,6,2.309949903389641,0.016574585635359115,12,0.02,0.03,2.2,3.4,120,1.2
a16_r630.02_r1260.03_s2.8_t3.4_h80_v1.5,False,12.201336519341758,57,9.438906074227145,0.008264462809917356,13,1.006716225247606,0.15702479338842976,6,1.8604582954799946,0.04419889502762431,16,0.02,0.03,2.8,3.4,80,1.5
a16_r630.0_r1260.0_s2.8_t3.4_h80_v1.5,False,12.06309152720473,57,11.557501722130956,0.008264462809917356,13,0.7950345497126127,0.21487603305785125,10,0.023782961858581027,0.40331491712707185,16,0.0,0.0,2.8,3.4,80,1.5
a16_r630.0_r1260.0_s2.8_t3.4_h120_v1.5,False,11.966436674732309,57,11.39802820054648,0.008264462809917356,13,0.7592706802741557,0.2066115702479339,10,0.12099569994336144,0.4088397790055249,16,0.0,0.0,2.8,3.4,120,1.5
a12_r630.02_r1260.03_s2.8_t3.4_h120_v1.5,False,11.844402592147464,61,8.986456718639971,0.008264462809917356,14,1.1649633373933626,0.09090909090909091,6,1.7867682080012577,0.08839779005524862,12,0.02,0.03,2.8,3.4,120,1.5
a8_r630.02_r1260.03_s2.2_t3.4_h80_v1.5,False,11.734206467010154,62,8.72881355408567,0.008264462809917356,14,1.1395305056483622,0.11570247933884298,6,1.949945325864314,0.04419889502762431,8,0.02,0.03,2.2,3.4,80,1.5
a12_r630.02_r1260.03_s2.2_t3.4_h80_v1.5,False,11.661640372599509,62,8.536501125424758,0.008264462809917356,14,1.2055622850453505,0.10743801652892562,6,1.9912403564949555,0.027624309392265192,12,0.02,0.03,2.2,3.4,80,1.5
a8_r630.02_r1260.0_s2.2_t3.4_h120_v1.2,False,11.61575368493333,62,9.006564228193461,0.008264462809917356,14,0.8859365988515107,0.1487603305785124,6,1.8266271330356108,0.049723756906077346,8,0.02,0.0,2.2,3.4,120,1.2
a8_r630.02_r1260.03_s2.2_t3.4_h120_v1.2,False,11.58369621642337,62,8.869221857316212,0.008264462809917356,14,0.969317734444093,0.19008264462809918,6,1.8609047640174323,0.03314917127071823,8,0.02,0.03,2.2,3.4,120,1.2
a8_r630.0_r1260.0_s2.2_t3.4_h80_v1.5,False,11.577725076426274,63,10.398778728996655,0.008264462809917356,14,1.109254345364504,0.12396694214876033,10,0.28497897526268584,0.2983425414364641,8,0.0,0.0,2.2,3.4,80,1.5
a12_r630.02_r1260.0_s2.8_t3.4_h120_v1.5,False,11.453322275246832,61,8.620741097098703,0.008264462809917356,14,0.9036312362733688,0.15702479338842976,6,2.039218879366199,0.055248618784530384,12,0.02,0.0,2.8,3.4,120,1.5
a12_r630.0_r1260.03_s2.2_t3.4_h120_v1.5,False,11.409877402505005,63,9.930351979502696,0.008264462809917356,14,0.9975549159563925,0.17355371900826447,9,0.6999514211594282,0.2541436464088398,12,0.0,0.03,2.2,3.4,120,1.5
a8_r630.0_r1260.03_s2.2_t3.4_h80_v1.2,False,11.295149171443946,63,9.913893811691684,0.008264462809917356,14,0.9167357867269113,0.19834710743801653,9,0.6893723194752823,0.2430939226519337,8,0.0,0.03,2.2,3.4,80,1.2
a8_r630.02_r1260.0_s2.2_t3.4_h120_v1.5,False,11.22812503386756,62,8.256106311911635,0.008264462809917356,14,0.9984475553541993,0.14049586776859505,6,2.0672883484655666,0.03867403314917127,8,0.02,0.0,2.2,3.4,120,1.5
a16_r630.02_r1260.03_s2.2_t3.4_h80_v1.2,False,11.22478622381355,58,8.521358277639829,0.008264462809917356,13,0.8710797200444922,0.1487603305785124,6,1.9357225012764834,0.049723756906077346,16,0.02,0.03,2.2,3.4,80,1.2
a16_r630.0_r1260.03_s2.2_t3.4_h120_v1.2,False,11.22141087247443,58,10.240676748185477,0.008264462809917356,13,0.5782634223099529,0.2066115702479339,9,0.6563175582869295,0.292817679558011,16,0.0,0.03,2.2,3.4,120,1.2
a12_r630.02_r1260.03_s2.8_t3.4_h120_v1.2,False,11.214721951162376,61,8.761399776036875,0.008264462809917356,14,0.935085815612738,0.15702479338842976,6,1.634030158882655,0.06629834254143646,12,0.02,0.03,2.8,3.4,120,1.2
a16_r630.0_r1260.0_s2.2_t3.4_h80_v1.5,False,11.095480447711427,58,10.025078862524133,0.008264462809917356,13,0.8877526495168873,0.15702479338842976,10,0.41722726542703836,0.30386740331491713,16,0.0,0.0,2.2,3.4,80,1.5
a8_r630.0_r1260.03_s2.2_t3.4_h120_v1.5,False,11.04898630869296,63,9.403406549264519,0.008264462809917356,14,0.9680571053957954,0.10743801652892562,9,0.8431087003319019,0.2154696132596685,8,0.0,0.03,2.2,3.4,120,1.5
a8_r630.0_r1260.0_s2.8_t3.4_h80_v1.5,False,10.794063257710855,62,9.610174915404558,0.008264462809917356,14,1.4763045156991634,0.0743801652892562,10,-0.0245745223267048,0.4530386740331492,8,0.0,0.0,2.8,3.4,80,1.5
a8_r630.02_r1260.03_s2.2_t3.4_h120_v1.5,False,10.675086107896131,62,7.278040986337875,0.008264462809917356,14,1.230238254056462,0.1322314049586777,6,2.256391817960678,0.03867403314917127,8,0.02,0.03,2.2,3.4,120,1.5
a16_r630.02_r1260.0_s2.8_t2.8_h80_v1.2,False,10.604853113936256,66,8.768574655948022,0.008264462809917356,15,0.6190456481441402,0.256198347107438,9,1.399187971708849,0.09944751381215469,16,0.02,0.0,2.8,2.8,80,1.2
a16_r630.02_r1260.0_s2.2_t3.4_h80_v1.2,False,10.454779869632468,58,7.500197834316573,0.008264462809917356,13,0.8368998510656351,0.19008264462809918,6,2.227905461726172,0.022099447513812154,16,0.02,0.0,2.2,3.4,80,1.2
a16_r630.02_r1260.0_s2.2_t3.4_h80_v1.5,False,10.419841539941505,58,7.829533163517648,0.008264462809917356,13,0.7387454582278776,0.17355371900826447,6,1.9590465947404307,0.03314917127071823,16,0.02,0.0,2.2,3.4,80,1.5
a16_r630.02_r1260.03_s2.2_t3.4_h80_v1.5,False,10.411272142052677,58,7.463049034102469,0.008264462809917356,13,0.8878932275352228,0.1652892561983471,6,2.158156463676024,0.022099447513812154,16,0.02,0.03,2.2,3.4,80,1.5
a16_r630.02_r1260.03_s2.8_t3.4_h80_v1.2,False,10.247478247113131,57,7.953783456748064,0.008264462809917356,13,0.6231586908743434,0.2809917355371901,6,1.8455509389957703,0.06077348066298342,16,0.02,0.03,2.8,3.4,80,1.2
a8_r630.0_r1260.0_s2.8_t3.4_h120_v1.5,False,10.213539477872317,62,9.190899818693204,0.008264462809917356,14,1.3164487653816899,0.08264462809917356,10,-0.024597654670683134,0.44751381215469616,8,0.0,0.0,2.8,3.4,120,1.5
a8_r630.0_r1260.03_s2.8_t3.4_h120_v1.5,False,10.201131286154212,62,9.239206721655213,0.008264462809917356,14,0.8055544402817983,0.18181818181818182,9,0.4226821647632938,0.3425414364640884,8,0.0,0.03,2.8,3.4,120,1.5
