Date,Close,wealth_index,equity,bar_return,daily_return,cumulative_return,rolling_peak,drawdown,timeframe_label
2001-07-03,1245.25,0.99953,99953.0,0.0,0.0,-0.00046999999999997044,0.99953,0.0,Daily
2001-07-05,1222.25,0.9810684942782574,98106.84942782574,-0.018470186709496073,-0.018470186709496073,-0.018931505721742625,0.99953,-0.018470186709496073,Daily
2001-07-06,1193.5,0.9579916121260792,95799.16121260791,-0.023522192677439047,-0.023522192677439047,-0.042008387873920805,0.99953,-0.04155792009636616,Daily
2001-07-09,1200.75,0.9638109997992371,96381.09997992372,0.006074570590699491,0.006074570590699491,-0.03618900020076288,0.99953,-0.03573579602489463,Daily
2001-07-10,1186.5,0.9523728929933748,95237.28929933748,-0.011867582760774598,-0.011867582760774598,-0.0476271070066252,0.99953,-0.04717928126882154,Daily
2001-07-11,1185.25,0.9513695502911063,95136.95502911063,-0.0010535187526337086,-0.0010535187526337086,-0.04863044970889374,0.99953,-0.048183095763902783,Daily
2001-07-12,1214.25,0.9746471009837383,97464.71009837383,0.024467411938409622,0.024467411938409622,-0.0253528990162617,0.99953,-0.02489459947801642,Daily
2001-07-13,1225.0,0.9832758482232484,98327.58482232485,0.008853201564752,0.008853201564752,-0.016724151776751572,0.99953,-0.0162617948203172,Daily
2001-07-16,1210.5,0.9716370728769324,97163.70728769324,-0.011836734693877582,-0.011836734693877582,-0.02836292712306765,0.99953,-0.02790604296326038,Daily
2001-07-17,1220.5,0.9796638144950813,97966.38144950813,0.008261049153242439,0.008261049153242439,-0.02033618550491867,0.99953,-0.019875527002609972,Daily
2001-07-18,1212.0,0.9728410841196546,97284.10841196547,-0.006964358869315901,-0.006964358869315901,-0.027158915880345358,0.99953,-0.026701465569162863,Daily
2001-07-19,1223.0,0.9816704998996186,98167.04998996186,0.009075907590759158,0.009075907590759158,-0.01832950010038137,0.99953,-0.01786789801244726,Daily
2001-07-20,1214.75,0.9750484380646456,97504.84380646456,-0.006745707277187374,-0.006745707277187374,-0.024951561935354416,0.99953,-0.02449307367998399,Daily
2001-07-23,1192.0,0.9567876008833568,95678.76008833568,-0.018728133360773724,-0.018728133360773724,-0.04321239911664321,0.99953,-0.04276249749046379,Daily
2001-07-24,1178.5,0.9459514996988557,94595.14996988558,-0.011325503355704702,-0.011325503355704702,-0.054048500301144276,0.99953,-0.05360369403734189,Daily
2001-07-25,1191.5,0.9563862638024493,95638.62638024492,0.011030971574034654,0.011030971574034654,-0.04361373619755071,0.99953,-0.043164023288496334,Daily
2001-07-26,1205.25,0.9674230335274042,96742.30335274042,0.011540075535039884,0.011540075535039884,-0.03257696647259578,0.99953,-0.032122063842601856,Daily
2001-07-27,1210.0,0.971235735796025,97123.5735796025,0.003941091059946,0.003941091059946,-0.028764264203975043,0.99953,-0.028307568761292923,Daily
2001-07-30,1209.75,0.9710350672555712,97103.50672555712,-0.00020661157024792765,-0.00020661157024792765,-0.028964932744428795,0.99953,-0.028508331660309194,Daily
2001-07-31,1215.25,0.9754497751455531,97544.97751455531,0.004546393883033684,0.004546393883033684,-0.02455022485444691,0.99953,-0.024091547881951447,Daily
2001-08-01,1221.5,0.9804664886568962,98046.64886568963,0.005142974696564551,0.005142974696564551,-0.01953351134310377,0.99953,-0.019072475406544886,Daily
2001-08-02,1226.0,0.9840785223850633,98407.85223850633,0.003683995088006542,0.003683995088006542,-0.015921477614936674,0.99953,-0.015458743224252114,Daily
2001-08-03,1219.75,0.9790618088737202,97906.18088737201,-0.005097879282218609,-0.005097879282218609,-0.020938191126279815,0.99953,-0.020477815699658675,Daily
2001-08-06,1203.0,0.9656170166633206,96561.70166633205,-0.013732322197171687,-0.013732322197171687,-0.03438298333667944,0.99953,-0.0339289299337483,Daily
2001-08-07,1207.75,0.9694297189319414,96942.97189319415,0.00394846217788869,0.00394846217788869,-0.03057028106805859,0.99953,-0.030114434852439254,Daily
2001-08-08,1185.5,0.9515702188315599,95157.02188315599,-0.01842268681432424,-0.01842268681432424,-0.0484297811684401,0.99953,-0.04798233286488662,Daily
2001-08-09,1187.75,0.9533762356956436,95337.62356956436,0.001897933361451054,0.001897933361451054,-0.04662376430435644,0.99953,-0.04617546677374018,Daily
2001-08-10,1191.25,0.9561855952619956,95618.55952619956,0.0029467480530414036,0.0029467480530414036,-0.04381440473800435,0.99953,-0.043364786187512494,Daily
2001-08-13,1192.5,0.9571889379642642,95718.89379642642,0.0010493179433368471,0.0010493179433368471,-0.042811062035735814,0.99953,-0.04236097169243125,Daily
2001-08-14,1192.25,0.9569882694238104,95698.82694238104,-0.00020964360587005793,-0.00020964360587005793,-0.043011730576189566,0.99953,-0.04256173459144752,Daily
2001-08-15,1181.0,0.9479581851033929,94795.81851033929,-0.009435940448731306,-0.009435940448731306,-0.052041814896607086,0.99953,-0.051596065047179285,Daily
2001-08-16,1184.75,0.9509682132101989,95096.82132101989,0.0031752751905165244,0.0031752751905165244,-0.049031786789801135,0.99953,-0.048584621561935326,Daily
