agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,RCSI,RCSI_z,simulation_count,bh_adjusted_p_value,research_grade
trend_momentum_verification,1.5649179200175771,0.4703661773157028,0.6628563835681679,0.92094512376404,86.40679660169916,0.9020615364494092,0.9794954261363036,2000,0.736631684157921,False
turn_of_month_seasonality,0.6339336188815473,0.1542882207541682,0.2624710610740506,0.5495439089131109,80.45977011494253,0.3714625578074967,0.6759470022007452,2000,0.736631684157921,False
connors_rsi2_pullback,0.2985548513384536,0.0781561728026526,0.1039868560744609,0.25294297223481,79.960019990005,0.1945679952639927,0.7692168457772881,2000,0.736631684157921,False
trend_pullback,0.5758884257260014,0.2984037552875574,0.4254275110990593,0.6388965009644045,66.16691654172914,0.1504609146269421,0.23550123439371423,2000,0.7476261869065467,False
uptrend_oversold_reversion,0.1533056310979816,0.0845079585199986,0.1055163675014187,0.2605530610298321,60.41979010494752,0.047789263596562895,0.1834147079588186,2000,0.7476261869065467,False
breakout_volume_momentum,0.4011181857222808,0.2617453649541075,0.3546416578083161,0.546033397215294,59.2703648175912,0.04647652791396473,0.08511663966158398,2000,0.7476261869065467,False
mean_reversion_vol_filter,-0.0830596716487686,0.0081425087197694,0.0056808115767433,0.0498701802015807,4.897551224387806,-0.0887404832255119,-1.779429768787945,2000,0.9515242378810594,False
volatility_squeeze_breakout,-0.1375777462422845,0.0791273118711914,0.0937421885725312,0.2177846649083742,13.893053473263366,-0.2313199348148157,-1.0621497841096206,2000,0.9477261369315342,False
adx_trend_following,0.8506941182423311,1.0172124997521943,1.237884173686229,1.1500431526202215,43.92803598200899,-0.38719005544389784,-0.3366743713587933,2000,0.8819161847647604,False
donchian_trend_reentry,0.0909622734173113,0.4167555868065075,0.5646198648559175,0.7982478119098793,29.68515742128935,-0.4736575914386062,-0.5933716126391102,2000,0.9477261369315342,False
random,0.2499236917135118,1.055374170728733,1.4375543378003812,1.5824688871307966,18.990504747626183,-1.1876306460868693,-0.7504922565903865,2000,0.9477261369315342,False
