candidate_id,candidate_name,candidate_family,ticker,seed_runs,trade_count_median,RCSI_z_mean,RCSI_z_std,p_value_mean,p_value_std,percentile_mean,share_p_le_0_20,share_rcsi_z_ge_0_5
cand_ma_cross_50_200,50/200 Moving-Average Crossover,trend_following,BTC-USD,2,2.0,0.6337319764975852,0.13610443139384573,0.2231404958677686,0.024793388429752067,78.51239669421489,0.5,0.5
cand_ma_cross_50_200,50/200 Moving-Average Crossover,trend_following,EURUSD=X,2,4.0,-1.8593928820320937,0.1472392670310495,0.9834710743801653,0.01652892561983471,2.479338842975207,0.0,0.0
cand_ma_cross_50_200,50/200 Moving-Average Crossover,trend_following,NQ=F,2,1.0,0.5902275148265126,0.028170001646706855,0.30165289256198347,0.037190082644628086,70.6611570247934,0.0,1.0
cand_ma_cross_50_200,50/200 Moving-Average Crossover,trend_following,QQQ,2,1.0,0.6265053810276432,0.08569955949990726,0.29338842975206614,0.037190082644628114,71.48760330578513,0.0,1.0
cand_ma_cross_50_200,50/200 Moving-Average Crossover,trend_following,SPY,2,3.0,0.46540605323337275,0.037885173666597216,0.3553719008264463,0.008264462809917356,65.28925619834712,0.0,0.5
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,BTC-USD,2,19.0,-1.063842407491149,0.0932531650774065,0.8719008264462811,0.04545454545454547,13.636363636363637,0.0,0.0
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,EURUSD=X,2,16.0,0.09298108819680674,0.015494797647776795,0.4132231404958678,0.01652892561983471,59.50413223140495,0.0,0.0
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,NQ=F,2,25.0,-0.025359186102415707,0.15482599237305328,0.5206611570247934,0.04132231404958678,48.760330578512395,0.0,0.0
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,QQQ,2,22.0,-0.7044222922359333,0.09744190416286591,0.7396694214876033,0.02892561983471076,26.859504132231407,0.0,0.0
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,SPY,2,13.0,-1.1825706530778215,0.03772841587777864,0.9132231404958677,0.0041322314049587194,9.50413223140496,0.0,0.0
existing_trend_pullback,Existing Strategy: Trend + Pullback,existing_production,BTC-USD,2,13.0,-1.1763542693583515,0.09305543472270095,0.9090909090909092,0.008264462809917383,9.917355371900827,0.0,0.0
existing_trend_pullback,Existing Strategy: Trend + Pullback,existing_production,EURUSD=X,2,12.0,0.21944087819530664,0.032156887447616994,0.3884297520661157,0.01652892561983471,61.98347107438016,0.0,0.0
existing_trend_pullback,Existing Strategy: Trend + Pullback,existing_production,NQ=F,2,24.0,-0.2420048272466404,0.06627862224349025,0.5826446280991735,0.04545454545454547,42.561983471074385,0.0,0.0
existing_trend_pullback,Existing Strategy: Trend + Pullback,existing_production,QQQ,2,24.0,-0.1657968819350829,0.07454591922256594,0.5082644628099173,0.02892561983471073,50.0,0.0,0.0
existing_trend_pullback,Existing Strategy: Trend + Pullback,existing_production,SPY,2,28.0,0.13589661901501382,0.010697147310855401,0.4421487603305785,0.004132231404958692,56.611570247933884,0.0,0.0
