agent,skill_luck_verdict,evidence_label,confidence_label,final_classification,stability_classification,verdict_reason,cumulative_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,RCSI,RCSI_z,p_value,p_value_prominence,actual_percentile,number_of_trades,number_of_periods,transaction_cost,signal_count,trades_per_month,average_holding_bars,average_holding_hours,activity_status,activity_warning
trend_pullback,Negative Skill,Negative Skill,Low,negative skill,not available,The result is worse than the random null on all three metrics. p=0.790; percentile=21.0; RCSI_z=-0.828.,-0.17499853914874652,-2.8030852499422463,-0.27254216726395175,-0.17740568148575453,-0.0294818138624424,-0.8279660144396901,0.7904,0.1021530684204283,20.96,322,17018,0.00047,322.0,9.90612760581175,3.987577639751553,5.217391304347826,acceptable,Trade activity is in a reasonable range for 1-hour research and null-hypothesis testing.
breakout_volume_momentum,Negative Skill,Negative Skill,Low,negative skill,not available,The result is worse than the random null on all three metrics. p=0.881; percentile=11.9; RCSI_z=-1.163.,-0.1644678744847583,-1.6002629547268836,-0.18565717189097483,-0.16522129767594018,-0.0561145396034864,-1.1634241022114715,0.881,0.05502409158795209,11.9,230,17018,0.00047,230.0,6.988395308210631,10.265217391304349,14.73913043478261,acceptable,Trade activity is in a reasonable range for 1-hour research and null-hypothesis testing.
mean_reversion_vol_filter,Weak Skill,Weak Skill,Low,weak skill,not available,"There is some evidence of edge, but it remains modest. p=0.215; percentile=78.5; RCSI_z=0.793.",-0.04896527962069097,-0.9185447473718966,-0.1137533927694223,-0.05413068166699242,0.0233565086719811,0.7927243071938981,0.2152,0.6671577330056484,78.48,148,17018,0.00047,152.0,4.5916079164189245,5.195945945945946,6.513513513513513,acceptable,Trade activity is in a reasonable range for 1-hour research and null-hypothesis testing.
momentum_relative_strength,Negative Skill,Negative Skill,Low,negative skill,not available,The result is worse than the random null on all three metrics. p=0.940; percentile=6.0; RCSI_z=-1.492.,-0.2574555747275956,-1.924872354314694,-0.1724024777338343,-0.2765867841205242,-0.0856537312311861,-1.4918766931305656,0.9402,0.02677975314776622,5.9799999999999995,410,16780,0.00047,414.0,12.554703219315895,14.034146341463414,15.721951219512196,acceptable,Trade activity is in a reasonable range for 1-hour research and null-hypothesis testing.
random,Negative Skill,Negative Skill,Low,negative skill,not available,The result is worse than the random null on all three metrics. p=0.952; percentile=4.8; RCSI_z=-1.604.,-0.2689803040200426,-2.4031312241660054,-0.2238302196008914,-0.27780424456093833,-0.0970051934122226,-1.6042917213004504,0.952,0.021363051615525673,4.8,367,17018,0.00047,367.0,11.151048165710009,12.302452316076296,18.16893732970027,acceptable,Trade activity is in a reasonable range for 1-hour research and null-hypothesis testing.
buy_and_hold,Benchmark,Benchmark Reference,Not Applicable,benchmark,not_applicable,Passive benchmark included for strategy context; not evaluated against the Monte Carlo skill-vs-luck null.,-0.0687623411820479,-0.2138508317469211,,-0.1403295473497713,,,,,,,17138,0.00047,,,,,,
