agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,RCSI,RCSI_z
breakout,133.07424761689495,46.93180725745813,118.989524797427,278.2874717034242,77.78,86.14244035943682,0.050612134039861804
mean_reversion,-0.6599661918161734,2.830151490958581,6.431485040291232,12.083558340724252,1.5,-3.4901176827747546,-0.5868677944151313
random,-0.6361267542695042,18.517362108703573,47.60116570375002,106.03315738589836,0.18,-19.153488862973077,-0.454926493252145
trend,6.795205452637055,57.617352328082575,153.5307968852515,332.47727529183135,7.62,-50.82214687544552,-0.44134021281249236
momentum,43.39348963575718,108.21318459203454,278.7887658854307,642.1680309020041,24.22,-64.81969495627736,-0.3665633680316222
