agent,mean_mean_actual_cumulative_return,median_mean_actual_cumulative_return,std_mean_actual_cumulative_return,min_mean_actual_cumulative_return,max_mean_actual_cumulative_return,p25_mean_actual_cumulative_return,p75_mean_actual_cumulative_return,mean_mean_annualized_return,median_mean_annualized_return,std_mean_annualized_return,min_mean_annualized_return,max_mean_annualized_return,p25_mean_annualized_return,p75_mean_annualized_return,mean_mean_annualized_sharpe,median_mean_annualized_sharpe,std_mean_annualized_sharpe,min_mean_annualized_sharpe,max_mean_annualized_sharpe,p25_mean_annualized_sharpe,p75_mean_annualized_sharpe,mean_mean_trade_level_return_ratio,median_mean_trade_level_return_ratio,std_mean_trade_level_return_ratio,min_mean_trade_level_return_ratio,max_mean_trade_level_return_ratio,p25_mean_trade_level_return_ratio,p75_mean_trade_level_return_ratio,mean_mean_max_drawdown,median_mean_max_drawdown,std_mean_max_drawdown,min_mean_max_drawdown,max_mean_max_drawdown,p25_mean_max_drawdown,p75_mean_max_drawdown,mean_mean_p_value,median_mean_p_value,std_mean_p_value,min_mean_p_value,max_mean_p_value,p25_mean_p_value,p75_mean_p_value,mean_mean_p_value_prominence,median_mean_p_value_prominence,std_mean_p_value_prominence,min_mean_p_value_prominence,max_mean_p_value_prominence,p25_mean_p_value_prominence,p75_mean_p_value_prominence,mean_mean_actual_percentile,median_mean_actual_percentile,std_mean_actual_percentile,min_mean_actual_percentile,max_mean_actual_percentile,p25_mean_actual_percentile,p75_mean_actual_percentile,mean_mean_RCSI,median_mean_RCSI,std_mean_RCSI,min_mean_RCSI,max_mean_RCSI,p25_mean_RCSI,p75_mean_RCSI,mean_mean_RCSI_z,median_mean_RCSI_z,std_mean_RCSI_z,min_mean_RCSI_z,max_mean_RCSI_z,p25_mean_RCSI_z,p75_mean_RCSI_z,panel_count,mean_proportion_significant_runs,mean_proportion_outperforming_null_runs,proportion_significant_panels,proportion_positive_rcsi_z_panels,stability_classification,evidence_bucket,confidence_score,evaluation_power_score,confidence_bucket,evaluation_power_label,evidence_label,confidence_label,skill_luck_verdict,verdict_label,final_classification,number_of_outer_runs,simulations_per_run,test_bars,step_bars,min_trades_per_panel,transaction_cost,null_model,execution_cost_model
trend_pullback,-0.0078123740369266115,-0.01011261259199936,0.015258717789749947,-0.024655564047224465,0.013631293083516738,-0.020808073210846934,0.002883086581920963,-0.08010350370678845,-0.12225406762867991,0.19157679948526177,-0.2772471778115708,0.20134129824177682,-0.24515043262392208,0.04279286128845372,-1.484284284702765,-2.452291667812597,3.64844704794548,-4.928522264243668,3.8959684610578016,-4.794774575675236,0.858198623159874,-0.24302028013181093,-0.3248911240160691,0.5190874838009562,-0.8171321895136313,0.49483331701852573,-0.6793413886139499,0.11142998446606987,-0.016836770815614077,-0.01812921444000526,0.007073398625982777,-0.024655564047224465,-0.006433090335221325,-0.022537876554765773,-0.012428108700853563,0.75,0.9166666666666667,0.34359213546813844,0.16666666666666666,1.0,0.6666666666666667,1.0,0.2143331241078171,0.0395906230238124,0.3271216462724589,0.0,0.7781512503836436,0.0,0.2539237471316295,41.666666666666664,24.999999999999996,34.35921354681384,16.666666666666664,100.0,16.666666666666664,50.0,-0.008458918340118433,-0.01230620586970604,0.009244548647181156,-0.016229605952482518,0.007006344331420863,-0.015175920178718477,-0.005589204031105997,-0.09882412205561153,-1.049533259475231,1.9892373401473784,-1.607431580422557,3.311201611150573,-1.369937539723788,0.2215801581929454,4,0.0,0.25,0.0,0.25,unstable,mixed_inconclusive,0.05,0.012909944487358056,low,Low,Mixed Evidence,Low,inconclusive,Inconclusive,mixed evidence,1,5,126,63,5,0.00047,structure_preserving_random_timing,stochastic_execution_model
momentum_relative_strength,-0.0035118411657885113,-0.004042341002654881,0.033788758629298775,-0.07951770822337534,0.07687000164063118,-0.026899260187189244,0.016198113201723707,0.053295288230475135,-0.05340070421690546,0.5256152221966214,-0.6889281887349032,1.727534016736826,-0.30887948468714355,0.2502985203960104,-0.6315149944875165,-0.4647659348578356,3.6658918574860855,-8.230856348939065,7.745540688464026,-3.048228394409363,1.8643140965816924,-0.15917134093703206,-0.04874537829783082,0.6374812944905213,-3.702040492474087,0.8894940237699289,-0.4076818860326281,0.1716641924520171,-0.03825370654935514,-0.035874007776186545,0.01647659680534232,-0.08342171089813455,-0.013176401732727494,-0.04630748189584544,-0.025384349439104392,0.8357487922705313,0.8333333333333334,0.21327285076950833,0.16666666666666666,1.0,0.8333333333333334,1.0,0.10034019860855266,0.0791812460476248,0.16006502359006985,0.0,0.7781512503836436,0.0,0.0791812460476248,33.09178743961352,33.33333333333333,21.327285076950833,16.666666666666664,100.0,16.666666666666664,33.33333333333333,-0.028450966778629166,-0.02652261241444733,0.027183722708442434,-0.1142976429900838,0.035763604571364994,-0.045524446188828664,-0.012252704710841208,-1.75152983941158,-1.4983819751533596,2.139763069046055,-9.844817668370176,2.1385509635785267,-2.1752417006246336,-0.7508441264884793,69,0.0,0.15942028985507245,0.0,0.14492753623188406,unstable,likely_random,0.052000000000000005,0.012909944487358056,low,Low,Likely Random,Low,luck,Luck,likely random,1,5,126,63,5,0.00047,structure_preserving_random_timing_shared_calendar,stochastic_execution_model
random,0.01768690946581967,0.005806220122350325,0.02411032342340145,-0.005483940041888236,0.05194958844874753,-0.0007080293410858252,0.039643665509779547,0.34101480654877175,0.07989224766628755,0.4668426444204639,-0.07179685117865531,1.0393060446241207,-0.007886073101497554,0.7369285598205839,2.5486107776940545,1.5483931047348465,3.7918153485225954,-0.37779144691555044,10.736331175785335,0.07900987176313784,2.072440726472922,0.3241230380993792,0.2364171352897432,0.3775506901464341,-0.09633936842262913,0.9744656769209561,0.0168682153143545,0.5466735894693637,-0.030256285122497135,-0.01598748548148954,0.029672059099605016,-0.09218877023687277,-0.006061151313040414,-0.03426012160245584,-0.012218234804856842,0.47222222222222215,0.41666666666666663,0.3251305530755451,0.16666666666666666,1.0,0.16666666666666666,0.6666666666666666,0.44777271154371556,0.47712125471966244,0.3355522714454598,0.0,0.7781512503836436,0.17609125905568127,0.7781512503836436,69.44444444444444,75.0,32.51305530755452,16.666666666666664,100.0,50.0,100.0,0.014193791642893153,0.011718689617225274,0.03513176661040017,-0.040123713889606,0.07877240619892903,0.003270686590864994,0.019896166952936643,0.9031696929367765,0.8109242547902304,1.8765259403956802,-2.346212381419991,3.5257917408958184,0.17095806299207136,2.1976967808263224,6,0.0,0.5,0.0,0.8333333333333334,unstable,positive_inconclusive,0.05,0.012909944487358056,low,Low,Positive but Inconclusive,Low,inconclusive,Inconclusive,positive but inconclusive,1,5,126,63,5,0.00047,structure_preserving_random_timing,stochastic_execution_model
