Date,Open,High,Low,Close,Volume,daily_return,ma_20,ma_50,ma_100,ma_200,std_20,price_std_20,realized_vol_20_ann,avg_volume_20,volume_ratio_20,rsi_14,true_range,atr_14,atr_percent,bollinger_mid,bollinger_std,bollinger_upper,bollinger_lower,bollinger_width,macd_line,macd_signal,macd_hist,rolling_high_20_prev,rolling_low_10_prev,rolling_low_5_prev,trailing_return_20,trailing_return_126,trailing_return_63,trailing_return_60,trailing_return_5,atr_percent_median_60,atr_percent_ratio_60,bollinger_width_median_60,bollinger_width_ratio_60,distance_from_ma_20,distance_from_ma_50,ma_50_over_ma_200,zscore_20,regime
2018-06-28,21.040637417696153,21.23279009393232,20.97818752304384,21.194358825683594,972000,0.004553781486472,22.113325214385988,22.403570938110352,22.864928073883057,22.8881641292572,0.008898163137692,0.5571349998499135,0.1412539607256927,913220.0,1.0643656512121942,30.430815218396276,0.2546025708884798,0.2742844728281955,0.0129413904465849,22.113325214385988,0.5571349998499135,23.227595214085817,20.99905521468616,0.1007781497262051,-0.3589184800136529,-0.2472794436681313,-0.1116390363455216,22.77481017732932,21.09828186035156,21.09828186035156,-0.0507744911706322,-0.0776820760550639,-0.0880530284216596,-0.0564583908260697,-0.0269079768698656,0.0128789970817309,1.0048445825756496,0.066180974565262,1.522766178470616,-0.0415571326244753,-0.0539740792111755,-0.02117221758854,-1.6494501134374149,neutral
2018-06-29,21.232788859044515,21.300041742064664,21.13671252651418,21.146320343017575,450500,-0.0022665692820018,22.043670177459717,22.35956813812256,22.8362974357605,22.892063722610473,0.0084618618135631,0.5858537535517362,0.134327891923693,893100.0,0.5044227969992162,29.783194805743193,0.1633292155504833,0.266359097308359,0.0125960021879792,22.043670177459717,0.5858537535517362,23.21537768456319,20.871962670356243,0.1063078423575379,-0.3751362095562918,-0.2728507968457634,-0.1022854127105283,22.77481017732932,20.97818752304384,20.97818752304384,-0.0618072990200344,-0.0771488339420742,-0.0677679243058729,-0.0634041760888637,-0.0299692308069208,0.0128219711363131,0.9823764266873192,0.066180974565262,1.606320291531914,-0.0407078234803072,-0.0542607883842095,-0.0232611437282506,-1.5316959719076002,neutral
2018-07-02,20.867696148091564,21.079064415631947,20.81005108990026,21.05984878540039,908800,-0.0040892011571997,21.962005424499512,22.31844753265381,22.807954959869384,22.895146675109864,0.008147433937563,0.6032080180439883,0.1293365041327168,905235.0,1.003938203891807,28.603173505780873,0.3362692531173152,0.2713526798661416,0.0128848351491609,21.962005424499512,0.6032080180439883,23.16842146058749,20.755589388411536,0.1098639229678151,-0.3904653673890017,-0.2963737109544111,-0.0940916564345906,22.77481017732932,20.97818752304384,20.97818752304384,-0.071973062453946,-0.0751056287296741,-0.0766641105384677,-0.0448804939959807,-0.0103838909870701,0.0128219711363131,1.0049028353113196,0.066180974565262,1.6600529637029853,-0.0410780628481554,-0.0563927551596938,-0.0251887070495601,-1.4955978901350298,neutral
2018-07-03,21.098282537956088,21.175145074637115,21.03102965086392,21.05024528503418,497800,-0.0004560099392958,21.879380226135257,22.280977783203124,22.78970052719116,22.897461109161377,0.0081274441432915,0.6092316852405605,0.1290191759863078,892310.0,0.5578778675572391,28.46827081517796,0.1441154237731936,0.262264304430931,0.012458966671395,21.879380226135257,0.6092316852405605,23.097843596616375,20.660916855654133,0.1113800626788914,-0.3987917347527983,-0.3168573157140886,-0.0819344190387096,22.77481017732932,20.81005108990026,20.81005108990026,-0.0727887159796883,-0.0870833403988947,-0.0628741131966527,-0.0432313879727453,-0.016606780949258,0.012697341261479,0.9812264169974568,0.066180974565262,1.6829619601485002,-0.0378957233948821,-0.0552369159982176,-0.0269236542435525,-1.3609517712029096,neutral
2018-07-05,20.7235914563855,20.81966781616211,20.62751509660889,20.81966781616211,1357700,-0.0109536713586896,21.789069080352785,22.24254741668701,22.7681795501709,22.897710008621218,0.0082770162043835,0.62553398475767,0.1313935588467042,922065.0,1.4724558463882698,25.373942851476414,0.422730188425291,0.273726153287671,0.0131474793788582,21.789069080352785,0.62553398475767,23.04013704986812,20.53800111083744,0.1148344580396441,-0.4191642510332869,-0.3373187027779283,-0.0818455482553586,22.77481017732932,20.81005108990026,20.81005108990026,-0.0798299141925008,-0.1151488945828039,-0.077872007255711,-0.0798299141925008,-0.0132055323762182,0.012697341261479,1.035451367976137,0.066180974565262,1.7351581597881158,-0.0444902561286926,-0.0639710719221583,-0.0286125814191695,-1.5497179814558206,neutral
2018-07-06,20.89652866460149,21.079073566037103,20.87731302602845,21.031034469604492,749000,0.0101522586867741,21.71364974975586,22.21506977081299,22.74444877624512,22.89843933105469,0.0088428874562104,0.6214371311156321,0.1403764864851932,904540.0,0.8280451942423773,32.605532687813636,0.2594057498749933,0.2727032673296226,0.0129667072593957,21.71364974975586,0.6214371311156321,22.956524011987124,20.470775487524595,0.1144786138263319,-0.4134876660663771,-0.352552495435618,-0.060935170630759,22.77481017732932,20.62751509660889,20.62751509660889,-0.0669221541441301,-0.1187599282496645,-0.0461872989663896,-0.0767606203995839,-0.0077060295818518,0.012697341261479,1.021214362311733,0.066180974565262,1.7297813242904554,-0.0314371507332176,-0.053298743304607,-0.0298434993914593,-1.0984462401303656,neutral
2018-07-09,21.1463209729572,21.24239730834961,21.136713156167595,21.24239730834961,705400,0.0100500448064309,21.646877098083497,22.18912929534912,22.72561790466309,22.89964906692505,0.0092617354988769,0.5962275831678967,0.1470254930333223,909000.0,0.776017601760176,38.9740015305075,0.2113628387451172,0.2683218081450151,0.0126314278115656,21.646877098083497,0.5962275831678967,22.83933226441929,20.454421931747703,0.1101734130916618,-0.3874672358241291,-0.3595354435133203,-0.0279317923108088,22.77481017732932,20.62751509660889,20.62751509660889,-0.0591488123639046,-0.119824874364949,-0.0344977593543445,-0.0706178410187314,0.0045434365777854,0.0126137149997724,1.0014042501985772,0.066180974565262,1.6647293850745315,-0.0186853645401672,-0.0426664775529497,-0.0310275397452339,-0.6783983182810692,neutral
2018-07-10,21.405725038793296,21.521015167236328,21.39611722267245,21.521015167236328,748700,0.0131161212570487,21.585388278961183,22.173757095336914,22.706306591033936,22.903981103897095,0.0096442037707895,0.5399695931369944,0.1530969886244437,902485.0,0.8295982758716212,46.19208570433495,0.2786178588867187,0.2690572403408511,0.0125020701045025,21.585388278961183,0.5399695931369944,22.665327465235173,20.505449092687194,0.1000620579363479,-0.3404393517536341,-0.355716225161383,0.0152768734077489,22.77481017732932,20.62751509660889,20.62751509660889,-0.0540542239930744,-0.1146245946322593,-0.04883235659853,-0.057635896931356,0.0218978961594271,0.0125797295141338,0.9938266232557624,0.066180974565262,1.5119459722926147,-0.0029822540550543,-0.0294375881044469,-0.0318819686956489,-0.1192161791016313,neutral
2018-07-11,21.184750378836913,21.290434530875377,21.08867587607868,21.09828186035156,731200,-0.0196428144118563,21.506606101989743,22.151851806640625,22.679117069244384,22.90643963813782,0.0103263649303386,0.4878304111949642,0.1639259613178486,915545.0,0.7986499844355002,38.71072558747221,0.4323392911576498,0.2807202439706224,0.0133053603998986,21.506606101989743,0.4878304111949642,22.482266924379676,20.530945279599816,0.090731268128788,-0.3334368077831868,-0.3512603416857438,0.0178235339025569,22.750786089304817,20.62751509660889,20.62751509660889,-0.0694914317502334,-0.1347518096637583,-0.073808533596493,-0.0780856851439423,0.0022819959894495,0.0125797295141338,1.0576825507217391,0.066180974565262,1.3709569664816066,-0.0189859915461235,-0.0475612583311535,-0.03294217012411,-0.8370208832163152,stressed
2018-07-12,21.203968165720184,21.30965232849121,21.14632309171047,21.30965232849121,609700,0.0100183735120567,21.44463710784912,22.135326805114747,22.65404125213623,22.910051107406616,0.0107252370622644,0.4263159434358953,0.1702578601137885,893310.0,0.6825178269581669,43.62710979419861,0.211370468139652,0.2757666885541245,0.0129409285662263,21.44463710784912,0.4263159434358953,22.297268994720913,20.59200522097733,0.0795193579246638,-0.307289172652375,-0.34246610787907,0.035176935226695,22.712361453247706,20.62751509660889,20.62751509660889,-0.0549637727774057,-0.131558283189049,-0.0676753475273325,-0.0800497243046352,0.0235346940525502,0.0125797295141338,1.0287127836641214,0.066180974565262,1.2015440758771023,-0.0062945704643565,-0.0373012101376678,-0.0338159133150692,-0.3166308495760219,stressed
