agent,regime_at_entry,total_trades,min_trades_required,meets_min_trade_threshold,average_return,median_return,win_rate,std_return,trade_level_return_ratio,plot_trade_level_return_ratio
trend_pullback,calm,31,20,True,-0.00425959333680465,-0.0047603846417919,0.41935483870967744,0.01839543488796404,-0.23155708808991854,-0.23155708808991854
trend_pullback,neutral,33,20,True,0.003130967927417633,-0.0039570865061266,0.3939393939393939,0.03189929909599901,0.09815162138814316,0.09815162138814316
trend_pullback,stressed,47,20,True,0.004794007016519094,-0.0060478443005284,0.3829787234042553,0.03728780887605811,0.12856767831153648,0.12856767831153648
breakout_volume_momentum,calm,15,20,False,-0.0003518672936072928,-0.0108469202644254,0.4666666666666667,0.03137573338871171,-0.011214631678821148,
breakout_volume_momentum,neutral,34,20,True,0.0015834747913636017,-0.01187339728835625,0.35294117647058826,0.051740346564107795,0.030604255605470875,0.030604255605470875
breakout_volume_momentum,stressed,40,20,True,0.010152618271481761,-0.00366470979174335,0.475,0.05162354311868464,0.19666643663222566,0.19666643663222566
mean_reversion_vol_filter,calm,18,20,False,-0.011007429491230063,-0.0226353512879732,0.2222222222222222,0.027404626461103452,-0.4016631829247289,
mean_reversion_vol_filter,neutral,8,20,False,0.001742236699964989,-0.0221038251050783,0.375,0.038137314272696725,0.04568325623318188,
mean_reversion_vol_filter,stressed,10,20,False,0.0027772106672777196,-0.02017654368421725,0.4,0.044040772010744626,0.06305999056056882,
volatility_managed_tsmom,calm,25,20,True,-0.001714399801829176,-0.0075543246032197,0.28,0.01582133358473051,-0.1083600059784959,-0.1083600059784959
volatility_managed_tsmom,neutral,30,20,True,0.005673706846658377,-0.00186962534840325,0.4666666666666667,0.02266835661701065,0.25029193525218973,0.25029193525218973
volatility_managed_tsmom,stressed,28,20,True,0.002042720409363923,-0.0042444557221588,0.39285714285714285,0.026653107062956632,0.07664098615365424,0.07664098615365424
momentum_relative_strength,calm,97,20,True,-0.000865447946276621,-0.0024478979823909,0.41237113402061853,0.024083136339570384,-0.0359358488061468,-0.0359358488061468
momentum_relative_strength,neutral,106,20,True,0.0035805871500050705,-0.00362694783080015,0.42452830188679247,0.0404574358574199,0.0885025724967785,0.0885025724967785
momentum_relative_strength,stressed,150,20,True,6.178534578099951e-05,-0.00178096186138965,0.47333333333333333,0.04224804934263509,0.0014624425681743405,0.0014624425681743405
random,calm,45,20,True,-0.010597419137560047,-0.0084022597563622,0.4444444444444444,0.05344662595999645,-0.19828041428643162,-0.19828041428643162
random,neutral,34,20,True,-0.005191729143985072,-0.013022818353445199,0.38235294117647056,0.07325347592127118,-0.07087348523317662,-0.07087348523317662
random,stressed,42,20,True,0.011771601359736034,0.01417611189390855,0.5714285714285714,0.060712578417948325,0.19389065110527445,0.19389065110527445
