ticker,random_runs,mean_percentile,mean_p_value,legacy_random_luck_rate,legacy_weak_skill_rate,legacy_moderate_or_strong_skill_rate,legacy_negative_skill_rate,recalibrated_random_luck_rate,recalibrated_weak_skill_rate,recalibrated_moderate_or_strong_skill_rate,recalibrated_negative_skill_rate
SPY,30,55.21811521811521,0.4488178488178489,0.23333333333333334,0.3333333333333333,0.1,0.3333333333333333,0.9333333333333333,0.0,0.03333333333333333,0.03333333333333333
QQQ,30,55.20479520479521,0.448951048951049,0.43333333333333335,0.2,0.13333333333333333,0.23333333333333334,0.9333333333333333,0.0,0.03333333333333333,0.03333333333333333
BTC-USD,30,44.472194472194474,0.5562770562770563,0.3333333333333333,0.13333333333333333,0.1,0.43333333333333335,0.9666666666666667,0.0,0.03333333333333333,0.0
