Date,Close,wealth_index,equity,daily_return,cumulative_return,rolling_peak,drawdown
2005-04-01,11.47488784790039,1.0,100000.0,0.0,0.0,1.0,0.0
2005-04-04,11.527228355407717,1.0045613088512149,100456.13088512149,0.0045613088512148625,0.0045613088512148625,1.0045613088512149,0.0
2005-04-05,11.49792194366455,1.002007348225924,100200.73482259239,-0.002542364117339435,0.002007348225923966,1.0045613088512149,-0.002542364117339435
2005-04-06,11.569103240966797,1.008210572017368,100821.0572017368,0.006190796706657897,0.008210572017367967,1.008210572017368,0.0
2005-04-07,11.62353229522705,1.012953891079106,101295.38910791061,0.004704690858623906,0.01295389107910605,1.012953891079106,0.0
2005-04-08,11.648659706115724,1.0151436650639796,101514.36650639796,0.002161770643420713,0.015143665063979572,1.0151436650639796,0.0
2005-04-11,11.640284538269045,1.014413795808812,101441.3795808812,-0.000718981244020922,0.014413795808811969,1.0151436650639796,-0.000718981244020922
2005-04-12,11.6298189163208,1.0135017501237502,101350.17501237502,-0.0008990864367479645,0.013501750123750211,1.0151436650639796,-0.0016174212544840527
2005-04-13,11.608880043029783,1.0116769938761458,101167.69938761459,-0.0018004470612720258,0.011676993876145847,1.0151436650639796,-0.0034149562344116813
2005-04-14,11.489548683166504,1.0012776451901266,100127.76451901266,-0.01027931716246222,0.0012776451901266306,1.0151436650639796,-0.013659169978644359
2005-04-15,11.15247631072998,0.9719028594053403,97190.28594053403,-0.02933730312056304,-0.02809714059465973,1.0151436650639796,-0.0425957498891687
2005-04-18,11.12735652923584,0.9697137502979483,96971.37502979483,-0.002252394965409854,-0.030286249702051737,1.0151436650639796,-0.0447522024019803
2005-04-19,11.261346817016602,0.9813905779547238,98139.05779547238,0.012041520142606954,-0.01860942204527616,1.0151436650639796,-0.03324956680602287
2005-04-20,11.041521072387695,0.9622334630841738,96223.34630841739,-0.019520377819883472,-0.03776653691582621,1.0151436650639796,-0.05212090051950535
2005-04-21,11.407896995544434,0.9941619601651954,99416.19601651955,0.03318165321197997,-0.005838039834804576,1.0151436650639796,-0.02066870495365969
2005-04-22,11.368117332458496,0.9906952889773619,99069.52889773619,-0.0034870285997036232,-0.00930471102263808,1.0151436650639796,-0.024083661188071148
2005-04-25,11.476984977722168,1.00018275819769,100018.27581976901,0.009576576497221101,0.0001827581976900916,1.0151436650639796,-0.014737723714550843
2005-04-26,11.523043632507324,1.0041966235526865,100419.66235526865,0.004013131922239177,0.004196623552686463,1.0151436650639796,-0.010783736221811724
2005-04-27,11.37859058380127,0.9916079995399047,99160.79995399047,-0.012536015076654139,-0.00839200046009525,1.0151436650639796,-0.02318456621860654
2005-04-28,11.34299659729004,0.9885060967602849,98850.60967602849,-0.0031281542515380067,-0.011493903239715109,1.0151436650639796,-0.02624019557075785
2005-04-29,11.581661224365234,1.0093049603516937,100930.49603516937,0.021040703400388328,0.009304960351693703,1.0151436650639796,-0.0057516043425418495
2005-05-02,11.598414421081545,1.0107649481910845,101076.49481910845,0.001446527954130028,0.010764948191084533,1.0151436650639796,-0.004313396244874479
2005-05-03,11.47279453277588,0.9998175742410508,99981.75742410508,-0.010830781152062818,-0.00018242575894922286,1.0151436650639796,-0.015097459946186942
2005-05-04,11.63400173187256,1.0138662692029086,101386.62692029086,0.01405125827331255,0.013866269202908565,1.0151436650639796,-0.0012583399818493213
2005-05-05,11.650751113891602,1.0153259246035584,101532.59246035584,0.001439692240474022,0.015325924603558416,1.0153259246035584,0.0
2005-05-06,11.682154655456545,1.0180626434265394,101806.26434265394,0.0026954091850353024,0.018062643426539404,1.0180626434265394,0.0
2005-05-09,11.72402572631836,1.0217115741539518,102171.15741539518,0.0035841907676044116,0.02171157415395175,1.0217115741539518,0.0
2005-05-10,11.581661224365234,1.0093049603516937,100930.49603516937,-0.012142970791469754,0.009304960351693703,1.0217115741539518,-0.012142970791469754
2005-05-11,11.621440887451172,1.0127716315395272,101277.16315395272,0.0034347113350414737,0.012771631539527206,1.0217115741539518,-0.008749967055846852
2005-05-12,11.389053344726562,0.9925197958959108,99251.97958959108,-0.0199964483728986,-0.0074802041040892275,1.0217115741539518,-0.028571447164248642
2005-05-13,11.401612281799316,0.9936142673399216,99361.42673399216,0.0011027200147912808,-0.006385732660078358,1.0217115741539518,-0.02750023345609709
2005-05-16,11.464422225952148,0.9990879543149385,99908.79543149384,0.005508865114901118,-0.0009120456850615355,1.0217115741539518,-0.022142863417934033
2005-05-17,11.290655136108398,0.9839447047993849,98394.47047993849,-0.01515707345899997,-0.016055295200615105,1.0217115741539518,-0.03696431586951576
2005-05-18,11.345090866088867,0.9886886056289192,98868.86056289192,0.004821308358482934,-0.011311394371080752,1.0217115741539518,-0.032321223876100036
2005-05-19,11.409989356994627,0.9943443028144595,99434.43028144595,0.005720402918917733,-0.005655697185540487,1.0217115741539518,-0.026785711380586275
2005-05-20,11.414178848266602,0.9947094036614138,99470.94036614138,0.0003671774916604864,-0.005290596338586195,1.0217115741539518,-0.026428368999242835
2005-05-23,11.389053344726562,0.9925197958959108,99251.97958959108,-0.0022012537103232033,-0.0074802041040892275,1.0217115741539518,-0.028571447164248642
2005-05-24,11.347180366516112,0.9888706989491277,98887.06989491277,-0.003676598655132257,-0.011129301050872287,1.0217115741539518,-0.03214300007516169
2005-05-25,11.255064010620115,0.9808430513488202,98084.30513488202,-0.008117995212962081,-0.019156948651179784,1.0217115741539518,-0.04000005856738342
2005-05-26,11.28018856048584,0.9830325760046382,98303.25760046382,0.0022322884918306585,-0.016967423995361774,1.0217115741539518,-0.03785706174596526
2005-05-27,11.393239974975586,0.9928846474138094,99288.46474138094,0.010022120985260896,-0.00711535258619056,1.0217115741539518,-0.02821434881366891
2005-05-31,11.43929958343506,0.9968985958784912,99689.85958784912,0.004042713798765085,-0.003101404121508833,1.0217115741539518,-0.024285697552176022
2005-06-01,11.414178848266602,0.9947094036614138,99470.94036614138,-0.0021960029095519085,-0.005290596338586195,1.0217115741539518,-0.026428368999242835
2005-06-02,11.336714744567873,0.9879586532640665,98795.86532640665,-0.0067866558539595445,-0.01204134673593349,1.0217115741539518,-0.033035664608023096
2005-06-03,11.299030303955078,0.9846745740545525,98467.45740545525,-0.0033241059215017854,-0.015325425945447502,1.0217115741539518,-0.03624995648118057
2005-06-06,11.451864242553713,0.997993565980613,99799.35659806129,0.013526288051916913,-0.002006434019387049,1.0217115741539518,-0.02321399578249761
2005-06-07,11.47279453277588,0.9998175742410508,99981.75742410508,0.0018276753704775661,-0.00018242575894922286,1.0217115741539518,-0.0214287480603621
2005-06-08,11.583758354187012,1.0094877185493836,100948.77185493836,0.009671908713620336,0.009487718549383573,1.0217115741539518,-0.011964096241828703
2005-06-09,11.569103240966797,1.008210572017368,100821.0572017368,-0.001265143209320918,0.008210572017367967,1.0217115741539518,-0.013214103156033552
2005-06-10,11.608880043029783,1.0116769938761458,101167.69938761459,0.0034381923330180086,0.011676993876145847,1.0217115741539518,-0.009821343451174358
2005-06-13,11.600503921508787,1.0109470415112929,101094.70415112929,-0.0007215270973556231,0.010947041511292888,1.0217115741539518,-0.01053578418309753
2005-06-14,11.60260009765625,1.0111297165992978,101112.97165992978,0.00018069699054845678,0.011129716599297845,1.0217115741539518,-0.010356990977044012
2005-06-15,11.596318244934082,1.0105822731030796,101058.22731030796,-0.0005414176709783725,0.010582273103079576,1.0217115741539518,-0.010892801190089285
2005-06-16,11.587947845458984,1.0098528193963379,100985.28193963379,-0.0007218152605248385,0.009852819396337864,1.0217115741539518,-0.011606753860485264
2005-06-17,11.682154655456545,1.0180626434265394,101806.26434265394,0.00812972333444506,0.018062643426539404,1.0217115741539518,-0.003571390223736981
2005-06-20,11.677964210510254,1.0176974594698998,101769.74594698998,-0.0003587047997464232,0.017697459469899757,1.0217115741539518,-0.003928813948668397
2005-06-21,11.680060386657717,1.017880134557905,101788.0134557905,0.00017949842195763566,0.017880134557904936,1.0217115741539518,-0.003750020742614657
2005-06-22,11.841269493103027,1.0319289957391327,103192.89957391327,0.013802078166433196,0.03192899573913266,1.0319289957391327,0.0
