agent,mean_actual_cumulative_return,median_actual_cumulative_return,std_actual_cumulative_return,min_actual_cumulative_return,max_actual_cumulative_return,p25_actual_cumulative_return,p75_actual_cumulative_return,mean_annualized_return,median_annualized_return,std_annualized_return,min_annualized_return,max_annualized_return,p25_annualized_return,p75_annualized_return,mean_annualized_sharpe,median_annualized_sharpe,std_annualized_sharpe,min_annualized_sharpe,max_annualized_sharpe,p25_annualized_sharpe,p75_annualized_sharpe,mean_trade_level_return_ratio,median_trade_level_return_ratio,std_trade_level_return_ratio,min_trade_level_return_ratio,max_trade_level_return_ratio,p25_trade_level_return_ratio,p75_trade_level_return_ratio,mean_max_drawdown,median_max_drawdown,std_max_drawdown,min_max_drawdown,max_max_drawdown,p25_max_drawdown,p75_max_drawdown,mean_number_of_trades,median_number_of_trades,std_number_of_trades,min_number_of_trades,max_number_of_trades,p25_number_of_trades,p75_number_of_trades,mean_p_value,median_p_value,std_p_value,min_p_value,max_p_value,p25_p_value,p75_p_value,mean_p_value_prominence,median_p_value_prominence,std_p_value_prominence,min_p_value_prominence,max_p_value_prominence,p25_p_value_prominence,p75_p_value_prominence,mean_actual_percentile,median_actual_percentile,std_actual_percentile,min_actual_percentile,max_actual_percentile,p25_actual_percentile,p75_actual_percentile,mean_RCSI,median_RCSI,std_RCSI,min_RCSI,max_RCSI,p25_RCSI,p75_RCSI,mean_RCSI_z,median_RCSI_z,std_RCSI_z,min_RCSI_z,max_RCSI_z,p25_RCSI_z,p75_RCSI_z,mean_median_simulated_return,median_median_simulated_return,std_median_simulated_return,min_median_simulated_return,max_median_simulated_return,p25_median_simulated_return,p75_median_simulated_return,proportion_significant,proportion_outperforming_null_median,mean_percentile,median_percentile,std_percentile,min_percentile,max_percentile,p25_percentile,p75_percentile,number_of_outer_runs,simulations_per_run,transaction_cost,p_value_interpretation,null_model,stability_classification,evidence_bucket,confidence_score,evaluation_power_score,confidence_bucket,evaluation_power_label,evidence_label,confidence_label,skill_luck_verdict,verdict_label,final_classification
trend,21.55134768339765,21.55134768339765,7.105427357601002e-15,21.55134768339765,21.55134768339765,21.55134768339765,21.55134768339765,0.3448660965182376,0.3448660965182376,5.551115123125783e-17,0.3448660965182376,0.3448660965182376,0.3448660965182376,0.3448660965182376,0.849643197598079,0.849643197598079,0.0,0.849643197598079,0.849643197598079,0.849643197598079,0.849643197598079,0.1990521355903949,0.1990521355903949,2.7755575615628914e-17,0.1990521355903949,0.1990521355903949,0.1990521355903949,0.1990521355903949,-0.5482116772341711,-0.5482116772341711,0.0,-0.5482116772341711,-0.5482116772341711,-0.5482116772341711,-0.5482116772341711,76.0,76.0,0.0,76,76,76.0,76.0,0.08233599999999999,0.0821,0.004159315328272192,0.0724,0.0966,0.0797,0.08485000000000001,1.0849588990627528,1.0856571650381164,0.02178583340132848,1.0150228735845066,1.1402614338028532,1.0713483793788914,1.0985427058801789,91.76639999999999,91.78999999999999,0.41593153282721956,90.34,92.75999999999999,91.515,92.03,18.023229740761593,18.02306168808901,0.09545660581974232,17.767266887968596,18.267422320582845,17.95815519815196,18.080601869389188,0.9801984554348065,0.9874415526927016,0.09020614972975499,0.750413207789289,1.1889644531308277,0.924981319307166,1.036367078201409,3.5281179426360603,3.52828599530864,0.09545660581974239,3.283925362814804,3.7840807954290536,3.4707458140084615,3.5931924852456913,0.0,1.0,91.76639999999999,91.78999999999999,0.41593153282721956,90.34,92.75999999999999,91.515,92.03,100,5000,0.00047,weak evidence,random_timing_matched_duration,stable,positive_inconclusive,0.46,1.0,low,Adequate,Positive but Inconclusive,Low,inconclusive,Inconclusive,positive but inconclusive
mean_reversion,-0.04964291845647641,-0.04964291845647641,0.0,-0.04964291845647641,-0.04964291845647641,-0.04964291845647641,-0.04964291845647641,-0.004815758671145806,-0.004815758671145806,8.673617379884035e-19,-0.004815758671145806,-0.004815758671145806,-0.004815758671145806,-0.004815758671145806,0.17465202778098926,0.1746520277809893,2.7755575615628914e-17,0.1746520277809893,0.1746520277809893,0.1746520277809893,0.1746520277809893,0.07283263848692546,0.07283263848692546,0.0,0.07283263848692546,0.07283263848692546,0.07283263848692546,0.07283263848692546,-0.5767163464199123,-0.5767163464199123,2.220446049250313e-16,-0.5767163464199123,-0.5767163464199123,-0.5767163464199123,-0.5767163464199123,45.0,45.0,0.0,45,45,45.0,45.0,0.7661159999999999,0.7666999999999999,0.0063916933593532125,0.7486,0.782,0.7618,0.7716,0.11572060410370319,0.11537454043782083,0.0036272834103594806,0.10679324694015198,0.1257501772215969,0.11260778102815312,0.11815903167507256,23.3884,23.33,0.6391693359353215,21.8,25.14,22.84,23.82,-0.9650634706988847,-0.9654515683967502,0.034236751175290285,-1.0626581293174866,-0.8897598348178883,-0.9831434654911785,-0.9428136419423627,-0.5688844650815639,-0.5695327523542421,0.0250251947774826,-0.6169523605496042,-0.4982721730157987,-0.5856814609166815,-0.5545953080873754,0.9154205522424081,0.9158086499402738,0.034236751175290285,0.840116916361412,1.0130152108610102,0.8931707234858863,0.9335005470347021,0.0,0.0,23.3884,23.33,0.6391693359353215,21.8,25.14,22.84,23.82,100,5000,0.00047,no evidence,random_timing_matched_duration,stable,likely_random,0.7,1.0,moderate,Adequate,Likely Random,Moderate,luck,Luck,likely random
random,0.07641634299968716,0.07641634299968716,1.3877787807814457e-17,0.07641634299968716,0.07641634299968716,0.07641634299968716,0.07641634299968716,0.006932559068014183,0.006932559068014183,8.673617379884035e-19,0.006932559068014183,0.006932559068014183,0.006932559068014183,0.006932559068014183,0.23273639337736596,0.23273639337736599,5.551115123125783e-17,0.23273639337736599,0.23273639337736599,0.23273639337736599,0.23273639337736599,0.10783143194042698,0.10783143194042698,1.3877787807814457e-17,0.10783143194042698,0.10783143194042698,0.10783143194042698,0.10783143194042698,-0.828759271881406,-0.828759271881406,1.1102230246251565e-16,-0.828759271881406,-0.828759271881406,-0.828759271881406,-0.828759271881406,57.0,57.0,0.0,57,57,57.0,57.0,0.886412,0.8866,0.004700793124569508,0.8744,0.8978,0.8834,0.8896499999999999,0.05237048285931799,0.05227227303668429,0.0023039002811609164,0.04682039893436592,0.058289851058353645,0.05078081896850691,0.05384260507762768,11.358799999999999,11.34,0.47007931245695134,10.22,12.559999999999999,11.035,11.66,-3.0856845521176037,-3.0893786280352944,0.09111981170925233,-3.2905590497233397,-2.843961833517766,-3.1500617678001106,-3.015723563566347,-0.5656217707178935,-0.5680345216492224,0.03217702384925603,-0.631548838297795,-0.4703317251581455,-0.5886297572625369,-0.5477749415583072,3.162100895117291,3.1657949710349818,0.09111981170925233,2.9203781765174535,3.366975392723027,3.092139906566034,3.226478110799798,0.0,0.0,11.358799999999999,11.34,0.47007931245695134,10.22,12.559999999999999,11.035,11.66,100,5000,0.00047,no evidence,random_timing_matched_duration,stable,likely_random,0.7,1.0,moderate,Adequate,Likely Random,Moderate,luck,Luck,likely random
momentum,25.027686738240963,25.027686738240963,3.552713678800501e-15,25.027686738240963,25.027686738240963,25.027686738240963,25.027686738240963,0.4021223467785737,0.4021223467785737,1.1102230246251565e-16,0.4021223467785737,0.4021223467785737,0.4021223467785737,0.4021223467785737,0.8484652644266721,0.8484652644266721,0.0,0.8484652644266721,0.8484652644266721,0.8484652644266721,0.8484652644266721,0.2339744881842995,0.2339744881842995,2.7755575615628914e-17,0.2339744881842995,0.2339744881842995,0.2339744881842995,0.2339744881842995,-0.7170436243717255,-0.7170436243717254,1.1102230246251565e-16,-0.7170436243717254,-0.7170436243717254,-0.7170436243717254,-0.7170436243717254,31.0,31.0,0.0,31,31,31.0,31.0,0.09626200000000001,0.0965,0.003898891637375935,0.085,0.106,0.0942,0.0986,1.0169041100095288,1.0154729198408379,0.017696564611062962,0.9746941347352298,1.0705810742857071,1.0061230850587888,1.0259490972071226,90.37379999999999,90.35,0.38988916373759347,89.4,91.5,90.14,90.58,20.153306672557214,20.156089429159145,0.11666826141213561,19.81564109926721,20.434080734876357,20.07971671351302,20.24313833553566,0.864913023237222,0.8675076742466012,0.06785211226508354,0.6658470781035252,1.0144003479721788,0.8150107750605264,0.9160086100847766,4.8743800656837495,4.871597309081815,0.11666826141213574,4.593606003364606,5.212045638973754,4.784548402705301,4.947970024727944,0.0,1.0,90.37379999999999,90.35,0.38988916373759347,89.4,91.5,90.14,90.58,100,5000,0.00047,weak evidence,random_timing_matched_duration,stable,positive_inconclusive,0.46,1.0,low,Adequate,Positive but Inconclusive,Low,inconclusive,Inconclusive,positive but inconclusive
breakout,21.25346425520757,21.25346425520757,7.105427357601002e-15,21.25346425520757,21.25346425520757,21.25346425520757,21.25346425520757,0.3531680106731082,0.3531680106731082,5.551115123125783e-17,0.3531680106731082,0.3531680106731082,0.3531680106731082,0.3531680106731082,0.8414223672127189,0.8414223672127188,2.220446049250313e-16,0.8414223672127188,0.8414223672127188,0.8414223672127188,0.8414223672127188,0.2765318601339805,0.2765318601339805,0.0,0.2765318601339805,0.2765318601339805,0.2765318601339805,0.2765318601339805,-0.623474729142316,-0.623474729142316,0.0,-0.623474729142316,-0.623474729142316,-0.623474729142316,-0.623474729142316,26.0,26.0,0.0,26,26,26.0,26.0,0.064136,0.0639,0.003358199517598679,0.0562,0.0716,0.06175,0.06645000000000001,1.1934949834788187,1.1944996736474753,0.022789070911390957,1.1450869776921444,1.250263684430939,1.1775053831814115,1.2093634656422818,93.5864,93.61000000000001,0.33581995175986645,92.84,94.38,93.355,93.825,18.520090919080616,18.51247364593488,0.07319476511598907,18.349313559679395,18.658946507924846,18.462822843801945,18.57520579573491,1.2417025258532786,1.2376483625667944,0.1031127056445809,0.9242504158436713,1.490448208424184,1.1771330075522233,1.302734316389349,2.7333733361269554,2.7409906092726937,0.07319476511598909,2.594517747282728,2.9041506955281777,2.6782584594726617,2.790641411405627,0.0,1.0,93.5864,93.61000000000001,0.33581995175986645,92.84,94.38,93.355,93.825,100,5000,0.00047,weak evidence,random_timing_matched_duration,stable,positive_inconclusive,0.46,1.0,low,Adequate,Positive but Inconclusive,Low,inconclusive,Inconclusive,positive but inconclusive
