simulation_id,simulated_cumulative_return
1,-0.12908871673865946
2,-0.0510123298330002
3,-0.09014523685796762
4,-0.0795975752995127
5,-0.06089782139150212
6,-0.014630657762198507
7,-0.09452771818404182
8,-0.029779561030116766
9,-0.11950422636517606
10,-0.0722175157381744
11,-0.06825934513852097
12,-0.0309403383189613
13,-0.13199597398234428
14,-0.06061221265973233
15,-0.05756207315367327
16,-0.10924867039132667
17,-0.10905893168277968
18,-0.09780046311513152
19,-0.03874221038232258
20,-0.08957348932660142
21,-0.10764505622802487
22,-0.08235004773625866
23,-0.09334896801279874
24,-0.09699455166380021
25,-0.08387035150906022
26,-0.06075865274849106
27,-0.08881991782654487
28,-0.08759531507099858
29,-0.06261232570856148
30,-0.09634470709941761
31,-0.09970285082700252
32,-0.02484188968523885
33,-0.11109255380431049
34,-0.07880517351439292
35,-0.0345042027987889
36,-0.05351028476949467
37,-0.02784251132894722
38,-0.09569794598362871
39,-0.19947364238602638
40,-0.05368540103345433
41,-0.11563851143452224
42,-0.04492214491403816
43,-0.08210338763834261
44,-0.08030792081086877
45,-0.09469545851710036
46,-0.025592303267543814
47,-0.05485409443722881
48,-0.08343952149428822
49,-0.06439992541142105
50,-0.03395700154925687
51,-0.034635625193425036
52,-0.08263041694014676
53,-0.06628794554834548
54,-0.033819881450576024
55,-0.13583324947276612
56,-0.0579660566997177
57,-0.10194897225889496
58,-0.047302168446600616
59,-0.1154947949150298
60,-0.09359970783831656
61,-0.10759293995436889
62,-0.01805139004201537
63,-0.06759537350639787
64,-0.10292608544763307
65,-0.07124643469038151
66,-0.04561006205243083
67,-0.11529323602654148
68,-0.09804919596379016
69,-0.08064864971821313
70,-0.06057602573848873
71,-0.0714557023689196
72,-0.09857336270905911
73,-0.07861742297570837
74,-0.08356046734514398
75,-0.0924884919600262
76,-0.10620967982521856
77,-0.08997964570413776
78,-0.06071093165569961
79,-0.06708889677240032
80,-0.08808986764619463
81,-0.01861521363445801
82,-0.028631783953036772
83,-0.07031911926789261
84,-0.06550882519712345
85,-0.04403863205719427
86,-0.06247749243152482
87,-0.09711460156650459
88,-0.09713032631297452
89,-0.06994588059734408
90,-0.08166696347897172
91,-0.0778581733388078
92,-0.07839835625125746
93,-0.11219560698614355
94,-0.06257261254219823
95,-0.08040736401643037
96,-0.05490424900533971
97,-0.060486089331413806
98,-0.0948087502261464
99,-0.10922253827770363
100,-0.12037257874817488
101,-0.08971379968822277
102,-0.020029194228050867
103,-0.037638814671298634
104,-0.1275966440031031
105,-0.07417866097092236
106,-0.08931342848721041
107,-0.09165582206665258
108,-0.024360479482577805
109,-0.08513835461321459
110,-0.08842226956322685
111,-0.06317593420220947
112,-0.11796640821884075
113,-0.10895282742618806
114,-0.09477832199012837
115,-0.13539273628842205
116,-0.15357801210643982
117,-0.06931246540305853
118,-0.10620565942834326
