Date,Close,equity,wealth_index,daily_return,cumulative_return,rolling_peak,drawdown
2019-11-08,,100000.0,1.0,0.0,0.0,1.0,0.0
2019-11-11,,100000.0,1.0,0.0,0.0,1.0,0.0
2019-11-12,,100000.0,1.0,0.0,0.0,1.0,0.0
2019-11-13,,100000.0,1.0,0.0,0.0,1.0,0.0
2019-11-14,,100000.0,1.0,0.0,0.0,1.0,0.0
2019-11-15,,100000.0,1.0,0.0,0.0,1.0,0.0
2019-11-18,,100000.0,1.0,0.0,0.0,1.0,0.0
2019-11-19,,100000.0,1.0,0.0,0.0,1.0,0.0
2019-11-20,,100000.0,1.0,0.0,0.0,1.0,0.0
2019-11-21,,100000.0,1.0,0.0,0.0,1.0,0.0
2019-11-22,,100000.0,1.0,0.0,0.0,1.0,0.0
2019-11-25,,100000.0,1.0,0.0,0.0,1.0,0.0
2019-11-26,,100000.0,1.0,0.0,0.0,1.0,0.0
2019-11-27,,100000.0,1.0,0.0,0.0,1.0,0.0
2019-11-29,,100000.0,1.0,0.0,0.0,1.0,0.0
2019-12-02,63.67677307128906,98802.17279670158,0.9880217279670157,-0.011978272032984294,-0.011978272032984294,1.0,-0.011978272032984294
2019-12-03,62.541404724121094,97041.21649024406,0.9704121649024405,-0.01782305243510096,-0.029587835097559467,1.0,-0.029587835097559467
2019-12-04,,97606.05778791614,0.9760605778791615,0.005820632903224876,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-05,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-06,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-09,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-10,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-11,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-12,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-13,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-16,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-17,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-18,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-19,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-20,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-23,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-24,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-26,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-27,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-30,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2019-12-31,,97606.05778791614,0.9760605778791615,0.0,-0.02393942212083855,1.0,-0.02393942212083855
2020-01-02,72.40050506591797,98933.35572518241,0.9893335572518241,0.013598520085200905,-0.010666442748175853,1.0,-0.010666442748175853
2020-01-03,71.69662475585938,97971.85522164237,0.9797185522164237,-0.0097186686582319,-0.020281447783576323,1.0,-0.020281447783576323
2020-01-06,72.2679443359375,98752.27776802909,0.9875227776802908,0.007965783077406918,-0.012477222319709158,1.0,-0.012477222319709158
2020-01-07,71.92804718017578,98287.97825325858,0.9828797825325858,-0.004701658789695529,-0.01712021746741421,1.0,-0.01712021746741421
2020-01-08,73.08511352539062,99868.53088082206,0.9986853088082206,0.016080833644689152,-0.0013146911917794046,1.0,-0.0013146911917794046
2020-01-09,74.63748168945312,101989.06579293143,1.0198906579293143,0.0212332643066504,0.019890657929314326,1.0198906579293143,0.0
2020-01-10,74.80622863769531,102219.57412423026,1.0221957412423026,0.002260127882402818,0.022195741242302613,1.0221957412423026,0.0
2020-01-13,76.4044189453125,104402.70208443534,1.0440270208443534,0.021357239833066144,0.04402702084435339,1.0440270208443534,0.0
2020-01-14,75.37271118164062,102993.38927925956,1.0299338927925956,-0.013498815423723443,0.029933892792595618,1.0440270208443534,-0.013498815423723443
2020-01-15,75.04969787597656,102552.15310372245,1.0255215310372245,-0.004284121326862289,0.025521531037224543,1.0440270208443534,-0.01772510618754153
2020-01-16,75.98979949951172,103836.33192147147,1.0383633192147148,0.012522202400277127,0.03836331921471481,1.0440270208443534,-0.00542486115451124
2020-01-17,76.83108520507812,104985.52819527518,1.0498552819527518,0.01106738125796669,0.049855281952751795,1.0498552819527518,0.0
2020-01-21,76.3104248046875,104274.30608834159,1.0427430608834158,-0.006774477579526095,0.04274306088341584,1.0498552819527518,-0.006774477579526095
2020-01-22,76.5827865600586,104646.3522461785,1.046463522461785,0.0035679562089026007,0.04646352246178509,1.0498552819527518,-0.003230692409965319
2020-01-23,76.95159912109375,105150.15020455253,1.0515015020455252,0.004814290680566158,0.05150150204552517,1.0515015020455252,0.0
2020-01-24,76.7298355102539,104847.2211121453,1.048472211121453,-0.002880919255159653,0.04847221112145306,1.0515015020455252,-0.002880919255159542
2020-01-27,74.47357940673828,101765.17527474296,1.0176517527474296,-0.029395589169747938,0.017651752747429583,1.0515015020455252,-0.03219182210605154
2020-01-28,,102925.95786485235,1.0292595786485235,0.01140648150976542,0.029259578648523465,1.0515015020455252,-0.021152536019904522
2020-01-29,,102925.95786485235,1.0292595786485235,0.0,0.029259578648523465,1.0515015020455252,-0.021152536019904522
2020-01-30,,102925.95786485235,1.0292595786485235,0.0,0.029259578648523465,1.0515015020455252,-0.021152536019904522
2020-01-31,,102925.95786485235,1.0292595786485235,0.0,0.029259578648523465,1.0515015020455252,-0.021152536019904522
2020-02-03,74.40367126464844,104361.42220388686,1.0436142220388687,0.013946572553829029,0.043614222038868666,1.0515015020455252,-0.007500968844374567
2020-02-04,76.86001586914062,107805.21733938491,1.078052173393849,0.032998737107760245,0.07805217339384907,1.078052173393849,0.0
2020-02-05,77.48675537109375,108683.90612112319,1.086839061211232,0.008150707390831124,0.08683906121123197,1.086839061211232,0.0
2020-02-06,78.39312744140625,109954.63976370131,1.0995463976370132,0.011692012993735679,0.09954639763701323,1.0995463976370132,0.0
2020-02-07,77.32754516601562,108460.69341360366,1.0846069341360365,-0.013586933241818921,0.08460693413603648,1.0995463976370132,-0.013586933241819033
2020-02-10,77.69481658935547,108975.60794912612,1.0897560794912613,0.004747475968633896,0.0897560794912613,1.0995463976370132,-0.008903960912237885
2020-02-11,77.22605895996094,108318.40975271499,1.0831840975271498,-0.00603069080117391,0.08318409752714984,1.0995463976370132,-0.014880954678244462
2020-02-12,79.06002044677734,110889.62375723159,1.108896237572316,0.02373755311203829,0.10889623757231592,1.108896237572316,0.0
2020-02-13,78.49703216552734,110100.31418691909,1.1010031418691908,-0.0071179750058537605,0.1010031418691908,1.108896237572316,-0.0071179750058538716
2020-02-14,78.51634979248047,110127.39749990737,1.1012739749990736,0.0002459876085576518,0.10127397499907365,1.108896237572316,-0.006873738330945733
2020-02-18,77.07865905761719,108111.75508962905,1.0811175508962905,-0.018302824329250234,0.08111755089629047,1.108896237572316,-0.025050753835039408
2020-02-19,78.19497680664062,109676.83257375991,1.096768325737599,0.01447647837030619,0.09676832573759908,1.108896237572316,-0.010936922160786011
2020-02-20,77.39279174804688,108552.16912161147,1.0855216912161147,-0.010254339278006341,0.08552169121611475,1.108896237572316,-0.021079110528298473
2020-02-21,75.6409912109375,106096.14476858413,1.0609614476858413,-0.022625290428566647,0.06096144768584133,1.108896237572316,-0.04322747995918652
2020-02-24,,100715.50166730705,1.0071550166730705,-0.05071478434031018,0.007155016673070502,1.108896237572316,-0.09174999197579159
2020-02-25,,100715.50166730705,1.0071550166730705,0.0,0.007155016673070502,1.108896237572316,-0.09174999197579159
2020-02-26,,100715.50166730705,1.0071550166730705,0.0,0.007155016673070502,1.108896237572316,-0.09174999197579159
2020-02-27,,100715.50166730705,1.0071550166730705,0.0,0.007155016673070502,1.108896237572316,-0.09174999197579159
2020-02-28,,100715.50166730705,1.0071550166730705,0.0,0.007155016673070502,1.108896237572316,-0.09174999197579159
2020-03-02,1409.9200439453125,99940.74047738743,0.9994074047738742,-0.007692571422410088,-0.0005925952261257583,1.108896237572316,-0.09873677003192238
2020-03-03,1564.800048828125,110782.3408191843,1.107823408191843,0.10848028831895529,0.107823408191843,1.108896237572316,-0.0009674749937123028
2020-03-04,,106062.78765751564,1.0606278765751564,-0.04260203500638948,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-05,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-06,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-09,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-10,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-11,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-12,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-13,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-16,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-17,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-18,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-19,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-20,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-23,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-24,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-25,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-26,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-27,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-30,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-03-31,,106062.78765751564,1.0606278765751564,0.0,0.06062787657515645,1.108896237572316,-0.04352829359655186
2020-04-01,3214.080078125,107736.8771586052,1.077368771586052,0.01578394777342007,0.07736877158605204,1.108896237572316,-0.02843139413592599
2020-04-02,3031.0400390625,101696.5558695427,1.016965558695427,-0.05606549445618536,0.01696555869542693,1.108896237572316,-0.08290286842180195
2020-04-03,2908.800048828125,97662.63619180833,0.9766263619180833,-0.03966623690687343,-0.023373638081916726,1.108896237572316,-0.11928066050959685
2020-04-06,2701.43994140625,90819.75264688645,0.9081975264688645,-0.07006654552599345,-0.09180247353113546,1.108896237572316,-0.1809896222056241
2020-04-07,2778.239990234375,93354.15425821458,0.9335415425821457,0.027905841377723783,-0.06645845741785428,1.108896237572316,-0.15813444851618463
2020-04-08,2713.60009765625,91221.03780313645,0.9122103780313645,-0.02284972181503564,-0.08778962196863549,1.108896237572316,-0.17737084217325128
2020-04-09,2660.47998046875,89468.07393594895,0.8946807393594896,-0.01921666218017115,-0.10531926064051045,1.108896237572316,-0.19317902879876658
2020-04-13,2605.43994140625,87651.75264688645,0.8765175264688645,-0.020301334421961803,-0.1234824735311355,1.108896237572316,-0.20955857115377485
2020-04-14,2394.239990234375,80682.15425821458,0.8068215425821458,-0.07951464948738185,-0.19317845741785422,1.108896237572316,-0.2724102443087878
2020-04-15,,86127.12689793883,0.8612712689793882,0.0674867037176301,-0.13872873102061178,1.108896237572316,-0.22330761003847222
