Date,Open,High,Low,Close,Volume,data_interval,timeframe_label,data_source,source_period_requested,downloaded_at_utc,bar_return,daily_return,ema_20,sma_20,sma_50,sma_100,sma_200,ma_20,ma_50,ma_100,ma_200,std_20,price_std_20,avg_volume_20,volume_ratio_20,rsi_14,true_range,atr_14,atr_percent,adx_14,plus_di_14,minus_di_14,bollinger_mid,bollinger_std,bollinger_upper,bollinger_lower,bollinger_width,macd_line,macd_signal,macd_hist,rolling_high_20_prev,rolling_low_10_prev,rolling_low_5_prev,trailing_return_12,trailing_return_60,trailing_return_5,trailing_return_20,atr_percent_median_60,atr_percent_ratio_60,bollinger_width_median_60,bollinger_width_ratio_60,distance_from_ma_20,distance_from_ma_50,ma_50_over_ma_200,zscore_20,bars_per_year
2011-06-23,89.54366900492903,90.35603426230406,88.8999138149005,90.32537841796876,260750,1d,Daily,yfinance,max,2026-04-02T21:04:18Z,-0.003382184110755304,-0.003382184110755304,90.86579514249398,90.9032112121582,92.6395164489746,92.32618644714356,88.21669494628907,90.86579514249398,92.6395164489746,92.32618644714356,88.21669494628907,0.009535464276588449,1.5172482610870097,116412.5,2.2398797380006443,44.61253767483303,1.7319984165448261,1.113901074204883,0.012332094187864375,21.80529424542952,22.01230233891271,36.371989835211544,90.9032112121582,1.5172482610870097,93.93770773433222,87.86871468998417,0.0667632415117182,-0.7662014819950826,-0.8788660396292606,0.11266455763417793,94.54043154897673,88.54735370746647,88.54735370746647,-0.0001694094501419885,-0.02255754930524201,0.012717295825133368,-0.026754547996947875,0.011270604205797435,1.0941821718414106,0.06375336858682643,1.0472111982724897,-0.0059474164472752555,-0.024980031413273318,0.050135878536125,-0.380842614230748,251.5109957776214
2011-06-24,90.3484135980754,90.3792183992156,89.17786053182348,89.33187866210938,114500,1d,Daily,yfinance,max,2026-04-02T21:04:18Z,-0.010999120881200142,-0.010999120881200142,90.71970785864782,90.71098976135254,92.58255386352539,92.30746047973633,88.28067752838135,90.71970785864782,92.58255386352539,92.30746047973633,88.28067752838135,0.009678302977415098,1.4595201682615275,119115.0,0.9612559291441044,39.850411411215674,1.2013578673921188,1.1201479880039713,0.0125391741982819,21.9802293985511,20.473842423571895,33.58563758474426,90.71098976135254,1.4595201682615275,93.63003009787559,87.79194942482948,0.06435913320321221,-0.7954469067540373,-0.8621822130542159,0.06673530630017865,94.54043154897673,88.54735370746647,88.8999138149005,-0.007123766993037739,-0.039838133264691655,-0.001168085478640779,-0.041259726983276956,0.011363844971824038,1.1034270732636726,0.06510756887316893,0.9885046288333282,-0.015297990142349782,-0.03511109886002706,0.04872953465678864,-0.9449071888371754,251.5109957776214
2011-06-27,89.39353048107314,90.42546536723978,89.19330211681027,90.0866241455078,77850,1d,Daily,yfinance,max,2026-04-02T21:04:18Z,0.008448781047728726,0.008448781047728726,90.6594141716821,90.53581352233887,92.54038009643554,92.29780776977539,88.346696434021,90.6594141716821,92.54038009643554,92.29780776977539,88.346696434021,0.009850719173999213,1.3055750278149392,120627.5,0.6453752253839299,44.681365101181896,1.2321632504295081,1.1281490781772239,0.012522936549992583,22.090833072262896,19.16940366090412,30.965480552140196,90.53581352233887,1.3055750278149392,93.14696357796875,87.92466346670899,0.05768214707620871,-0.7490874499065683,-0.8395632604246864,0.09047581051811815,94.54043154897673,88.54735370746647,88.8999138149005,-0.0063525996598259304,-0.030447958554352117,0.0016060870819158968,-0.03743476018028136,0.011444689291462909,1.0942137642245986,0.06510756887316893,0.8859514811338584,-0.006318042438368421,-0.026515516235946945,0.047468483052407695,-0.34405481666025156,251.5109957776214
2011-06-28,90.47168790022933,91.27258971596618,90.379273440528,91.24179077148438,59500,1d,Daily,yfinance,max,2026-04-02T21:04:18Z,0.012822842868556839,0.012822842868556839,90.71487860975851,90.3716480255127,92.51487258911133,92.2974178314209,88.4136568069458,90.71487860975851,92.51487258911133,92.2974178314209,88.4136568069458,0.010038632493102183,0.9522475645724993,114977.5,0.517492552890783,51.148434120691256,1.1859655704583787,1.1322788276258777,0.0124096515209974,21.281988195195144,23.07922949256927,28.64878756908392,90.3716480255127,0.9522475645724993,92.2761431546577,88.4671528963677,0.042148066805362434,-0.6120792847782894,-0.794066465295407,0.1819871805171176,94.54043154897673,88.54735370746647,88.8999138149005,0.020711685856292128,-0.022530302658787527,0.0008052137548788529,-0.034734794376635625,0.011617984351935576,1.068141524818798,0.06510756887316893,0.6473604764365853,0.0058084425598203815,-0.013760834144809664,0.046386677469077986,0.9137778644383486,251.5109957776214
2011-06-29,91.71923549359632,92.18129596419884,91.38039428204392,92.0580825805664,125350,1d,Daily,yfinance,max,2026-04-02T21:04:18Z,0.008946468522592177,0.008946468522592177,90.84280279745451,90.35328979492188,92.52592315673829,92.30274909973144,88.4847742843628,90.84280279745451,92.52592315673829,92.30274909973144,88.4847742843628,0.0091115029803735,0.9153021348818731,110145.0,1.1380453039175633,55.13947251895817,0.9395051927144635,1.1185092822750624,0.012150038876773014,19.836341655020206,27.497582816405803,26.929938260796106,90.35328979492188,0.9153021348818731,92.18389406468562,88.52268552515814,0.040521031916352535,-0.4326441474458562,-0.7217820017254969,0.28913785427964067,94.29521262895273,88.54735370746647,88.8999138149005,0.029137424760836472,-0.014271219588707695,0.01573585190919391,-0.003972557531300325,0.011793956844726346,1.0301919056288467,0.06510756887316893,0.622370526463497,0.013377832317894356,-0.005056318923501668,0.04567055637604356,1.8625464976813861,251.5109957776214
2011-06-30,92.36612263837708,93.05921038995584,92.27370819630508,92.93599700927734,124850,1d,Daily,yfinance,max,2026-04-02T21:04:18Z,0.00953652741944322,0.00953652741944322,91.04215462715193,90.38419227600097,92.5431883239746,92.31106140136718,88.55929920196533,91.04215462715193,92.5431883239746,92.31106140136718,88.55929920196533,0.009347818205955634,0.9886090681834427,105797.5,1.180084595571729,59.017389171627336,1.0011278093894305,1.1101248913546602,0.011945047420579584,19.199757098362834,31.375064671730442,25.195235750681977,90.38419227600097,0.9886090681834427,92.36141041236786,88.40697413963409,0.043751414635186864,-0.21709758516635702,-0.620845118413669,0.40374753324731194,92.67048077306382,88.54735370746647,88.8999138149005,0.025769223320020185,-0.004870790046181184,0.028902381999755145,0.006694793797640264,0.011866491448432388,1.0066199830412024,0.06510756887316893,0.6719866121927489,0.020801818562855123,0.0042445985751820015,0.04498555383691283,2.581207087211207,251.5109957776214
2011-07-01,92.98224058348772,94.4146327260839,92.82822232370276,94.3376235961914,139550,1d,Daily,yfinance,max,2026-04-02T21:04:18Z,0.015081632865832972,0.015081632865832972,91.3560088146795,90.52962684631348,92.56365615844726,92.32911727905274,88.64098331451416,91.3560088146795,92.56365615844726,92.32911727905274,88.64098331451416,0.009573838358754888,1.2973448120051398,105352.5,1.3246007451175814,64.32036153040082,1.5864104023811336,1.1441452849994083,0.012128197016037614,19.514574364703567,36.72956102851062,22.69992427173889,90.52962684631348,1.2973448120051398,93.12431647032376,87.93493722230319,0.057322441600585174,0.06606264104767945,-0.4834635665213993,0.5495262075690788,93.05921038995584,88.8999138149005,89.17786053182348,0.05970540668236324,0.007161791938565365,0.05603537067675313,0.03181368672453999,0.011927948228483039,1.016788200595673,0.06510756887316893,0.880426693742023,0.03263731439450557,0.01916483759789611,0.04425348972060417,2.935223322774457,251.5109957776214
2011-07-05,94.26055705662267,94.41457522260242,93.95251484924678,94.1835479736328,91850,1d,Daily,yfinance,max,2026-04-02T21:04:18Z,-0.0016332362072011275,-0.0016332362072011275,91.62529825838934,90.71563720703125,92.57276504516602,92.34792129516602,88.72151931762696,91.62529825838934,92.57276504516602,92.34792129516602,88.72151931762696,0.009196497114458205,1.5217887484500163,104282.5,0.8807805720039317,63.34995801638348,0.46206037335564076,1.0954249341677107,0.011630746109441332,19.806904683448533,35.62292754953127,22.015992978634053,90.71563720703125,1.5217887484500163,93.75921470393128,87.67205971013122,0.0671014962933893,0.274868037665982,-0.3317972456839231,0.6066652833499051,94.4146327260839,88.8999138149005,89.19330211681027,0.05597462956324106,0.007330482739644539,0.045477604105884195,0.04112392028783152,0.011927948228483039,0.9750835505529769,0.06630962302742191,1.0119420565193067,0.027920779128369544,0.01740018165905366,0.04340824815850408,2.278838485390111,251.5109957776214
2011-07-06,94.01416986311573,94.44542563643576,93.76773715330152,94.32221221923828,94850,1d,Daily,yfinance,max,2026-04-02T21:04:18Z,0.0014722767254882196,0.0014722767254882196,91.88214720704161,90.91471366882324,92.58648666381836,92.3678067779541,88.79640342712402,91.88214720704161,92.58648666381836,92.3678067779541,88.79640342712402,0.009164583521483156,1.7086688355887523,98840.0,0.9596317280453258,63.87814677354435,0.6776884831342329,1.065586616236748,0.01129730305476664,19.883972648645816,34.00468759418695,22.254478968680015,90.91471366882324,1.7086688355887523,94.33205134000075,87.49737599764573,0.07517677905527828,0.44639114534781754,-0.176159567477575,0.6225507128253925,94.4146327260839,88.8999138149005,90.379273440528,0.05462951438848762,0.012631477036291638,0.03376108054990756,0.044072383607853816,0.011927948228483039,0.9471287801023092,0.06693236890255375,1.1231752332675913,0.02655646484510621,0.018747072256044772,0.04268284626871055,1.9942416455678655,251.5109957776214
2011-07-07,95.16930295449508,95.56975381487749,95.01527887325726,95.3541259765625,195400,1d,Daily,yfinance,max,2026-04-02T21:04:18Z,0.010940304866108086,0.010940304866108086,92.21281185175789,91.18377876281738,92.604599609375,92.39221298217774,88.87765575408936,92.21281185175789,92.604599609375,92.39221298217774,88.87765575408936,0.009234596399822177,1.9463335912699578,104230.0,1.8747001822891682,67.61821136446524,1.2475415956392055,1.0785834004797807,0.011311344836246419,20.668005342162193,38.641096768384834,20.41586439659034,91.18377876281738,1.9463335912699578,95.07644594535729,87.29111158027747,0.08538069457869953,0.6580061745107599,-0.009326419079908001,0.667332593590668,94.44542563643576,88.8999138149005,91.38039428204392,0.060171517274724584,0.027260053224427372,0.03580395445572626,0.05981030309885993,0.011927948228483039,0.948305996938835,0.06795146026949792,1.2564953606600453,0.03406591840897999,0.029691034557522533,0.04193341761395586,2.1426682622396807,251.5109957776214
