Date,Close,equity,wealth_index,bar_return,daily_return,cumulative_return,rolling_peak,drawdown,timeframe_label
2023-07-12 14:30:00,,100000.0,1.0,0.0,0.0,0.0,1.0,0.0,1H
2023-07-12 15:30:00,,100000.0,1.0,0.0,0.0,0.0,1.0,0.0,1H
2023-07-12 16:30:00,,100000.0,1.0,0.0,0.0,0.0,1.0,0.0,1H
2023-07-12 17:30:00,,100000.0,1.0,0.0,0.0,0.0,1.0,0.0,1H
2023-07-12 18:30:00,,100000.0,1.0,0.0,0.0,0.0,1.0,0.0,1H
2023-07-12 19:30:00,,100000.0,1.0,0.0,0.0,0.0,1.0,0.0,1H
2023-07-13 13:30:00,149.09469604492188,100230.02272352783,1.0023002272352783,0.0023002272352783404,0.0023002272352783404,0.0023002272352783404,1.0023002272352783,0.0,1H
2023-07-13 14:30:00,148.5498046875,99863.85573134033,0.9986385573134033,-0.0036532665785932172,-0.0036532665785932172,-0.001361442686596659,1.0023002272352783,-0.0036532665785932172,1H
2023-07-13 15:30:00,148.7050018310547,99968.14821180908,0.9996814821180908,0.001044346622759429,0.001044346622759429,-0.00031851788190917496,1.0023002272352783,-0.0026127352324473163,1H
2023-07-13 16:30:00,148.83949279785156,100058.52614149658,1.0005852614149657,0.0009040672584632592,0.0009040672584632592,0.000585261414965732,1.0023002272352783,-0.0017110300623627284,1H
2023-07-13 17:30:00,148.92999267578125,100119.34205946533,1.0011934205946533,0.0006078034557770451,0.0006078034557770451,0.0011934205946533272,1.0023002272352783,-0.0011042665765705895,1H
2023-07-13 18:30:00,148.77499389648438,100015.18287977783,1.0001518287977782,-0.0010403502214950677,-0.0010403502214950677,0.00015182879777819736,1.0023002272352783,-0.0021434679740881535,1H
2023-07-13 19:30:00,148.8300018310547,100052.14821180908,1.0005214821180908,0.0003695972048132212,0.0003695972048132212,0.0005214821180907769,1.0023002272352783,-0.0017746629890467158,1H
2023-07-14 13:30:00,149.79649353027344,100701.63063368408,1.0070163063368407,0.006491439049365111,0.006491439049365111,0.007016306336840694,1.0070163063368407,0.0,1H
2023-07-14 14:30:00,148.77999877929688,100018.54616102783,1.0001854616102783,-0.006783251357081466,-0.006783251357081466,0.00018546161027832575,1.0070163063368407,-0.006783251357081244,1H
2023-07-14 15:30:00,149.1199951171875,100247.02370009033,1.0024702370009033,0.002284351731074441,0.002284351731074441,0.002470237000903319,1.0070163063368407,-0.004514394957986667,1H
2023-07-14 16:30:00,149.41819763183594,100447.41578993408,1.0044741578993408,0.0019989829368227685,0.0019989829368227685,0.004474157899340803,1.0070163063368407,-0.002524436219654924,1H
2023-07-14 17:30:00,149.55999755859375,100542.70534071533,1.0054270534071532,0.0009486510930309944,0.0009486510930309944,0.005427053407153215,1.0070163063368407,-0.0015781799358032256,1H
2023-07-14 18:30:00,149.51499938964844,100512.46657118408,1.005124665711841,-0.00030075547926400326,-0.00030075547926400326,0.005124665711840892,1.0070163063368407,-0.0018784607688041577,1H
2023-07-14 19:30:00,149.8300018310547,100724.14821180908,1.0072414821180908,0.0021060237386083536,0.0021060237386083536,0.007241482118090836,1.0072414821180908,0.0,1H
2023-07-17 13:30:00,150.6699981689453,101288.62575087158,1.0128862575087159,0.005604192729190327,0.005604192729190327,0.01288625750871586,1.0128862575087159,0.0,1H
2023-07-17 14:30:00,152.19000244140625,102310.06862196533,1.0231006862196532,0.010084477536560499,0.010084477536560499,0.02310068621965322,1.0231006862196532,0.0,1H
2023-07-17 15:30:00,152.82000732421875,102733.43190321533,1.0273343190321533,0.004138041220696609,0.004138041220696609,0.02733431903215333,1.0273343190321533,0.0,1H
2023-07-17 16:30:00,153.2050018310547,102992.14821180908,1.0299214821180909,0.0025183263500578867,0.0025183263500578867,0.02992148211809087,1.0299214821180909,0.0,1H
2023-07-17 17:30:00,153.6750030517578,103307.98903212158,1.0330798903212157,0.0030666495048046194,0.0030666495048046194,0.03307989032121572,1.0330798903212157,0.0,1H
2023-07-17 18:30:00,153.2156982421875,102999.33620009033,1.0299933620009032,-0.0029876956750680694,-0.0029876956750680694,0.02999336200090319,1.0330798903212157,-0.0029876956750680694,1H
2023-07-17 19:30:00,153.35000610351562,103089.59108290283,1.0308959108290283,0.0008762666454196211,0.0008762666454196211,0.030895910829028317,1.0330798903212157,-0.0021140470477151174,1H
2023-07-18 13:30:00,153.26499938964844,103032.46657118408,1.0303246657118408,-0.0005541249229790157,-0.0005541249229790157,0.03032466571184078,1.0330798903212157,-0.0026670005245366113,1H
2023-07-18 14:30:00,154.0449981689453,103556.62575087158,1.035566257508716,0.0050873205032451185,0.0050873205032451185,0.03556625750871589,1.035566257508716,0.0,1H
2023-07-18 15:30:00,154.0800018310547,103580.14821180908,1.0358014821180908,0.00022714588049721485,0.00022714588049721485,0.035801482118090755,1.0358014821180908,0.0,1H
2023-07-18 16:30:00,154.17999267578125,103647.34205946533,1.0364734205946533,0.0006487135693109547,0.0006487135693109547,0.036473420594653305,1.0364734205946533,0.0,1H
2023-07-18 17:30:00,154.33999633789062,103754.86452040283,1.0375486452040283,0.0010373875374036778,0.0010373875374036778,0.03754864520402834,1.0375486452040283,0.0,1H
