name,adx,ret63,stop,trail,time_stop,vol_cap,tr_trades,tr_z,tr_p,va_trades,va_z,va_p,se_trades,se_z,se_p,gate,score
a12_r0.01_s2.8_t2.8_h80_v1.2,12,0.01,2.8,2.8,80,1.2,116,-0.08075985680951346,0.5346534653465347,48,0.00012759792701689754,0.4158415841584158,13,-0.079558363460464,0.4966887417218543,False,-0.883782517956363
a12_r0.01_s2.2_t2.8_h120_v1.5,12,0.01,2.2,2.8,120,1.5,117,-0.019078998559106282,0.4752475247524752,48,0.08806903750353968,0.39603960396039606,13,-0.2869778586987247,0.5562913907284768,False,-0.9317770794749654
a12_r0.01_s2.8_t2.8_h80_v1.5,12,0.01,2.8,2.8,80,1.5,116,-0.2960400240210265,0.594059405940594,48,0.2751492239915668,0.38613861386138615,13,-0.17296288317312716,0.5165562913907285,False,-0.9422308387989412
a20_r0.0_s2.8_t2.8_h80_v1.5,20,0.0,2.8,2.8,80,1.5,77,-0.20680140656491586,0.5544554455445545,26,0.06622076956715814,0.5148514851485149,10,-0.009338831125861629,0.5364238410596026,False,-0.9527848539999553
a20_r0.0_s2.8_t2.8_h120_v1.2,20,0.0,2.8,2.8,120,1.2,77,-0.1532044379890965,0.5346534653465347,26,0.0978646008689665,0.43564356435643564,10,-0.14174986392022648,0.5496688741721855,False,-0.9570726529779343
a20_r0.01_s2.8_t2.8_h80_v1.5,20,0.01,2.8,2.8,80,1.5,73,0.024148451281167462,0.40594059405940597,25,-0.18893405324317183,0.594059405940594,10,-0.070803072288457,0.46357615894039733,False,-0.96737675372066
a20_r0.01_s2.8_t2.8_h120_v1.5,20,0.01,2.8,2.8,120,1.5,73,-0.10272714948882745,0.5346534653465347,25,0.10229060949858174,0.4158415841584158,10,-0.22757831133826317,0.5364238410596026,False,-0.9714742966107854
a12_r0.0_s2.2_t3.4_h120_v1.2,12,0.0,2.2,3.4,120,1.2,119,-0.4369532276579286,0.6732673267326733,51,0.011681311733754743,0.46534653465346537,15,0.17503524912737953,0.3841059602649007,False,-1.011596577622314
a12_r0.0_s2.8_t3.4_h80_v1.2,12,0.0,2.8,3.4,80,1.2,118,-0.574819818539554,0.6534653465346535,51,-0.0584204755348729,0.5346534653465347,14,0.24831866899451083,0.3708609271523179,False,-1.1644114945966693
a16_r0.0_s2.2_t3.4_h120_v1.5,16,0.0,2.2,3.4,120,1.5,102,-0.17357049367254662,0.594059405940594,35,-0.1901701306579046,0.5346534653465347,12,-0.03540733332611953,0.46357615894039733,False,-1.1952924727703338
a12_r0.0_s2.2_t3.4_h80_v1.2,12,0.0,2.2,3.4,80,1.2,119,-0.5808936004397887,0.7326732673267327,51,-0.12436182092839897,0.5445544554455446,15,0.30467107379663916,0.31788079470198677,False,-1.1981386063086805
a12_r0.0_s2.8_t3.4_h120_v1.2,12,0.0,2.8,3.4,120,1.2,118,-0.5983145592071631,0.6831683168316832,51,-0.13648061639258363,0.5346534653465347,14,0.2862153804897146,0.36423841059602646,False,-1.2396098914971545
a16_r0.0_s2.8_t3.4_h120_v1.2,16,0.0,2.8,3.4,120,1.2,100,-0.30831868531882534,0.5643564356435643,35,-0.23607669498532624,0.5346534653465347,12,0.010718534642263805,0.4370860927152318,False,-1.3017248425145533
a16_r0.01_s2.2_t2.8_h120_v1.5,16,0.01,2.2,2.8,120,1.5,102,-0.08568136170389523,0.5247524752475248,34,-0.07349769662523287,0.5346534653465347,12,-0.31927085065696986,0.5960264900662252,False,-1.3061661243162401
a16_r0.0_s2.8_t3.4_h120_v1.5,16,0.0,2.8,3.4,120,1.5,100,-0.1734468202784463,0.5544554455445545,35,-0.26405372657928466,0.5544554455445545,12,-0.08625606006543003,0.48344370860927155,False,-1.3199339067723512
a16_r0.0_s2.8_t3.4_h80_v1.5,16,0.0,2.8,3.4,80,1.5,100,-0.24366882016855199,0.5445544554455446,35,-0.26069176761054685,0.5742574257425742,12,-0.052130711290619566,0.45695364238410596,False,-1.3443740608558308
a12_r0.0_s2.8_t3.4_h120_v1.5,12,0.0,2.8,3.4,120,1.5,118,-0.6166909370940743,0.693069306930693,51,-0.1456258845455417,0.49504950495049505,14,0.21798975391613232,0.423841059602649,False,-1.3503070034654021
a12_r0.01_s2.2_t3.4_h80_v1.2,12,0.01,2.2,3.4,80,1.2,110,-0.453286217531704,0.6435643564356436,47,-0.029726035185044623,0.48514851485148514,13,-0.10783957113619913,0.5165562913907285,False,-1.4134864051918763
a16_r0.0_s2.2_t3.4_h80_v1.2,16,0.0,2.2,3.4,80,1.2,102,-0.28742649888113936,0.6039603960396039,35,-0.23513802875538137,0.594059405940594,12,-0.0918637237713567,0.4900662251655629,False,-1.4584712649807579
a20_r0.0_s2.2_t2.8_h120_v1.2,20,0.0,2.2,2.8,120,1.2,79,-0.45117403335106765,0.6336633663366337,27,0.057377613320087895,0.5148514851485149,10,-0.24552822041393413,0.5496688741721855,False,-1.488416503273581
a16_r0.0_s2.2_t3.4_h80_v1.5,16,0.0,2.2,3.4,80,1.5,102,-0.19351533688037484,0.5445544554455446,35,-0.4031024566961576,0.6138613861386139,12,-0.08091346523718689,0.4966887417218543,False,-1.505083550466726
a20_r0.01_s2.8_t3.4_h80_v1.2,20,0.01,2.8,3.4,80,1.2,66,-0.4977073399621076,0.6831683168316832,25,-0.0988254668512439,0.5148514851485149,10,-0.09022154059571054,0.543046357615894,False,-1.5572874272071082
a12_r0.01_s2.8_t3.4_h120_v1.5,12,0.01,2.8,3.4,120,1.5,109,-0.6027137716868213,0.693069306930693,47,-0.019626788397811443,0.4752475247524752,13,-0.09545179065887209,0.5298013245033113,False,-1.5668514288367446
a16_r0.01_s2.2_t3.4_h80_v1.5,16,0.01,2.2,3.4,80,1.5,95,-0.2520903212300967,0.5544554455445545,34,-0.19102816551637505,0.5742574257425742,12,-0.2760978693148052,0.5761589403973509,False,-1.571652261903517
a16_r0.0_s2.8_t3.4_h80_v1.2,16,0.0,2.8,3.4,80,1.2,100,-0.29418022153409557,0.594059405940594,35,-0.3416103006359838,0.5445544554455446,12,-0.11627237693664388,0.5099337748344371,False,-1.5763367172170113
a16_r0.01_s2.8_t3.4_h80_v1.5,16,0.01,2.8,3.4,80,1.5,93,-0.3610411639489071,0.6336633663366337,34,-0.2936862677727931,0.594059405940594,12,-0.11006821010677324,0.5165562913907285,False,-1.6369351736624516
a20_r0.01_s2.2_t2.8_h120_v1.5,20,0.01,2.2,2.8,120,1.5,75,-0.4297292811793866,0.6435643564356436,26,-0.12059437180342802,0.5742574257425742,10,-0.19781691146213298,0.5695364238410596,False,-1.6418196674545862
a20_r0.01_s2.2_t2.8_h80_v1.2,20,0.01,2.2,2.8,80,1.2,75,-0.36351999381324523,0.6732673267326733,26,-0.24082731778885105,0.5841584158415841,10,-0.16132410344032952,0.4966887417218543,False,-1.6427286571904816
a12_r0.01_s2.8_t3.4_h80_v1.2,12,0.01,2.8,3.4,80,1.2,109,-0.4944392119012111,0.6435643564356436,47,-0.12048936868262441,0.5247524752475248,13,-0.17591281491883712,0.5695364238410596,False,-1.6597680232647867
a20_r0.01_s2.2_t2.8_h80_v1.5,20,0.01,2.2,2.8,80,1.5,75,-0.27093216735392506,0.6039603960396039,26,-0.21982047488210935,0.6237623762376238,10,-0.2853353014624155,0.5695364238410596,False,-1.6747175417575937
a20_r0.0_s2.2_t2.8_h80_v1.5,20,0.0,2.2,2.8,80,1.5,79,-0.6105491782152404,0.7029702970297029,27,-0.022868713051223427,0.48514851485148514,10,-0.18121854470159018,0.5364238410596026,False,-1.6769077624384492
a16_r0.0_s2.2_t3.4_h120_v1.2,16,0.0,2.2,3.4,120,1.2,102,-0.28703488445405245,0.6039603960396039,35,-0.36524779731553353,0.6039603960396039,12,-0.13358451927209475,0.5761589403973509,False,-1.67790706727996
a16_r0.01_s2.2_t3.4_h80_v1.2,16,0.01,2.2,3.4,80,1.2,95,-0.24888471733188736,0.5841584158415841,34,-0.33384753461885264,0.6039603960396039,12,-0.2244993415054435,0.5695364238410596,False,-1.6860592113173074
a20_r0.0_s2.2_t2.8_h120_v1.5,20,0.0,2.2,2.8,120,1.5,79,-0.44209509412900205,0.693069306930693,27,-0.03885635578814112,0.48514851485148514,10,-0.32682097099066004,0.609271523178808,False,-1.7015170933882962
a20_r0.01_s2.2_t2.8_h120_v1.2,20,0.01,2.2,2.8,120,1.2,75,-0.34775190624638,0.594059405940594,26,-0.18517302215286313,0.5445544554455446,10,-0.33041202474321746,0.6158940397350994,False,-1.7405909037030796
a20_r0.0_s2.8_t3.4_h80_v1.2,20,0.0,2.8,3.4,80,1.2,70,-0.6916710854419638,0.7623762376237624,26,-0.03718595216211116,0.45544554455445546,10,-0.15675654066383662,0.5364238410596026,False,-1.7627363898868218
a16_r0.01_s2.8_t3.4_h120_v1.5,16,0.01,2.8,3.4,120,1.5,93,-0.4173515395596621,0.6633663366336634,34,-0.2979922736259266,0.5544554455445545,12,-0.1642758760698433,0.5496688741721855,False,-1.7633650174306337
a20_r0.0_s2.8_t3.4_h120_v1.2,20,0.0,2.8,3.4,120,1.2,70,-0.5317915653621946,0.6534653465346535,26,-0.2503290168387259,0.5742574257425742,10,-0.1293389259931647,0.5231788079470199,False,-1.786910298306209
a12_r0.01_s2.8_t3.4_h120_v1.2,12,0.01,2.8,3.4,120,1.2,109,-0.6315955768268202,0.7128712871287128,47,-0.1039794720270854,0.4752475247524752,13,-0.1740212211534741,0.5695364238410596,False,-1.7884238878685035
a20_r0.01_s2.8_t3.4_h80_v1.5,20,0.01,2.8,3.4,80,1.5,66,-0.6835723167071123,0.693069306930693,25,-0.14885718153643238,0.5544554455445545,10,-0.10237199499246313,0.4900662251655629,False,-1.803596982056413
a12_r0.01_s2.2_t3.4_h80_v1.5,12,0.01,2.2,3.4,80,1.5,110,-0.6568986803228958,0.7128712871287128,47,-0.15606001316565168,0.5742574257425742,13,-0.09962056767217578,0.4966887417218543,False,-1.8044879884572937
a12_r0.01_s2.2_t3.4_h120_v1.2,12,0.01,2.2,3.4,120,1.2,110,-0.7104715832831692,0.7722772277227723,47,-0.10387487118835927,0.504950495049505,13,-0.12406863212978535,0.5231788079470199,False,-1.8386183519609625
a20_r0.01_s2.8_t3.4_h120_v1.5,20,0.01,2.8,3.4,120,1.5,66,-0.5882002447026139,0.7128712871287128,25,-0.15689403412783418,0.5346534653465347,10,-0.20007291640419372,0.5496688741721855,False,-1.8437640085583584
a20_r0.01_s2.8_t3.4_h120_v1.2,20,0.01,2.8,3.4,120,1.2,66,-0.4107011004037686,0.6435643564356436,25,-0.3926653586047304,0.6435643564356436,10,-0.14715094251782346,0.5562913907284768,False,-1.8722274533262044
a16_r0.01_s2.2_t3.4_h120_v1.2,16,0.01,2.2,3.4,120,1.2,95,-0.45240392976333754,0.6435643564356436,34,-0.36492351317257193,0.5841584158415841,12,-0.15551361709325673,0.5761589403973509,False,-1.8747819163664554
a16_r0.01_s2.8_t3.4_h80_v1.2,16,0.01,2.8,3.4,80,1.2,93,-0.3976633209787464,0.6732673267326733,34,-0.4558913206374256,0.6633663366336634,12,-0.15118671088705837,0.4966887417218543,False,-1.9214025550473257
a20_r0.0_s2.2_t2.8_h80_v1.2,20,0.0,2.2,2.8,80,1.2,79,-0.5071913610040164,0.693069306930693,27,-0.20905388487948842,0.594059405940594,10,-0.29537787879001115,0.5562913907284768,False,-1.9333331764733979
a12_r0.01_s2.2_t3.4_h120_v1.5,12,0.01,2.2,3.4,120,1.5,110,-0.6574766791580826,0.7623762376237624,47,-0.36443156859411074,0.5742574257425742,13,-0.001817652192563328,0.4900662251655629,False,-1.9370758442107063
a16_r0.01_s2.8_t3.4_h120_v1.2,16,0.01,2.8,3.4,120,1.2,93,-0.4347584786223047,0.6435643564356436,34,-0.46094447204664907,0.6831683168316832,12,-0.191179608802271,0.5629139072847682,False,-2.031705849747272
a20_r0.0_s2.8_t3.4_h80_v1.5,20,0.0,2.8,3.4,80,1.5,70,-0.8005015161946376,0.8118811881188119,26,-0.20550448254611123,0.5841584158415841,10,-0.12724948991625995,0.4966887417218543,False,-2.0796196614981337
a20_r0.0_s2.8_t3.4_h120_v1.5,20,0.0,2.8,3.4,120,1.5,70,-0.8169727853924174,0.801980198019802,26,-0.062370485672529744,0.504950495049505,10,-0.2610699040074833,0.6026490066225165,False,-2.095203024918342
a12_r0.01_s2.8_t3.4_h80_v1.5,12,0.01,2.8,3.4,80,1.5,109,-0.7076720369619658,0.7821782178217822,47,-0.23230810289367237,0.5445544554455446,13,-0.2191387256110286,0.5761589403973509,False,-2.110564672299006
a16_r0.01_s2.2_t3.4_h120_v1.5,16,0.01,2.2,3.4,120,1.5,95,-0.44265364246069067,0.6831683168316832,34,-0.4634558483297835,0.6831683168316832,12,-0.2387622380305608,0.5960264900662252,False,-2.1260532906858307
a20_r0.0_s2.2_t3.4_h120_v1.2,20,0.0,2.2,3.4,120,1.2,74,-0.7450345244661077,0.7722772277227723,27,-0.18604110454008577,0.5643564356435643,10,-0.27953531232270445,0.543046357615894,False,-2.1504509518200132
a20_r0.01_s2.2_t3.4_h120_v1.2,20,0.01,2.2,3.4,120,1.2,70,-0.6779600590734137,0.7227722772277227,26,-0.3216902888062835,0.6039603960396039,10,-0.282334471726402,0.6225165562913907,False,-2.256609434385458
a20_r0.01_s2.2_t3.4_h80_v1.2,20,0.01,2.2,3.4,80,1.2,70,-0.757947521581479,0.7722772277227723,26,-0.30205233517833546,0.6237623762376238,10,-0.24187353002944417,0.5231788079470199,False,-2.2614825927429667
a20_r0.0_s2.2_t3.4_h120_v1.5,20,0.0,2.2,3.4,120,1.5,74,-0.7930113485196553,0.7623762376237624,27,-0.3457372314504892,0.594059405940594,10,-0.23232360885999212,0.5496688741721855,False,-2.3241244476984075
a20_r0.01_s2.2_t3.4_h120_v1.5,20,0.01,2.2,3.4,120,1.5,70,-0.9275640934352707,0.801980198019802,26,-0.3762509346587898,0.6237623762376238,10,-0.09334963198437347,0.5165562913907285,False,-2.3683140929025113
a20_r0.01_s2.2_t3.4_h80_v1.5,20,0.01,2.2,3.4,80,1.5,70,-0.7843590172019851,0.8217821782178217,26,-0.41682340634577125,0.7029702970297029,10,-0.1585366475679915,0.543046357615894,False,-2.3936184875474575
a20_r0.0_s2.2_t3.4_h80_v1.5,20,0.0,2.2,3.4,80,1.5,74,-0.9352193488272293,0.8217821782178217,27,-0.24767805918002878,0.6039603960396039,10,-0.25433346303870513,0.5827814569536424,False,-2.4414928866514973
a20_r0.0_s2.2_t3.4_h80_v1.2,20,0.0,2.2,3.4,80,1.2,74,-0.9269158056881688,0.8415841584158416,27,-0.34271466111599574,0.594059405940594,10,-0.4487528146890852,0.6490066225165563,False,-2.760708374929745
