name,adx,ret63,stop,trail,time_stop,vol_cap,tr_trades,tr_z,tr_p,va_trades,va_z,va_p,se_trades,se_z,se_p,gate,score
a12_r0.0_s2.8_t2.8_h80_v1.5,12,0.0,2.8,2.8,80,1.5,126,-0.2193604366796782,0.5346534653465347,52,0.3659391323923736,0.37623762376237624,14,0.5533973315121713,0.2781456953642384,False,0.10545763498829208
a12_r0.0_s2.2_t2.8_h80_v1.2,12,0.0,2.2,2.8,80,1.2,127,-0.17527699151299914,0.5643564356435643,52,0.40367169309379847,0.297029702970297,15,0.4640453536463004,0.33112582781456956,False,0.09618407201288437
a12_r0.0_s2.8_t2.8_h120_v1.5,12,0.0,2.8,2.8,120,1.5,126,-0.12161453081920684,0.5544554455445545,52,0.11147123361615917,0.38613861386138615,14,0.3746844375972099,0.2847682119205298,False,-0.24813999526907304
a12_r0.0_s2.2_t2.8_h80_v1.5,12,0.0,2.2,2.8,80,1.5,127,-0.2402686726245112,0.5445544554455446,52,0.2695347682625117,0.36633663366336633,15,0.31884972861721333,0.33774834437086093,False,-0.27620389248467214
a12_r0.0_s2.2_t2.8_h120_v1.5,12,0.0,2.2,2.8,120,1.5,127,-0.2035045220815768,0.5445544554455446,52,0.24886616418012694,0.40594059405940597,15,0.33005663722734485,0.36423841059602646,False,-0.2819484507245935
a12_r0.0_s2.2_t2.8_h120_v1.2,12,0.0,2.2,2.8,120,1.2,127,-0.28475052022198366,0.5445544554455446,52,0.24372660309072994,0.42574257425742573,15,0.4050273686998727,0.33774834437086093,False,-0.29001923546829655
a16_r0.0_s2.2_t2.8_h120_v1.5,16,0.0,2.2,2.8,120,1.5,110,-0.02017978120487539,0.4158415841584158,35,0.26748224163830564,0.40594059405940597,12,0.06798621149304622,0.44370860927152317,False,-0.31745672181819606
a12_r0.0_s2.8_t2.8_h80_v1.2,12,0.0,2.8,2.8,80,1.2,126,-0.3053879355776239,0.6336633663366337,52,0.32997536254808923,0.31683168316831684,14,0.302823921484116,0.3576158940397351,False,-0.32664412331776144
a16_r0.0_s2.8_t2.8_h120_v1.2,16,0.0,2.8,2.8,120,1.2,108,0.13349242042498735,0.39603960396039606,35,0.1940426627736052,0.3564356435643564,12,-0.08169997690313105,0.4768211920529801,False,-0.36881311349340473
a16_r0.0_s2.2_t2.8_h120_v1.2,16,0.0,2.2,2.8,120,1.2,110,0.07521191410016033,0.40594059405940597,35,0.19187324863130525,0.38613861386138615,12,-0.01839091629980355,0.44370860927152317,False,-0.3691996621644956
a12_r0.01_s2.2_t2.8_h80_v1.5,12,0.01,2.2,2.8,80,1.5,117,0.014817772441133095,0.46534653465346537,48,0.32459498469531706,0.36633663366336633,13,-0.09905151107421702,0.5165562913907285,False,-0.43375848379154697
a16_r0.0_s2.8_t2.8_h120_v1.5,16,0.0,2.8,2.8,120,1.5,108,0.07678176077693438,0.44554455445544555,35,0.23372833509757082,0.42574257425742573,12,-0.05341100082364748,0.5231788079470199,False,-0.44013387327908793
a12_r0.0_s2.8_t2.8_h120_v1.2,12,0.0,2.8,2.8,120,1.2,126,-0.409264044335739,0.6138613861386139,52,0.1349015022952034,0.4158415841584158,14,0.41008811420164365,0.32450331125827814,False,-0.5413775686165458
a16_r0.0_s2.8_t2.8_h80_v1.2,16,0.0,2.8,2.8,80,1.2,108,0.07852811963124644,0.48514851485148514,35,0.054406310213003024,0.46534653465346537,12,0.024605638923705923,0.4966887417218543,False,-0.5660518268454471
a16_r0.0_s2.8_t2.8_h80_v1.5,16,0.0,2.8,2.8,80,1.5,108,0.05898787291820739,0.44554455445544555,35,0.07405672402304579,0.4158415841584158,12,-0.040029245854261174,0.4900662251655629,False,-0.5827108308027201
a16_r0.01_s2.2_t2.8_h120_v1.2,16,0.01,2.2,2.8,120,1.2,102,0.18920533379149898,0.42574257425742573,34,0.025419514956450222,0.40594059405940597,12,-0.16892988480768364,0.5298013245033113,False,-0.6350472824698059
a16_r0.01_s2.8_t2.8_h80_v1.5,16,0.01,2.8,2.8,80,1.5,100,0.21630958417225843,0.3564356435643564,34,0.0182786826263162,0.43564356435643564,12,-0.21372850124509774,0.543046357615894,False,-0.6467030172148661
a12_r0.01_s2.8_t2.8_h120_v1.2,12,0.01,2.8,2.8,120,1.2,116,-0.03441442882044313,0.45544554455445546,48,0.19678356492919466,0.36633663366336633,13,-0.14730419151211038,0.5231788079470199,False,-0.6574155484857798
a16_r0.01_s2.2_t2.8_h80_v1.2,16,0.01,2.2,2.8,80,1.2,102,0.2009602646759481,0.40594059405940597,34,0.1123352686295653,0.43564356435643564,12,-0.2880827573205673,0.6026490066225165,False,-0.696903806534233
a16_r0.01_s2.8_t2.8_h120_v1.5,16,0.01,2.8,2.8,120,1.5,100,0.25242239415041523,0.297029702970297,34,-0.08474311360340918,0.5346534653465347,12,-0.19114473920626268,0.543046357615894,False,-0.7108302216256195
a20_r0.0_s2.8_t2.8_h80_v1.2,20,0.0,2.8,2.8,80,1.2,77,-0.11826262677992393,0.5346534653465347,26,0.1953477316367977,0.40594059405940597,10,-0.06329999612539182,0.5165562913907285,False,-0.7147900666668525
a16_r0.01_s2.8_t2.8_h120_v1.2,16,0.01,2.8,2.8,120,1.2,100,0.24348320679108268,0.27722772277227725,34,-0.11140523028034345,0.49504950495049505,12,-0.1925032256498402,0.5496688741721855,False,-0.7213983000865799
a20_r0.01_s2.8_t2.8_h120_v1.2,20,0.01,2.8,2.8,120,1.2,73,0.12527517050430897,0.44554455445544555,25,0.020827808813819074,0.49504950495049505,10,-0.12192788462890891,0.5629139072847682,False,-0.7275788886561352
a16_r0.01_s2.2_t2.8_h80_v1.5,16,0.01,2.2,2.8,80,1.5,102,0.19632867073156476,0.3564356435643564,34,0.041718938426074006,0.44554455445544555,12,-0.2942284526933545,0.5827814569536424,False,-0.748561671022438
a16_r0.0_s2.2_t2.8_h80_v1.5,16,0.0,2.2,2.8,80,1.5,110,-0.10612142165128258,0.4752475247524752,35,0.10529789580354001,0.39603960396039606,12,-0.08135046188552744,0.5033112582781457,False,-0.7694731812287785
a16_r0.01_s2.8_t2.8_h80_v1.2,16,0.01,2.8,2.8,80,1.2,100,0.10127399057745005,0.4158415841584158,34,0.01004754649982459,0.48514851485148514,12,-0.17282615239781482,0.5298013245033113,False,-0.7769003270771463
a12_r0.0_s2.2_t3.4_h80_v1.5,12,0.0,2.2,3.4,80,1.5,119,-0.45526883903355525,0.6534653465346535,51,0.09875033258623961,0.42574257425742573,15,0.29872908115213836,0.3708609271523179,False,-0.7828238492673759
a20_r0.01_s2.8_t2.8_h80_v1.2,20,0.01,2.8,2.8,80,1.2,73,0.23716619597531283,0.38613861386138615,25,-0.1264041674590819,0.5643564356435643,10,-0.15749001709781243,0.5231788079470199,False,-0.7835649173075667
a20_r0.0_s2.8_t2.8_h120_v1.5,20,0.0,2.8,2.8,120,1.5,77,-0.10489071622651852,0.504950495049505,26,0.155817105591108,0.40594059405940597,10,-0.15279118903890815,0.5364238410596026,False,-0.8255222647585754
a16_r0.0_s2.2_t2.8_h80_v1.2,16,0.0,2.2,2.8,80,1.2,110,0.05329037059090074,0.4752475247524752,35,-0.04914811552357748,0.504950495049505,12,-0.08720770577986181,0.5165562913907285,False,-0.8314426063088929
a12_r0.01_s2.8_t2.8_h120_v1.5,12,0.01,2.8,2.8,120,1.5,116,-0.07106274185027321,0.48514851485148514,48,0.10365504133775764,0.45544554455445546,13,-0.16635971971775518,0.48344370860927155,False,-0.8457863042378768
a12_r0.01_s2.2_t2.8_h80_v1.2,12,0.01,2.2,2.8,80,1.2,117,-0.10585017503789584,0.4752475247524752,48,0.09321683531913127,0.42574257425742573,13,-0.143579313782229,0.4900662251655629,False,-0.8517408155887255
a12_r0.01_s2.2_t2.8_h120_v1.2,12,0.01,2.2,2.8,120,1.2,117,-0.06456424046672839,0.504950495049505,48,0.18733867695925926,0.42574257425742573,13,-0.2635922031195058,0.5364238410596026,False,-0.8743762218102415
a12_r0.0_s2.2_t3.4_h120_v1.5,12,0.0,2.2,3.4,120,1.5,119,-0.4072698505857351,0.7128712871287128,51,0.017615397016029925,0.4752475247524752,15,0.30744701089212695,0.3973509933774834,False,-0.8749423453069141
a12_r0.0_s2.8_t3.4_h80_v1.5,12,0.0,2.8,3.4,80,1.5,118,-0.44532071334851153,0.6435643564356436,51,-0.11725554742589832,0.5544554455445545,14,0.4636677743451428,0.3576158940397351,False,-0.8767263344392338
