simulation_id,simulated_cumulative_return
1,11869.613906136217
2,782.3278295974434
3,685070.3395829487
4,192906.39998700217
5,646724.8955222442
6,140438.66794331255
7,229840.68079897505
8,16445.914405181396
9,526831.745371001
10,99090.05662087648
11,98469.12299171784
12,3710.501915325699
13,604666.6846144896
14,929984.7272642627
15,202547.276992515
16,156.85427729576162
17,41110.28141280836
18,2131.0722689198506
19,16552.43744579313
20,11393.841736145461
21,48005.10832032876
22,5055.244168712493
23,293839.3173533368
24,8235.069020922236
25,26605.511881357197
26,49564.068497583794
27,5292.185650299409
28,46277.770599358475
29,158208.11342236563
30,36419.36987941081
31,12672.423086143224
32,617719376.3148023
33,168963.79572113574
34,165796.25326869142
35,56975.28445870269
36,32271.02090042005
37,6088.369795934731
38,56135.77317794131
39,169.33524128844635
40,2605.427870288969
41,198064.03027717603
42,2388586.688130758
43,44729.981843543035
44,29096.471264959393
45,34453.03331560518
46,25846.354136322803
47,20662.53222240037
48,54183.03806938215
49,514.4604125920708
50,154625.47530028658
51,898230.7218256535
52,110222.6462307946
53,8573.107316532783
54,39881.24903881217
55,4740750.681500588
56,476652.8466924847
57,22499.523950914696
58,37124.9045572738
59,252.40690974676676
60,577894.6075010286
61,39984.64728862619
62,43393.08635550631
63,24140.794900706904
64,45473.46321011495
65,393098.1646273926
66,34206.87063429056
67,50260.319192006034
68,262645.1928173013
69,2607202.8792355713
70,55162.20943202013
71,139723.94731176604
72,296819.07692356093
73,5431.585591543353
74,277868.26835547993
75,5885.936448856385
76,65594.1763075554
77,135127.09615081525
78,559833.6758305964
79,1398890.4388080142
80,3877.6233143762706
81,448487.36355698516
82,64168.12095526096
83,1073.8220511302497
84,70693.0429628382
85,26489.90776625284
86,71742.14684627362
87,1507693.6841709916
88,195306.1715077312
89,101171.35111168149
90,2604.4341470767617
91,54589.94838200006
92,7288.317140938082
93,21132.274294534815
94,41249.15035323705
95,6307.994964895959
96,202.33415146126387
97,1102423.9813078209
98,4146971.9262631023
99,242328.24875960828
100,39889.8735433324
101,167619.56723346488
102,37454.272002991675
103,3348.3241515087198
104,152180.60229220745
105,18941.457680673524
106,264043.4560046177
107,62352.66889940519
108,140433.8922091057
109,6839.141270456474
110,25054.95591710913
111,1136.9965326527324
112,241635.1488925041
113,115331.8816658619
114,6440.632297917295
115,22404.99736917787
116,5228.891140997794
117,491.15094178056233
118,3741.4420831294415
119,17715.40921906852
120,3538540.74064272
121,6790812.072783304
122,63026.26556130551
123,73621.07212451902
124,3301.6770604197445
125,17788.06590624255
126,4958.09682166363
127,29803.338109185406
128,441886.3114582117
129,39004.91634588695
130,44227.93358594092
131,308.41646818952137
132,209287.76354526146
133,154449.63522973892
134,2201.8469440494573
135,132501.55985704449
136,15890.22757441269
137,916973.2794740959
138,303279.6966896424
139,407037.7345471025
140,165502.53652075573
141,122615.22277339682
142,351539.23122258676
143,326091.91359651135
144,14066552.896196574
145,935110.3501571394
146,21095.932714561048
147,404169.065899744
148,836445.5118825585
149,1149548.8685030486
150,21596.49542665804
151,439951.4616297197
152,2832.0980615666394
153,2169.338765393615
154,934043.8823264529
155,115862.55655458874
156,109744.83398765278
157,286.1159730457618
158,20634.873680504537
159,1067.0108561843579
160,10163.343877552632
161,549307.04928092
162,1196.9260555610883
163,182069.07055885004
164,24323.576169109652
165,58803.59811349343
166,124545.76547642528
167,10344732.218185205
168,28013.244877258763
169,186654.52213413236
170,2559562.078981862
171,202172.21687331874
172,87029.09733244413
173,30258.127639302256
174,940.4832450087971
175,1620328.2100238395
176,29197.522087921876
177,490937.9457864029
178,630796.8882082544
179,5795.782412346536
180,267192.42759482
181,12351.868482686159
182,3364217.3369621164
183,93693.8525108393
184,13970.176458146394
185,82279.7129533887
186,29373.92224147276
187,15060.726861593184
188,138.30010893942506
189,525983.9187971884
190,20920.647490598683
191,387.7418576588818
192,16200.476746781975
193,12994.124491461554
194,163.5182846154732
195,4314.819768716897
196,596401.6152227361
197,74829.52610989932
198,291782.17730374914
199,43564.214781756455
200,417825.4525149319
201,102915.81265118989
202,114251.00998951032
203,707401.1637711719
204,674387.4706848186
205,12899.106844049915
206,354882.09349311853
207,274712.8278909006
208,38722.53182604615
209,129158.38300709202
210,19325.219343650086
211,50026.66151200629
212,11232.007748290653
213,15145.142714477392
214,164869.34578046238
215,163048.14946474275
216,4407.882637756252
217,80420.29986321587
218,12223.766140054267
219,20751.935725124702
220,152477.91697896496
221,49568.66151780066
222,2132622.410237028
223,30772.33476578286
224,1520421.130599322
225,8063.892888207269
226,5278.851003689353
227,105913.51259907239
228,529710.9419129601
229,29556.92511075229
230,894963.7795472579
231,467.94981063191875
232,120638.74585351159
233,113689.32080258173
234,346587.963211207
235,24884.680564615785
236,22059.929153747846
237,9581.087931012722
238,56789.41259635735
239,28711.672829406452
240,303175.4280400726
241,553.5729284866926
242,8479.358790008313
243,39945.49858259708
244,154248.57087234428
245,15118.532223755314
246,5304275.787701817
247,538575.7237856617
248,1849.3250418413525
249,4345257.955878735
250,399679.9456503786
251,6839.102706173734
252,36845.530396140275
253,10018.609841941217
254,81443.49667890233
255,2957458.404788509
256,1387350.214159397
257,228057.72563698975
258,149851.1338466548
259,135837.4891674423
