Date,Open,High,Low,Close,Volume,daily_return,ma_20,ma_50,std_20,price_std_20,avg_volume_20,zscore_20,momentum_return_120,breakout_high_20,breakout_low_20,regime
1982-06-04,0.0453025846605574,0.0453025846605574,0.0448752306401729,0.0448752306401729,37676800,-0.0277753161640217,0.0494052344933151,0.0531149461865424,0.0171674333546719,0.0026635049412428,55787200.0,-1.7007679554100914,-0.2999934683661469,0.0559871555893838,0.0461572632193565,calm
1982-06-07,0.0448752306401729,0.0453025846605574,0.0448752306401729,0.0448752306401729,37161600,0.0,0.0488710060715675,0.052884160131216,0.0163322383789725,0.0024374109319751,53409440.0,-1.6393523878046397,-0.2758568618227559,0.0559871555893838,0.0448752306401729,calm
1982-06-08,0.0448752230101462,0.0448752230101462,0.0444478690624237,0.0444478690624237,31404800,-0.009523328830908,0.0483581438660621,0.0526619215309619,0.0162942917043348,0.0022258282000827,53399360.0,-1.7567729636515228,-0.3020069681225593,0.0551324698541196,0.0448752306401729,calm
1982-06-09,0.0440204997050498,0.0440204997050498,0.0435931459069252,0.0435931459069252,33846400,-0.0192297892683697,0.0478880548849701,0.0523969464749097,0.0157172305383351,0.0021894292850625,49940800.0,-1.961656860692902,-0.3461531197781263,0.0534222764420655,0.0444478690624237,calm
1982-06-10,0.0440205000340938,0.0444478538354128,0.0440205000340938,0.0440205000340938,34406400,0.0098032412728605,0.0475034361705183,0.0521234243363141,0.0158837700309562,0.0021591910240374,48110720.0,-1.6130745717495003,-0.3905292339749543,0.0525675794492843,0.0435931459069252,calm
1982-06-11,0.0457299277186393,0.0461572816365792,0.0457299277186393,0.0457299277186393,54633600,0.0388325367322395,0.0471829211339354,0.0518840907514095,0.0186029078539333,0.0019083108941577,48119680.0,-0.7614028823838019,-0.4153016359791581,0.0525675794492843,0.0435931459069252,calm
1982-06-14,0.0457299277186393,0.0461572816365792,0.0457299277186393,0.0457299277186393,29993600,0.0,0.0469692448154091,0.0515849283337592,0.0168516262891493,0.0018176308990909,44832480.0,-0.6818310017670004,-0.3885680802689774,0.0508581617548704,0.0435931459069252,calm
1982-06-15,0.0457299277186393,0.0461572816365792,0.0457299277186393,0.0457299277186393,35212800,0.0,0.0467983042821287,0.051285765916109,0.0166136677195362,0.0017646096315896,42782880.0,-0.6054464082954107,-0.3988722305252878,0.0495760950002742,0.0435931459069252,calm
1982-06-16,0.0457299277186393,0.0461572816365792,0.0457299277186393,0.0457299277186393,41731200,0.0,0.0466700986027717,0.0509866034984588,0.0163142576238771,0.0017443108718213,38767680.0,-0.5389927330732601,-0.3850545346485537,0.0495760950002742,0.0435931459069252,calm
1982-06-17,0.0453025846605574,0.0453025846605574,0.0448752306401729,0.0448752306401729,29164800,-0.0186901034203477,0.0465205259621142,0.0506788945198058,0.0166407280308948,0.0017634441379445,36461600.0,-0.933001100822574,-0.399995806083252,0.0495760950002742,0.0435931459069252,calm
1982-06-18,0.0448752076367319,0.0448752076367319,0.0440205000340938,0.0440205000340938,19868800,-0.0190468236906159,0.0463068488985299,0.0503711839765309,0.0167477238241239,0.0017942452420103,36074080.0,-1.274267759447659,-0.3832303928011118,0.0495760950002742,0.0435931459069252,calm
