agent,skill_luck_verdict,evidence_label,confidence_label,final_classification,stability_classification,verdict_reason,cumulative_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,RCSI,RCSI_z,p_value,adjusted_p_value,p_value_prominence,actual_percentile,number_of_trades,number_of_periods,transaction_cost,research_grade,artifact_run_id,signal_count,trades_per_month,average_holding_bars,average_holding_days,average_holding_hours,activity_status,activity_warning
trend_pullback,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.366; BH-adjusted p=0.923; percentile=63.5; RCSI_z=0.249. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence.",0.5674583126506747,0.3528206831850419,0.16051894001297762,-0.13596490560959051,0.1094342867945872,0.2485873252576841,0.3658170914542729,0.9225387306346824,0.4367360075778195,63.468265867066464,116,6130,0.00047,False,run_20260402T132718Z_pid50811,116.0,0.4254428244366791,10.275862068965518,15.017241379310343,360.41379310344826,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
breakout_volume_momentum,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.594; BH-adjusted p=0.923; percentile=40.6; RCSI_z=-0.326. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence.",0.06406952251556963,0.08136467087544465,0.04877222113989588,-0.12059661890381812,-0.1036952273691587,-0.3256424443710131,0.5942028985507246,0.9225387306346824,0.22606523401751985,40.62968515742129,86,6130,0.00047,False,run_20260402T132718Z_pid50811,86.0,0.3045166356444858,8.0,11.604651162790695,278.51162790697674,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
mean_reversion_vol_filter,Weak Skill,Weak Skill,Moderate,weak skill,not available,"There is some evidence of edge, but it remains modest. raw p=0.111; BH-adjusted p=0.669; percentile=88.9; RCSI_z=1.148. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. The raw metrics clear the label threshold, but the BH-adjusted p-value does not.",0.1328249757364106,0.2737062883898638,0.42374004628126893,-0.07616912159466005,0.1117922917635193,1.1481604192152453,0.1114442778610694,0.6686656671664167,0.952942225588051,88.9055472263868,16,6130,0.00047,False,run_20260402T132718Z_pid50811,16.0,0.0614588591620393,5.5625,8.1875,196.5,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
momentum_relative_strength,Negative Skill,Negative Skill,Low,negative skill,not available,"The result is worse than the random null on all three metrics. raw p=0.923; BH-adjusted p=0.923; percentile=7.8; RCSI_z=-1.135. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence.",0.4702864250438943,0.42189722040764716,0.07515145014207132,-0.2473953589962252,-1.0059187575908837,-1.134800129083495,0.9225387306346826,0.9225387306346824,0.035015391946318176,7.796101949025487,178,1880,0.00047,False,run_20260402T132718Z_pid50811,178.0,2.026131264023934,7.382022471910112,10.792134831460674,259.0112359550562,acceptable,Trade activity is in a reasonable range for daily research and null-hypothesis testing.
trend_momentum_verification,Negative Skill,Negative Skill,Low,negative skill,not available,"The result is worse than the random null on all three metrics. raw p=0.723; BH-adjusted p=0.923; percentile=27.8; RCSI_z=-0.680. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence.",0.8191502358136478,0.32135334309411684,0.09365987724942272,-0.18209778842134727,-0.7547982252074502,-0.6804093380740132,0.7226386806596702,0.9225387306346824,0.14107879567769938,27.786106946526733,267,6130,0.00047,False,run_20260402T132718Z_pid50811,267.0,0.9758420389048992,11.101123595505618,15.98876404494382,383.7303370786517,acceptable,Trade activity is in a reasonable range for daily research and null-hypothesis testing.
random,Negative Skill,Negative Skill,Low,negative skill,not available,"The result is worse than the random null on all three metrics. raw p=0.783; BH-adjusted p=0.923; percentile=21.8; RCSI_z=-0.783. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence.",0.4020807863890816,0.1687172110129391,0.05823320697461992,-0.3998142044723416,-0.7322213957192198,-0.7825946761771684,0.782608695652174,0.9225387306346824,0.10645533091428679,21.78910544727636,236,6130,0.00047,False,run_20260402T132718Z_pid50811,236.0,0.8124010404885772,11.94915254237288,17.411016949152543,417.864406779661,acceptable,Trade activity is in a reasonable range for daily research and null-hypothesis testing.
buy_and_hold,Benchmark,Benchmark Reference,Not Applicable,benchmark,not_applicable,Passive benchmark included for strategy context; not evaluated against the Monte Carlo skill-vs-luck null.,4.2328335294117645,0.4436292799096568,,-0.5711340206185567,,,,,,,,6250,0.00047,,,,,,,,,
