Date,Open,High,Low,Close,Volume,daily_return,ma_20,ma_50,ma_100,ma_200,std_20,price_std_20,avg_volume_20,volume_ratio_20,rsi_14,true_range,atr_14,atr_percent,bollinger_mid,bollinger_std,bollinger_upper,bollinger_lower,bollinger_width,macd_line,macd_signal,macd_hist,rolling_high_20_prev,rolling_low_10_prev,rolling_low_5_prev,trailing_return_20,trailing_return_60,trailing_return_5,atr_percent_median_60,atr_percent_ratio_60,bollinger_width_median_60,bollinger_width_ratio_60,distance_from_ma_20,distance_from_ma_50,ma_50_over_ma_200,zscore_20,regime
2006-09-05,63.20000076293945,63.630001068115234,63.060001373291016,63.36000061035156,4219400,0.0196331064159354,62.218499755859376,62.44120002746582,62.938600044250485,58.50430004119873,0.0117333750967603,0.9702693789804192,4201680.0,1.0042173606747775,57.13445374368452,1.4900016784667969,1.058124258941178,0.0167001933198893,62.218499755859376,0.9702693789804192,64.15903851382022,60.27796099789854,0.0623781918746149,-0.1526482210030977,-0.2468511023155948,0.0942028813124971,65.12999725341797,60.31999969482422,60.31999969482422,-0.0176744091418362,0.0481389546846153,0.0386885345959273,0.0231036945734557,0.7228364825717752,0.1407928741593681,0.4430493535063928,0.0183466470418178,0.0147146528651209,0.0672924893297539,1.1764782845066188,neutral
2006-09-06,63.220001220703125,63.52000045776367,62.83000183105469,62.86000061035156,3210900,-0.0078914140653956,62.1629997253418,62.53280006408691,62.972200050354,58.576200046539306,0.0117233247279231,0.8975136281125876,4083515.0,0.7863078744659932,53.610477132931585,0.6899986267089844,1.0318295709245928,0.0164147241633127,62.1629997253418,0.8975136281125876,63.958026981566974,60.36797246911662,0.0577522727074382,-0.0819525927026347,-0.2138714003930028,0.1319188076903681,65.12999725341797,60.31999969482422,60.31999969482422,-0.0173518929055815,0.0471431265800841,0.0315064329981962,0.0229490202219378,0.7152690617973007,0.130402343166329,0.4428775688008526,0.0112124718576864,0.0052324627384239,0.0675462050184896,0.7765908652278756,neutral
2006-09-07,61.869998931884766,61.91999816894531,60.9900016784668,61.25,5402300,-0.025612481621364,61.9939998626709,62.6042000579834,62.97380004882813,58.64015005111694,0.0126012000185355,0.7171780419198989,4135150.0,1.3064338657606134,44.164462630383404,1.8699989318847656,1.091698810993177,0.0178236540570314,61.9939998626709,0.7171780419198989,63.42835594651069,60.5596437788311,0.0462740293259728,-0.1540634443733139,-0.2019098091890651,0.0478463648157511,65.12999725341797,60.31999969482422,61.09000015258789,-0.0522976542945654,0.0953147712013813,-0.0027677983395197,0.0228818570792529,0.7789426354381105,0.1089103658522548,0.4248817728584907,-0.0120011592141014,-0.0216311374752676,0.0675995883948279,-1.037399110378778,neutral
2006-09-08,60.52000045776367,60.77000045776367,60.279998779296875,60.63999938964844,3693400,-0.0099591936383928,61.86349983215332,62.66620002746582,62.9617000579834,58.698400039672855,0.0119830803524482,0.7142150464990882,3976325.0,0.9288476168321252,41.202297397259365,0.970001220703125,1.0830061259724588,0.0178595998824718,61.86349983215332,0.7142150464990882,63.2919299251515,60.435069739155146,0.0461800608395503,-0.2574658589652969,-0.2130210191443114,-0.0444448398209854,64.37999725341797,60.31999969482422,60.9900016784668,-0.0412648317842144,0.0902553138109807,-0.0264890271572881,0.0226810552386496,0.7874236755985767,0.0899485509378807,0.5134052784401466,-0.0197774203823654,-0.0323332296665399,0.0675963907893779,-1.713070101928254,neutral
2006-09-11,58.849998474121094,59.25,57.90999984741211,58.5,10580700,-0.0352902277570561,61.65299987792969,62.645800018310545,62.9092000579834,58.74430004119873,0.0139639448431467,0.9978083026080028,4157220.0,2.5451383376390955,32.872458854835486,2.729999542236328,1.2006485128484494,0.0205239062025375,61.65299987792969,0.9978083026080028,63.648616483145695,59.65738327271368,0.064737047967406,-0.5062572649114259,-0.2716682682977344,-0.2345889966136914,64.0999984741211,60.279998779296875,60.279998779296875,-0.0671344147015794,0.0205861882668909,-0.0585773966108986,0.0225324847937239,0.9108585400334616,0.0830750235673372,0.779260061418253,-0.051141061816497,-0.0661784192571375,0.066414953865747,-3.159925478359514,neutral
2006-09-12,58.650001525878906,59.09000015258789,58.18000030517578,58.31999969482422,5836200,-0.003076928293603,61.456499862670896,62.587600021362306,62.882800064086915,58.79015003204346,0.01393430196984,1.2225519238454556,4272725.0,1.3659198754892954,32.28129165479207,0.9099998474121094,1.179887893888711,0.0202312740065638,61.456499862670896,1.2225519238454556,63.901603710361805,59.01139601497999,0.0795718549918942,-0.7097689917503445,-0.3592884129882564,-0.350480578762088,63.630001068115234,57.90999984741211,57.90999984741211,-0.0631325350229041,0.0110956897756986,-0.079545468228798,0.0223398666118959,0.905613017214289,0.0826003520925678,0.9633355424771112,-0.0510361015491512,-0.0681860356537313,0.0645933032531649,-2.5655353418291016,neutral
2006-09-13,58.599998474121094,58.93000030517578,57.970001220703125,58.619998931884766,3539100,0.005144019866776,61.28699989318848,62.516399993896485,62.83700004577637,58.836150035858154,0.0140493364370686,1.3612023421090178,4208000.0,0.8410408745247149,34.398782924500935,0.9599990844726562,1.1641815503589927,0.0198598016303573,61.28699989318848,1.3612023421090178,64.00940457740651,58.564595208970445,0.0888411796616791,-0.8371954027930997,-0.4548698109492251,-0.3823255918438746,63.630001068115234,57.90999984741211,57.90999984741211,-0.0546685934753726,0.0400993310336854,-0.0674515055249389,0.0221269094534129,0.897540692348887,0.0826003520925678,1.075554491125139,-0.0435165853435767,-0.0623260626394374,0.0625508289681662,-1.9592979521116012,neutral
2006-09-14,58.59000015258789,58.720001220703125,57.08000183105469,57.189998626708984,7637700,-0.0243944102905462,61.021999740600585,62.41019996643067,62.79240001678467,58.87340002059936,0.014589700666731,1.5967332398992242,4423240.0,1.726720684385202,29.640982499235676,1.6399993896484375,1.1981685388796677,0.0209506656347443,61.021999740600585,1.5967332398992242,64.21546622039904,57.82853326080214,0.1046660710358102,-1.0415643200879927,-0.5722087127769786,-0.4693556073110141,63.630001068115234,57.90999984741211,57.90999984741211,-0.0848136167290922,-0.0019197314453088,-0.066285736706792,0.0220751090406249,0.949062837976869,0.0826003520925678,1.2671383158090417,-0.062797042545002,-0.0836434003180495,0.0600746677547721,-2.399900633454247,neutral
2006-09-15,57.20000076293945,57.790000915527344,56.65999984741211,57.400001525878906,6454800,0.0036720214060619,60.84049987792969,62.29779998779297,62.73860004425049,58.91140003204346,0.0140027630495472,1.7811668067283537,4535185.0,1.4232715975202777,31.14710125381751,1.1300010681152344,1.193299433825065,0.0207891881899526,60.84049987792969,1.7811668067283537,64.40283349138639,57.27816626447298,0.1171040218474262,-1.1730603707973517,-0.6923790443810532,-0.4806813264162982,63.630001068115234,57.08000183105469,57.08000183105469,-0.0594789009671317,-0.0159437729467145,-0.05343004446538,0.0218045825839847,0.953432064561608,0.0826003520925678,1.417718192244399,-0.0565494754144655,-0.0786191239959319,0.0574829312137814,-1.931598062042424,neutral
2006-09-18,57.470001220703125,58.38999938964844,57.41999816894531,58.22999954223633,4438700,0.0144598953709647,60.69999980926514,62.20979995727539,62.68440002441406,58.95705003738403,0.0145001705893555,1.8685717783988864,4436200.0,1.0005635453766737,36.89658390675196,0.9899978637695312,1.1787778931068127,0.0202434810642889,60.69999980926514,1.8685717783988864,64.43714336606291,56.96285625246736,0.1231348786998626,-1.196505464825492,-0.793204328469941,-0.403301136355551,63.630001068115234,56.65999984741211,56.65999984741211,-0.046035408439455,0.0086610082100242,-0.0046153924404046,0.0214842693571746,0.9422466609286232,0.0826003520925678,1.4907306758434749,-0.0406919320393769,-0.0639738500649789,0.0551715175340155,-1.3218653388553612,neutral
