agent,skill_luck_verdict,evidence_label,confidence_label,final_classification,stability_classification,verdict_reason,cumulative_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,RCSI,RCSI_z,p_value,p_value_prominence,actual_percentile,number_of_trades,number_of_periods,transaction_cost,fdr_q_value,fdr_significant_0_05,fdr_significant_0_10
trend,Skill,Strong Skill,High,strong skill,stable,Strong Skill (High confidence): repeated-run evidence supports skill; stability=stable; mean p=0.003; mean percentile=99.7; mean RCSI_z=7.340.,603.6128513565343,1.2361823248771688,0.2339655918130989,-0.5781141028093775,579.143390773891,7.464148362463025,0.0024,2.619788758288394,99.76,96.0,3841,0.00047,0.21,False,False
mean_reversion,Luck,Likely Random,Moderate,likely random,stable,Likely Random (Moderate confidence): results are consistent with randomness; stability=stable; mean p=0.957; mean percentile=4.3; mean RCSI_z=-0.869.,-0.2479675436970416,0.077696902107466,0.002802572957935,-0.7496031950947416,-2.191142206868882,-0.8523826979316864,0.9566,0.0192696234640546,4.34,45.0,3841,0.00047,1.0,False,False
random,Luck,Likely Random,Moderate,likely random,stable,Likely Random (Moderate confidence): results are consistent with randomness; stability=stable; mean p=0.792; mean percentile=20.8; mean RCSI_z=-0.543.,4.324998853568663,0.4952025885537345,0.1998805540574434,-0.7842988314568861,-6.915609115785709,-0.588866517531119,0.7858,0.1046879755242126,21.42,82.0,3841,0.00047,1.0,False,False
momentum,Skill,Strong Skill,High,strong skill,stable,Strong Skill (High confidence): repeated-run evidence supports skill; stability=stable; mean p=0.010; mean percentile=99.0; mean RCSI_z=4.100.,577.69216234932,1.145206108858305,0.209952304019483,-0.6903027389533268,543.0234247708545,4.154057261138554,0.0092,2.036212172654445,99.08,54.0,3841,0.00047,0.2415,False,False
breakout,Skill,Strong Skill,High,strong skill,stable,Strong Skill (High confidence): repeated-run evidence supports skill; stability=stable; mean p=0.020; mean percentile=98.0; mean RCSI_z=2.856.,256.774682806945,1.08576933486941,0.3738979221805126,-0.6157718233642497,232.73496177950273,2.6003514570437103,0.022,1.6575773191777938,97.8,39.0,3841,0.00047,0.46199999999999997,False,False
buy_and_hold,Benchmark,Benchmark Reference,Not Applicable,benchmark,not_applicable,Passive benchmark included for strategy context; not evaluated against the Monte Carlo skill-vs-luck null.,322.1605324360894,0.9230442283462358,,-0.8339900882218974,,,,,,,4093,0.0,,,
