Date,Open,High,Low,Close,Volume,daily_return,ma_20,ma_50,ma_100,ma_200,std_20,price_std_20,avg_volume_20,volume_ratio_20,rsi_14,true_range,atr_14,atr_percent,bollinger_mid,bollinger_std,bollinger_upper,bollinger_lower,bollinger_width,macd_line,macd_signal,macd_hist,rolling_high_20_prev,rolling_low_10_prev,rolling_low_5_prev,trailing_return_20,trailing_return_60,trailing_return_5,atr_percent_median_60,atr_percent_ratio_60,bollinger_width_median_60,bollinger_width_ratio_60,distance_from_ma_20,distance_from_ma_50,ma_50_over_ma_200,zscore_20
2018-05-27,0.1963540017604828,0.1964360028505325,0.1923220008611679,0.1935569941997528,58991000,-0.015312869275014629,0.25102255120873446,0.2686509025096893,0.25326597154140473,0.32651676564477383,0.04841403144410591,0.03837385397193282,126772490.4,0.4653296611423199,31.117079912973182,0.004244998097419683,0.020960441258018356,0.10829079747119325,0.25102255120873446,0.03837385397193282,0.3277702591526001,0.1742748432648688,0.6114805827150336,-0.02484276082595266,-0.016807760284259222,-0.008035000541693437,0.349947988986969,0.1931090056896209,0.1931090056896209,-0.4225213041406144,0.20929279489254204,-0.13747730210416265,0.09991177612254912,1.0838642017370068,0.5534401692844171,1.104872065043022,-0.22892587431794897,-0.27952226331057317,-0.1772217209760013,-1.497518520058287
2018-05-28,0.1936960071325302,0.1949770003557205,0.174002006649971,0.1747830063104629,95106200,-0.09699462407395598,0.24334410130977627,0.26901458263397215,0.25081497147679327,0.32723041567020117,0.050800225574127424,0.0374863344491522,124405050.0,0.7644882583142726,27.715820598136105,0.020974993705749484,0.02096148071857058,0.119928596956029,0.24334410130977627,0.0374863344491522,0.3183167702080807,0.16837143241147187,0.6161864495154903,-0.027060357329811574,-0.018858279693369694,-0.00820207763644188,0.3482190072536468,0.1923220008611679,0.1923220008611679,-0.46769624053735537,0.1899552646604208,-0.13846100396655736,0.09991177612254912,1.2003449604271652,0.5701602001782017,1.0807251178228563,-0.2817454568665928,-0.35028426861053497,-0.17790471254634777,-1.8289623674011681
2018-05-29,0.175475001335144,0.2087389975786209,0.1741530001163482,0.2031899988651275,185184000,0.16252719960775797,0.23732395172119136,0.27001626253128047,0.24899069145321842,0.3281107706669718,0.06586603172034984,0.033579851914656726,124758150.0,1.4843439085943484,38.6440755937819,0.0345859974622727,0.021934660485977874,0.10795147698454174,0.23732395172119136,0.033579851914656726,0.30448365555050483,0.1701642478918779,0.5659749329322884,-0.026223325471439324,-0.02033128884898362,-0.005892036622455705,0.3284260034561157,0.174002006649971,0.174002006649971,-0.3720815816645069,0.38028241439517974,-0.027747851089489406,0.09991177612254912,1.0804680006101717,0.5762808522511416,0.9821164987894446,-0.14382852050333494,-0.2474897735406265,-0.17705760776337487,-1.0165009941918557
2018-05-30,0.203685000538826,0.2180230021476745,0.2011840045452118,0.2111430019140243,222612000,0.03914072096715637,0.2330266512930393,0.27111218243837354,0.24718740135431286,0.3290293006785214,0.06553818894183669,0.031061530192121784,129740850.0,1.7158204220182,41.318906532088924,0.016838997602462713,0.02157068456572679,0.1021614942014995,0.2330266512930393,0.031061530192121784,0.2951497116772829,0.17090359090879573,0.5331841661846792,-0.024634262370848925,-0.02119188355335668,-0.0034423788174922434,0.3279080092906952,0.174002006649971,0.174002006649971,-0.2892937992725798,0.35418391105807623,0.05226883743167532,0.09991177612254912,1.0225170462007496,0.5762808522511416,0.9252158285354917,-0.09391050018349845,-0.22119692293053195,-0.17602419638832056,-0.704525799072365
2018-05-31,0.2103929966688156,0.2300570011138916,0.2062049955129623,0.2252140045166015,202076000,0.06664205052984329,0.23128100112080568,0.2722958824038505,0.24565175145864482,0.3300354856997728,0.06272817680679396,0.030464762747437722,122407050.0,1.6508526265439776,45.81941996208384,0.023852005600929288,0.021733636068241257,0.0965021518750144,0.23128100112080568,0.030464762747437722,0.29221052661568114,0.17035147562593023,0.5268874243851095,-0.02198606443632492,-0.02135071972995033,-0.0006353447063745903,0.2994619905948639,0.174002006649971,0.174002006649971,-0.1342152193972469,0.4937785812407727,0.14573659724056331,0.09740444104526827,0.99073667318891,0.5762808522511416,0.9142893128010671,-0.02623214433871801,-0.17290705049083477,-0.17494968207281492,-0.19914800106934857
2018-06-01,0.2245330065488815,0.2291840016841888,0.2169550061225891,0.2225069999694824,130538000,-0.01201969900996791,0.22885975167155262,0.27250136226415633,0.2442324113845825,0.33101898070424796,0.06181037266328418,0.02911148284376406,116159900.4,1.1237785117797845,45.102755994539,0.012228995561599676,0.021054733174909718,0.09462503731476964,0.22885975167155262,0.02911148284376406,0.28708271735908075,0.17063678598402449,0.5088091310269938,-0.019876655426581152,-0.021055906869276497,0.0011792514426953449,0.2901510000228882,0.174002006649971,0.174002006649971,-0.17873485213732432,0.422815446096265,0.14956837849968307,0.09624658104872945,0.9831521939138926,0.5762808522511416,0.8829186828599611,-0.027758274033205077,-0.183464632540848,-0.17678025083514692,-0.21822150854232564
2018-06-02,0.2227009981870651,0.2295310050249099,0.2192420065402984,0.227742001414299,116435000,0.02352735619793811,0.22595235109329223,0.27304556220769877,0.24313112154603,0.3320265407115221,0.060565549239046466,0.026008948234780664,113005550.4,1.0303476208722575,46.83459537141172,0.010288998484611483,0.020285752125602702,0.08907339006255453,0.22595235109329223,0.026008948234780664,0.27797024756285355,0.17393445462373092,0.46043244266207195,-0.0175798630053825,-0.0203606980964977,0.0027808350911151976,0.2901510000228882,0.174002006649971,0.174002006649971,-0.20339294457752333,0.32064928199260323,0.3029985364238805,0.09588381762101036,0.9289720859324284,0.5762808522511416,0.7989723081436285,0.007920476650707053,-0.16591941808941946,-0.17763934888286037,0.06880902314279502
2018-06-03,0.2276999950408935,0.2367610037326812,0.2251179963350296,0.2281540036201477,117208000,0.0018090743178251767,0.22368835061788558,0.2735915821790695,0.2419600816071033,0.3330350857321173,0.06009513902144103,0.023640148949172605,110783800.0,1.0579886228852955,46.97636851033519,0.011643007397651589,0.01966841321646334,0.08620674151837006,0.22368835061788558,0.023640148949172605,0.2709686485162308,0.17640805271954038,0.42273366286393277,-0.015547175171721744,-0.01939799351154251,0.003850818339820764,0.2860879898071289,0.174002006649971,0.1741530001163482,-0.16559757504231898,0.4685882522769311,0.12286040107510754,0.09558411317134563,0.9018940350875512,0.5762808522511416,0.7335549345646255,0.019963726273303006,-0.16607813075616573,-0.17849021349318817,0.18890122104828858
2018-06-04,0.2281550019979477,0.2312279939651489,0.2122900038957595,0.2140119969844818,115605000,-0.06198447720080702,0.22138120085000992,0.27344402223825454,0.2408705414831638,0.33396724571473896,0.060625436874837894,0.022174861788472642,111693610.0,1.0350189236429908,42.76123575185898,0.0189379900693894,0.01961624013452949,0.09165953503042111,0.22138120085000992,0.022174861788472642,0.26573092442695523,0.17703147727306465,0.4006638631163004,-0.014905574974727609,-0.01849950980417953,0.0035939348294519204,0.2787599861621856,0.174002006649971,0.2011840045452118,-0.17736732607788896,0.4386587972729594,0.013587924034658583,0.09500831931894232,0.9647527257346868,0.5762808522511416,0.6952579832405957,-0.033287396749288045,-0.21734622233573275,-0.18122502806212581,-0.33232242598954603
2018-06-05,0.2142470031976699,0.2217279970645904,0.204815000295639,0.2204670011997223,119846000,0.03016188020388655,0.21958580017089843,0.2727204421162605,0.2396348814666271,0.334940715720877,0.06116147209435766,0.020671586032865764,112248460.0,1.0676850265919016,45.1791866023275,0.016912996768951388,0.019423151322702482,0.08810003863166325,0.21958580017089843,0.020671586032865764,0.26092897223663,0.1782426281051669,0.3765559706825772,-0.013718103544246019,-0.017543228552192827,0.0038251250079468085,0.2631109952926636,0.174002006649971,0.2062049955129623,-0.14006050321545394,0.5262406638867181,-0.021077744819058553,0.09319273863774052,0.9453530384392539,0.5762808522511416,0.6534244009871686,0.0040130146309007575,-0.1916007487779835,-0.1857650344799161,0.04262861240655826
