simulation_id,simulated_cumulative_return
1,-0.15702494543903425
2,-0.12364339838094632
3,-0.07960489950638808
4,-0.1071221076817617
5,-0.09474300471657378
6,-0.13811993673824732
7,-0.14490150382587588
8,-0.16537416392455645
9,-0.08208082171676899
10,-0.1026254470622283
11,-0.12098192790894319
12,-0.061944086818480924
13,-0.10587398775353894
14,-0.14768479066327436
15,-0.10851254095912026
16,-0.10499320775434734
17,-0.13965474307472797
18,-0.08389558226905815
19,-0.09318941336656163
20,-0.09380554298259572
21,-0.09724901560539553
22,-0.12538819151616662
23,-0.11598419351116808
24,-0.09344093960657737
25,-0.1041376461215127
26,-0.08202115387382693
27,-0.10690256791177426
28,-0.1173536817956179
29,-0.12566859366717298
30,-0.11710167882140399
31,-0.12953473956692022
32,-0.1256061097121283
33,-0.12235612198811466
34,-0.15787185821066685
35,-0.11257851061792691
36,-0.08974082714610021
37,-0.04758047036552331
38,-0.11958896833639625
39,-0.07235890496330527
40,-0.09424386434920155
41,-0.11491663476971258
42,-0.07770170254561143
43,-0.10384577398155324
44,-0.13663203873232685
45,-0.17163990765990048
46,-0.12529451484917917
47,-0.09099198229226814
48,-0.09241625906430571
49,-0.12879013205346698
50,-0.1392503926138975
51,-0.08526615593549418
52,-0.1146379684326268
53,-0.09642201181402114
54,-0.14741927281344683
55,-0.13658838198902126
56,-0.11312649601283407
57,-0.10641467824405142
58,-0.09794754185996028
59,-0.09433589738762567
60,-0.12700185750374374
61,-0.14277591355037997
62,-0.12478873253347592
63,-0.11339340699559451
64,-0.09835890427821402
65,-0.08741300052648648
66,-0.05937717596017456
67,-0.11706683529916437
68,-0.10969860866153937
69,-0.10395626373590221
70,-0.12080975230698414
71,-0.055827424316052136
72,-0.09417565604669662
73,-0.09668819747511602
74,-0.12913597831250348
75,-0.026207054507878597
76,-0.1069278978542491
77,-0.09706876817422257
78,-0.08622456202176473
79,-0.1476172155971755
80,-0.14883297878567425
81,-0.08690500630059393
82,-0.11733276715696846
83,-0.11918636292670763
84,-0.14973673970473178
85,-0.12792454541146028
86,-0.12474833461475761
87,-0.09841730916496547
88,-0.08945582537917864
89,-0.11777238656742016
90,-0.10649157949671934
91,-0.12534835066206626
