Date,Open,High,Low,Close,Volume,timeframe_label,data_interval,bar_return,daily_return,ema_20,sma_20,sma_50,sma_100,sma_200,ma_20,ma_50,ma_100,ma_200,std_20,price_std_20,avg_volume_20,volume_ratio_20,rsi_14,true_range,atr_14,atr_percent,adx_14,plus_di_14,minus_di_14,bollinger_mid,bollinger_std,bollinger_upper,bollinger_lower,bollinger_width,macd_line,macd_signal,macd_hist,rolling_high_20_prev,rolling_low_10_prev,rolling_low_5_prev,trailing_return_12,trailing_return_60,trailing_return_5,trailing_return_20,atr_percent_median_60,atr_percent_ratio_60,bollinger_width_median_60,bollinger_width_ratio_60,distance_from_ma_20,distance_from_ma_50,ma_50_over_ma_200,zscore_20,bars_per_year
2021-07-16,21.600000381469727,21.709999084472656,21.239999771118164,21.3700008392334,19503100,Daily,1d,-0.004657590932427014,-0.004657590932427014,23.519363932988508,24.4520001411438,23.115,23.383999996185302,22.686050014495848,23.519363932988508,23.115,23.383999996185302,22.686050014495848,0.025629371123595528,1.890683988010823,44503300.0,0.43823941145937495,31.772509961573263,0.4699993133544922,0.9445643639062284,0.04420048323873218,28.281621575615066,15.592174383482002,36.47629348657323,24.4520001411438,1.890683988010823,28.233368117165444,20.670632165122154,0.30928905236336734,-0.6547285999993093,-0.12777719776475305,-0.5269514022345563,27.5,21.010000228881836,21.010000228881836,-0.19752153538489947,-0.05567823103226843,-0.08243881497719863,-0.16031433404306183,0.042035069761688915,1.051514449466118,0.17718142417521093,1.7456065374975087,-0.09138695671698804,-0.07549206838704736,0.018908094852566393,-1.6300975316096864,251.07528621204577
2021-07-19,20.969999313354492,21.690000534057617,20.549999237060547,21.540000915527344,30314400,Daily,1d,0.007955080468777576,0.007955080468777576,23.330853169420777,24.260500144958495,23.14400001525879,23.335500011444093,22.746250019073486,23.330853169420777,23.14400001525879,23.335500011444093,22.746250019073486,0.025855494339333606,1.9798647439652106,42726390.0,0.7095006154276081,33.57299491871258,1.1400012969970703,0.9585241448412886,0.044499726281363616,29.543133010786857,14.267586018289958,38.51939214499209,24.260500144958495,1.9798647439652106,28.220229632888916,20.300770657028075,0.32643428323989276,-0.7220301863344076,-0.24662779547868396,-0.47540239085572367,27.5,21.010000228881836,21.010000228881836,-0.18285279147267564,-0.05774276726075356,-0.06143789980560832,-0.15096569952741812,0.042035069761688915,1.058633339581632,0.17718142417521093,1.8423730634261573,-0.07675896980229868,-0.0693051805510686,0.017486398674585013,-1.3740833749999617,251.07528621204577
2021-07-20,21.6299991607666,22.350000381469727,21.219999313354492,22.18000030517578,22954000,Daily,1d,0.02971213381829929,0.02971213381829929,23.22124813473078,24.098500156402586,23.192600021362306,23.317700023651124,22.809850020408632,23.22124813473078,23.192600021362306,23.317700023651124,22.809850020408632,0.02705891384866924,2.010677095590628,41133840.0,0.5580320242408684,39.993157213976914,1.1300010681152344,0.9707724965037133,0.043767920791109284,29.763934703805976,17.937534986085783,35.31671780767272,24.098500156402586,2.010677095590628,28.119854347583843,20.07714596522133,0.3337431097439354,-0.7154770028206165,-0.3403976369470705,-0.37507936587354607,27.5,20.549999237060547,20.549999237060547,-0.10275077179336845,-0.052541629656281286,-0.012026746039554226,-0.1274586845552257,0.04222595644088613,1.036516978659366,0.17718142417521093,1.8836235869393618,-0.04484030416942397,-0.043660465633600265,0.0167800314605846,-0.9541561175755343,251.07528621204577
2021-07-21,22.270000457763672,22.68000030517578,22.1200008392334,22.520000457763672,20437300,Daily,1d,0.015329132006754342,0.015329132006754342,23.154462641686294,23.954500198364258,23.27360004425049,23.303900032043458,22.876450023651124,23.154462641686294,23.27360004425049,23.303900032043458,22.876450023651124,0.027451756570556287,2.0154340518240597,39847150.0,0.5128923900454612,43.137374001003415,0.5599994659423828,0.9414315657493326,0.0418042427447988,29.52555122206717,19.679182129285465,33.8161654399001,23.954500198364258,2.0154340518240597,27.985368302012375,19.92363209471614,0.3365437032932432,-0.6750666388604003,-0.4073314373297365,-0.2677352015306638,27.5,20.549999237060547,20.549999237060547,-0.07855973953921924,-0.06594774418650262,0.044526948775567954,-0.11338579543385241,0.042413379992859795,0.9856380875996315,0.17762424064639176,1.894694677193429,-0.027401291653400883,-0.03238001791961642,0.017360649060005784,-0.7117572213798304,251.07528621204577
2021-07-22,22.549999237060547,22.670000076293945,21.8799991607666,22.06999969482422,17468900,Daily,1d,-0.019982271482783975,-0.019982271482783975,23.05118045627086,23.744500160217285,23.31080005645752,23.276500034332276,22.941650023460387,23.05118045627086,23.31080005645752,23.276500034332276,22.941650023460387,0.026021256878994273,1.9817579156038234,38052485.0,0.459073829212468,40.13956995414776,0.7900009155273438,0.9306150907334763,0.04216652032631069,29.490028516778903,18.485918198352,33.607806025826534,23.744500160217285,1.9817579156038234,27.708015991424933,19.780984329009637,0.333847063906472,-0.6716105269453081,-0.4601872552528508,-0.21142327169245728,27.5,20.549999237060547,20.549999237060547,-0.10575367010040937,-0.07579562519064498,0.027945989783824565,-0.15987821430350269,0.04259451878361574,0.989951794983779,0.1881843509328971,1.774042646221499,-0.04256531518236062,-0.05322856180946811,0.016090823136942545,-0.844957122264281,251.07528621204577
2021-07-23,22.010000228881836,22.079999923706055,21.510000228881836,21.809999465942383,17653300,Daily,1d,-0.011780708313412935,-0.011780708313412935,22.932972742906244,23.50850009918213,23.3692000579834,23.249800033569336,23.00120002269745,22.932972742906244,23.3692000579834,23.249800033569336,23.00120002269745,0.025689008641818997,1.9159416470552333,36514180.0,0.4834642322516896,38.47584008963977,0.5699996948242188,0.9048568481685293,0.04148816461832185,29.738157335932296,17.654139609527746,35.01635195424445,23.50850009918213,1.9159416470552333,27.340383393292594,19.676616805071664,0.32599981095721015,-0.6819898247352221,-0.5045477691493251,-0.17744205558589699,27.5,20.549999237060547,20.549999237060547,-0.047182173547565376,-0.08553462821377245,0.02058954653390499,-0.17791183937206034,0.04259451878361574,0.9740259029356741,0.20012291989066677,1.6289978735834643,-0.048967627945715186,-0.06672032368127045,0.015999166779246732,-0.8865095843865131,251.07528621204577
2021-07-26,21.799999237060547,22.299999237060547,21.479999542236328,22.1299991607666,16267900,Daily,1d,0.014672155096744355,0.014672155096744355,22.856499068416756,23.276000022888184,23.444400024414062,23.235200023651124,23.061850018501282,22.856499068416756,23.444400024414062,23.235200023651124,23.061850018501282,0.02590595827061767,1.7823169040930937,30285940.0,0.537143638269111,41.67981780283258,0.8199996948242188,0.89879562292965,0.040614354135317325,29.642889035760145,18.252046253494665,32.734457225675364,23.276000022888184,1.7823169040930937,26.84063383107437,19.711366214701997,0.3062926451865394,-0.6568227482058973,-0.5350027649606396,-0.12181998324525767,27.5,20.549999237060547,20.549999237060547,-0.041161211701897904,-0.05305954787922351,0.027390818020530006,-0.17363709509528658,0.04259451878361574,0.9535112802105398,0.21797371946350153,1.4051815326196992,-0.03178526621577127,-0.05606459803956154,0.01658800163932561,-0.6429837811052508,251.07528621204577
2021-07-27,21.959999084472656,22.11000061035156,21.09000015258789,21.68000030517578,23078700,Daily,1d,-0.02033433676710683,-0.02033433676710683,22.74445156715571,22.99100008010864,23.476400032043458,23.204700031280517,23.12025002002716,22.74445156715571,23.476400032043458,23.204700031280517,23.12025002002716,0.024960686457583127,1.5429351535282392,29330645.0,0.7868459762818035,38.63298522413333,1.039999008178711,0.9088815790188687,0.04192258146794798,29.868638355746473,16.76025124811505,33.12395759241204,22.99100008010864,1.5429351535282392,26.07687038716512,19.905129773052163,0.2684415898659678,-0.6655171382861127,-0.5611056396257342,-0.10441149866037847,27.5,20.549999237060547,21.219999313354492,-0.06912840476868265,-0.059027801923176915,-0.022542831069453317,-0.20818111871086076,0.04259451878361574,0.9842247938266127,0.2433947705474692,1.1029061522651478,-0.04680048049683716,-0.07651938646537504,0.015404245702697494,-0.849679114468932,251.07528621204577
2021-07-28,21.75,22.614999771118164,21.690000534057617,22.559999465942383,25073600,Daily,1d,0.04059036662266635,0.04059036662266635,22.72688470037349,22.78750009536743,23.51840003967285,23.190800018310547,23.183300018310547,22.72688470037349,23.51840003967285,23.190800018310547,23.183300018310547,0.027074947335509,1.298618113697267,28660380.0,0.8748523222650921,46.82001747491124,0.9349994659423828,0.9107471423705483,0.040369998401172585,29.329651441298168,19.491846039928152,30.694956389682844,22.78750009536743,1.298618113697267,25.384736322761967,20.190263867972895,0.22795271236642048,-0.5945453782218664,-0.5677935873449607,-0.026751790876905712,27.440000534057617,20.549999237060547,21.09000015258789,-0.0169935200013962,0.011659203487762504,0.001776154856378831,-0.15283514168563928,0.04259451878361574,0.9477744919776196,0.2433947705474692,0.9365555055011461,-0.00734307568464776,-0.04075109582768199,0.01445437108166825,-0.17518670579554455,251.07528621204577
2021-07-29,22.780000686645508,22.850000381469727,22.13999938964844,22.18000030517578,19219100,Daily,1d,-0.01684393482988622,-0.01684393482988622,22.67480047225942,22.578500080108643,23.537200050354002,23.187400016784668,23.244750018119813,22.67480047225942,23.537200050354002,23.187400016784668,23.244750018119813,0.027142215432621283,1.011455783571642,28173480.0,0.6821698987842467,44.0849566752845,0.7100009918212855,0.8964081316170296,0.040415154160653895,28.496754665567504,20.261650924367522,28.95838695440685,22.578500080108643,1.011455783571642,24.60141164725193,20.555588512965357,0.17918918971286704,-0.5624786003612101,-0.5667305899482106,0.00425198958700046,26.920000076293945,20.549999237060547,21.09000015258789,-0.012026746039554226,0.024953832290108613,0.004984169092551394,-0.15857360426366207,0.04259451878361574,0.9488346227355395,0.2433947705474692,0.7362080512650943,-0.021821588581958262,-0.05766190295679663,0.012581336947319999,-0.3939863525478927,251.07528621204577
