Date,Open,High,Low,Close,Volume,data_interval,timeframe_label,data_source,source_period_requested,downloaded_at_utc,bar_return,daily_return,ema_20,sma_20,sma_50,sma_100,sma_200,ma_20,ma_50,ma_100,ma_200,std_20,price_std_20,avg_volume_20,volume_ratio_20,rsi_14,true_range,atr_14,atr_percent,adx_14,plus_di_14,minus_di_14,bollinger_mid,bollinger_std,bollinger_upper,bollinger_lower,bollinger_width,macd_line,macd_signal,macd_hist,rolling_high_20_prev,rolling_low_10_prev,rolling_low_5_prev,trailing_return_12,trailing_return_60,trailing_return_5,trailing_return_20,atr_percent_median_60,atr_percent_ratio_60,bollinger_width_median_60,bollinger_width_ratio_60,distance_from_ma_20,distance_from_ma_50,ma_50_over_ma_200,zscore_20,bars_per_year,regime
2018-09-24,0.5706139802932739,0.5803769826889038,0.4896459877490997,0.4947119951248169,1034380000,1d,Daily,yfinance,max,2026-04-02T13:01:52Z,-0.1331320989458224,-0.1331320989458224,0.3910515754660972,0.346426796913147,0.336591779589653,0.4026999813318253,0.5416242960095405,0.3910515754660972,0.336591779589653,0.4026999813318253,0.5416242960095405,0.1176825744403135,0.1095612526591843,706614500.0,1.463853345777648,66.6456149257628,0.0907309949398041,0.0579593038975139,0.1171576684387664,39.66319117053991,48.35583993320227,13.866813676466313,0.346426796913147,0.1095612526591843,0.5655493022315156,0.1273042915947783,1.2650436240548968,0.051611128107982,0.020040676152452,0.0315704519555299,0.7693799734115601,0.2681840062141418,0.313852995634079,0.8316764166108332,0.0995554690030544,0.5172748140102625,0.4916599825635217,0.0758229060011699,1.545148750127813,0.3830158872750338,3.302848957663476,0.2650811968604551,0.4697685003713756,-0.3785511800901117,1.3534456261918202,365.25,stressed
2018-09-25,0.4876219928264618,0.5460609793663025,0.4415189921855926,0.5269410014152527,1639680000,1d,Daily,yfinance,max,2026-04-02T13:01:52Z,0.0651470079723948,0.0651470079723948,0.403993425556493,0.3585937976837158,0.338848979473114,0.4026872313022613,0.5400101959705352,0.403993425556493,0.338848979473114,0.4026872313022613,0.5400101959705352,0.1111223553748701,0.1152716224923967,771374100.0,2.1256612064107414,69.4148453182006,0.1045419871807099,0.0612866384177422,0.116306452246341,39.75571493196405,42.4640691038648,17.786376133393407,0.3585937976837158,0.1152716224923967,0.5891370426685092,0.1280505526989223,1.2858183631393167,0.0555773455638086,0.0271480100347233,0.0284293355290852,0.7693799734115601,0.2681840062141418,0.3223469853401184,0.8780218768252506,0.161596863376817,0.1711934156923782,0.8580365634132581,0.0762436409066421,1.5254577413053303,0.3911493670283238,3.287282229057546,0.3043306353052695,0.5550910090820058,-0.3725137377006068,1.4604392658968692,365.25,stressed
2018-09-26,0.5202879905700684,0.5667110085487366,0.4914979934692383,0.5163080096244812,1821610000,1d,Daily,yfinance,max,2026-04-02T13:01:52Z,-0.0201787140537811,-0.0201787140537811,0.4146900526105871,0.3692736983299255,0.3415550196170807,0.4024753612279892,0.5386086010932922,0.4146900526105871,0.3415550196170807,0.4024753612279892,0.5386086010932922,0.1115572008508275,0.1194195350267441,845966450.0,2.1532887031158268,67.42588529065083,0.0752130150794982,0.0622813796078676,0.1206283428629469,40.01556549397991,41.16942883152358,16.252132919366407,0.3692736983299255,0.1194195350267441,0.6081127683834138,0.1304346282764373,1.2935612318649286,0.0572032049596932,0.0331590490197173,0.0240441559399759,0.7693799734115601,0.2681840062141418,0.4290519952774048,0.8628585020096424,0.1380770316962236,-0.080422141986709,0.7056192899228162,0.0773662799475037,1.5591849956440769,0.3969486198904216,3.258762386482206,0.24504556203888,0.511639355215207,-0.3658567298706764,1.2312416997908024,365.25,stressed
2018-09-27,0.5164780020713806,0.5509219765663147,0.513966977596283,0.5413810014724731,824083000,1d,Daily,yfinance,max,2026-04-02T13:01:52Z,0.0485620818980281,0.0485620818980281,0.4267558572641001,0.3817709982395172,0.3457437598705292,0.4023929613828659,0.5371598961949349,0.4267558572641001,0.3457437598705292,0.4023929613828659,0.5371598961949349,0.1104378620681055,0.1236242124681679,876472550.0,0.9402268217070804,69.63530385465924,0.0369549989700317,0.0604723524194508,0.1117001746551417,40.25685530156608,39.37236651509173,15.542720705984625,0.3817709982395172,0.1236242124681679,0.6290194231758531,0.1345225733031813,1.2952708617285595,0.0598252627539191,0.0384922917665577,0.0213329709873614,0.7693799734115601,0.2681840062141418,0.4415189921855926,0.9197363773957696,0.1942948339707799,-0.0515365845686703,0.8576389087728975,0.078020478300354,1.431677645260409,0.4027747112714521,3.215869381768621,0.2685965341945773,0.5658446060608711,-0.3563485243040946,1.291090151729411,365.25,stressed
2018-09-28,0.5430300235748291,0.5488049983978271,0.5221970081329346,0.5391119718551636,718255000,1d,Daily,yfinance,max,2026-04-02T13:01:52Z,-0.0041911881117699,-0.0041911881117699,0.4374564396061061,0.3947599470615387,0.3495905792713165,0.4023912209272384,0.5358502161502838,0.4374564396061061,0.3495905792713165,0.4023912209272384,0.5358502161502838,0.1094095563948585,0.1258068559127566,903924900.0,0.7945958784850379,69.17801338335946,0.0266079902648925,0.0580534694084109,0.107683509992628,40.48091012289608,38.08338295806722,15.0338787644224,0.3947599470615387,0.1258068559127566,0.6463736588870519,0.1431462352360255,1.2747681911421949,0.0610168069508187,0.0429971948034099,0.0180196121474088,0.7693799734115601,0.271010011434555,0.4415189921855926,0.9174153215399234,0.2084813099080913,-0.0553314492458305,0.929997460753708,0.0782126872263472,1.3768036083582245,0.4064297274706249,3.1365033238970685,0.2323786394379974,0.5421238552219678,-0.3475964574897721,1.1474098430194362,365.25,stressed
2018-09-29,0.5394120216369629,0.587431013584137,0.5299540162086487,0.57122802734375,1034370000,1d,Daily,yfinance,max,2026-04-02T13:01:52Z,0.0595721430152447,0.0595721430152447,0.4501965908192151,0.4093873485922813,0.3546066200733185,0.4027557510137558,0.5347578012943268,0.4501965908192151,0.3546066200733185,0.4027557510137558,0.5347578012943268,0.109082049429978,0.1284395793498816,947193850.0,1.0920362289092145,71.9825317215744,0.0574769973754882,0.0580122928346307,0.1015571541620461,41.04431318680825,40.144132172365424,13.969938977988669,0.4093873485922813,0.1284395793498816,0.6662665072920446,0.152508189892518,1.2549442946054272,0.0638169692870709,0.0471611497001421,0.0166558195869288,0.7693799734115601,0.313852995634079,0.4415189921855926,1.0981667890500375,0.3124889754177837,0.1546678329471835,1.0497632914049686,0.0796472299967427,1.2750870829556724,0.4831092386220788,2.5976408527909167,0.2688412995404876,0.6108780688461,-0.3368836897469671,1.2600530114677444,365.25,stressed
2018-09-30,0.5680450201034546,0.6187019944190979,0.5641949772834778,0.5815719962120056,1329720000,1d,Daily,yfinance,max,2026-04-02T13:01:52Z,0.0181083006664708,0.0181083006664708,0.462708534189957,0.4249498978257179,0.3602128201723099,0.4037020009756088,0.5341561514139176,0.462708534189957,0.3602128201723099,0.4037020009756088,0.5341561514139176,0.1079991523443904,0.1294987951438793,1003431950.0,1.325172075694819,72.83973026398743,0.0545070171356201,0.0577619159989871,0.0993203186797369,41.82994935423264,41.30525459686943,13.028315455579706,0.4249498978257179,0.1294987951438793,0.6839474881134766,0.1659523075379592,1.2189558892139318,0.0661087296677896,0.0509506656936716,0.0151580639741179,0.7693799734115601,0.3223469853401184,0.4415189921855926,0.8069099057031366,0.3044059043959717,0.1036757334313054,1.1514124739759843,0.0870406096680114,1.1410802274772942,0.7245510904128369,1.6823601611301024,0.256886253957121,0.614523314116936,-0.3256413518428603,1.2094483057720584,365.25,stressed
2018-10-01,0.5835109949111938,0.6023370027542114,0.5373489856719971,0.5764610171318054,1412800000,1d,Daily,yfinance,max,2026-04-02T13:01:52Z,-0.008788213864302,-0.008788213864302,0.4735421039939426,0.4405874490737915,0.3657846403121948,0.4045537710189819,0.5335521113872528,0.4735421039939426,0.3657846403121948,0.4045537710189819,0.5335521113872528,0.1075547268011063,0.1279580811811493,1064055450.0,1.3277503536117408,71.67289627469832,0.0649880170822143,0.0582780660763605,0.1010962829131522,41.888982908709906,38.015182445429474,15.280957582134292,0.4405874490737915,0.1279580811811493,0.6965036114360902,0.1846712867114928,1.1617042786865075,0.0667431791600428,0.0541091683869458,0.0126340107730969,0.7693799734115601,0.4290519952774048,0.4914979934692383,0.7679979284354139,0.3398155521856483,0.1165060513995792,1.1859657739455756,0.0954525396673021,1.0591261716610287,0.9928902338747946,1.1700228676365458,0.2173384631901269,0.5759574175662479,-0.3144350242356967,1.0618599998046132,365.25,stressed
2018-10-02,0.577144980430603,0.577144980430603,0.5182870030403137,0.5208370089530945,743705000,1d,Daily,yfinance,max,2026-04-02T13:01:52Z,-0.0964922284866189,-0.0964922284866189,0.478046380656719,0.4531249493360519,0.370652060508728,0.4049883410334587,0.5327099964022637,0.478046380656719,0.370652060508728,0.4049883410334587,0.5327099964022637,0.1118475881796014,0.1228192213225515,1086318250.0,0.6846106101964134,60.343338977545095,0.0588579773902893,0.0583194883130697,0.1119726273489944,41.48443913059486,35.274740082676715,16.514056789399113,0.4531249493360519,0.1228192213225515,0.6987633919811551,0.2074865066909488,1.0841973853129407,0.0620424061250728,0.0556958159345712,0.0063465901905016,0.7693799734115601,0.4415189921855926,0.513966977596283,0.1576265158650445,0.1821862923295574,-0.037947383568138,0.928404557800971,0.0982316250566294,1.1398836910663284,1.090278872764826,0.9944220808053784,0.0895114575234135,0.4051911872234957,-0.3042141821779544,0.551314842155,365.25,stressed
2018-10-03,0.5172200202941895,0.53609699010849,0.5122690200805664,0.5281620025634766,789229000,1d,Daily,yfinance,max,2026-04-02T13:01:52Z,0.0140638884804011,0.0140638884804011,0.4828192970287912,0.4655038997530937,0.375729860663414,0.4054524311423301,0.5321615263819695,0.4828192970287912,0.375729860663414,0.4054524311423301,0.5321615263819695,0.111978270494072,0.1171508188916542,1110189750.0,0.7108955923976059,61.2128508163837,0.0238279700279235,0.0558558084355592,0.1057550678853432,40.96190476783178,34.19987367605028,16.780433799868103,0.4655038997530937,0.1171508188916542,0.6998055375364022,0.2312022619697852,1.0066581092342453,0.0582367582959379,0.0562040044068446,0.0020327538890933,0.7693799734115601,0.4415189921855926,0.5182870030403137,-0.0593094161863204,0.2325633007330694,-0.0203111224816739,0.8823735345285504,0.0995743351360201,1.0620715442476223,1.090278872764826,0.9233033257642352,0.0939123722140324,0.4056961073866156,-0.2939552334459322,0.5348498918162201,365.25,stressed
