ticker,fold_id,fold_start,fold_end,agent,outer_run,seed_used,actual_cumulative_return,annualized_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,RCSI,RCSI_z,significant_run,outperform_null_median,number_of_trades,test_bar_count,transaction_cost,simulations_per_run,null_model,execution_cost_model
SPY,fold_01,2023-07-12,2023-08-07,momentum_relative_strength,1,5001,-0.01340533357555429,-0.17295578020242464,-2.071264603801016,-0.17239609193964717,-0.034188194575385134,-0.011163519369044956,-0.015456112514161827,0.009207466376145041,50.0,0.6666666666666666,0.17609125905568127,0.002050778938607537,0.2227299948572988,0,0,11,125,0.00047,5,structure_preserving_random_timing_shared_calendar,stochastic_execution_model
SPY,fold_02,2023-07-25,2023-08-18,momentum_relative_strength,1,5001,-0.020457868403976454,-0.27029802959104354,-5.174658054701533,-0.5523717628668432,-0.025485464909898226,-0.013956852725997908,-0.008353754455646036,0.02471411329394172,50.0,0.6666666666666666,0.17609125905568127,-0.012104113948330417,-0.48976525292928685,0,0,7,125,0.00047,5,structure_preserving_random_timing_shared_calendar,stochastic_execution_model
SPY,fold_03,2023-08-07,2023-08-31,momentum_relative_strength,1,5001,0.002517499853021299,0.03907573624106231,0.40793216782559283,0.03663118508301065,-0.036786146643788875,0.029789240611798454,0.02705454881653056,0.017567281156223778,33.33333333333333,0.8333333333333334,0.0791812460476248,-0.02453704896350926,-1.396747097362657,0,0,5,125,0.00047,5,structure_preserving_random_timing_shared_calendar,stochastic_execution_model
SPY,fold_07,2023-09-27,2023-10-23,momentum_relative_strength,1,5001,-0.01675450663625888,-0.21159522255926033,-2.4923670069063815,-0.24938640281261507,-0.047248774737424504,0.00603232067354058,0.014577598009914183,0.027572602277435295,16.666666666666664,1.0,-0.0,-0.031332104646173066,-1.1363492038549605,0,0,6,125,0.00047,5,structure_preserving_random_timing_shared_calendar,stochastic_execution_model
SPY,fold_08,2023-10-10,2023-11-03,momentum_relative_strength,1,5001,-0.028690991520321063,-0.3584048557073308,-4.391221343316755,-0.468192980220362,-0.0540242175827752,0.019490183612033224,0.0168334546685076,0.0069606193780974894,16.666666666666664,1.0,-0.0,-0.045524446188828664,-6.5402866779467015,0,0,9,125,0.00047,5,structure_preserving_random_timing_shared_calendar,stochastic_execution_model
SPY,fold_09,2023-10-23,2023-11-16,momentum_relative_strength,1,5001,0.03327011523114076,0.6455736101455454,4.21480585073317,0.37906486397264444,-0.014673577353438438,0.09798861658309423,0.08902794753178706,0.026267502601245746,16.666666666666664,1.0,-0.0,-0.05575783230064629,-2.1226925584467993,0,0,7,125,0.00047,5,structure_preserving_random_timing_shared_calendar,stochastic_execution_model
SPY,fold_10,2023-11-03,2023-11-30,momentum_relative_strength,1,5001,0.04608307828883529,0.8325804407077559,4.366925427425495,0.3886636182552862,-0.01715538004075312,0.05239953656432593,0.053197140715130896,0.01675614923958215,33.33333333333333,0.8333333333333334,0.0791812460476248,-0.007114062426295607,-0.42456427933277413,0,0,8,125,0.00047,5,structure_preserving_random_timing_shared_calendar,stochastic_execution_model
SPY,fold_11,2023-11-16,2023-12-13,momentum_relative_strength,1,5001,0.016727677991510648,0.2502985203960104,1.8643140965816924,0.25702366552219297,-0.02284579764580663,0.044864713959323954,0.04325029040595798,0.012192949595822481,16.666666666666664,1.0,-0.0,-0.02652261241444733,-2.1752417006246336,0,0,9,125,0.00047,5,structure_preserving_random_timing_shared_calendar,stochastic_execution_model
SPY,fold_12,2023-11-30,2023-12-27,trend_pullback,1,5001,0.013631293083516738,0.20134129824177682,3.8959684610578016,0.49483331701852573,-0.006433090335221325,0.006752135339073047,0.006624948752095875,0.0021159521992942937,100.0,0.16666666666666666,0.7781512503836436,0.007006344331420863,3.311201611150573,0,1,5,125,0.00047,5,structure_preserving_random_timing,stochastic_execution_model
SPY,fold_12,2023-11-30,2023-12-27,momentum_relative_strength,1,5001,0.04213075938752864,0.7491315089243327,3.2973909660887184,0.3832180101648548,-0.025384349439104392,0.09157390782655242,0.08294465407032911,0.031195428424921557,33.33333333333333,0.8333333333333334,0.0791812460476248,-0.04081389468280047,-1.3083293528418052,0,0,7,125,0.00047,5,structure_preserving_random_timing_shared_calendar,stochastic_execution_model
