candidate_id,candidate_name,candidate_family,train_median_trade_count,validation_median_trade_count,train_positive_share,validation_positive_share,train_median_RCSI_z,validation_median_RCSI_z,train_median_p_value,validation_median_p_value,passed_train_gate,passed_validation_gate,selected_for_holdout
cand_trend_pullback_ema_rsi,Trend Pullback (EMA + RSI),pullback,69.0,13.0,0.0,0.5,0.031745077388860135,0.6251948062275617,0.3971690258118235,0.2456286427976686,False,False,False
cand_mean_reversion_zscore,Z-Score Mean Reversion (Calm Regime),mean_reversion,13.0,3.0,0.0,1.0,-0.4379042383085527,0.3756141129322798,0.6969192339716903,0.2939217318900916,False,False,False
cand_ma_cross_50_200,50/200 Moving-Average Crossover,trend_following,7.0,2.0,0.0,0.0,0.3492193860531779,0.20199024489758213,0.37385512073272276,0.4029975020815987,False,False,False
cand_breakout_20_volume,20-Day Breakout + Volume Confirmation,breakout,42.0,15.0,0.25,0.0,0.1491832287313051,-0.26654348954089596,0.37968359700249793,0.7793505412156536,False,False,False
cand_hybrid_trend_breakout_pullback,Hybrid Trend + Breakout/Pullback,hybrid,88.0,37.0,0.0,0.0,-0.47188126846950357,-0.36971661762289837,0.6153205661948377,0.6211490424646128,False,False,False
cand_mean_reversion_bbands,Bollinger Mean Reversion,mean_reversion,5.0,1.0,0.0,0.0,-1.3208810886426279,-0.5057015145340281,0.9109075770191507,0.9134054954204829,False,False,False
cand_trend_pullback_adx,Trend Pullback (ADX Confirmed),pullback,86.0,32.0,0.0,0.0,-0.45921059304095657,-0.6339644135090485,0.6361365528726062,0.7318900915903414,False,False,False
cand_donchian_55_breakout,Donchian 55-Day Breakout,breakout,55.0,22.0,0.0,0.0,-0.5417605791006768,-0.687048307856565,0.6810990840965861,0.7477102414654455,False,False,False
cand_regime_filtered_momentum,Regime-Filtered Momentum,hybrid,124.0,44.0,0.2,0.0,0.22797218346462775,-0.7042903467319601,0.38384679433805163,0.7468776019983348,False,False,False
cand_dual_momentum_trend_filter,Dual Momentum + Trend Filter,momentum,269.0,114.0,0.2,0.2,-0.4396947091969452,-0.8308585219049328,0.6036636136552873,0.7893422148209825,False,False,False
cand_tsmom_12m_filter,TSMOM 12M + Trend Filter,time_series_momentum,114.0,39.0,0.2,0.0,-0.13073465324558176,-0.9297443163530609,0.48209825145711904,0.8209825145711906,False,False,False
cand_vol_managed_momentum,Volatility-Managed Momentum,volatility_scaled_momentum,126.0,53.0,0.2,0.0,-0.21835599622367335,-1.0197316656553201,0.517901748542881,0.8509575353871773,False,False,False
