signal_date,signal_close,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,regime_at_entry
1998-05-12,133.8800048828125,1998-05-13,1998-09-01,133.85000610351562,139.35000610351562,133.87009781130203,139.32059300409867,746,1.9973418593446266,2.0786632476211526,1.001061402333738,1.611181038117703,100000.0,104061.99340871933,99869.09030909066,0.9986909030909067,99867.09296723132,0.9986709296723132,746,4066.0694138262916,4061.993408719326,0.04071480698011769,0.04067399268397808,0.04061993408719326,79,calm
1998-11-09,121.6500015258789,1998-11-10,1998-12-14,121.5999984741211,116.38999938964844,121.62436366741062,116.35857674467779,855,2.079776618712722,1.9897316623339902,1.5037165785575901,2.2005009729187712,104061.99340871933,99555.6760815017,103990.9107122548,0.999316919711644,103988.83093563608,0.9992969337729686,855,-4502.247818936569,-4506.3173272176155,-0.043295494125933934,-0.04333462821605141,-0.043304161102491745,24,stressed
1999-01-28,116.2699966430664,1999-01-29,1999-06-09,116.2300033569336,119.38999938964844,116.25296706756004,119.3489193454733,856,1.990250796196628,2.043253499194503,1.47571280764013,2.942012244469713,99555.6760815017,102201.77772710007,99514.53006062759,0.9995867034156803,99512.53980983139,0.9995667120814388,856,2650.135149893759,2646.1016455983677,0.026631167840336215,0.026590635216979405,0.026579113815993018,93,stressed
2000-02-01,107.73999786376952,2000-02-02,2000-03-02,107.8000030517578,107.0,107.8356981567902,106.9713020171619,947,2.0424081230896065,2.0260364602050465,2.811234139322455,2.182774005451455,102201.77772710007,101379.12613828878,102122.44856260341,0.9992237985849084,102120.40615448033,0.9992038145086183,947,-818.5831442279978,-822.6515888112924,-0.008015862598408635,-0.008055702281156665,-0.008049288447877518,21,calm
2000-04-28,108.1500015258789,2000-05-01,2000-06-07,108.12000274658205,105.81999969482422,108.1363373399812,105.80936247868085,937,2.026474961751248,1.9828674528504793,1.0107836648349537,0.5053189901324424,101379.12613828878,99194.74135083576,101325.77456252414,0.9994737420039322,101323.74808756239,0.9994537529288736,937,-2180.3754450384213,-2184.384787453023,-0.021518898443770314,-0.021558468065801435,-0.02154669181576252,27,neutral
2000-07-06,107.33000183105467,2000-07-07,2000-08-24,107.29000091552734,106.9499969482422,107.31501406592223,106.91671944942452,924,1.9831814599382427,1.9758209754253653,1.831358950643204,2.612469124478273,99194.74135083576,98822.75812275651,99161.05617837206,0.9996604137275327,99159.07299691213,0.9996404209191143,924,-368.0242256438821,-371.98322807924575,-0.0037114528657941626,-0.0037513786367368474,-0.003750029719454595,34,calm
2000-09-22,108.0,2000-09-25,2000-11-06,107.93000030517578,107.22000122070312,107.96308767428732,107.20031922366833,915,1.975724504439458,1.9617658417931305,2.565632263316885,1.3360017187767441,98822.75812275651,98120.8875000939,98788.20094647734,0.9996503115584343,98786.2252219729,0.9996303189520552,915,-697.9331323163779,-701.8706226626105,-0.007065085549610994,-0.007104944247900002,-0.0071023176846648495,30,calm
2000-11-20,109.69000244140624,2000-11-21,2001-02-06,109.69000244140624,114.72000122070312,109.71944846476666,114.68941553087964,894,1.9617837385500279,2.050646749692128,2.184476497859562,2.166827595371767,98120.8875000939,102560.02562671067,98091.14871123993,0.9996969168378758,98089.18692750139,0.9996769232994098,894,4443.150557105009,4439.138126616766,0.04529704747567112,0.0452561415347216,0.04524152032983312,55,calm
2001-03-02,119.0500030517578,2001-03-05,2001-04-20,119.26000213623048,121.23999786376952,119.30109007731501,121.22234251356055,859,2.049592727528272,2.0825998443829703,2.945240679903631,0.9564435765624658,102560.02562671067,104206.24927687368,102481.68596914112,0.9992361579758698,102479.63637641359,0.9992161736523967,859,1650.3558427349174,1646.2236501630061,0.016104232031747902,0.01606390994710727,0.0160513186312452,34,neutral
2001-06-20,123.87000274658205,2001-06-21,2001-07-23,123.87999725341795,123.16999816894533,123.91841731560142,123.12755556750557,840,2.081829410902104,2.068542933534094,2.601393528842417,2.9470432913365587,104206.24927687368,103537.77503612873,104093.55237451609,0.9989185206919965,104091.47054510519,0.9988985427211421,840,-664.3238684005138,-668.47424074495,-0.006382116276401794,-0.006421988634076266,-0.0064149150879505195,22,calm
