agent,outer_run,seed_used,actual_cumulative_return,annualized_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,RCSI,RCSI_z,significant_run,outperform_null_median,lower_5pct,upper_95pct,number_of_trades,transaction_cost,simulations_per_run,null_model,robustness_scope,research_grade
trend_pullback,1,101,0.5769300313737311,0.018045638488587756,0.27487782079215084,0.13446827544698742,-0.30972309124455755,0.28945648620147596,0.43611985688372956,0.6807520448960056,65.6686626746507,0.34530938123752497,0.46179162273845026,0.14081017449000155,0.20684502609391686,0,1,-0.37235684921642104,1.755283776555865,109,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
breakout_volume_momentum,1,101,0.3631725188157723,0.012696088036526642,0.20697915535697453,0.11290180605422388,-0.1633937932960473,0.24438920988370466,0.3673800578890196,0.5816609974764448,58.28343313373253,0.41916167664670656,0.3776184311333265,-0.004207539073247335,-0.007233662032527332,0,1,-0.32711710934251337,1.4727497716689477,99,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
mean_reversion_vol_filter,1,101,-0.08305878514180115,-0.01405204326917404,-0.16462262123743657,-0.36610215157270826,-0.1089663080593044,0.0069881112843740555,0.006975462907895348,0.04521660626388078,2.5948103792415167,0.9760479041916168,0.010528866743625458,-0.0900342480496965,-1.9911765939323989,0,0,-0.06492454920422326,0.08097876699394187,4,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
momentum_relative_strength,1,101,0.014946770575668648,0.0006052181079912125,0.084607898129144,0.012013740364927887,-0.5026716901606029,9.933410799411009,14.715027524829077,15.243852354175718,0.19960079840319359,1.0,-0.0,-14.700080754253408,-0.9643284658439141,0,0,2.0492471102023573,47.75769086120267,1048,0.00047,500,structure_preserving_random_timing_shared_calendar,monte_carlo_seed_stability_only,False
trend_momentum_verification,1,101,1.6517074966900618,0.03890465587127056,0.5272610858424966,0.28560354881433553,-0.17286600381089912,0.4171338896145623,0.6502696097807055,0.9690147964887034,88.22355289421158,0.11976047904191617,0.921686475483602,1.0014378869093563,1.0334598507041795,0,1,-0.41601742196842295,2.576599192891779,86,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
random,1,101,1.3750839239031947,0.03421811949624213,0.28108758025505964,0.10428990553392183,-0.6138411755562517,1.1235716675780743,1.538925167202196,1.5811496465990964,58.48303393213573,0.4171656686626746,0.37969143975619174,-0.1638412432990013,-0.10362159182807797,0,1,-0.16283279817835636,4.63203585666115,251,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
trend_pullback,2,102,0.5769300313737311,0.018045638488587756,0.27487782079215084,0.13446827544698742,-0.30972309124455755,0.32489521056116555,0.42044621000282584,0.6502936038974794,66.26746506986028,0.3393213572854291,0.4693888044889718,0.15648382137090527,0.24063564585755234,0,1,-0.42828056511279555,1.6770603417290417,109,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
breakout_volume_momentum,2,102,0.3631725188157723,0.012696088036526642,0.20697915535697453,0.11290180605422388,-0.1633937932960473,0.23337486189398604,0.34416464855383,0.5719215783968473,59.48103792415169,0.40718562874251496,0.39020755844134697,0.019007870261942283,0.033235098971476515,0,1,-0.3346016759243645,1.4412800087166593,99,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
mean_reversion_vol_filter,2,102,-0.08305878514180115,-0.01405204326917404,-0.16462262123743657,-0.36610215157270826,-0.1089663080593044,0.007064326819744071,0.004081693493288327,0.051300330154508605,5.588822355289421,0.9461077844311377,0.024059384193160647,-0.08714047863508947,-1.698633875700915,0,0,-0.09069723306012374,0.08315537984954192,4,0.00047,500,structure_preserving_random_timing,monte_carlo_seed_stability_only,False
momentum_relative_strength,2,102,0.014946770575668648,0.0006052181079912125,0.084607898129144,0.012013740364927887,-0.5026716901606029,10.380440164677836,14.98481745459453,16.283208829580342,0.19960079840319359,1.0,-0.0,-14.969870684018861,-0.9193440212364254,0,0,1.8904782402189224,43.379199421920895,1048,0.00047,500,structure_preserving_random_timing_shared_calendar,monte_carlo_seed_stability_only,False
