agent,mean_actual_cumulative_return,median_actual_cumulative_return,std_actual_cumulative_return,min_actual_cumulative_return,max_actual_cumulative_return,p25_actual_cumulative_return,p75_actual_cumulative_return,mean_annualized_return,median_annualized_return,std_annualized_return,min_annualized_return,max_annualized_return,p25_annualized_return,p75_annualized_return,mean_annualized_sharpe,median_annualized_sharpe,std_annualized_sharpe,min_annualized_sharpe,max_annualized_sharpe,p25_annualized_sharpe,p75_annualized_sharpe,mean_trade_level_return_ratio,median_trade_level_return_ratio,std_trade_level_return_ratio,min_trade_level_return_ratio,max_trade_level_return_ratio,p25_trade_level_return_ratio,p75_trade_level_return_ratio,mean_max_drawdown,median_max_drawdown,std_max_drawdown,min_max_drawdown,max_max_drawdown,p25_max_drawdown,p75_max_drawdown,mean_number_of_trades,median_number_of_trades,std_number_of_trades,min_number_of_trades,max_number_of_trades,p25_number_of_trades,p75_number_of_trades,mean_p_value,median_p_value,std_p_value,min_p_value,max_p_value,p25_p_value,p75_p_value,mean_p_value_prominence,median_p_value_prominence,std_p_value_prominence,min_p_value_prominence,max_p_value_prominence,p25_p_value_prominence,p75_p_value_prominence,mean_actual_percentile,median_actual_percentile,std_actual_percentile,min_actual_percentile,max_actual_percentile,p25_actual_percentile,p75_actual_percentile,mean_RCSI,median_RCSI,std_RCSI,min_RCSI,max_RCSI,p25_RCSI,p75_RCSI,mean_RCSI_z,median_RCSI_z,std_RCSI_z,min_RCSI_z,max_RCSI_z,p25_RCSI_z,p75_RCSI_z,mean_median_simulated_return,median_median_simulated_return,std_median_simulated_return,min_median_simulated_return,max_median_simulated_return,p25_median_simulated_return,p75_median_simulated_return,proportion_significant,proportion_outperforming_null_median,mean_percentile,median_percentile,std_percentile,min_percentile,max_percentile,p25_percentile,p75_percentile,number_of_outer_runs,simulations_per_run,transaction_cost,p_value_interpretation,null_model,stability_classification,evidence_bucket,confidence_score,evaluation_power_score,confidence_bucket,evaluation_power_label,evidence_label,confidence_label,skill_luck_verdict,verdict_label,final_classification
trend,-0.8145204330763112,-0.8145204330763112,1.1102230246251565e-16,-0.8145204330763112,-0.8145204330763112,-0.8145204330763112,-0.8145204330763112,-0.056872326399188405,-0.056872326399188405,6.938893903907228e-18,-0.056872326399188405,-0.056872326399188405,-0.056872326399188405,-0.056872326399188405,0.21937993377545612,0.21937993377545612,0.0,0.21937993377545612,0.21937993377545612,0.21937993377545612,0.21937993377545612,0.06006585350861096,0.06006585350861096,6.938893903907228e-18,0.06006585350861096,0.06006585350861096,0.06006585350861096,0.06006585350861096,-0.9873218469278122,-0.9873218469278122,2.220446049250313e-16,-0.9873218469278122,-0.9873218469278122,-0.9873218469278122,-0.9873218469278122,248.0,248.0,0.0,248,248,248.0,248.0,0.7001666666666666,0.698,0.017258975120852966,0.659,0.74,0.6884999999999999,0.7095,0.1549304721475673,0.15614457737683893,0.01070380771559767,0.13076828026902382,0.18111458540599013,0.1490479240382513,0.16209639863905273,29.983333333333334,30.2,1.7258975120852986,26.0,34.1,29.049999999999997,31.15,-0.44720342245082434,-0.43280752460115013,0.06973514839881413,-0.5960815234364681,-0.30133030713582176,-0.5073002589750397,-0.402726533361242,-0.18050559498156846,-0.19610699620852498,0.05801030118800472,-0.28701684412600287,-0.044666552957141385,-0.21801990794244902,-0.15282600896186901,-0.36731701062548683,-0.38171290847516104,0.06973514839881415,-0.5131901259404894,-0.21843890963984303,-0.4117938997150692,-0.3072201741012714,0.0,0.0,29.983333333333334,30.2,1.7258975120852986,26.0,34.1,29.049999999999997,31.15,30,1000,0.00047,no evidence,random_timing_matched_duration,moderately variable,likely_random,0.52,1.0,low,Adequate,Likely Random,Low,luck,Luck,likely random
mean_reversion,-0.8620587904963659,-0.8620587904963659,1.1102230246251565e-16,-0.8620587904963659,-0.8620587904963659,-0.8620587904963659,-0.8620587904963659,-0.06806078317479476,-0.06806078317479476,1.3877787807814457e-17,-0.06806078317479476,-0.06806078317479476,-0.06806078317479476,-0.06806078317479476,0.0279580222435926,0.0279580222435926,6.938893903907228e-18,0.0279580222435926,0.0279580222435926,0.0279580222435926,0.0279580222435926,-0.015255039320519479,-0.015255039320519479,1.734723475976807e-18,-0.015255039320519479,-0.015255039320519479,-0.015255039320519479,-0.015255039320519479,-0.9565499070799878,-0.9565499070799878,2.220446049250313e-16,-0.9565499070799878,-0.9565499070799878,-0.9565499070799878,-0.9565499070799878,118.0,118.0,0.0,118,118,118.0,118.0,0.8295333333333333,0.831,0.012347019433405323,0.805,0.854,0.82,0.8362499999999999,0.08121424755406674,0.08039897621588903,0.006462480358096644,0.06854212931099495,0.09420411963213146,0.07766439384562035,0.0861871148766187,17.046666666666667,16.900000000000002,1.2347019433405333,14.6,19.5,16.375,18.0,-0.65400463292134,-0.6481384737581082,0.06169960562136795,-0.7896262615990257,-0.5388364489350982,-0.6835734952901806,-0.6126254280114465,-0.26017847675754796,-0.2704162399067087,0.07531138338088998,-0.37241219536900905,-0.057410853079363625,-0.3126341461461372,-0.22318394180838297,-0.20805415757502596,-0.2139203167382578,0.061699605621367955,-0.3232223415612677,-0.0724325288973402,-0.24943336248491949,-0.1784852952061853,0.0,0.0,17.046666666666667,16.900000000000002,1.2347019433405333,14.6,19.5,16.375,18.0,30,1000,0.00047,no evidence,random_timing_matched_duration,stable,likely_random,0.7,1.0,moderate,Adequate,Likely Random,Moderate,luck,Luck,likely random
random,0.37766684623115615,0.37766684623115615,5.551115123125783e-17,0.37766684623115615,0.37766684623115615,0.37766684623115615,0.37766684623115615,0.01121104227969459,0.01121104227969459,3.469446951953614e-18,0.01121104227969459,0.01121104227969459,0.01121104227969459,0.01121104227969459,0.32768888533432783,0.32768888533432783,1.6653345369377348e-16,0.32768888533432783,0.32768888533432783,0.32768888533432783,0.32768888533432783,0.10232234649768938,0.10232234649768938,2.7755575615628914e-17,0.10232234649768938,0.10232234649768938,0.10232234649768938,0.10232234649768938,-0.8987452468672033,-0.8987452468672033,2.220446049250313e-16,-0.8987452468672033,-0.8987452468672033,-0.8987452468672033,-0.8987452468672033,168.0,168.0,0.0,168,168,168.0,168.0,0.38253333333333334,0.3815,0.011965877411298446,0.351,0.406,0.37324999999999997,0.39075000000000004,0.41754450049132813,0.41850583070633596,0.013649399839589607,0.39147396642280585,0.4546928835341759,0.40810128019647507,0.4280004755933643,61.74666666666667,61.849999999999994,1.1965877411298447,59.4,64.9,60.925,62.675000000000004,0.6723709622823465,0.6750875506099596,0.06060274369172107,0.5663763056892115,0.7972957136332162,0.6288174483430571,0.7114041174842469,-0.15267105060310174,-0.16841767582734646,0.04203495474963523,-0.22264900453493433,-0.07010185704568751,-0.18600167623454336,-0.11490933618657992,-0.29470411605119035,-0.2974207043788035,0.06060274369172106,-0.41962886740205996,-0.18870945945805534,-0.3337372712530908,-0.25115060211190093,0.0,1.0,61.74666666666667,61.849999999999994,1.1965877411298447,59.4,64.9,60.925,62.675000000000004,30,1000,0.00047,no evidence,random_timing_matched_duration,moderately variable,neutral_inconclusive,0.34,1.0,low,Adequate,Null-Like / Inconclusive,Low,inconclusive,Inconclusive,null-like / inconclusive
momentum,-0.28119245516102936,-0.28119245516102936,5.551115123125783e-17,-0.28119245516102936,-0.28119245516102936,-0.28119245516102936,-0.28119245516102936,-0.01140723629235013,-0.01140723629235013,0.0,-0.01140723629235013,-0.01140723629235013,-0.01140723629235013,-0.01140723629235013,0.3059315093646828,0.3059315093646828,5.551115123125783e-17,0.3059315093646828,0.3059315093646828,0.3059315093646828,0.3059315093646828,0.08815206665479983,0.08815206665479983,2.7755575615628914e-17,0.08815206665479983,0.08815206665479983,0.08815206665479983,0.08815206665479983,-0.9867090311216329,-0.9867090311216329,3.3306690738754696e-16,-0.9867090311216329,-0.9867090311216329,-0.9867090311216329,-0.9867090311216329,128.0,128.0,0.0,128,128,128.0,128.0,0.4704666666666667,0.471,0.013581196150887766,0.442,0.501,0.463,0.478,0.3276524781851588,0.3269790928711038,0.012557976313284994,0.30016227413275426,0.3545777306509081,0.3205721033878811,0.33441900898204685,52.95333333333334,52.900000000000006,1.3581196150887787,49.9,55.800000000000004,52.2,53.7,0.11744895527078887,0.11474509330894661,0.05120671588218788,-0.006216817583339196,0.20526974144431243,0.09352995751336865,0.1509886500266185,-0.15912768652784628,-0.1654859647513139,0.047620272402893175,-0.2806811983598503,-0.07819229959694488,-0.18601137194757847,-0.12875619736933655,-0.3986414104318182,-0.395937548469976,0.05120671588218788,-0.4864621966053418,-0.27497563757769017,-0.43218110518764785,-0.374722412674398,0.0,0.9666666666666667,52.95333333333334,52.900000000000006,1.3581196150887787,49.9,55.800000000000004,52.2,53.7,30,1000,0.00047,no evidence,random_timing_matched_duration,unstable,neutral_inconclusive,0.34,1.0,low,Adequate,Null-Like / Inconclusive,Low,inconclusive,Inconclusive,null-like / inconclusive
breakout,-0.8108206647352417,-0.8108206647352417,2.220446049250313e-16,-0.8108206647352417,-0.8108206647352417,-0.8108206647352417,-0.8108206647352417,-0.056217198612669564,-0.056217198612669564,1.3877787807814457e-17,-0.056217198612669564,-0.056217198612669564,-0.056217198612669564,-0.056217198612669564,0.2310783659492302,0.2310783659492302,0.0,0.2310783659492302,0.2310783659492302,0.2310783659492302,0.2310783659492302,0.11632756172896609,0.11632756172896609,0.0,0.11632756172896609,0.11632756172896609,0.11632756172896609,0.11632756172896609,-0.979547978663442,-0.979547978663442,3.3306690738754696e-16,-0.979547978663442,-0.979547978663442,-0.979547978663442,-0.979547978663442,76.0,76.0,0.0,76,76,76.0,76.0,0.7086333333333333,0.709,0.013362842345682129,0.678,0.732,0.7012499999999999,0.719,0.14965594985597838,0.1493537648169335,0.008214463360314547,0.13548891894160814,0.16877030613293661,0.14327110961711742,0.1541272084925547,29.136666666666667,29.099999999999998,1.3362842345682127,26.8,32.2,28.1,29.875,-0.45209556994271605,-0.443332264376194,0.048297562996850715,-0.5752349817393474,-0.3408591453926163,-0.47744170026598237,-0.42988541161758853,-0.18885723508523414,-0.19106412953284937,0.04654888288140985,-0.2513428919345585,-0.0732466886644725,-0.23207787209008524,-0.1597055811464494,-0.3587250947925257,-0.36748840035904773,0.04829756299685071,-0.4699615193426254,-0.23558568299589436,-0.3809352531176532,-0.33337896446925935,0.0,0.0,29.136666666666667,29.099999999999998,1.3362842345682127,26.8,32.2,28.1,29.875,30,1000,0.00047,no evidence,random_timing_matched_duration,moderately variable,likely_random,0.52,1.0,low,Adequate,Likely Random,Low,luck,Luck,likely random
