agent,mean_actual_cumulative_return,median_actual_cumulative_return,std_actual_cumulative_return,min_actual_cumulative_return,max_actual_cumulative_return,p25_actual_cumulative_return,p75_actual_cumulative_return,mean_annualized_return,median_annualized_return,std_annualized_return,min_annualized_return,max_annualized_return,p25_annualized_return,p75_annualized_return,mean_annualized_sharpe,median_annualized_sharpe,std_annualized_sharpe,min_annualized_sharpe,max_annualized_sharpe,p25_annualized_sharpe,p75_annualized_sharpe,mean_trade_level_return_ratio,median_trade_level_return_ratio,std_trade_level_return_ratio,min_trade_level_return_ratio,max_trade_level_return_ratio,p25_trade_level_return_ratio,p75_trade_level_return_ratio,mean_max_drawdown,median_max_drawdown,std_max_drawdown,min_max_drawdown,max_max_drawdown,p25_max_drawdown,p75_max_drawdown,mean_number_of_trades,median_number_of_trades,std_number_of_trades,min_number_of_trades,max_number_of_trades,p25_number_of_trades,p75_number_of_trades,mean_p_value,median_p_value,std_p_value,min_p_value,max_p_value,p25_p_value,p75_p_value,mean_p_value_prominence,median_p_value_prominence,std_p_value_prominence,min_p_value_prominence,max_p_value_prominence,p25_p_value_prominence,p75_p_value_prominence,mean_actual_percentile,median_actual_percentile,std_actual_percentile,min_actual_percentile,max_actual_percentile,p25_actual_percentile,p75_actual_percentile,mean_RCSI,median_RCSI,std_RCSI,min_RCSI,max_RCSI,p25_RCSI,p75_RCSI,mean_RCSI_z,median_RCSI_z,std_RCSI_z,min_RCSI_z,max_RCSI_z,p25_RCSI_z,p75_RCSI_z,mean_median_simulated_return,median_median_simulated_return,std_median_simulated_return,min_median_simulated_return,max_median_simulated_return,p25_median_simulated_return,p75_median_simulated_return,proportion_significant,proportion_outperforming_null_median,mean_percentile,median_percentile,std_percentile,min_percentile,max_percentile,p25_percentile,p75_percentile,number_of_outer_runs,simulations_per_run,transaction_cost,research_grade,robustness_scope,p_value_interpretation,null_model,stability_classification,evidence_bucket,confidence_score,evaluation_power_score,confidence_bucket,evaluation_power_label,evidence_label,confidence_label,skill_luck_verdict,verdict_label,final_classification
trend_pullback,0.5674583126506714,0.5674583126506714,1.1102230246251565e-16,0.5674583126506714,0.5674583126506714,0.5674583126506714,0.5674583126506714,0.019931170643215736,0.019931170643215736,0.0,0.019931170643215736,0.019931170643215736,0.019931170643215736,0.019931170643215736,0.3528206831850419,0.3528206831850419,0.0,0.3528206831850419,0.3528206831850419,0.3528206831850419,0.3528206831850419,0.16051894001297762,0.16051894001297762,0.0,0.16051894001297762,0.16051894001297762,0.16051894001297762,0.16051894001297762,-0.13596490560959051,-0.13596490560959051,2.7755575615628914e-17,-0.13596490560959051,-0.13596490560959051,-0.13596490560959051,-0.13596490560959051,116.0,116.0,0.0,116,116,116.0,116.0,0.35848303393213576,0.3592814371257485,0.01386327772789248,0.3273453093812375,0.37924151696606784,0.35728542914171657,0.3647704590818363,0.44586362063459795,0.4445652207639397,0.01708687148644688,0.42108412491441677,0.48499387781954784,0.43798156157315493,0.44698469488735254,64.35129740518963,64.27145708582835,1.3863277727892482,62.27544910179641,67.46506986027944,63.722554890219556,64.47105788423154,0.10540016151690619,0.10374293131527856,0.010126434056243977,0.09348911904360468,0.12502556740091486,0.09750618926098134,0.10667542527667496,0.2330186753393094,0.2297399546496376,0.026705501486467942,0.2010566816236826,0.29567496540320226,0.21429454626260075,0.2339755067344328,0.40928913377569903,0.41212296704905116,0.014717700350979418,0.3896407177710325,0.4349240001515151,0.395616033733838,0.4178627755915937,0.0,1.0,64.35129740518963,64.27145708582835,1.3863277727892482,62.27544910179641,67.46506986027944,63.722554890219556,64.47105788423154,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,moderately variable,random_luck,0.35,,low,Not Used,Random / Luck,Low,random_luck,Random / Luck,random / luck
breakout_volume_momentum,0.06406952251557033,0.06406952251557033,0.0,0.06406952251557033,0.06406952251557033,0.06406952251557033,0.06406952251557033,0.002634658387657108,0.002634658387657108,4.336808689942018e-19,0.002634658387657108,0.002634658387657108,0.002634658387657108,0.002634658387657108,0.08136467087544465,0.08136467087544465,0.0,0.08136467087544465,0.08136467087544465,0.08136467087544465,0.08136467087544465,0.04877222113989588,0.04877222113989588,0.0,0.04877222113989588,0.04877222113989588,0.04877222113989588,0.04877222113989588,-0.12059661890381812,-0.12059661890381812,0.0,-0.12059661890381812,-0.12059661890381812,-0.12059661890381812,-0.12059661890381812,86.0,86.0,0.0,86,86,86.0,86.0,0.5822355289421157,0.5888223552894212,0.034224989626595606,0.499001996007984,0.6327345309381237,0.5688622754491018,0.5988023952095808,0.23568819058537502,0.2300182051316978,0.02646824417776605,0.19877846364949425,0.30189771719520814,0.2227164711475833,0.24499286585873548,41.97604790419162,41.31736526946108,3.422498962659561,36.92614770459082,50.29940119760479,40.31936127744511,43.31337325349301,-0.09305716113682308,-0.0937786291129796,0.018816435084327527,-0.1303271140497913,-0.05315607414670363,-0.1007419258144622,-0.08717435457442446,-0.30398664739560954,-0.30166608649764415,0.055553421542427775,-0.4141627031829398,-0.1876874448303019,-0.32911659246729646,-0.29144912919896493,0.12330719091270059,0.12569122134090333,0.023313079740117173,0.0631651320006235,0.14644603270649498,0.11639121367603306,0.1406424003177527,0.0,0.1,41.97604790419162,41.31736526946108,3.422498962659561,36.92614770459082,50.29940119760479,40.31936127744511,43.31337325349301,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,moderately variable,random_luck,0.35,,low,Not Used,Random / Luck,Low,random_luck,Random / Luck,random / luck
mean_reversion_vol_filter,0.13282497573641036,0.13282497573641036,0.0,0.13282497573641036,0.13282497573641036,0.13282497573641036,0.13282497573641036,0.005769676307034814,0.005769676307034814,0.0,0.005769676307034814,0.005769676307034814,0.005769676307034814,0.005769676307034814,0.2737062883898638,0.2737062883898638,0.0,0.2737062883898638,0.2737062883898638,0.2737062883898638,0.2737062883898638,0.42374004628126893,0.42374004628126893,0.0,0.42374004628126893,0.42374004628126893,0.42374004628126893,0.42374004628126893,-0.07616912159466005,-0.07616912159466005,0.0,-0.07616912159466005,-0.07616912159466005,-0.07616912159466005,-0.07616912159466005,16.0,16.0,0.0,16,16,16.0,16.0,0.130938123752495,0.13073852295409183,0.009497307188319615,0.1157684630738523,0.14770459081836326,0.12425149700598802,0.13722554890219563,0.8840760411695774,0.8836090797748837,0.03150261023514728,0.8306060061362696,0.9364097323043085,0.8625736796377451,0.90570882138016,87.1057884231537,87.12574850299401,0.9497307188319591,85.42914171656687,88.62275449101796,86.47704590818363,87.77445109780439,0.10875401175662994,0.10817454469678636,0.0027758484584331617,0.10383174379622416,0.11345165312493306,0.10711483141609417,0.11063357218332262,1.0887746352470444,1.0912672999706232,0.059648779561257546,0.9929504950092861,1.1766480938419415,1.037784729515578,1.1245377740613962,0.02325083362417323,0.02260018338428792,0.003270404402384713,0.017630308396803688,0.029565600551321774,0.021560988663351783,0.025451205904342217,0.0,1.0,87.1057884231537,87.12574850299401,0.9497307188319591,85.42914171656687,88.62275449101796,86.47704590818363,87.77445109780439,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,stable,weak_skill,0.6,,moderate,Not Used,Weak Skill,Moderate,weak_skill,Weak Skill,weak skill
trend_momentum_verification,0.11534612610595456,0.11534612610595456,0.0,0.11534612610595456,0.11534612610595456,0.11534612610595456,0.11534612610595456,0.004836001795840843,0.004836001795840843,0.0,0.004836001795840843,0.004836001795840843,0.004836001795840843,0.004836001795840843,0.1118160166347135,0.11181601663471351,1.3877787807814457e-17,0.11181601663471351,0.11181601663471351,0.11181601663471351,0.11181601663471351,0.06650453472398454,0.06650453472398454,0.0,0.06650453472398454,0.06650453472398454,0.06650453472398454,0.06650453472398454,-0.1909633331080287,-0.1909633331080287,0.0,-0.1909633331080287,-0.1909633331080287,-0.1909633331080287,-0.1909633331080287,77.0,77.0,0.0,77,77,77.0,77.0,0.8598802395209582,0.8542914171656686,0.017142443555755598,0.8403193612774451,0.9001996007984032,0.8478043912175649,0.8677644710578842,0.06564710750848424,0.06839514226237167,0.008565783886590255,0.04566118398928517,0.0755556300315774,0.0616035413756233,0.07170636466644026,14.211576846307384,14.770459081836325,1.7142443555755598,10.179640718562874,16.16766467065868,13.423153692614772,15.419161676646707,-0.6056757993455736,-0.6004681516719215,0.029339155391990897,-0.672715709330653,-0.5608780460507033,-0.6096800014818369,-0.5887867934295391,-1.0127579371667905,-0.9930781163798774,0.05479203686549552,-1.1290950924039904,-0.9563779267630552,-1.0265280568415913,-0.9746881642502851,0.6441127037126123,0.642792557281211,0.030725954355075906,0.5947009986711429,0.6997068819460238,0.6288646190660334,0.6582825305796469,0.0,0.0,14.211576846307384,14.770459081836325,1.7142443555755598,10.179640718562874,16.16766467065868,13.423153692614772,15.419161676646707,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,moderately variable,negative_skill,0.6,,low,Not Used,Negative Skill,Low,negative_skill,Negative Skill,negative skill
adx_trend_following,0.01917775503232315,0.01917775503232315,3.469446951953614e-18,0.01917775503232315,0.01917775503232315,0.01917775503232315,0.01917775503232315,0.0008487684171866961,0.000848768417186696,1.0842021724855044e-19,0.000848768417186696,0.000848768417186696,0.000848768417186696,0.000848768417186696,0.040768335587960204,0.040768335587960204,6.938893903907228e-18,0.040768335587960204,0.040768335587960204,0.040768335587960204,0.040768335587960204,0.02052033238731987,0.02052033238731987,0.0,0.02052033238731987,0.02052033238731987,0.02052033238731987,0.02052033238731987,-0.21235975789199743,-0.21235975789199746,2.7755575615628914e-17,-0.21235975789199746,-0.21235975789199746,-0.21235975789199746,-0.21235975789199746,92.0,92.0,0.0,92,92,92.0,92.0,0.8962075848303392,0.8962075848303394,0.01271818947870179,0.874251497005988,0.9201596806387226,0.8902195608782435,0.9011976047904191,0.04763504053421115,0.047591384863922524,0.0061552842496716735,0.03613680047759757,0.05836361536314618,0.045180771314873226,0.05050286715510385,10.578842315369261,10.578842315369261,1.2718189478701785,8.183632734530939,12.77445109780439,10.079840319361278,11.177644710578843,-0.6533372415828798,-0.6519739329982881,0.017196215675482397,-0.6842721861041479,-0.6219058112129202,-0.66257782160611,-0.6500061372044057,-1.1395507718507187,-1.1274380434637339,0.04164011281437149,-1.2116498239065072,-1.0835245032587817,-1.1655673096506582,-1.1047622141041706,0.5961187334995918,0.5904731192436719,0.02449118021185457,0.5676647570439812,0.6480398639464826,0.5773250686536664,0.6065222746091005,0.0,0.0,10.578842315369261,10.578842315369261,1.2718189478701785,8.183632734530939,12.77445109780439,10.079840319361278,11.177644710578843,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,stable,negative_skill,0.6,,low,Not Used,Negative Skill,Low,negative_skill,Negative Skill,negative skill
uptrend_oversold_reversion,0.08796928389676816,0.08796928389676816,0.0,0.08796928389676816,0.08796928389676816,0.08796928389676816,0.08796928389676816,0.0037375973793767813,0.0037375973793767813,0.0,0.0037375973793767813,0.0037375973793767813,0.0037375973793767813,0.0037375973793767813,0.11952909272250326,0.11952909272250324,1.3877787807814457e-17,0.11952909272250324,0.11952909272250324,0.11952909272250324,0.11952909272250324,0.07648663006375966,0.07648663006375966,0.0,0.07648663006375966,0.07648663006375966,0.07648663006375966,0.07648663006375966,-0.087458064980792,-0.087458064980792,0.0,-0.087458064980792,-0.087458064980792,-0.087458064980792,-0.087458064980792,71.0,71.0,0.0,71,71,71.0,71.0,0.4291417165668663,0.4301397205588823,0.009276606817263276,0.41317365269461076,0.4431137724550898,0.42165668662674655,0.437125748502994,0.3675010476086462,0.3664009722683855,0.009409802911285558,0.35348475141660707,0.383867380410328,0.35939361102712736,0.3750419191617883,57.28542914171656,57.18562874251497,0.9276606817263258,55.88822355289421,58.88223552894212,56.4870259481038,58.03393213572855,0.0182827560219158,0.017265831775570666,0.005318075039391152,0.010350451783865497,0.025563239233315736,0.014926233778780433,0.023335609494118836,0.0972862228915214,0.08990137207536124,0.028781787684548765,0.05545229491169362,0.1361002066034811,0.07650436306123284,0.12545294448857297,0.05421808986976716,0.05432689430447908,0.004898773086760672,0.044231339389046984,0.06132144205322462,0.05137449927129152,0.058230346887600495,0.0,1.0,57.28542914171656,57.18562874251497,0.9276606817263258,55.88822355289421,58.88223552894212,56.4870259481038,58.03393213572855,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,moderately variable,random_luck,0.35,,low,Not Used,Random / Luck,Low,random_luck,Random / Luck,random / luck
volatility_squeeze_breakout,0.10383417213667187,0.10383417213667187,0.0,0.10383417213667187,0.10383417213667187,0.10383417213667187,0.10383417213667187,0.004417204006644358,0.004417204006644358,0.0,0.004417204006644358,0.004417204006644358,0.004417204006644358,0.004417204006644358,0.18826982971291015,0.18826982971291015,0.0,0.18826982971291015,0.18826982971291015,0.18826982971291015,0.18826982971291015,0.18955242354073343,0.18955242354073343,2.7755575615628914e-17,0.18955242354073343,0.18955242354073343,0.18955242354073343,0.18955242354073343,-0.09972720034128058,-0.09972720034128058,0.0,-0.09972720034128058,-0.09972720034128058,-0.09972720034128058,-0.09972720034128058,25.0,25.0,0.0,25,25,25.0,25.0,0.47744510978043914,0.47305389221556887,0.029073279770112762,0.4231536926147705,0.5329341317365269,0.4635728542914172,0.49700598802395207,0.32188091923284623,0.32508937985714187,0.026436024940281813,0.2733264645026705,0.37350186493849424,0.3037345098531862,0.3338827569425662,52.455089820359284,52.8942115768463,2.9073279770112768,46.9061876247505,57.884231536926144,50.49900199600798,53.84231536926148,0.0036587005932109938,0.003578994670163746,0.010330950417542445,-0.011735942577551992,0.019561527741182375,-0.004338533707716103,0.01138780359191437,0.019141946796882112,0.01863227909205115,0.0527328010658422,-0.05854118684494274,0.10155066997287794,-0.022331037540923058,0.059292674100676776,0.09163345447655652,0.09010429541496343,0.013599838159158226,0.07024679573011201,0.11821029498291886,0.08177945163047054,0.10137494179203604,0.0,0.7,52.455089820359284,52.8942115768463,2.9073279770112768,46.9061876247505,57.884231536926144,50.49900199600798,53.84231536926148,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,moderately variable,random_luck,0.35,,low,Not Used,Random / Luck,Low,random_luck,Random / Luck,random / luck
connors_rsi2_pullback,0.40896813839674573,0.4089681383967458,5.551115123125783e-17,0.4089681383967458,0.4089681383967458,0.4089681383967458,0.4089681383967458,0.015294324023317537,0.015294324023317537,0.0,0.015294324023317537,0.015294324023317537,0.015294324023317537,0.015294324023317537,0.4669124361315776,0.4669124361315777,5.551115123125783e-17,0.4669124361315777,0.4669124361315777,0.4669124361315777,0.4669124361315777,0.2822960889208328,0.2822960889208328,5.551115123125783e-17,0.2822960889208328,0.2822960889208328,0.2822960889208328,0.2822960889208328,-0.11433664492709783,-0.11433664492709783,2.7755575615628914e-17,-0.11433664492709783,-0.11433664492709783,-0.11433664492709783,-0.11433664492709783,86.0,86.0,0.0,86,86,86.0,86.0,0.02994011976047904,0.028942115768463075,0.005502614272291505,0.023952095808383235,0.041916167664670656,0.0249500998003992,0.031936127744510975,1.530675442496835,1.5387280785002861,0.07660576059519283,1.3776184311333264,1.6206564798196208,1.495717743211321,1.6039197824119675,97.20558882235528,97.30538922155688,0.550261427229149,96.00798403193613,97.80439121756487,97.0059880239521,97.70459081836327,0.36293261416834854,0.361543758270472,0.006973103175159858,0.3550922609065448,0.37924806389531057,0.35843624656445183,0.3641891648802717,2.0709902723155924,2.0393828093978357,0.07648476171927851,1.9586945807109364,2.217790620951028,2.022896752504637,2.1193739926755137,0.034804308114934276,0.03627199731561929,0.00736569141840664,0.0209015764106507,0.04637958278377397,0.029562294055791336,0.040355559885498306,1.0,1.0,97.20558882235528,97.30538922155688,0.550261427229149,96.00798403193613,97.80439121756487,97.0059880239521,97.70459081836327,10,500,0.00047,False,monte_carlo_seed_stability_only,strong evidence,structure_preserving_random_timing,stable,strong_skill,0.9,,high,Not Used,Strong Skill,High,strong_skill,Strong Skill,strong skill
donchian_trend_reentry,0.05135941774942754,0.05135941774942754,0.0,0.05135941774942754,0.05135941774942754,0.05135941774942754,0.05135941774942754,0.0022361919687330827,0.0022361919687330827,0.0,0.0022361919687330827,0.0022361919687330827,0.0022361919687330827,0.0022361919687330827,0.06949181325245359,0.06949181325245359,0.0,0.06949181325245359,0.06949181325245359,0.06949181325245359,0.06949181325245359,0.0423530538677517,0.0423530538677517,6.938893903907228e-18,0.0423530538677517,0.0423530538677517,0.0423530538677517,0.0423530538677517,-0.15377513190653835,-0.15377513190653835,0.0,-0.15377513190653835,-0.15377513190653835,-0.15377513190653835,-0.15377513190653835,73.0,73.0,0.0,73,73,73.0,73.0,0.8297405189620758,0.8253493013972055,0.012175648702594808,0.8143712574850299,0.8562874251497006,0.8213572854291418,0.8333333333333333,0.0811040246217503,0.08336252947859574,0.006328439937399649,0.06738043368252149,0.08917756277736577,0.07918218187928365,0.08546884654609355,17.22554890219561,17.66467065868264,1.2175648702594815,14.570858283433132,18.7624750499002,16.86626746506986,18.063872255489024,-0.4523128789920139,-0.4489754961603666,0.02155287234746458,-0.49702808258829634,-0.4200442929171008,-0.4640300259562088,-0.436004724984645,-0.9496246867155949,-0.9423710212448275,0.030817682398911722,-1.019169374729087,-0.9129275023656035,-0.9580619141070899,-0.9338158559662844,0.44847556906555824,0.44580166668529614,0.019247220004368154,0.4082973691530245,0.48841330596296506,0.4417480733162699,0.4568408213284704,0.0,0.0,17.22554890219561,17.66467065868264,1.2175648702594815,14.570858283433132,18.7624750499002,16.86626746506986,18.063872255489024,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,stable,negative_skill,0.6,,low,Not Used,Negative Skill,Low,negative_skill,Negative Skill,negative skill
turn_of_month_seasonality,0.5135687601006731,0.5135687601006731,0.0,0.5135687601006731,0.5135687601006731,0.5135687601006731,0.5135687601006731,0.017464922925284232,0.017464922925284232,0.0,0.017464922925284232,0.017464922925284232,0.017464922925284232,0.017464922925284232,0.3901279242586594,0.3901279242586594,0.0,0.3901279242586594,0.3901279242586594,0.3901279242586594,0.3901279242586594,0.13340210972426972,0.13340210972426972,0.0,0.13340210972426972,0.13340210972426972,0.13340210972426972,0.13340210972426972,-0.14019541273655767,-0.14019541273655767,0.0,-0.14019541273655767,-0.14019541273655767,-0.14019541273655767,-0.14019541273655767,195.0,195.0,0.0,195,195,195.0,195.0,0.18542914171656685,0.18463073852295409,0.014679821164229057,0.1656686626746507,0.2055888223552894,0.17165668662674652,0.20109780439121755,0.7331803259700213,0.7337023379175005,0.03433076227670796,0.6870005011620736,0.7807596334911718,0.6966946634792464,0.765339274623678,81.6566866267465,81.73652694610779,1.4679821164229045,79.64071856287424,83.63273453093812,80.08982035928145,83.03393213572853,0.2959177533719548,0.29472603472673364,0.016261769371710696,0.2662938598180987,0.3203313466935036,0.2872534726391017,0.3084509556011542,0.8196143119596551,0.8415650343296645,0.05731936673202924,0.707658452000776,0.9013046940835372,0.782237531580123,0.8567487118921957,0.171158255652235,0.17155797664387804,0.02392366369390416,0.126684624182562,0.21159500937579123,0.15398150616064893,0.1894592538113996,0.0,1.0,81.6566866267465,81.73652694610779,1.4679821164229045,79.64071856287424,83.63273453093812,80.08982035928145,83.03393213572853,10,500,0.00047,False,monte_carlo_seed_stability_only,no evidence,structure_preserving_random_timing,stable,weak_skill,0.6,,moderate,Not Used,Weak Skill,Moderate,weak_skill,Weak Skill,weak skill
