agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,RCSI,RCSI_z
random,0.3776668462311561,-0.2801621003645758,6.836926473749097,65.22742938437922,62.1,0.6578289465957319,-0.09902673903418945
momentum,-0.2811924551610293,-0.4313056111878417,10.546158185050444,102.96892399348783,53.959999999999994,0.1501131560268124,-0.10515163430178448
trend,-0.8145204330763112,-0.4159724760850869,5.591908919882939,41.02144554102103,30.98,-0.39854795699122425,-0.15617268646842017
breakout,-0.8108206647352417,-0.36789555387608,5.636986201933854,32.60686488798252,29.94,-0.44292511085916175,-0.1977438459299863
mean_reversion,-0.8620587904963659,-0.2555671589061939,3.3856547787221833,18.2923196680948,18.38,-0.606491631590172,-0.23221295310224374
