agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,RCSI,RCSI_z,simulation_count,bh_adjusted_p_value,research_grade
trend_pullback,0.0165408538415726,-0.0210703257134107,-0.0206801779869386,0.0246408009828144,93.35332333833082,0.037221031828511206,1.51054472029829,2000,0.245543894719307,False
turn_of_month_seasonality,0.0432514721287828,0.0082067956580172,0.0079827425749923,0.0182851512815915,97.70114942528735,0.035268729553790505,1.9288180344068113,2000,0.245543894719307,False
uptrend_oversold_reversion,0.0117991535747964,0.000900771123018,0.0003194403495062,0.0077182864598838,94.50274862568716,0.011479713225290199,1.4873396167603539,2000,0.245543894719307,False
trend_momentum_verification,0.0176220809327489,0.0128084499557248,0.0123924831457578,0.0180616931637397,61.169415292353825,0.0052295977869911015,0.28954083870109915,2000,0.7128102615358988,False
volatility_squeeze_breakout,0.0045953888173703,0.0015441758537859,0.0012956819199576,0.0043375296943764,80.15992003998001,0.0032997068974126996,0.7607341343831638,2000,0.4375812093953024,False
mean_reversion_vol_filter,0.0035708633722412,0.0008745802301982,0.0003520880326546,0.0035003493805205,86.10694652673662,0.0032187753395866003,0.9195583039507816,2000,0.3834332833583209,False
connors_rsi2_pullback,-0.0014479940848499,0.000993544584231,0.0005342756084062,0.0079084052401294,38.980509745127435,-0.0019822696932561,-0.25065353039795235,2000,0.8746126936531734,False
adx_trend_following,0.0158805467911974,0.0228824622317969,0.0234901279593757,0.020520938814202,36.28185907046477,-0.007609581168178298,-0.3708203234304226,2000,0.8746126936531734,False
donchian_trend_reentry,-0.0084888329706842,0.0081216535640125,0.0082152157111232,0.015106367852662,12.243878060969514,-0.0167040486818074,-1.1057620762798956,2000,0.8780609695152424,False
breakout_volume_momentum,-0.0153423060668487,0.0045258749847117,0.0033096217999484,0.0267958888914784,23.088455772113942,-0.0186519278667971,-0.6960742352058629,2000,0.8746126936531734,False
random,0.010311090402436,0.0319828318497187,0.0299328502363464,0.0253451229203183,20.539730134932537,-0.0196217598339104,-0.7741828633302986,2000,0.8746126936531734,False
