Date,Open,High,Low,Close,Volume,daily_return,ma_20,ma_50,ma_100,ma_200,std_20,price_std_20,realized_vol_20_ann,avg_volume_20,volume_ratio_20,rsi_14,true_range,atr_14,atr_percent,bollinger_mid,bollinger_std,bollinger_upper,bollinger_lower,bollinger_width,macd_line,macd_signal,macd_hist,rolling_high_20_prev,rolling_low_10_prev,rolling_low_5_prev,trailing_return_20,trailing_return_126,trailing_return_63,trailing_return_60,trailing_return_5,atr_percent_median_60,atr_percent_ratio_60,bollinger_width_median_60,bollinger_width_ratio_60,distance_from_ma_20,distance_from_ma_50,ma_50_over_ma_200,zscore_20
2014-01-31,50.01435469640491,51.09766684962459,50.01435469640491,50.82033920288086,15600,-0.008789409228012857,51.72077751159668,51.11245620727539,49.505431022644046,47.417832412719726,0.011205635833298854,0.755187773880608,0.1778839541835768,17970.0,0.8681135225375626,45.4532266267182,1.2566261385560296,0.6666347356190735,0.013117479065965854,51.72077751159668,0.755187773880608,53.231153059357894,50.210401963835466,0.05840498230803132,-0.10159444448347443,0.12276676090320489,-0.2243612053866793,52.76163423286503,50.05769135000372,50.05769135000372,-0.012960634218454059,0.07589063591129075,0.0313013749372093,0.034383329671157314,-0.000511063834288672,0.007793658164158894,1.683096536911241,0.0441664149642639,1.3223844940842082,-0.017409605037625897,-0.005715182287658327,0.07791633667262676,-1.1923369787739384
2014-02-03,50.85499641368826,50.85499641368826,49.43369166513211,49.45969009399414,25700,-0.026773711671912448,51.61504650115967,51.10849266052246,49.53765232086182,47.446920528411866,0.012552499839399713,0.9020436300917744,0.19926475744337913,18515.0,1.3880637321091007,37.136161740682276,1.4213047485561532,0.7205397365431506,0.014568221822130772,51.61504650115967,0.9020436300917744,53.41913376134322,49.81095924097612,0.06990547844001328,-0.23938158437962898,0.050337091846638114,-0.28971867622626707,52.76163423286503,50.01435469640491,50.01435469640491,-0.04100142486303149,0.04214923429659989,0.006865883656846927,0.005098688048308375,-0.01722044826755542,0.007793658164158894,1.8692405434365111,0.0441664149642639,1.58277456969454,-0.04175829633549011,-0.032260833389866295,0.07717196587959796,-2.389414807958059
2014-02-04,49.75433893508749,50.10099999668003,49.537676598093384,49.98833465576172,16500,0.010688392118165968,51.54138069152832,51.11562026977539,49.574041557312015,47.47865186691284,0.012853577687285116,0.969220882546363,0.204044220108031,18725.0,0.8811748998664887,41.60680408575052,0.6413099026858902,0.7148804626962034,0.014300945763029243,51.54138069152832,0.969220882546363,53.479822456621044,49.60293892643559,0.07521885285511341,-0.30243540034668115,-0.020217406592025738,-0.2822179937546554,52.76163423286503,49.43369166513211,49.43369166513211,-0.028629400113251213,0.05635262577445066,0.014951001881480686,0.0183435062965025,-0.0175441148201384,0.007822360994522262,1.8282134732779167,0.0441664149642639,1.7030780722405199,-0.030132022365901956,-0.022053642469056278,0.07660218350464798,-1.6023654295256151
2014-02-05,49.875683503094855,50.014347305976905,49.16503110007363,49.83235168457031,19700,-0.0031203874316990676,51.438683128356935,51.11323715209961,49.60783866882324,47.50960329055786,0.012665593567216015,1.033892048940987,0.2010600647152381,19425.0,1.0141570141570142,40.687357258275945,0.8493162059032784,0.7244830157824231,0.01453840710485165,51.438683128356935,1.033892048940987,53.50646722623891,49.37089903047496,0.0803980184610152,-0.3608330669646591,-0.08834053866655242,-0.27249252829810666,52.76163423286503,49.43369166513211,49.43369166513211,-0.039585615985904044,0.056899292215568886,0.01427410106518856,0.02526709171956809,-0.006737146949123085,0.007822360994522262,1.8585702085383697,0.0441664149642639,1.8203428674495576,-0.03122808256537757,-0.025059760228406502,0.07585064096415928,-1.5536742403928763
2014-02-06,49.9450213350013,50.421677991605485,49.9450213350013,50.41300964355469,4000,0.011652228709972068,51.345951843261716,51.112103881835935,49.64520523071289,47.53788694381714,0.012856611549950363,1.0385450850046807,0.204092381184776,18865.0,0.21203286509408958,45.514305374164536,0.5893263070351722,0.7148289651576195,0.014179454276025565,51.345951843261716,1.0385450850046807,53.42304201327108,49.26886167325235,0.08090570319350096,-0.3561538738037555,-0.14190320569399306,-0.21425066810976245,52.76163423286503,49.16503110007363,49.16503110007363,-0.03548325248782136,0.07313128701522209,0.02447164058264839,0.032079309616108276,-0.01673405067416245,0.007822360994522262,1.812682166670007,0.0441664149642639,1.8318376816176658,-0.018169732300511665,-0.013677665077091228,0.0751867019719028,-0.8983165133392583
2014-02-07,50.78566446940741,51.48765182495117,50.78566446940741,51.48765182495117,4100,0.021316763053718546,51.30218620300293,51.13177261352539,49.690048637390134,47.574372138977054,0.01379321265222342,1.0128912360803042,0.2189604627504769,15330.0,0.2674494455316373,53.11852732948662,1.0746421813964844,0.7405299091746813,0.01438267007577566,51.30218620300293,1.0128912360803042,53.32796867516354,49.276403730842326,0.0789745085772594,-0.2627026638505754,-0.16606309732530955,-0.09663956652526584,52.76163423286503,49.16503110007363,49.16503110007363,-0.016716257594631467,0.09480396398623725,0.048887030373413465,0.052219387912212145,0.013130817946852336,0.007822360994522262,1.8386609983670357,0.0441664149642639,1.7881122713074984,0.0036151602041742947,0.006960040562560943,0.07477556328344703,0.1831051699745729
2014-02-10,51.66963836453222,51.66963836453222,51.496307816413314,51.556976318359375,9700,0.0013464295020462203,51.25668735504151,51.15455535888672,49.73446678161621,47.610132713317874,0.013787580012598184,0.9794336599304599,0.21887104736843754,15405.0,0.6296656929568322,53.56871182143844,0.1819865395810467,0.7006339542037074,0.013589508234101242,51.25668735504151,0.9794336599304599,53.21555467490243,49.297820035180585,0.07643362928596481,-0.18096198234642458,-0.16904287432953258,-0.011919108016892,52.76163423286503,49.16503110007363,49.16503110007363,-0.01734381172114352,0.09909263584825578,0.06075008264452442,0.054753097822426655,0.04240394997177521,0.008281690989493433,1.6409098397104616,0.044309258706952445,1.7250035662179068,0.005858532394765303,0.007866766833361849,0.07444681296965538,0.30659448985977145
2014-02-11,51.74765437691264,52.36297488929848,51.730320985661535,52.25031280517578,17000,0.013447966431062941,51.291787719726564,51.189650268554686,49.78013973236084,47.64953134536743,0.013558299590477422,1.0015841342111045,0.21523133350387286,15785.0,1.0769718086791258,57.92081005697254,0.8059985709391029,0.7081599982562357,0.013553220262943328,51.291787719726564,1.0015841342111045,53.29495598814877,49.288619451304356,0.07810873270271292,-0.059548999514838385,-0.14714409936659376,0.08759509985175537,52.76163423286503,49.16503110007363,49.16503110007363,0.013618435887187585,0.11694659157786225,0.06969346104267005,0.05772474411166861,0.04525012015284946,0.008819200131788878,1.5367856563420799,0.04549233934585242,1.7169645225077694,0.018687691111233695,0.02072025362659402,0.07429493686996014,0.9570090546653851
2014-02-12,52.449632914637185,52.449632914637185,52.198303743300954,52.27630233764648,7400,0.0004974043422016905,51.2887544631958,51.22181045532226,49.82615852355957,47.687774333953854,0.013142536801161429,0.9985013738426831,0.2086313038343249,15760.0,0.46954314720812185,58.07942870515656,0.2513291713362307,0.6755292249048067,0.012922283992881575,51.2887544631958,0.9985013738426831,53.285757210881165,49.291751715510436,0.07787292823101757,0.03832699246785154,-0.1100498809997047,0.14837687346755624,52.76163423286503,49.16503110007363,49.16503110007363,-0.0011591258253934589,0.11647527714479144,0.06833652144485391,0.0503548647644787,0.04904345411081401,0.008986384571902973,1.4379847523201568,0.04690105331801124,1.6603662971703945,0.019254666735167625,0.020586774909957306,0.07410780164785691,0.9890300607701193
2014-02-13,51.964307792844345,52.856959104368464,51.964307792844345,52.82229232788086,5400,0.010444311587072486,51.31302070617676,51.27110855102539,49.880648651123046,47.72973291397095,0.013337085870578832,1.0291090986571783,0.21171967456718982,13020.0,0.4147465437788018,61.373570826605715,0.8926513115241193,0.6910379453776148,0.013082316478962587,51.31302070617676,1.0291090986571783,53.37123890349111,49.254802508862404,0.08022206328876667,0.15812844418275773,-0.056414215963212215,0.21454266014596995,52.76163423286503,49.16503110007363,49.9450213350013,0.009273079490389913,0.13754253036674546,0.08063894443465025,0.05802038158899503,0.047790891703570315,0.009078024811128129,1.4410972376860958,0.047509201186746924,1.6885584536231955,0.029413033981108505,0.030254539460790486,0.07419642685697592,1.4665807771726613
