Date,Close,wealth_index,equity,daily_return,cumulative_return,rolling_peak,drawdown
2019-06-03,19.850000381469727,1.0,100000.0,0.0,0.0,1.0,0.0
2019-06-04,19.469999313354492,0.9808563697323668,98085.63697323667,-0.019143630267633216,-0.019143630267633216,1.0,-0.019143630267633216
2019-06-05,17.700000762939453,0.8916876787298538,89168.76787298538,-0.09090901966293319,-0.10831232127014623,1.0,-0.10831232127014623
2019-06-06,17.940000534057617,0.9037783470676846,90377.83470676845,0.013559308518261703,-0.09622165293231544,1.0,-0.09622165293231544
2019-06-07,17.520000457763672,0.8826196534544581,88261.96534544582,-0.02341137479325095,-0.11738034654554186,1.0,-0.11738034654554186
2019-06-10,15.670000076293944,0.7894206435845776,78942.06435845776,-0.1055936263203654,-0.21057935641542236,1.0,-0.21057935641542236
2019-06-11,16.0,0.8060453245601064,80604.53245601064,0.021059344103341315,-0.19395467543989364,1.0,-0.19395467543989364
2019-06-12,16.299999237060547,0.8211586359603721,82115.8635960372,0.01874995231628418,-0.17884136403962791,1.0,-0.17884136403962791
2019-06-13,16.15999984741211,0.8141057701186601,81410.57701186601,-0.008588920012347456,-0.18589422988133986,1.0,-0.18589422988133986
2019-06-14,15.399999618530272,0.7758186056714842,77581.86056714843,-0.047029717577846686,-0.2241813943285158,1.0,-0.2241813943285158
2019-06-17,15.770000457763672,0.7944584460806965,79445.84460806964,0.024026029116792413,-0.2055415539193035,1.0,-0.2055415539193035
2019-06-18,15.739999771118164,0.7929470765054337,79294.70765054337,-0.0019023897130413525,-0.20705292349456628,1.0,-0.20705292349456628
2019-06-19,15.5,0.780856408167603,78085.64081676031,-0.015247762046257884,-0.21914359183239696,1.0,-0.21914359183239696
2019-06-20,15.18000030517578,0.7647355170504953,76473.55170504953,-0.020645141601562722,-0.23526448294950475,1.0,-0.23526448294950475
2019-06-21,14.699999809265137,0.7405541323307886,74055.41323307886,-0.03162058539267498,-0.2594458676692114,1.0,-0.2594458676692114
2019-06-24,14.039999961853027,0.7073047703797315,70730.47703797315,-0.04489794938610292,-0.2926952296202685,1.0,-0.2926952296202685
2019-06-25,13.770000457763672,0.6937027805106832,69370.27805106832,-0.01923073396174857,-0.30629721948931676,1.0,-0.30629721948931676
2019-06-26,13.699999809265137,0.690176299545782,69017.6299545782,-0.0050835618134688065,-0.30982370045421803,1.0,-0.30982370045421803
2019-06-27,14.34000015258789,0.7224181298240425,72241.81298240426,0.04671535417759132,-0.2775818701759575,1.0,-0.2775818701759575
2019-06-28,14.640000343322754,0.7375314892683535,73753.14892683536,0.020920515170337994,-0.26246851073164645,1.0,-0.26246851073164645
2019-07-01,14.729999542236328,0.7420654538620062,74206.54538620061,0.006147486120423595,-0.2579345461379938,1.0,-0.2579345461379938
2019-07-02,14.399999618530272,0.7254407728864775,72544.07728864775,-0.022403254172535858,-0.27455922711352254,1.0,-0.27455922711352254
2019-07-03,15.3100004196167,0.7712846410778317,77128.46410778316,0.06319450174952901,-0.22871535892216832,1.0,-0.22871535892216832
2019-07-05,14.960000038146973,0.7536523803854612,75365.23803854613,-0.022860899534742796,-0.24634761961453877,1.0,-0.24634761961453877
2019-07-08,14.289999961853027,0.7198992285759831,71989.92285759831,-0.04478610124234572,-0.2801007714240169,1.0,-0.2801007714240169
2019-07-09,14.850000381469728,0.7481108360749669,74811.0836074967,0.03918827299591432,-0.25188916392503313,1.0,-0.25188916392503313
2019-07-10,14.479999542236328,0.7294709956657545,72947.09956657545,-0.02491588078981455,-0.27052900433424554,1.0,-0.27052900433424554
2019-07-11,14.4399995803833,0.7274558842761161,72745.58842761161,-0.0027624283920970605,-0.27254411572388393,1.0,-0.27254411572388393
2019-07-12,14.199999809265137,0.7153652159382853,71536.52159382853,-0.016620483247395956,-0.2846347840617147,1.0,-0.2846347840617147
2019-07-15,14.31999969482422,0.7214105501072008,72141.05501072008,0.008450696279642678,-0.2785894498927992,1.0,-0.2785894498927992
2019-07-16,14.140000343322754,0.7123425728758502,71234.25728758502,-0.012569787383901021,-0.28765742712414977,1.0,-0.28765742712414977
2019-07-17,14.029999732971191,0.7068009805213106,70680.09805213106,-0.0077793923395134135,-0.2931990194786894,1.0,-0.2931990194786894
2019-07-18,14.260000228881836,0.7183879070447656,71838.79070447656,0.016393478281409468,-0.28161209295523437,1.0,-0.28161209295523437
2019-07-19,14.109999656677246,0.7108312033005875,71083.12033005875,-0.010518974039059437,-0.28916879669941253,1.0,-0.28916879669941253
2019-07-22,14.050000190734863,0.7078085602381524,70780.85602381524,-0.004252265584853476,-0.2921914397618476,1.0,-0.2921914397618476
2019-07-23,13.600000381469728,0.6851385450937085,68513.85450937085,-0.03202845574065427,-0.31486145490629147,1.0,-0.31486145490629147
2019-07-24,14.470000267028809,0.7289672538513788,72896.72538513788,0.06397057802619432,-0.27103274614862116,1.0,-0.27103274614862116
2019-07-25,13.510000228881836,0.6806045324560106,68060.45324560106,-0.0663441617436884,-0.3193954675439894,1.0,-0.3193954675439894
2019-07-26,14.119999885559082,0.7113349931590084,71133.49931590084,0.04515171327482159,-0.2886650068409916,1.0,-0.2886650068409916
2019-07-29,13.6899995803833,0.689672509687361,68967.2509687361,-0.030453279650204168,-0.31032749031263895,1.0,-0.31032749031263895
2019-07-30,13.399999618530272,0.6750629401014708,67506.29401014709,-0.02118334337048311,-0.32493705989852917,1.0,-0.32493705989852917
2019-07-31,13.100000381469728,0.6599496287012052,65994.96287012052,-0.02238800340305136,-0.3400503712987948,1.0,-0.3400503712987948
2019-08-01,13.010000228881836,0.6554156160635073,65541.56160635073,-0.006870240455504106,-0.3445843839364927,1.0,-0.3445843839364927
2019-08-02,12.729999542236328,0.6413097882919929,64130.978829199295,-0.021521958625635773,-0.3586902117080071,1.0,-0.3586902117080071
