name,rsi_low,rsi_high,adx,stop,tp,time_stop,tr_trades,tr_z,tr_p,va_trades,va_z,va_p,gate,score
r42-68_a0_s2.0_tp4.0_h35,42,68,0,2.0,4.0,35,118,-0.5231437758974918,0.6831683168316832,40,-0.14475366252305252,0.5643564356435643,False,-1.2916598146581681
r42-62_a12_s1.5_tp3.0_h50,42,62,12,1.5,3.0,50,105,-0.018067341997372467,0.38613861386138615,38,-0.7298006836070647,0.7425742574257426,False,-1.3122244612480016
r38-62_a12_s2.0_tp3.0_h35,38,62,12,2.0,3.0,35,105,0.19673668654103527,0.44554455445544555,38,-0.8869118828570733,0.8118811881188119,False,-1.318888067603167
r42-62_a18_s2.0_tp4.0_h50,42,62,18,2.0,4.0,50,58,-0.11806786016078682,0.5148514851485149,17,-0.5767781895325805,0.7524752475247525,False,-1.328509416030001
r42-62_a12_s2.0_tp3.0_h35,42,62,12,2.0,3.0,35,105,0.21795472775601582,0.3564356435643564,38,-0.9598733680358839,0.8217821782178217,False,-1.331027551170957
r42-62_a0_s2.0_tp4.0_h35,42,62,0,2.0,4.0,35,108,-0.14832925761875168,0.48514851485148514,38,-0.5735291852366171,0.7425742574257426,False,-1.3357198289939827
r38-62_a12_s1.5_tp3.0_h35,38,62,12,1.5,3.0,35,105,0.13390023805370577,0.46534653465346537,38,-0.8413307180927045,0.7920792079207921,False,-1.3361433513261276
r42-62_a18_s1.5_tp4.0_h50,42,62,18,1.5,4.0,50,58,0.02552317613316759,0.4752475247524752,17,-0.81079801237029,0.7722772277227723,False,-1.4090372124747463
r38-62_a0_s2.0_tp3.0_h50,38,62,0,2.0,3.0,50,115,-0.022262833698824664,0.45544554455445546,39,-0.7967348554695326,0.7920792079207921,False,-1.442760065405981
r38-68_a0_s2.0_tp4.0_h50,38,68,0,2.0,4.0,50,118,-0.588568100602632,0.7029702970297029,40,-0.22237986055972261,0.5841584158415841,False,-1.454512317597998
r42-62_a12_s2.0_tp3.0_h50,42,62,12,2.0,3.0,50,105,0.011412137866175799,0.45544554455445546,38,-0.8440363893461594,0.7920792079207921,False,-1.4563866277176074
r38-62_a18_s1.5_tp4.0_h35,38,62,18,1.5,4.0,35,58,0.1334959700614211,0.40594059405940597,17,-0.9576299826537031,0.8712871287128713,False,-1.4627478739784205
r42-62_a0_s2.0_tp3.0_h50,42,62,0,2.0,3.0,50,115,-0.07372599369951621,0.504950495049505,39,-0.79508931598272,0.7722772277227723,False,-1.5074291710683747
r38-68_a12_s2.0_tp4.0_h50,38,68,12,2.0,4.0,50,107,-0.24213541342039469,0.5247524752475248,39,-0.6510419555138759,0.7425742574257426,False,-1.5268407352709041
r38-62_a12_s1.5_tp3.0_h50,38,62,12,1.5,3.0,50,105,0.09566946441209141,0.4158415841584158,38,-0.983456502311425,0.8712871287128713,False,-1.531351394334977
r38-62_a0_s2.0_tp3.0_h35,38,62,0,2.0,3.0,35,115,-0.07139669289665723,0.5445544554455446,39,-0.7955885271081441,0.801980198019802,False,-1.5402525467374746
r42-68_a12_s2.0_tp4.0_h50,42,68,12,2.0,4.0,50,107,-0.3769501517361686,0.5841584158415841,39,-0.5260609229490391,0.693069306930693,False,-1.541624936071346
r38-62_a18_s2.0_tp4.0_h35,38,62,18,2.0,4.0,35,58,0.08097968549138716,0.44554455445544555,17,-0.9808568472432779,0.8415841584158416,False,-1.5434415181875343
r42-68_a0_s1.5_tp4.0_h35,42,68,0,1.5,4.0,35,118,-0.6664690321776994,0.7326732673267327,40,-0.24568796814202484,0.5742574257425742,False,-1.5656223468543775
r42-68_a12_s1.5_tp4.0_h50,42,68,12,1.5,4.0,50,107,-0.3896513871597777,0.5742574257425742,39,-0.5493984402467454,0.6831683168316832,False,-1.567762698693652
r38-62_a18_s1.5_tp4.0_h50,38,62,18,1.5,4.0,50,58,0.12143126471106282,0.44554455445544555,17,-1.0367269186713706,0.8712871287128713,False,-1.5737114955444662
r38-62_a18_s2.0_tp3.0_h35,38,62,18,2.0,3.0,35,61,0.016543548397420872,0.4752475247524752,18,-0.9519211345656542,0.8514851485148515,False,-1.5987439228018965
r42-62_a0_s1.5_tp3.0_h50,42,62,0,1.5,3.0,50,115,-0.1499708439592551,0.48514851485148514,39,-0.8361968480976624,0.7623762376237624,False,-1.6099300682945412
r42-62_a18_s1.5_tp3.0_h50,42,62,18,1.5,3.0,50,61,-0.08984243701446239,0.5148514851485149,18,-0.8648926067381518,0.8118811881188119,False,-1.6181013803862776
r38-68_a0_s1.5_tp3.0_h35,38,68,0,1.5,3.0,35,124,-0.4599412508193273,0.6237623762376238,42,-0.5295640118363228,0.6633663366336634,False,-1.6330696190912937
r42-62_a0_s1.5_tp3.0_h35,42,62,0,1.5,3.0,35,115,-0.2436918879067504,0.5445544554455446,39,-0.7422345926267452,0.7524752475247525,False,-1.634441332018644
r38-62_a0_s1.5_tp3.0_h50,38,62,0,1.5,3.0,50,115,-0.15202121219078768,0.48514851485148514,39,-0.8565513877340126,0.801980198019802,False,-1.6521369563604438
r42-68_a12_s2.0_tp3.0_h50,42,68,12,2.0,3.0,50,114,-0.2495649477474846,0.504950495049505,40,-0.7715102607784822,0.7623762376237624,False,-1.6547385748626007
r38-68_a12_s2.0_tp3.0_h50,38,68,12,2.0,3.0,50,114,-0.3594732464867321,0.5742574257425742,40,-0.6399726099586558,0.7524752475247525,False,-1.6628121930790511
r38-62_a18_s1.5_tp3.0_h35,38,62,18,1.5,3.0,35,61,-0.18445381063228716,0.5148514851485149,18,-0.8271127539193378,0.7920792079207921,False,-1.6650319110862783
r38-68_a12_s1.5_tp3.0_h35,38,68,12,1.5,3.0,35,114,-0.41758740868137917,0.6237623762376238,40,-0.5805135648417094,0.7227722772277227,False,-1.6713683002557618
r42-62_a18_s2.0_tp3.0_h35,42,62,18,2.0,3.0,35,61,-0.08079062439869064,0.5148514851485149,18,-0.9148935835842128,0.8415841584158416,False,-1.6739020297650815
r42-62_a18_s1.5_tp4.0_h35,42,62,18,1.5,4.0,35,58,-0.11684851468248175,0.5445544554455446,17,-0.8805400616997378,0.8415841584158416,False,-1.6904578833129125
r42-62_a18_s2.0_tp4.0_h35,42,62,18,2.0,4.0,35,58,-0.047003641154000485,0.5148514851485149,17,-0.9622997942967907,0.8514851485148515,False,-1.6924717522824744
r42-62_a0_s2.0_tp3.0_h35,42,62,0,2.0,3.0,35,115,-0.15763901327925134,0.5346534653465347,39,-0.869514596398559,0.8118811881188119,False,-1.7004209364104836
r38-68_a12_s1.5_tp4.0_h50,38,68,12,1.5,4.0,50,107,-0.3532016515686679,0.594059405940594,39,-0.6806150564510731,0.7425742574257426,False,-1.7021335397029091
r38-62_a18_s2.0_tp3.0_h50,38,62,18,2.0,3.0,50,61,-0.13799337606820045,0.5148514851485149,18,-0.9343074831481759,0.8217821782178217,False,-1.7406176908995445
r42-68_a12_s2.0_tp4.0_h35,42,68,12,2.0,4.0,35,107,-0.46964581516049136,0.6138613861386139,39,-0.6489863367709409,0.7227722772277227,False,-1.7869489836146004
r38-68_a12_s1.5_tp4.0_h35,38,68,12,1.5,4.0,35,107,-0.34915090378716,0.5643564356435643,39,-0.766787391100496,0.7821782178217822,False,-1.7892056216203291
r42-62_a18_s1.5_tp3.0_h35,42,62,18,1.5,3.0,35,61,-0.1617455072712065,0.5742574257425742,18,-0.9251995190499361,0.8415841584158416,False,-1.7948658184003505
r42-68_a12_s1.5_tp3.0_h35,42,68,12,1.5,3.0,35,114,-0.3799426570750806,0.6237623762376238,40,-0.7261449278838688,0.7821782178217822,False,-1.8090578819886522
r42-68_a12_s2.0_tp3.0_h35,42,68,12,2.0,3.0,35,114,-0.4784392124798148,0.6435643564356436,40,-0.6401861195195105,0.7722772277227723,False,-1.8265461240785332
r42-68_a0_s1.5_tp3.0_h35,42,68,0,1.5,3.0,35,124,-0.5052867108230418,0.6336633663366337,42,-0.6386664710428439,0.7326732673267327,False,-1.8271214986975688
r42-68_a12_s1.5_tp4.0_h35,42,68,12,1.5,4.0,35,107,-0.39384103990720626,0.594059405940594,39,-0.7603514231929592,0.7623762376237624,False,-1.8324102848823436
r38-68_a12_s2.0_tp4.0_h35,38,68,12,2.0,4.0,35,107,-0.47068003528224767,0.6633663366336634,39,-0.6710860897263046,0.7227722772277227,False,-1.8348354319392453
r42-68_a12_s1.5_tp3.0_h50,42,68,12,1.5,3.0,50,114,-0.35580328718150944,0.6039603960396039,40,-0.7920114030894606,0.8118811881188119,False,-1.855735482350178
r38-68_a0_s2.0_tp3.0_h35,38,68,0,2.0,3.0,35,124,-0.4844776609110728,0.7029702970297029,42,-0.671871135087938,0.7722772277227723,False,-1.8939725583752485
r38-68_a12_s2.0_tp3.0_h35,38,68,12,2.0,3.0,35,114,-0.3643572903548654,0.6138613861386139,40,-0.8688747824526505,0.7722772277227723,False,-1.926301379738209
r42-62_a18_s2.0_tp3.0_h50,42,62,18,2.0,3.0,50,61,-0.22914068250701375,0.5445544554455446,18,-1.0160861347574277,0.8712871287128713,False,-1.9531476093436493
r38-68_a12_s1.5_tp3.0_h50,38,68,12,1.5,3.0,50,114,-0.5067194415850432,0.6138613861386139,40,-0.7600863538368846,0.7722772277227723,False,-1.9598751023526209
r38-62_a18_s1.5_tp3.0_h50,38,62,18,1.5,3.0,50,61,-0.2206705489944826,0.594059405940594,18,-1.0224815037181882,0.8613861386138614,False,-1.9708748249898986
r38-68_a0_s1.5_tp3.0_h50,38,68,0,1.5,3.0,50,124,-0.5407585024446926,0.7326732673267327,42,-0.6827355279289082,0.7722772277227723,False,-1.9759692778983533
r38-68_a0_s2.0_tp3.0_h50,38,68,0,2.0,3.0,50,124,-0.40927515056672065,0.6732673267326733,42,-0.849626124516825,0.801980198019802,False,-1.9965250374597832
r42-68_a0_s1.5_tp3.0_h50,42,68,0,1.5,3.0,50,124,-0.6059492793883464,0.7425742574257426,42,-0.7147482599257475,0.7821782178217822,False,-2.083073776937856
r42-68_a0_s2.0_tp3.0_h35,42,68,0,2.0,3.0,35,124,-0.7237201563562482,0.7722772277227723,42,-0.6348257338449618,0.7227722772277227,False,-2.1060706426764577
r38-68_a18_s1.5_tp3.0_h50,38,68,18,1.5,3.0,50,72,-0.748015153254974,0.7623762376237624,21,-0.6476050088781181,0.7524752475247525,False,-2.1530459047073496
r42-68_a0_s2.0_tp3.0_h50,42,68,0,2.0,3.0,50,124,-0.48995123468630536,0.693069306930693,42,-0.9681255404161472,0.8118811881188119,False,-2.210552022627205
r38-68_a18_s1.5_tp4.0_h35,38,68,18,1.5,4.0,35,71,-0.7231070047844752,0.7425742574257426,20,-0.7417951392409604,0.7722772277227723,False,-2.222327886599693
r38-68_a18_s1.5_tp3.0_h35,38,68,18,1.5,3.0,35,72,-0.6411381664843951,0.7326732673267327,21,-0.8798034525190049,0.801980198019802,False,-2.2882683516766678
r42-68_a18_s2.0_tp4.0_h35,42,68,18,2.0,4.0,35,71,-0.7982766636506802,0.7920792079207921,20,-0.6934682160048242,0.801980198019802,False,-2.2887745826258015
r38-68_a18_s2.0_tp3.0_h50,38,68,18,2.0,3.0,50,72,-0.7622125327820566,0.7524752475247525,21,-0.795105631528037,0.7920792079207921,False,-2.329595392032866
r38-68_a18_s1.5_tp4.0_h50,38,68,18,1.5,4.0,50,71,-0.8721577878068061,0.7920792079207921,20,-0.6685133501231201,0.7920792079207921,False,-2.3327503458507186
r38-68_a18_s2.0_tp4.0_h35,38,68,18,2.0,4.0,35,71,-0.857011699904546,0.8415841584158416,20,-0.729176830943797,0.801980198019802,False,-2.4079707090661646
r42-68_a18_s1.5_tp4.0_h35,42,68,18,1.5,4.0,35,71,-0.8229713258711776,0.7722772277227723,20,-0.8255942567627738,0.7920792079207921,False,-2.4307438004557333
r42-68_a18_s2.0_tp4.0_h50,42,68,18,2.0,4.0,50,71,-0.7309767318171264,0.7821782178217822,20,-0.9196225300323111,0.8415841584158416,False,-2.4624804499682496
r38-68_a18_s2.0_tp4.0_h50,38,68,18,2.0,4.0,50,71,-0.8759645042416272,0.8217821782178217,20,-0.8502963757874034,0.8217821782178217,False,-2.548043058246852
r42-68_a18_s1.5_tp3.0_h50,42,68,18,1.5,3.0,50,72,-0.9011052578172644,0.801980198019802,21,-0.8384036235550094,0.8217821782178217,False,-2.5513900694910854
r42-68_a18_s1.5_tp3.0_h35,42,68,18,1.5,3.0,35,72,-0.9155364107048135,0.8514851485148515,21,-0.8246792344180046,0.7821782178217822,False,-2.557047328291135
r42-68_a18_s1.5_tp4.0_h50,42,68,18,1.5,4.0,50,71,-0.9384655335319753,0.8415841584158416,20,-0.8072010553296358,0.8118811881188119,False,-2.572399262128938
r38-68_a18_s2.0_tp3.0_h35,38,68,18,2.0,3.0,35,72,-0.7068117898299551,0.7524752475247525,21,-1.1218264079326425,0.8613861386138614,False,-2.6355688908319044
r42-68_a18_s2.0_tp3.0_h50,42,68,18,2.0,3.0,50,72,-1.010966709131456,0.8712871287128713,21,-0.9297427131455713,0.8415841584158416,False,-2.797145065841384
r42-68_a18_s2.0_tp3.0_h35,42,68,18,2.0,3.0,35,72,-1.0851696180759223,0.8712871287128713,21,-0.875948360572925,0.8118811881188119,False,-2.802702137064689
