name,rsi_low,rsi_high,adx,stop,tp,time_stop,tr_trades,tr_z,tr_p,va_trades,va_z,va_p,gate,score
r42-62_a12_s1.5_tp4.0_h35,42,62,12,1.5,4.0,35,97,0.14389542563734653,0.297029702970297,37,-0.48110832834838085,0.7128712871287128,False,-0.8421633977605393
r38-62_a12_s1.5_tp4.0_h50,38,62,12,1.5,4.0,50,97,0.1831074561896568,0.36633663366336633,37,-0.5348396082313266,0.693069306930693,False,-0.8814351223386996
r38-62_a12_s2.0_tp4.0_h35,38,62,12,2.0,4.0,35,97,0.2513388023405018,0.3465346534653465,37,-0.6442294585503612,0.7425742574257426,False,-0.9374451116554039
r38-62_a0_s1.5_tp4.0_h50,38,62,0,1.5,4.0,50,108,0.03323861512127794,0.37623762376237624,38,-0.4825037668141456,0.6336633663366337,False,-0.9542156467423726
r42-68_a0_s2.0_tp4.0_h50,42,68,0,2.0,4.0,50,118,-0.4466530917584067,0.6039603960396039,40,0.012189688426375687,0.49504950495049505,False,-0.9839683538270805
r42-62_a12_s2.0_tp4.0_h50,42,62,12,2.0,4.0,50,97,0.11827872070032318,0.36633663366336633,37,-0.5483935530512961,0.7425742574257426,False,-0.9845702778955274
r38-62_a0_s2.0_tp4.0_h50,38,62,0,2.0,4.0,50,108,0.031520372961178884,0.40594059405940597,38,-0.523175072921092,0.6435643564356436,False,-1.016407175207438
r42-62_a12_s1.5_tp4.0_h50,42,62,12,1.5,4.0,50,97,0.09142405866489525,0.39603960396039606,37,-0.5634805664675043,0.693069306930693,False,-1.0166109632481537
r38-62_a0_s1.5_tp4.0_h35,38,62,0,1.5,4.0,35,108,-0.052550631346300246,0.4752475247524752,38,-0.42397276523839544,0.6237623762376238,False,-1.026028347079745
r42-62_a0_s2.0_tp4.0_h50,42,62,0,2.0,4.0,50,108,-0.004302240583057324,0.42574257425742573,38,-0.48008231848705374,0.6633663366336634,False,-1.0289390145156556
r38-62_a12_s2.0_tp3.0_h50,38,62,12,2.0,3.0,50,105,0.2511442751316728,0.40594059405940597,38,-0.7153548078721829,0.7326732673267327,False,-1.0335174634335793
r38-62_a12_s2.0_tp4.0_h50,38,62,12,2.0,4.0,50,97,0.1642055462882242,0.37623762376237624,37,-0.6896886833602844,0.7425742574257426,False,-1.0848890776661197
r42-62_a0_s1.5_tp4.0_h50,42,62,0,1.5,4.0,50,108,-0.12483971311714678,0.49504950495049505,38,-0.403958975888446,0.6435643564356436,False,-1.098105619698662
r38-68_a0_s1.5_tp4.0_h35,38,68,0,1.5,4.0,35,118,-0.5229839135729496,0.693069306930693,40,-0.03571221723897827,0.42574257425742573,False,-1.1181020714059873
r38-62_a12_s1.5_tp4.0_h35,38,62,12,1.5,4.0,35,97,0.1460864412178812,0.43564356435643564,37,-0.7005559599303098,0.7425742574257426,False,-1.1435784296035179
r38-62_a0_s2.0_tp4.0_h35,38,62,0,2.0,4.0,35,108,-0.14465213817255296,0.504950495049505,38,-0.41095960552266275,0.6732673267326733,False,-1.144720654586305
r38-68_a0_s2.0_tp4.0_h35,38,68,0,2.0,4.0,35,118,-0.37459165359818564,0.6138613861386139,40,-0.19467079195284107,0.5445544554455446,False,-1.148470366343106
r38-62_a0_s1.5_tp3.0_h35,38,62,0,1.5,3.0,35,115,0.05908592711695758,0.3465346534653465,39,-0.6698085349526116,0.7524752475247525,False,-1.1602275583307036
r38-62_a18_s2.0_tp4.0_h50,38,62,18,2.0,4.0,50,58,0.22614085546259943,0.37623762376237624,17,-0.792122707869585,0.8217821782178217,False,-1.1649917533970846
r42-62_a12_s2.0_tp4.0_h35,42,62,12,2.0,4.0,35,97,0.11099737196258509,0.38613861386138615,37,-0.7311177350808158,0.7425742574257426,False,-1.184476798761795
r42-62_a0_s1.5_tp4.0_h35,42,62,0,1.5,4.0,35,108,-0.1641490741330827,0.5148514851485149,38,-0.43682228647068366,0.6534653465346535,False,-1.1851297764453506
r38-68_a0_s1.5_tp4.0_h50,38,68,0,1.5,4.0,50,118,-0.4921874062558046,0.6435643564356436,40,-0.11906057800822913,0.5445544554455446,False,-1.2053073902046278
r42-62_a12_s1.5_tp3.0_h35,42,62,12,1.5,3.0,35,105,0.04043693713947028,0.4752475247524752,38,-0.6966856889872424,0.7128712871287128,False,-1.2503081577883661
r42-68_a0_s1.5_tp4.0_h50,42,68,0,1.5,4.0,50,118,-0.5624734264273031,0.6831683168316832,40,-0.09397493992053406,0.5346534653465347,False,-1.265359257436946
