agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,p_value_interpretation,lower_5pct,upper_95pct,number_of_trades,transaction_cost,simulation_count,reproducible,seed_used,null_model
trend_pullback,-0.1749985391487411,-0.14610573089531143,-0.14551672528629872,0.03560751691286954,20.96,0.7904,0.1021530684204283,no evidence,-0.20262171522372802,-0.08630409374369834,322,0.00047,5000,True,42,random_timing_matched_duration
breakout_volume_momentum,-0.16446787448475517,-0.11012267903847188,-0.10835333488126876,0.04823223061721195,11.899999999999999,0.881,0.05502409158795209,no evidence,-0.18455836854278668,-0.02554796491846086,230,0.00047,5000,True,42,random_timing_matched_duration
mean_reversion_vol_filter,-0.04896527962068743,-0.07256362929169483,-0.07232178829266853,0.02946359593117432,78.48,0.2152,0.6671577330056484,no evidence,-0.12078940734017739,-0.02207219354580442,148,0.00047,5000,True,42,random_timing_matched_duration
momentum_relative_strength,-0.25745557472759073,-0.17320815215752378,-0.17180184349640457,0.05741341199683858,5.9799999999999995,0.9402,0.02677975314776622,no evidence,-0.2608755464810344,-0.07435172165967296,410,0.00047,5000,True,42,random_peer_rotation_matched_duration
random,-0.2689803040200396,-0.17464674265701716,-0.17197511060781695,0.060466056219245244,4.8,0.952,0.021363051615525673,no evidence,-0.2680734264219568,-0.06809494323061913,367,0.00047,5000,True,42,random_timing_matched_duration
