agent,regime_at_entry,total_trades,min_trades_required,meets_min_trade_threshold,average_return,median_return,win_rate,std_return,trade_level_return_ratio,plot_trade_level_return_ratio
trend_pullback,calm,71,20,True,-0.002679877082224959,-0.002284917937488,0.4225352112676056,0.007679007651811821,-0.34898742177873154,-0.34898742177873154
trend_pullback,neutral,52,20,True,0.0004692245565369193,-0.00171833437678365,0.4423076923076923,0.011839621196173702,0.039631720370290405,0.039631720370290405
trend_pullback,stressed,9,20,False,-0.008592500358135989,-0.0145436611688778,0.1111111111111111,0.019120992421710285,-0.44937522951894093,
breakout_volume_momentum,calm,10,20,False,-0.007371957997467792,-0.01002641620975485,0.2,0.008573100546610707,-0.8598940321984472,
breakout_volume_momentum,neutral,5,20,False,-0.01270964078697438,-0.0124759799851363,0.0,0.005650745767164397,-2.2491970636562915,
breakout_volume_momentum,stressed,5,20,False,0.028809422569487902,0.0029499847636443,0.8,0.04412940576431436,0.6528395764799738,
mean_reversion_vol_filter,calm,106,20,True,-0.00011792359919731888,-0.00073426285568575,0.4716981132075472,0.009530616496350997,-0.012373134439148661,-0.012373134439148661
mean_reversion_vol_filter,neutral,57,20,True,0.00018209385027914566,-0.0030494460229048,0.45614035087719296,0.014550846228087645,0.012514313423754562,0.012514313423754562
mean_reversion_vol_filter,stressed,19,20,False,-0.0009267595325312563,-0.0017254541265163,0.3157894736842105,0.017041917108517442,-0.05438117828117282,
volatility_managed_tsmom,calm,23,20,True,-0.0012350572890023174,-0.0087059695431819,0.391304347826087,0.022337612654715882,-0.055290478355643526,-0.055290478355643526
volatility_managed_tsmom,neutral,13,20,False,-0.001586021796907339,0.0007350486200663,0.5384615384615384,0.02609767534296865,-0.060772531501916006,
volatility_managed_tsmom,stressed,1,20,False,-0.0238149049410154,-0.0238149049410154,0.0,0.0,0.0,
momentum_relative_strength,calm,55,20,True,0.001293081649151699,-0.0044961634058695,0.36363636363636365,0.01924884379645297,0.0671771075096977,0.0671771075096977
momentum_relative_strength,neutral,43,20,True,-0.007193550912372351,-0.0097166720122498,0.23255813953488372,0.014028755435880605,-0.5127718524462824,-0.5127718524462824
momentum_relative_strength,stressed,39,20,True,0.007900371368771938,0.0047085960619746,0.5128205128205128,0.03095035407043194,0.25525948267969784,0.25525948267969784
random,calm,63,20,True,-0.0011510147631282792,-0.0007563450016875,0.47619047619047616,0.011107372510112658,-0.10362619621160117,-0.10362619621160117
random,neutral,57,20,True,-0.0018787857678135016,0.0006061011123536,0.5087719298245614,0.01807589571387307,-0.10393873684342803,-0.10393873684342803
random,stressed,28,20,True,0.00800071235919894,0.0127843343504857,0.5714285714285714,0.022790732769161257,0.3510511241667892,0.3510511241667892
