simulation_id,simulated_cumulative_return
1,-0.10122068532075057
2,-0.09424305620190905
3,-0.16637202642390084
4,-0.17811049874298482
5,-0.11980936404094637
6,-0.10957201631152401
7,-0.10583689859262341
8,-0.1838694975652159
9,-0.10694559020451756
10,-0.142665932087579
11,-0.15855362886975588
12,-0.17729973344738995
13,-0.14187541726515993
14,-0.1301456302314216
15,-0.2176435176806862
16,-0.16249602668389845
17,-0.14323608924823597
18,-0.0766480918378133
19,-0.11463169128477259
20,-0.12129381231136938
21,-0.1800151298871766
22,-0.1286900192456009
23,-0.1971532579684895
24,-0.08162867939801935
25,-0.06517820866128719
26,-0.12793066177887016
27,-0.1968326630456675
28,-0.2161804313730563
29,-0.13552310119132993
30,-0.16526740707410315
31,-0.1027998670540048
32,-0.12359051968223599
33,-0.11120762732567215
34,-0.16314773914754926
35,-0.1352330036694107
36,-0.1587752027811512
37,-0.06642247620593628
38,-0.1580425124805406
39,-0.15723987821739455
40,-0.20648361408253815
41,-0.14276450990886078
42,-0.09347894961804218
43,-0.17350325339946182
44,-0.16389482188179202
45,-0.13256191250127375
46,-0.12332660371231294
47,-0.16703034411044385
48,-0.1498797603174721
49,-0.1806002572787958
50,-0.2061368984862395
51,-0.16275178401259352
52,-0.09621454522442588
53,-0.1359940037014779
54,-0.22515105493640483
55,-0.22430691895608473
56,-0.1335538371593397
57,-0.22683672267117094
58,-0.1831777968719703
59,-0.15809708366111325
60,-0.13024485151697554
61,-0.08169391770006076
62,-0.16788912270867729
63,-0.14004496840997976
64,-0.15582212063986584
65,-0.07534825306436257
66,-0.07266660389657435
67,-0.11838259800632242
68,-0.15535717931862073
69,-0.09436334727021913
70,-0.09944876727744853
71,-0.0781691765496538
72,-0.10766455770277215
73,-0.19390319670954514
74,-0.12419427733580596
75,-0.14011340368132089
76,-0.14164926395846258
77,-0.16508041149628933
78,-0.06811315524675492
79,-0.13696424422013562
80,-0.17133211058545927
81,-0.16920844087470677
82,-0.19147709022515713
83,-0.15909101840451043
84,-0.146328958174082
85,-0.24066845159801095
86,-0.17437809538046234
87,-0.174476103248619
88,-0.11595286306128601
89,-0.11985833842164571
90,-0.2318644534536764
91,-0.14521487967119648
92,-0.23329493859152786
93,-0.14402516062100426
94,-0.15718030053506055
95,-0.14466545435647687
96,-0.07266204399881489
97,-0.14521968680714603
98,-0.10459210439492041
99,-0.1379300315079932
100,-0.09805594437196768
101,-0.18221518328938902
102,-0.09290654945688373
103,-0.15463809732037695
104,-0.09502453815051436
105,-0.18636146155732616
106,-0.17386969572106706
107,-0.19083659020123606
108,-0.15281401532198652
109,-0.16887144393649425
110,-0.12515590911452576
111,-0.01092710455709648
112,-0.05602898278165029
113,-0.1634379671277405
114,-0.17167069642656724
115,-0.15594966863975815
116,-0.07070575041419941
117,-0.14134117244949804
118,-0.1423580670513911
119,-0.111348430215625
120,-0.1519285486670922
121,-0.07758908154024728
122,-0.14758857230093234
123,-0.053238005284444875
124,-0.059757705873150345
125,-0.11062714176689911
126,-0.14949506454940087
127,-0.14729735609089295
128,-0.08058680905871672
129,-0.16634221909295446
130,-0.09845866578797445
131,-0.1573777588279215
132,-0.17878259878185238
133,-0.171171210144223
134,-0.10890724572383521
135,-0.12716337377301876
136,-0.16468087320605002
137,-0.16694404912559357
138,-0.14499156958505777
139,-0.2106985559770763
140,-0.1536839189964031
141,-0.12096314310586437
142,-0.1852420867966542
143,-0.11884574942917564
144,-0.12825327693085636
145,-0.10930837713101217
146,-0.1772201635056725
147,-0.15648603456252957
148,-0.17863869576890148
149,-0.08306935460434203
150,-0.055427848073487426
151,-0.16110583255073496
152,-0.15270655886316123
153,-0.18849323849785557
154,-0.17336350729013458
155,-0.12451093441794275
156,-0.15467257506032947
157,-0.17413481056105135
158,-0.2386821457519816
159,-0.05698752599728011
160,-0.24838553516920214
161,-0.031468158168264544
162,-0.1994074531468216
163,-0.1211411434142352
164,-0.18534804286596926
165,-0.1453936431732353
166,-0.17610035388189169
167,-0.2278477412689104
168,-0.1811658263926446
169,-0.08541594568167221
170,-0.149915716435074
171,-0.15076929650995985
172,-0.16007869415356604
173,-0.18012177557001818
174,-0.11731321483189452
175,-0.15818268239458133
176,-0.13830561935512406
177,-0.2178395934684645
178,-0.13832261299008605
179,-0.13227392078716468
180,-0.1448530067699489
181,-0.11333630100564136
182,-0.08240376864829148
183,-0.18959740873063302
184,-0.20066881864735267
185,-0.18560682303380555
186,-0.13595028656241082
187,-0.022432207176641607
188,-0.12425028829116976
189,-0.1633549262148085
190,-0.09655241659982153
191,-0.1599975488047704
192,-0.1863303162967765
193,-0.1100044675366898
194,-0.18177670603582569
195,-0.12485728329154665
196,-0.08940178669627791
197,-0.18710948291053114
198,-0.19458839887889348
199,-0.15756871721475113
200,-0.09331035358616946
201,-0.11599944672270195
202,-0.18649328089526696
203,-0.1538066731499614
204,-0.14028908698242162
205,-0.15057222616581556
206,-0.17373563429724007
207,-0.1298829453109234
208,-0.05957402623014597
209,-0.1334096768184427
210,-0.13290847607311443
211,-0.1826283046427488
212,-0.11358622119428997
213,-0.07596109286416634
214,-0.19891032454492
215,-0.17675344597515935
216,-0.16483923012364965
217,-0.14348128531134668
218,-0.15030942417803517
219,-0.1540832815516723
220,-0.15214368601399353
221,-0.17885546531116592
222,-0.201330120827293
223,-0.17299660521072505
224,-0.13567995660586116
225,-0.10887032431622767
226,-0.11354285698516808
227,-0.1718962529042163
228,-0.11550391847607137
229,-0.06293260153216305
230,-0.1980026022320957
231,-0.055383762778397766
232,-0.13072478670694612
233,-0.17241687495321145
234,-0.13366497364906776
235,-0.1151089289751652
236,-0.19629727060537888
237,-0.1319198479106328
238,-0.1296960439895475
239,-0.11521134202166156
240,-0.10613007093710473
241,-0.17845442571441897
