params,adx_min,ret63_min,ret126_min,stop_mult,trail_mult,time_stop,vol_cap,train_trades,train_z,train_p,train_pct,val_trades,val_z,val_p,val_pct,gate_pass,score
12_0.0_0.03_2.0_2.6_125_1.1,12,0.0,0.03,2.0,2.6,125,1.1,126,0.5980028612307279,0.23756906077348067,76.79558011049724,47,0.31644843062436434,0.3867403314917127,61.87845303867403,False,0.6022965957224955
12_0.01_0.0_3.0_2.6_100_1.3,12,0.01,0.0,3.0,2.6,100,1.3,124,0.48029001382772685,0.2541436464088398,75.13812154696133,48,0.3784132559157811,0.32044198895027626,68.50828729281768,False,0.5714104520639499
12_0.0_0.03_2.0_2.6_75_1.1,12,0.0,0.03,2.0,2.6,75,1.1,126,0.628374323502648,0.23756906077348067,76.79558011049724,47,0.2292512281624789,0.34806629834254144,65.74585635359117,False,0.5648078721071158
20_0.01_0.03_3.0_2.6_100_1.5,20,0.01,0.03,3.0,2.6,100,1.5,73,0.5948506940087815,0.2265193370165746,77.90055248618785,23,0.26385550539662034,0.3701657458563536,63.53591160220995,False,0.5603636579689378
12_0.0_0.03_3.0_2.6_100_1.1,12,0.0,0.03,3.0,2.6,100,1.1,123,0.7104060089603582,0.2154696132596685,79.00552486187846,47,0.13233363525379202,0.430939226519337,57.4585635359116,False,0.5195352243246475
20_0.01_0.03_3.0_2.6_75_1.3,20,0.01,0.03,3.0,2.6,75,1.3,73,0.651317122726744,0.24861878453038674,75.69060773480662,23,0.18068901708844803,0.40331491712707185,60.22099447513812,False,0.5060392889864629
12_0.0_0.03_2.0_2.6_100_1.1,12,0.0,0.03,2.0,2.6,100,1.1,126,0.708943744479985,0.23204419889502761,77.34806629834254,47,0.10806989188648469,0.40331491712707185,60.22099447513812,False,0.49933407835542
12_0.0_0.03_3.0_2.6_125_1.1,12,0.0,0.03,3.0,2.6,125,1.1,123,0.702927384293204,0.23204419889502761,77.34806629834254,47,0.10319185148354379,0.43646408839779005,56.9060773480663,False,0.471865092130339
12_0.01_0.0_3.0_2.6_75_1.1,12,0.01,0.0,3.0,2.6,75,1.1,124,0.4668433744923105,0.287292817679558,71.8232044198895,48,0.32542093855623666,0.3701657458563536,63.53591160220995,False,0.46353503128059137
12_0.0_0.03_3.0_2.6_75_1.1,12,0.0,0.03,3.0,2.6,75,1.1,123,0.6513960207487025,0.20994475138121546,79.55801104972376,47,0.11795470868973214,0.4143646408839779,59.11602209944752,False,0.45719603330583797
12_0.01_0.0_3.0_2.6_100_1.5,12,0.01,0.0,3.0,2.6,100,1.5,124,0.34293568341068537,0.32044198895027626,68.50828729281768,48,0.42967543189976715,0.3314917127071823,67.40331491712708,False,0.4466442644817232
12_0.0_0.03_2.5_2.6_100_1.1,12,0.0,0.03,2.5,2.6,100,1.1,124,0.6059211520729426,0.2541436464088398,75.13812154696133,47,0.16644592502779218,0.4088397790055249,59.66850828729282,False,0.44087536439355246
20_0.0_0.03_3.0_2.6_125_1.1,20,0.0,0.03,3.0,2.6,125,1.1,76,0.6195982333512463,0.23756906077348067,76.79558011049724,25,0.14366806536672527,0.4088397790055249,59.66850828729282,False,0.4400618788284688
12_0.0_0.03_2.0_2.6_100_1.3,12,0.0,0.03,2.0,2.6,100,1.3,126,0.698733653014566,0.20994475138121546,79.55801104972376,47,0.043781480249322824,0.4419889502762431,56.353591160220994,False,0.41654828243515957
12_0.0_0.03_3.0_2.6_75_1.5,12,0.0,0.03,3.0,2.6,75,1.5,123,0.6782358905606084,0.23204419889502761,77.34806629834254,47,0.08819262094168978,0.47513812154696133,53.03867403314917,False,0.4128373512813037
12_0.01_0.0_2.0_2.6_75_1.3,12,0.01,0.0,2.0,2.6,75,1.3,126,0.3073718707996639,0.3701657458563536,63.53591160220995,48,0.4306708229358331,0.2983425414364641,70.71823204419888,False,0.4037885500890881
