name,adx,ret63,stop,trail,time_stop,vol_cap,tr_trades,tr_z,tr_p,va_trades,va_z,va_p,gate,score
a20_r0.0_s2.8_t2.8_h120_v1.2,20,0.0,2.8,2.8,120,1.2,77,-0.027061430091762286,0.5289256198347108,26,0.2649609528514897,0.38016528925619836,False,-0.2166459317857272
a16_r0.01_s2.2_t2.8_h80_v1.2,16,0.01,2.2,2.8,80,1.2,102,0.17126153767728194,0.35537190082644626,34,0.00852422929443607,0.4793388429752066,False,-0.23756960492910842
a16_r0.0_s2.2_t2.8_h80_v1.2,16,0.0,2.2,2.8,80,1.2,110,0.1362092684834613,0.4297520661157025,35,0.06562660142016243,0.48760330578512395,False,-0.2568418160467895
a12_r0.0_s2.2_t2.8_h120_v1.5,12,0.0,2.2,2.8,120,1.5,127,-0.1652821682390883,0.5785123966942148,52,0.3575904959983829,0.32231404958677684,False,-0.25810489538120124
a12_r0.01_s2.8_t2.8_h80_v1.2,12,0.01,2.8,2.8,80,1.2,116,-0.06720363640862245,0.48760330578512395,48,0.22990770411865757,0.371900826446281,False,-0.2670479984056674
a16_r0.01_s2.2_t2.8_h120_v1.2,16,0.01,2.2,2.8,120,1.2,102,0.24303056953846325,0.38016528925619836,34,-0.07809404852599279,0.5289256198347108,False,-0.2896089335329841
a16_r0.0_s2.8_t2.8_h120_v1.5,16,0.0,2.8,2.8,120,1.5,108,0.012755885548351777,0.4462809917355372,35,0.1221553394502819,0.4793388429752066,False,-0.32789869235673824
a12_r0.01_s2.2_t2.8_h120_v1.2,12,0.01,2.2,2.8,120,1.2,117,-0.08716255440233468,0.49586776859504134,48,0.21554002617589685,0.4297520661157025,False,-0.33443244558180973
a20_r0.01_s2.8_t2.8_h80_v1.2,20,0.01,2.8,2.8,80,1.2,73,-0.003046664355780455,0.5289256198347108,25,0.11427703264233345,0.4132231404958678,False,-0.35984401187873627
a16_r0.01_s2.8_t2.8_h80_v1.5,16,0.01,2.8,2.8,80,1.5,100,0.14677625271060746,0.4214876033057851,34,-0.07158947548591996,0.5454545454545454,False,-0.40828429715547776
a12_r0.0_s2.2_t2.8_h80_v1.5,12,0.0,2.2,2.8,80,1.5,127,-0.3143692058742258,0.5537190082644629,52,0.333103201893916,0.3305785123966942,False,-0.4234147643108883
a12_r0.01_s2.8_t2.8_h120_v1.5,12,0.01,2.8,2.8,120,1.5,116,-0.10986540818804084,0.48760330578512395,48,0.13888516035694037,0.4297520661157025,False,-0.42965793378151373
a12_r0.0_s2.8_t2.8_h120_v1.5,12,0.0,2.8,2.8,120,1.5,126,-0.24964767009033315,0.5537190082644629,52,0.2937804906464855,0.4049586776859504,False,-0.43520602241905426
a12_r0.01_s2.8_t2.8_h120_v1.2,12,0.01,2.8,2.8,120,1.2,116,-0.16876239585321454,0.5289256198347108,48,0.16206054697841607,0.34710743801652894,False,-0.4447183778004183
a20_r0.0_s2.8_t2.8_h80_v1.5,20,0.0,2.8,2.8,80,1.5,77,-0.1213603934412896,0.5041322314049587,26,0.14233227521520847,0.4380165289256198,False,-0.4501024983913704
a20_r0.0_s2.8_t2.8_h80_v1.2,20,0.0,2.8,2.8,80,1.2,77,-0.12187398881126535,0.48760330578512395,26,0.09108512006224814,0.3884297520661157,False,-0.468805397674637
a16_r0.01_s2.2_t2.8_h120_v1.5,16,0.01,2.2,2.8,120,1.5,102,-0.061762200989963795,0.4628099173553719,34,0.03123696582073371,0.4793388429752066,False,-0.5015996153345194
a12_r0.0_s2.8_t2.8_h80_v1.2,12,0.0,2.8,2.8,80,1.2,126,-0.22722200055605216,0.5619834710743802,52,0.19586577119797272,0.38016528925619836,False,-0.5024306095233687
a12_r0.0_s2.8_t2.8_h80_v1.5,12,0.0,2.8,2.8,80,1.5,126,-0.19678285955626768,0.512396694214876,52,0.15886427232733286,0.4214876033057851,False,-0.5048607359892654
a12_r0.0_s2.2_t2.8_h80_v1.2,12,0.0,2.2,2.8,80,1.2,127,-0.26956327790952045,0.6198347107438017,52,0.24998934843849263,0.36363636363636365,False,-0.5113094666611104
a12_r0.0_s2.8_t2.8_h120_v1.2,12,0.0,2.8,2.8,120,1.2,126,-0.10356257417183877,0.5041322314049587,52,0.07533131383418433,0.4628099173553719,False,-0.5117023347178198
a20_r0.01_s2.8_t2.8_h120_v1.2,20,0.01,2.8,2.8,120,1.2,73,-0.051633932448722344,0.48760330578512395,25,0.004067753794534679,0.5206611570247934,False,-0.5516984100591463
a12_r0.01_s2.2_t2.8_h120_v1.5,12,0.01,2.2,2.8,120,1.5,117,-0.18452095097347476,0.5619834710743802,48,0.09863070347856578,0.4132231404958678,False,-0.5734935532800329
a12_r0.0_s2.2_t2.8_h120_v1.2,12,0.0,2.2,2.8,120,1.2,127,-0.3344645795987447,0.628099173553719,52,0.2562953292215251,0.371900826446281,False,-0.5781692503772196
a12_r0.01_s2.8_t2.8_h80_v1.5,12,0.01,2.8,2.8,80,1.5,116,-0.2997978773596809,0.6033057851239669,48,0.22123345177658835,0.4049586776859504,False,-0.5826966569880512
a20_r0.01_s2.8_t2.8_h80_v1.5,20,0.01,2.8,2.8,80,1.5,73,-0.06470282351647128,0.5537190082644629,25,-0.009223699441904619,0.47107438016528924,False,-0.586323217173252
a20_r0.01_s2.8_t2.8_h120_v1.5,20,0.01,2.8,2.8,120,1.5,73,0.028165092795662084,0.49586776859504134,25,-0.13242861754170943,0.5041322314049587,False,-0.6042635247460474
a16_r0.01_s2.2_t2.8_h80_v1.5,16,0.01,2.2,2.8,80,1.5,102,-0.10889691943171459,0.47107438016528924,34,-0.006846168669702294,0.512396694214876,False,-0.6074786252914995
a12_r0.01_s2.2_t2.8_h80_v1.5,12,0.01,2.2,2.8,80,1.5,117,-0.1797336772992047,0.5041322314049587,48,-0.07635320173478252,0.5206611570247934,False,-0.7684835732488633
a12_r0.0_s2.2_t3.4_h120_v1.2,12,0.0,2.2,3.4,120,1.2,119,-0.38596524606787175,0.628099173553719,51,0.07047481810284345,0.4132231404958678,False,-0.8361515849898218
a12_r0.0_s2.8_t3.4_h120_v1.2,12,0.0,2.8,3.4,120,1.2,118,-0.4480709933501101,0.6446280991735537,51,0.05177976640397388,0.45454545454545453,False,-0.9458780038056402
a20_r0.01_s2.2_t2.8_h120_v1.2,20,0.01,2.2,2.8,120,1.2,75,-0.3857853552045652,0.6446280991735537,26,-0.022852426143664225,0.512396694214876,False,-0.9871501780424443
a12_r0.0_s2.2_t3.4_h80_v1.2,12,0.0,2.2,3.4,80,1.2,119,-0.31008591069422076,0.6033057851239669,51,-0.11212970687037914,0.5289256198347108,False,-0.9883313200439388
a16_r0.0_s2.2_t3.4_h80_v1.5,16,0.0,2.2,3.4,80,1.5,102,-0.185237727907786,0.5537190082644629,35,-0.2841870131327208,0.5206611570247934,False,-1.0066148236851349
a16_r0.0_s2.8_t3.4_h80_v1.2,16,0.0,2.8,3.4,80,1.2,100,-0.2392146201308418,0.5619834710743802,35,-0.21928810304417007,0.5371900826446281,False,-1.008089500034516
a16_r0.0_s2.2_t3.4_h120_v1.2,16,0.0,2.2,3.4,120,1.2,102,-0.1473003520041955,0.5289256198347108,35,-0.2997969992106941,0.6033057851239669,False,-1.0132130536942285
a16_r0.0_s2.2_t3.4_h80_v1.2,16,0.0,2.2,3.4,80,1.2,102,-0.24600687139027544,0.5537190082644629,35,-0.20812603739720625,0.5867768595041323,False,-1.0243808426717793
a20_r0.0_s2.2_t2.8_h120_v1.5,20,0.0,2.2,2.8,120,1.5,79,-0.5873253501120361,0.7107438016528925,27,0.08151656236318919,0.34710743801652894,False,-1.0347344075835578
a16_r0.0_s2.8_t3.4_h120_v1.5,16,0.0,2.8,3.4,120,1.5,100,-0.3028581995456227,0.5619834710743802,35,-0.21487871657183005,0.5289256198347108,False,-1.0631914615719982
a20_r0.0_s2.2_t2.8_h80_v1.2,20,0.0,2.2,2.8,80,1.2,79,-0.4632522566216289,0.7024793388429752,27,-0.011224588791078183,0.48760330578512395,False,-1.0695181677267567
a20_r0.0_s2.8_t3.4_h120_v1.5,20,0.0,2.8,3.4,120,1.5,70,-0.46185244489697763,0.6446280991735537,26,-0.08960261304245264,0.5289256198347108,False,-1.1382319174435627
a16_r0.01_s2.8_t3.4_h120_v1.2,16,0.01,2.8,3.4,120,1.2,93,-0.09321093882080253,0.5537190082644629,34,-0.447535995924726,0.6528925619834711,False,-1.1440527198694954
a20_r0.0_s2.2_t2.8_h120_v1.2,20,0.0,2.2,2.8,120,1.2,79,-0.47887281765915934,0.6776859504132231,27,-0.07021479586136488,0.512396694214876,False,-1.1441289358345739
a12_r0.01_s2.2_t3.4_h120_v1.5,12,0.01,2.2,3.4,120,1.5,110,-0.47812465244929525,0.6694214876033058,47,-0.08078980679009669,0.5289256198347108,False,-1.1580880129584004
a12_r0.0_s2.8_t3.4_h120_v1.5,12,0.0,2.8,3.4,120,1.5,118,-0.5775478090587252,0.6942148760330579,51,0.013055071394998091,0.49586776859504134,False,-1.1595340599777768
a20_r0.0_s2.2_t2.8_h80_v1.5,20,0.0,2.2,2.8,80,1.5,79,-0.5195208057361028,0.6694214876033058,27,-0.05925985740769778,0.5041322314049587,False,-1.1655575226479329
a12_r0.0_s2.2_t3.4_h120_v1.5,12,0.0,2.2,3.4,120,1.5,119,-0.5500650124233206,0.6694214876033058,51,-0.033763745541949816,0.5041322314049587,False,-1.1706056174694028
a16_r0.0_s2.8_t3.4_h120_v1.2,16,0.0,2.8,3.4,120,1.2,100,-0.31392484757687794,0.5867768595041323,35,-0.28927462537907184,0.5785123966942148,False,-1.1858441010551233
a12_r0.0_s2.8_t3.4_h80_v1.2,12,0.0,2.8,3.4,80,1.2,118,-0.5796668255744604,0.6942148760330579,51,-0.011649943716665527,0.49586776859504134,False,-1.1863580916051755
a12_r0.0_s2.8_t3.4_h80_v1.5,12,0.0,2.8,3.4,80,1.5,118,-0.5811782325070067,0.6942148760330579,51,-0.03174510620322195,0.45454545454545453,False,-1.1873035039994848
a12_r0.01_s2.8_t3.4_h120_v1.2,12,0.01,2.8,3.4,120,1.2,109,-0.5312604885087082,0.6694214876033058,47,-0.06345206686098892,0.5206611570247934,False,-1.1897538776837466
a20_r0.01_s2.2_t2.8_h120_v1.5,20,0.01,2.2,2.8,120,1.5,75,-0.5461170738462574,0.7272727272727273,26,-0.04542176651103737,0.5289256198347108,False,-1.219638013911014
a12_r0.0_s2.2_t3.4_h80_v1.5,12,0.0,2.2,3.4,80,1.5,119,-0.4958533721903524,0.6528925619834711,51,-0.12484784025837967,0.5702479338842975,False,-1.2322714603826164
a16_r0.01_s2.8_t3.4_h80_v1.2,16,0.01,2.8,3.4,80,1.2,93,-0.28913666008055744,0.5785123966942148,34,-0.3324273166613823,0.6528925619834711,False,-1.237266456080783
a16_r0.0_s2.2_t3.4_h120_v1.5,16,0.0,2.2,3.4,120,1.5,102,-0.2976724590119703,0.5537190082644629,35,-0.3771900315217439,0.6198347107438017,False,-1.2616393500378464
a16_r0.01_s2.8_t3.4_h80_v1.5,16,0.01,2.8,3.4,80,1.5,93,-0.2536528318825772,0.5950413223140496,34,-0.42765408823611223,0.628099173553719,False,-1.2928771680525737
a20_r0.0_s2.8_t3.4_h80_v1.2,20,0.0,2.8,3.4,80,1.2,70,-0.5897089875425777,0.6694214876033058,26,-0.1008814475169216,0.5371900826446281,False,-1.2938962201834663
a12_r0.01_s2.8_t3.4_h80_v1.5,12,0.01,2.8,3.4,80,1.5,109,-0.6053903084837966,0.6776859504132231,47,-0.09920863761929805,0.5041322314049587,False,-1.2955080370121854
a20_r0.01_s2.8_t3.4_h80_v1.5,20,0.01,2.8,3.4,80,1.5,66,-0.6469741731507945,0.7355371900826446,25,-0.04697997135612174,0.47107438016528924,False,-1.2972599296308833
a20_r0.0_s2.8_t3.4_h120_v1.2,20,0.0,2.8,3.4,120,1.2,70,-0.6735874690558888,0.743801652892562,26,-0.005800052463523059,0.49586776859504134,False,-1.2992222322632134
a12_r0.01_s2.2_t3.4_h80_v1.2,12,0.01,2.2,3.4,80,1.2,110,-0.6072100859430883,0.6859504132231405,47,-0.08967325951711759,0.5206611570247934,False,-1.3001891305841728
a20_r0.01_s2.2_t2.8_h80_v1.5,20,0.01,2.2,2.8,80,1.5,75,-0.36014644208914215,0.5867768595041323,26,-0.32456717823418607,0.6528925619834711,False,-1.3045483310671298
a12_r0.01_s2.2_t3.4_h80_v1.5,12,0.01,2.2,3.4,80,1.5,110,-0.4840828413656226,0.628099173553719,47,-0.2305354037210473,0.5785123966942148,False,-1.3179240302106368
a20_r0.01_s2.2_t2.8_h80_v1.2,20,0.01,2.2,2.8,80,1.2,75,-0.5375736564437442,0.7272727272727273,26,-0.1523244703721306,0.5289256198347108,False,-1.3179973003695937
a16_r0.01_s2.8_t3.4_h120_v1.5,16,0.01,2.8,3.4,120,1.5,93,-0.3773579132668992,0.6198347107438017,34,-0.3518253152756748,0.628099173553719,False,-1.3531501706913343
a20_r0.01_s2.8_t3.4_h120_v1.5,20,0.01,2.8,3.4,120,1.5,66,-0.5365833644787222,0.6942148760330579,25,-0.20980793590220007,0.5206611570247934,False,-1.3538293169098479
a16_r0.0_s2.8_t3.4_h80_v1.5,16,0.0,2.8,3.4,80,1.5,100,-0.5041553947903427,0.7024793388429752,35,-0.2524899559074742,0.5702479338842975,False,-1.393008987061453
a20_r0.01_s2.8_t3.4_h120_v1.2,20,0.01,2.8,3.4,120,1.2,66,-0.535689910304474,0.6859504132231405,25,-0.24976896870290244,0.5785123966942148,False,-1.4176902839660541
a20_r0.01_s2.8_t3.4_h80_v1.2,20,0.01,2.8,3.4,80,1.2,66,-0.547996951395648,0.71900826446281,25,-0.23245145186342334,0.5950413223140496,False,-1.4374731966475012
a16_r0.01_s2.2_t3.4_h80_v1.5,16,0.01,2.2,3.4,80,1.5,95,-0.35248132541452915,0.5619834710743802,34,-0.461431809414074,0.6859504132231405,False,-1.4378800769773634
a20_r0.0_s2.8_t3.4_h80_v1.5,20,0.0,2.8,3.4,80,1.5,70,-0.6854967289992417,0.743801652892562,26,-0.1240394731163805,0.5371900826446281,False,-1.4500320698842173
a12_r0.01_s2.8_t3.4_h80_v1.2,12,0.01,2.8,3.4,80,1.2,109,-0.6273365062491894,0.6611570247933884,47,-0.23432811799860714,0.5785123966942148,False,-1.4814993349915981
a12_r0.01_s2.2_t3.4_h120_v1.2,12,0.01,2.2,3.4,120,1.2,110,-0.5826248747336685,0.7272727272727273,47,-0.2768304239582518,0.5619834710743802,False,-1.5040833978654742
a12_r0.01_s2.8_t3.4_h120_v1.5,12,0.01,2.8,3.4,120,1.5,109,-0.5648187405077816,0.7272727272727273,47,-0.3123109569114133,0.6033057851239669,False,-1.5424189536175419
a20_r0.01_s2.2_t3.4_h120_v1.5,20,0.01,2.2,3.4,120,1.5,70,-0.7010532991999702,0.7933884297520661,26,-0.2608839250086804,0.5702479338842975,False,-1.6437554060268325
a16_r0.01_s2.2_t3.4_h120_v1.2,16,0.01,2.2,3.4,120,1.2,95,-0.5055355321107893,0.6446280991735537,34,-0.49748614535880264,0.6528925619834711,False,-1.6517820080481043
a16_r0.01_s2.2_t3.4_h120_v1.5,16,0.01,2.2,3.4,120,1.5,95,-0.5359088197232004,0.6942148760330579,34,-0.4466253521177951,0.6446280991735537,False,-1.6519556594443012
a20_r0.01_s2.2_t3.4_h80_v1.5,20,0.01,2.2,3.4,80,1.5,70,-0.6118140266306559,0.7272727272727273,26,-0.40716745671859933,0.5950413223140496,False,-1.6801385081426436
a16_r0.01_s2.2_t3.4_h80_v1.2,16,0.01,2.2,3.4,80,1.2,95,-0.4340567613730494,0.6033057851239669,34,-0.6012618264231765,0.7024793388429752,False,-1.688211149779697
a20_r0.0_s2.2_t3.4_h120_v1.5,20,0.0,2.2,3.4,120,1.5,74,-0.8641826900810688,0.8429752066115702,27,-0.20164163922046807,0.5950413223140496,False,-1.7848325937643468
a20_r0.01_s2.2_t3.4_h120_v1.2,20,0.01,2.2,3.4,120,1.2,70,-0.8364701504285498,0.7933884297520661,26,-0.31104251588422394,0.5702479338842975,False,-1.8293308481309556
a20_r0.0_s2.2_t3.4_h80_v1.2,20,0.0,2.2,3.4,80,1.2,74,-0.7764219930182142,0.743801652892562,27,-0.39202173487046044,0.6611570247933884,False,-1.8709230667316499
a20_r0.0_s2.2_t3.4_h120_v1.2,20,0.0,2.2,3.4,120,1.2,74,-0.8710212571957384,0.8512396694214877,27,-0.30547220245561163,0.5950413223140496,False,-1.8996339555191186
a20_r0.01_s2.2_t3.4_h80_v1.2,20,0.01,2.2,3.4,80,1.2,70,-0.9788155593279774,0.8347107438016529,26,-0.35386606607338034,0.5702479338842975,False,-2.035160964244333
a20_r0.0_s2.2_t3.4_h80_v1.5,20,0.0,2.2,3.4,80,1.5,74,-1.045157842052611,0.8760330578512396,27,-0.3641248526361368,0.6198347107438017,False,-2.1572165789862687
