name,adx,ret63,stop,trail,time_stop,vol_cap,tr_trades,tr_z,tr_p,va_trades,va_z,va_p,gate,score
a16_r0.0_s2.8_t2.8_h80_v1.2,16,0.0,2.8,2.8,80,1.2,108,0.08775757011238965,0.48760330578512395,35,0.44762082891132265,0.3305785123966942,False,0.12628748993280325
a16_r0.0_s2.2_t2.8_h80_v1.5,16,0.0,2.2,2.8,80,1.5,110,0.17783562019185228,0.38016528925619836,35,0.3068064024628979,0.35537190082644626,False,0.1168734276134279
a16_r0.0_s2.2_t2.8_h120_v1.2,16,0.0,2.2,2.8,120,1.2,110,0.16176896218300538,0.4132231404958678,35,0.272538467944062,0.38016528925619836,False,0.03761321525103434
a12_r0.01_s2.2_t2.8_h80_v1.2,12,0.01,2.2,2.8,80,1.2,117,0.13103825404898933,0.39669421487603307,48,0.226417503138344,0.36363636363636365,False,-0.022709532068865
a16_r0.0_s2.8_t2.8_h120_v1.2,16,0.0,2.8,2.8,120,1.2,108,0.21743899691410878,0.4297520661157025,35,0.1313660618694984,0.4049586776859504,False,-0.06855031311721926
a16_r0.01_s2.8_t2.8_h120_v1.5,16,0.01,2.8,2.8,120,1.5,100,0.3793788121488686,0.33884297520661155,34,-0.0828243967768249,0.48760330578512395,False,-0.11666872512382404
a16_r0.0_s2.2_t2.8_h120_v1.5,16,0.0,2.2,2.8,120,1.5,110,0.18593873704553288,0.371900826446281,35,0.10232328869132429,0.4462809917355372,False,-0.1208288833540519
a20_r0.0_s2.8_t2.8_h120_v1.5,20,0.0,2.8,2.8,120,1.5,77,0.06759007736597841,0.4462809917355372,26,0.20525502468256648,0.3884297520661157,False,-0.14451026985228155
a16_r0.0_s2.8_t2.8_h80_v1.5,16,0.0,2.8,2.8,80,1.5,108,0.21926742327801402,0.371900826446281,35,0.04887555322912116,0.4628099173553719,False,-0.14921239539369124
a16_r0.01_s2.8_t2.8_h120_v1.2,16,0.01,2.8,2.8,120,1.2,100,0.20403232808229205,0.38016528925619836,34,0.03989803275022015,0.4380165289256198,False,-0.16516054825839688
a16_r0.01_s2.8_t2.8_h80_v1.2,16,0.01,2.8,2.8,80,1.2,100,0.2774615805735133,0.32231404958677684,34,-0.07004709202425698,0.49586776859504134,False,-0.20167642054165275
