agent,skill_luck_verdict,evidence_label,confidence_label,final_classification,stability_classification,verdict_reason,cumulative_return,annualized_sharpe,trade_level_return_ratio,max_drawdown,RCSI,RCSI_z,p_value,adjusted_p_value,p_value_prominence,actual_percentile,number_of_trades,number_of_periods,transaction_cost,research_grade,artifact_run_id,signal_count,trades_per_month,average_holding_bars,average_holding_hours,activity_status,activity_warning
trend_pullback,Weak Skill,Weak Skill,Moderate,weak skill,not available,"There is some evidence of edge, but it remains modest. raw p=0.125; BH-adjusted p=0.375; percentile=87.6; RCSI_z=1.183. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. The raw metrics clear the label threshold, but the BH-adjusted p-value does not.",0.22130513622587022,1.246106683427584,0.30672173381066464,-0.04386744003231291,0.1348576958675691,1.1829520611505333,0.1249375312343828,0.3748125937031484,0.9033070799641738,87.55622188905548,72,4749,0.00047,False,run_20260402T034231Z_pid35584,74.0,2.3737870650358803,19.61111111111111,99.0,acceptable,Trade activity is in a reasonable range for 1-hour research and null-hypothesis testing.
breakout_volume_momentum,Random / Luck,Random / Luck,Low,random / luck,not available,"The result is statistically consistent with the null distribution. raw p=0.461; BH-adjusted p=0.923; percentile=53.9; RCSI_z=0.105. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence.",0.06864226562924425,0.6993763774513159,0.15293791635519235,-0.03477322782056225,0.0096956187040997,0.1046656446924464,0.4612693653173413,0.9225387306346824,0.3360453876102994,53.92303848075962,56,4749,0.00047,False,run_20260402T034231Z_pid35584,56.0,1.8327135881008911,14.892857142857142,74.51785714285714,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
mean_reversion_vol_filter,Negative Skill,Negative Skill,Low,negative skill,not available,"The result is worse than the random null on all three metrics. raw p=0.792; BH-adjusted p=0.951; percentile=20.8; RCSI_z=-0.830. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence.",-0.049128100823566334,-0.4489792292668041,-0.09025372786672553,-0.07596292593623433,-0.0541942096329945,-0.8296704729235974,0.792103948025987,0.9505247376311844,0.10121782208244108,20.839580209895058,60,4749,0.00047,False,run_20260402T034231Z_pid35584,63.0,1.875160434671002,6.633333333333334,32.21666666666667,underactive,Too few trades for strong statistical power. Consider reviewing thresholds or sample length.
momentum_relative_strength,Negative Skill,Negative Skill,Low,negative skill,not available,"The result is worse than the random null on all three metrics. raw p=0.984; BH-adjusted p=0.984; percentile=1.6; RCSI_z=-1.434. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence.",-0.0960106427158483,-0.2070873119039004,-0.021045350220449035,-0.2002473002628368,-0.7623616735805749,-1.4340355324036074,0.984007996001999,0.9840079960019988,0.007001372498093215,1.6491754122938531,260,4747,0.00047,False,run_20260402T034231Z_pid35584,263.0,7.969536757301107,13.1,62.27307692307692,acceptable,Trade activity is in a reasonable range for 1-hour research and null-hypothesis testing.
trend_momentum_verification,Negative Skill,Negative Skill,Low,negative skill,not available,"The result is worse than the random null on all three metrics. raw p=0.755; BH-adjusted p=0.951; percentile=24.6; RCSI_z=-0.701. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence.",0.027123690903821274,0.1814425524705651,0.0223260469683187,-0.08762821842891033,-0.0891000096939315,-0.7010516506064131,0.7546226886556722,0.9505247376311844,0.12227014134304197,24.587706146926536,174,4749,0.00047,False,run_20260402T034231Z_pid35584,176.0,5.633176741712463,12.333333333333334,63.43103448275862,acceptable,Trade activity is in a reasonable range for 1-hour research and null-hypothesis testing.
random,Weak Skill,Weak Skill,Moderate,weak skill,not available,"There is some evidence of edge, but it remains modest. raw p=0.120; BH-adjusted p=0.375; percentile=88.1; RCSI_z=1.191. Monte Carlo depth is below research-grade, so the label is directional but lower-confidence. The raw metrics clear the label threshold, but the BH-adjusted p-value does not.",0.182496473354254,0.930930374378521,0.16800882791142285,-0.09485151207797249,0.1283204790806657,1.190803126553361,0.1199400299850075,0.3748125937031484,0.9210358469246054,88.055972013993,90,4749,0.00047,False,run_20260402T034231Z_pid35584,90.0,2.772880641079713,12.122222222222222,64.82222222222222,acceptable,Trade activity is in a reasonable range for 1-hour research and null-hypothesis testing.
buy_and_hold,Benchmark,Benchmark Reference,Not Applicable,benchmark,not_applicable,Passive benchmark included for strategy context; not evaluated against the Monte Carlo skill-vs-luck null.,0.4976018309926291,1.0412484301153813,,-0.1943384094053688,,,,,,,,4869,0.00047,,,,,,,,
