agent,mean_mean_actual_cumulative_return,median_mean_actual_cumulative_return,std_mean_actual_cumulative_return,min_mean_actual_cumulative_return,max_mean_actual_cumulative_return,p25_mean_actual_cumulative_return,p75_mean_actual_cumulative_return,mean_mean_annualized_return,median_mean_annualized_return,std_mean_annualized_return,min_mean_annualized_return,max_mean_annualized_return,p25_mean_annualized_return,p75_mean_annualized_return,mean_mean_annualized_sharpe,median_mean_annualized_sharpe,std_mean_annualized_sharpe,min_mean_annualized_sharpe,max_mean_annualized_sharpe,p25_mean_annualized_sharpe,p75_mean_annualized_sharpe,mean_mean_trade_level_return_ratio,median_mean_trade_level_return_ratio,std_mean_trade_level_return_ratio,min_mean_trade_level_return_ratio,max_mean_trade_level_return_ratio,p25_mean_trade_level_return_ratio,p75_mean_trade_level_return_ratio,mean_mean_max_drawdown,median_mean_max_drawdown,std_mean_max_drawdown,min_mean_max_drawdown,max_mean_max_drawdown,p25_mean_max_drawdown,p75_mean_max_drawdown,mean_mean_p_value,median_mean_p_value,std_mean_p_value,min_mean_p_value,max_mean_p_value,p25_mean_p_value,p75_mean_p_value,mean_mean_p_value_prominence,median_mean_p_value_prominence,std_mean_p_value_prominence,min_mean_p_value_prominence,max_mean_p_value_prominence,p25_mean_p_value_prominence,p75_mean_p_value_prominence,mean_mean_actual_percentile,median_mean_actual_percentile,std_mean_actual_percentile,min_mean_actual_percentile,max_mean_actual_percentile,p25_mean_actual_percentile,p75_mean_actual_percentile,mean_mean_RCSI,median_mean_RCSI,std_mean_RCSI,min_mean_RCSI,max_mean_RCSI,p25_mean_RCSI,p75_mean_RCSI,mean_mean_RCSI_z,median_mean_RCSI_z,std_mean_RCSI_z,min_mean_RCSI_z,max_mean_RCSI_z,p25_mean_RCSI_z,p75_mean_RCSI_z,panel_count,mean_proportion_significant_runs,mean_proportion_outperforming_null_runs,proportion_significant_panels,proportion_positive_rcsi_z_panels,stability_classification,evidence_bucket,confidence_score,evaluation_power_score,confidence_bucket,evaluation_power_label,evidence_label,confidence_label,skill_luck_verdict,verdict_label,final_classification,number_of_outer_runs,simulations_per_run,test_bars,step_bars,min_trades_per_panel,transaction_cost,null_model
trend,-0.017412962091415313,-0.020592372991693364,0.0863204872100336,-0.17793620292324797,0.26938678611514066,-0.078933693317436,0.03423682031301256,-0.009697090699540003,-0.010370214082464746,0.043131241348156206,-0.09349923612545406,0.12693784242949335,-0.040356459456749046,0.01700837729242488,-0.2605619749361766,-0.12906239006702344,0.6640620190136665,-1.6082177299622957,1.033479643921668,-0.8910948283377567,0.2691427483926336,-0.16216143391497337,-0.03759466033432172,0.3783893159366269,-1.2622968692529284,0.401530115944521,-0.41029453629859813,0.09166294437794492,-0.10241454709257561,-0.0976037149245158,0.0358823045998223,-0.18763092580143811,-0.038753472519410304,-0.1223862401913674,-0.07354318448297303,0.6217114893617022,0.58522,0.26117981987616834,0.08282,0.98822,0.45502,0.88038,0.26535634106415085,0.23282973372169977,0.2607797648099751,0.005148418310452083,1.083905265656874,0.055376331554411184,0.3421886025727132,37.82885106382979,41.478,26.11798198761684,1.178,91.71800000000002,11.962,54.498000000000005,-0.019711058703669758,-0.01566112220635542,0.05794021528158186,-0.1359997469922871,0.13181508701976205,-0.07014086647413803,0.006938493120887911,-0.42609756592589026,-0.24241853595335391,0.8636235485975448,-2.124657739825624,1.4399488321154215,-1.1746866201971269,0.08400394560646236,47,0.0,0.37829787234042556,0.0,0.3617021276595745,unstable,likely_random,0.52,1.0,low,Adequate,Likely Random,Low,luck,Luck,likely random,50,1000,504,252,1,0.00047,random_timing_matched_duration
mean_reversion,-0.015761997623524957,-0.015512081635465913,0.07137679436933739,-0.1549928078112588,0.13715083613887802,-0.05923001640460268,0.03207637401654684,-0.00858546189891246,-0.007801773763153941,0.036184381814958415,-0.08091114602860427,0.06650899503016094,-0.03013708561250339,0.015943473280765508,-0.03757482956058299,-0.07164555547074557,0.778910254633325,-1.6156806576936646,2.163832626458916,-0.5628167237060369,0.5529019066395826,0.041468435591109576,-0.08036539564319317,0.48474209000680385,-0.6779964089115625,1.4041783363606137,-0.273366414037185,0.22106449829408376,-0.08657718608465985,-0.07694935874920827,0.0482921129117415,-0.17853095780016878,-0.011115410180968066,-0.133422532927915,-0.05151322351729526,0.4982421276595745,0.46116,0.3005204530083171,0.00032,0.9903799999999999,0.27010999999999996,0.80044,0.6007357455813074,0.3363599009838484,1.3148598233255187,0.00419991957274467,9.12,0.09682453686628487,0.569034822923403,50.17578723404256,53.88400000000001,30.052045300831708,0.9620000000000001,99.96799999999999,19.956000000000003,72.989,-0.0030914159696859857,0.003932117792475521,0.05198569181067452,-0.1397220159869591,0.12458542473958076,-0.03797849815107181,0.034434821902234236,0.023856281292680023,0.059096378156753754,1.0927972146513076,-2.1908152158294754,3.4982842438820914,-0.8538282615429724,0.5975428167623258,47,0.08382978723404255,0.571063829787234,0.0851063829787234,0.5319148936170213,unstable,neutral_inconclusive,0.34,1.0,low,Adequate,Null-Like / Inconclusive,Low,inconclusive,Inconclusive,null-like / inconclusive,50,1000,504,252,1,0.00047,random_timing_matched_duration
random,0.0011590848625343468,-0.010688597306965364,0.10921522075297671,-0.1940166654618426,0.3401618788918197,-0.08005154032079792,0.0525004383197083,-0.0008747199644559314,-0.005369280992243541,0.05405309679443134,-0.10242671961539462,0.15799058654154097,-0.04094060275352768,0.025966094316736466,-0.043667435493669804,-0.07682622930222158,0.7283268368385523,-1.6068992173494798,1.233503022929795,-0.49566737002810046,0.4311950762232376,-0.024446682110463587,-0.037718683939608755,0.4263362158131872,-1.089758385045162,1.1428127400635615,-0.2556063070241857,0.19608959595905495,-0.10535534962112725,-0.09663083923025993,0.049447464903349246,-0.20790511620188368,-0.03524876122128717,-0.13787081628286807,-0.06595420264656138,0.463391914893617,0.46488,0.3280928350112127,0.0032400000000000003,0.99774,0.12843000000000002,0.79958,0.5558819931613197,0.3329174856439819,0.5682752683377867,0.0009829897798985191,2.5429635890616034,0.09725768564500281,0.8933520951312843,53.6608085106383,53.512,32.80928350112127,0.226,99.676,20.042,87.15700000000001,0.00555182323657224,0.005816333735429708,0.07945154627677883,-0.21168899576718533,0.17392095778340308,-0.04155927323940249,0.06649348210067126,0.1465338709398505,0.06628808266686624,1.2260048656491058,-2.5479976779728224,2.802095960300056,-0.8520375976277917,1.1788080049475091,47,0.10638297872340426,0.5472340425531914,0.10638297872340426,0.5531914893617021,unstable,neutral_inconclusive,0.34,1.0,low,Adequate,Null-Like / Inconclusive,Low,inconclusive,Inconclusive,null-like / inconclusive,50,1000,504,252,1,0.00047,random_timing_matched_duration
momentum,-0.020337008428501425,-0.025149937128942423,0.05702947764306605,-0.12173400921949028,0.17269931405226213,-0.05380814944130141,0.001807788252458642,-0.010649464615545697,-0.01268004257429689,0.02849107280882234,-0.06296244904128756,0.0830839236301828,-0.027329545793892074,0.0009052782362316547,-0.3076882856553718,-0.26419768710563973,0.533859378529746,-1.5698977899219309,0.7843251622354743,-0.6894588145325508,0.04251308085152302,-0.3272718891886716,-0.22818252284697466,0.48675941071181617,-1.2910407183646735,0.6357274021371775,-0.7246548728778146,0.01658187644856055,-0.08658584199474618,-0.07896099459287598,0.03424819184925638,-0.166670411279905,-0.03684725164771796,-0.10581632196311369,-0.057037068977262025,0.6463131914893617,0.7159399999999999,0.27922111720654247,0.0,1.0,0.5014700000000001,0.86682,0.5485308818888016,0.14519772649680696,1.7682880374338215,0.0,12.0,0.06237234501605157,0.29992518981917954,35.36868085106383,28.406,27.922111720654247,0.0,100.0,13.318,49.852999999999994,-0.030008238799097326,-0.029975853841495228,0.06003325091817038,-0.22060098273528975,0.11169815337299079,-0.05755607589384015,-0.00016217304312613666,-0.515850836776956,-0.5244275852384519,1.3230216468658795,-4.425672869703095,3.9751089184819506,-1.086992287153651,-0.006033070208821019,47,0.06382978723404255,0.25404255319148933,0.06382978723404255,0.23404255319148937,unstable,likely_random,0.52,1.0,low,Adequate,Likely Random,Low,luck,Luck,likely random,50,1000,504,252,1,0.00047,random_timing_matched_duration
breakout,0.008185406469271394,0.0047329412639397495,0.06982931365922115,-0.13860487415625777,0.2690288504478784,-0.04141118963568768,0.04143330772443743,0.0035054635668871252,0.0023683644854729513,0.03439859428330882,-0.07202389410685894,0.12677863105948428,-0.020966639590989905,0.020547577986544274,-0.010481590682469373,0.06981766933587508,0.5388574609380586,-1.2479090036981382,1.0826852482902947,-0.2895348355109224,0.36269471884126403,-0.2896769739853408,0.045282532596040134,1.5408086789488489,-8.623785712638233,1.380498142548504,-0.3470695186262176,0.38002091066412624,-0.08207919427944672,-0.07435841728958104,0.03385088942498688,-0.16198715558317578,-0.024938436870959646,-0.09427897383569533,-0.06001032387270958,0.5446156521739131,0.54464,0.28002236531525226,0.0,0.9999800000000001,0.36089499999999997,0.7996850000000001,1.0334269648232621,0.2640697788521141,2.842998955888558,8.690235480353834e-06,12.0,0.09716006758243731,0.44297973872734375,45.5384347826087,45.536,28.00223653152522,0.002,100.0,20.0315,63.9105,-0.006277889393965616,-0.009705598586628571,0.05392675266886943,-0.12000031812033907,0.15838295588382176,-0.04615566097228596,0.017806763454967952,-0.047101848907864584,-0.16616961581529244,1.4734229583240757,-3.5660541271089965,5.3217588743921995,-0.839971972328826,0.35682851623717937,46,0.06521739130434782,0.43478260869565216,0.06521739130434782,0.43478260869565216,unstable,neutral_inconclusive,0.34,1.0,low,Adequate,Null-Like / Inconclusive,Low,inconclusive,Inconclusive,null-like / inconclusive,50,1000,504,252,1,0.00047,random_timing_matched_duration
