agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,RCSI,RCSI_z
mean_reversion,2.4518308019123234,1.3379543328451704,2.035471112020011,2.592746761727283,70.14,1.113876469067153,0.16058633108269105
random,1.8465162041062495,6.517295016983763,10.911369737804115,13.844952597056672,16.06,-4.670778812877513,-0.6547406695798281
trend,5.437180791528379,12.465136343253258,20.099005146566128,25.38589573379757,21.38,-7.027955551724879,-0.5775578891832324
momentum,8.655793991348853,16.141831495083053,26.007793959696222,33.829580970188424,25.34,-7.486037503734201,-0.5129238811334507
breakout,6.216899378877251,15.126682128104804,23.64047013271333,27.251640261530905,18.8,-8.909782749227553,-0.6393586069177504
