ticker,family,sample_index,params,prelock_gate,prelock_score,train_trades,train_rcsi_z,train_p_value,validation_trades,validation_rcsi_z,validation_p_value,selection_trades,selection_rcsi_z,selection_p_value
SPY,vol_mom,0,"{'adx_min': 17, 'ret63_min': 0.01, 'ret126_min': 0.04, 'stop_mult': 2.307130219695513, 'trail_mult': 2.8371910712982245, 'time_stop': 113, 'vol_cap': 1.6495177366275489}",False,-4.36606873191327,80,-0.246440489192893,0.5308641975308642,44,-1.7367372222050517,1.0,26,-1.1794423928242739,0.8760330578512396
SPY,vol_mom,1,"{'adx_min': 14, 'ret63_min': 0.0, 'ret126_min': 0.02, 'stop_mult': 3.063122855960627, 'trail_mult': 3.7344100547894166, 'time_stop': 96, 'vol_cap': 1.350703289740227}",False,-3.8828141060203385,112,-0.3612725067168481,0.5802469135802469,60,-1.7579832732052447,1.0,32,-0.6221951998866346,0.7024793388429752
SPY,vol_mom,2,"{'adx_min': 18, 'ret63_min': 0.01, 'ret126_min': 0.04, 'stop_mult': 2.892251232403991, 'trail_mult': 3.2466781846973287, 'time_stop': 92, 'vol_cap': 1.7214495820190066}",False,-4.798670587708397,77,-0.398491230355813,0.6296296296296297,41,-1.8825783744529372,0.9876543209876543,24,-1.2668102472604261,0.8842975206611571
SPY,vol_mom,3,"{'adx_min': 16, 'ret63_min': 0.0, 'ret126_min': 0.02, 'stop_mult': 2.671764982934189, 'trail_mult': 2.6865099157645287, 'time_stop': 81, 'vol_cap': 1.2043998916102165}",False,-3.998502616590362,107,-0.4253056116656979,0.6049382716049383,56,-2.14718592192404,1.0,31,-0.32602128604113023,0.5950413223140496
SPY,vol_mom,4,"{'adx_min': 17, 'ret63_min': 0.02, 'ret126_min': 0.04, 'stop_mult': 2.474716154624878, 'trail_mult': 3.993803701183196, 'time_stop': 74, 'vol_cap': 1.7755498528472933}",False,-5.0979257370152755,71,-0.3554534856848594,0.6049382716049383,42,-1.8795641748524272,0.9876543209876543,24,-1.5996696314213614,0.9338842975206612
SPY,vol_mom,5,"{'adx_min': 11, 'ret63_min': 0.02, 'ret126_min': 0.02, 'stop_mult': 2.5164051611508196, 'trail_mult': 3.4930988668169225, 'time_stop': 93, 'vol_cap': 1.238569669850525}",False,-3.438635771728766,97,-0.3039443982037928,0.5925925925925926,56,-1.4899853682896285,0.9753086419753086,30,-0.517780181339824,0.6859504132231405
SPY,vol_mom,6,"{'adx_min': 8, 'ret63_min': 0.01, 'ret126_min': 0.04, 'stop_mult': 2.322454539582152, 'trail_mult': 3.178944274577813, 'time_stop': 113, 'vol_cap': 1.7922075036539258}",False,-4.707673064263884,104,-0.5719113062763723,0.7283950617283951,62,-2.036175450401097,0.9753086419753086,30,-0.8675691664783641,0.7603305785123967
SPY,vol_mom,7,"{'adx_min': 14, 'ret63_min': 0.01, 'ret126_min': 0.04, 'stop_mult': 2.483426954050992, 'trail_mult': 3.032713658658957, 'time_stop': 112, 'vol_cap': 1.233868124539285}",False,-4.390803707886363,99,-0.5130899510630007,0.6666666666666666,56,-1.8653787546359708,0.9876543209876543,30,-0.784348062079239,0.8016528925619835
SPY,vol_mom,8,"{'adx_min': 16, 'ret63_min': 0.0, 'ret126_min': 0.02, 'stop_mult': 2.1839812621020447, 'trail_mult': 3.1287662058497143, 'time_stop': 118, 'vol_cap': 1.2624595518248953}",False,-4.71211534745736,104,-0.4411885473230294,0.6049382716049383,54,-2.1284576546090954,1.0,31,-0.9143801750120217,0.8512396694214877
SPY,vol_mom,9,"{'adx_min': 11, 'ret63_min': 0.0, 'ret126_min': 0.0, 'stop_mult': 2.080153972567339, 'trail_mult': 2.69864351682287, 'time_stop': 86, 'vol_cap': 1.663496645213939}",False,-2.957939254438307,126,-0.17140149106034266,0.48148148148148145,73,-1.874496570933501,1.0,36,0.05597227556900471,0.45454545454545453
