agent,actual_cumulative_return,median_simulated_return,mean_simulated_return,std_simulated_return,actual_percentile,p_value,p_value_prominence,p_value_interpretation,lower_5pct,upper_95pct,number_of_trades,transaction_cost,simulation_count,reproducible,seed_used,null_model
trend,2.1745647709184626,0.4146731421715385,0.6986473803631843,1.159773145901786,90.52,0.0948,1.0231916626619337,weak evidence,-0.5010313174875737,2.770236731617726,179,0.00047,5000,True,42,random_timing_matched_duration
mean_reversion,0.6929059451652072,0.14750300388112958,0.3333975358577706,0.7829853264941146,76.6,0.234,0.6307841425898572,no evidence,-0.5178971672070203,1.8891321002543906,91,0.00047,5000,True,42,random_timing_matched_duration
random,0.29318326913905013,0.33300789619981563,0.6193897747146851,1.1125109953385486,48.3,0.517,0.2865094569060575,no evidence,-0.5211747918374281,2.7050029540914124,115,0.00047,5000,True,42,random_timing_matched_duration
momentum,1.4796869182141827,0.5034333833185185,0.835140246463272,1.2301463961047332,79.10000000000001,0.209,0.679853713888946,no evidence,-0.43749664470689226,3.1461015931759313,96,0.00047,5000,True,42,random_timing_matched_duration
breakout,1.3150308259217565,0.5299296188347533,0.831034831950899,1.1976135751946617,74.68,0.2532,0.5965362986546825,no evidence,-0.4548438838020712,3.137906447855633,65,0.00047,5000,True,42,random_timing_matched_duration
