signal_date,signal_close,asset_ticker,strategy_name,entry_date,exit_date,entry_reference_open,exit_reference_open,entry_price,exit_price,entry_reason,shares,entry_commission,exit_commission,entry_slippage_bps,exit_slippage_bps,capital_before,capital_after,capital_deployed,capital_deployed_fraction,position_value,position_value_fraction,liquidity_cap_shares,gross_pnl,net_pnl,gross_return,net_position_return,return,holding_bars,holding_period_days,holding_period_hours,regime_at_entry,stop_loss_used,take_profit_used,exit_reason,timeframe_label,data_interval
2024-10-07 14:00:00,64066.515625,BTC-USD,trend_momentum_verification,2024-10-07 15:00:00,2024-10-07 19:00:00,64001.8515625,62944.32421875,64020.46368069839,62933.302528263426,trend_momentum_verification,1.5619,1.9998712444576565,1.965910504377893,2.4080593364114353,1.2513287947385627,100000.0,98297.997214263,99995.56209412728,0.9999556209412728,99993.56222288281,0.9999356222288281,11260482.925714286,-1698.0370039881714,-1702.002785737007,-0.016981463268638183,-0.01702112363937281,-0.017020027857370067,4,0,4.0,neutral,61689.58203125,65939.94314773797,trailing_stop,1-Hour,1h
2024-10-08 13:00:00,62939.5390625,BTC-USD,trend_momentum_verification,2024-10-08 14:00:00,2024-10-08 16:00:00,62992.2421875,62253.39453125,63000.04776762027,62245.966723942125,trend_momentum_verification,1.5602,1.9658534905408231,1.9423231456538903,0.7391335582298187,0.6932993732453109,98297.997214263,97117.57179328016,98294.6403805317,0.999965850436159,98292.67452704115,0.9999458515191286,10603580.342857145,-1176.5172443466445,-1180.4254209828393,-0.011969531300351123,-0.012009291909725116,-0.012008641624811864,2,0,2.0,neutral,61721.21875,64894.75409363819,trailing_stop,1-Hour,1h
2024-10-14 13:00:00,65170.828125,BTC-USD,trend_momentum_verification,2024-10-14 14:00:00,2024-10-15 04:00:00,65134.27734375,65358.6953125,65146.997414377314,65352.10964919012,trend_momentum_verification,1.4906000000000001,1.9421622869174169,1.9482770928616562,1.4528996322759373,0.50772007900511,97117.57179328016,97419.42165111235,97110.05650815775,0.9999226166286529,97108.11434587084,0.9999026185762814,11463037.074285716,305.74029721196666,301.8498578321876,0.0031484526218170474,0.0031083896527646106,0.0031080869533547523,14,0,14.0,calm,61744.515625,67030.870399179,trailing_stop,1-Hour,1h
2024-10-15 13:00:00,67642.265625,BTC-USD,trend_momentum_verification,2024-10-15 14:00:00,2024-10-15 15:00:00,67645.59375,65362.00390625,67663.15435835443,65346.6061944265,trend_momentum_verification,1.4397,1.9482928665944574,1.8815901787623168,2.095972240162136,1.8563139266450472,97419.42165111235,94080.45737645996,97416.59162258946,0.9999709500582643,97414.64332972287,0.9999509510392435,16123912.77714286,-3335.1343916070323,-3338.964274652389,-0.0342364790098187,-0.034275794280238504,-0.034274113088149954,1,0,1.0,neutral,62045.83984375,69643.4989239504,trailing_stop,1-Hour,1h
2024-10-29 18:00:00,73132.0234375,BTC-USD,trend_momentum_verification,2024-10-29 19:00:00,2024-10-29 21:00:00,73161.5703125,72310.3046875,73178.4782190464,72301.37826529531,trend_momentum_verification,1.2855,1.8814186750116833,1.8588684352007425,1.8110365830294224,0.7346130072279897,94080.45737645996,92949.20509880272,94072.81516925916,0.9999187694510219,94070.93375058415,0.9998987714755925,23203981.897142857,-1127.5119905470317,-1131.2522776572441,-0.011985763780515576,-0.012025524065239964,-0.012024306739183612,2,0,2.0,calm,66850.9375,75097.6898399112,trailing_stop,1-Hour,1h
2024-10-31 21:00:00,70377.3359375,BTC-USD,trend_momentum_verification,2024-10-31 22:00:00,2024-11-01 02:00:00,70350.453125,69301.2578125,70371.45698427458,69291.2478682615,trend_momentum_verification,1.3056,1.8375394847733781,1.8093330643360446,2.4856039785934114,0.944618843857846,92949.20509880272,91535.23720438693,91878.81177815367,0.9884841046299294,91876.9742386689,0.9884643353432225,20261043.931428574,-1410.3210218666777,-1413.967894415787,-0.015350103043261802,-0.015389796041200936,-0.015212264514933441,4,0,4.0,calm,69567.77867855444,72585.21937098788,stop_loss,1-Hour,1h
2025-01-06 14:00:00,100921.5546875,BTC-USD,trend_momentum_verification,2025-01-06 15:00:00,2025-01-06 16:00:00,100717.265625,102136.3203125,100736.85687936548,102111.41665239156,trend_momentum_verification,0.9086000000000001,1.83059016321183,1.85556866340726,1.4451733765719272,1.938871276580179,91535.23720438693,92780.4760553318,91531.3387507547,0.9999574103509065,91529.50816059149,0.9999374116026745,14656783.36,1248.9250097714944,1245.2388509448754,0.013645053216938685,0.013604780315874346,0.01360392881447841,1,0,1.0,calm,97329.0546875,103641.37847900671,trailing_stop,1-Hour,1h
2025-01-19 19:00:00,105955.203125,BTC-USD,trend_momentum_verification,2025-01-19 20:00:00,2025-01-19 22:00:00,106037.59375,103472.390625,106056.37331877938,103452.98398065426,trend_momentum_verification,0.8747,1.8553501948387268,1.809806501757566,1.2710293222667528,1.3758902449232697,92780.4760553318,90499.62624457716,92769.36509213116,0.9998802445980767,92767.50974193633,0.9998602473931288,20527231.26857143,-2277.1846540580473,-2280.8498107546434,-0.024547221978824196,-0.024586731034384617,-0.024583294974628123,2,0,2.0,neutral,99391.8046875,109928.31930890276,trailing_stop,1-Hour,1h
2025-04-25 14:00:00,95521.484375,BTC-USD,trend_momentum_verification,2025-04-25 15:00:00,2025-04-26 12:00:00,95437.359375,94178.5,95454.95829523397,94166.08660872061,trend_momentum_verification,0.9480000000000001,1.8098260092776364,1.785389002101343,1.3440284129012274,0.818244362323517,90499.62624457716,89274.18067075111,90493.11028989109,0.9999280002033549,90491.30046388181,0.999908002043314,29674286.445714284,-1221.8503588146664,-1225.4455738260453,-0.013502406889404234,-0.013542136841266447,-0.013540890992347888,21,0,21.0,calm,90711.4453125,98469.89512609049,trailing_stop,1-Hour,1h
2025-05-10 23:00:00,104779.5703125,BTC-USD,trend_momentum_verification,2025-05-11 00:00:00,2025-05-11 09:00:00,104692.9609375,103855.890625,104717.06570406523,103830.47440095911,trend_momentum_verification,0.8524,1.7852165361229044,1.7701019275875511,1.8024247618345912,1.9478578362975671,89274.18067075111,88514.89492551975,89262.61202268134,0.9998704144022061,89260.82680614521,0.9998504173938583,45527866.51428572,-755.7304267676575,-759.285745231368,-0.008466540741426661,-0.008506371410611833,-0.008505099005407425,9,0,9.0,calm,97695.09375,107493.33639521219,trailing_stop,1-Hour,1h
