Date,Close,wealth_index,equity,bar_return,daily_return,cumulative_return,rolling_peak,drawdown,timeframe_label
1999-12-21,75.44601440429688,0.99953,99953.0,0.0,0.0,-0.00046999999999997044,0.99953,0.0,Daily
1999-12-22,75.208740234375,0.9963865251201858,99638.65251201858,-0.0031449530077278798,-0.0031449530077278798,-0.003613474879814227,0.99953,-0.0031449530077278798,Daily
1999-12-23,76.10504150390625,1.0082609762095933,100826.09762095934,0.011917514729512524,0.011917514729512524,0.008260976209593318,1.0082609762095933,0.0,Daily
1999-12-27,75.65686798095703,1.0023234474358016,100232.34474358016,-0.005888880869031499,-0.005888880869031499,0.0023234474358015955,1.0082609762095933,-0.005888880869031499,Daily
1999-12-28,75.18235778808594,0.9960370030579865,99603.70030579864,-0.006271872012869162,-0.006271872012869162,-0.003962996942013519,1.0082609762095933,-0.012123818574791057,Daily
1999-12-29,78.02941131591797,1.033755568248514,103375.5568248514,0.03786863848905786,0.03786863848905786,0.033755568248514,1.033755568248514,0.0,Daily
1999-12-30,77.18582916259766,1.0225795548253287,102257.95548253287,-0.010811079298098214,-0.010811079298098214,0.022579554825328696,1.033755568248514,-0.010811079298098214,Daily
1999-12-31,77.08037567138672,1.0211824773401585,102118.24773401585,-0.0013662286504533272,-0.0013662286504533272,0.021182477340158545,1.033755568248514,-0.012162537542272145,Daily
2000-01-03,79.9273910522461,1.0589005371488724,105890.05371488724,0.0369356707989712,0.0369356707989712,0.058900537148872445,1.0589005371488724,0.0,Daily
2000-01-04,74.44430541992188,0.9862590778835983,98625.90778835984,-0.06860083333309452,-0.06860083333309452,-0.013740922116401655,1.0589005371488724,-0.06860083333309452,Daily
2000-01-05,72.54625701904297,0.9611131992959755,96111.31992959755,-0.025496220163147232,-0.025496220163147232,-0.038886800704024505,1.0589005371488724,-0.09234799154620588,Daily
2000-01-06,67.5639877319336,0.8951066957070886,89510.66957070885,-0.06867713775779727,-0.06867713775779727,-0.10489330429291144,1.0589005371488724,-0.15468293356692842,Daily
2000-01-07,75.92049407958984,1.0058160400723644,100581.60400723644,0.12368284685639752,0.12368284685639752,0.005816040072364359,1.0589005371488724,-0.05013171229418767,Daily
2000-01-10,78.02941131591797,1.033755568248514,103375.5568248514,0.027777970387248496,0.027777970387248496,0.033755568248514,1.0589005371488724,-0.023746299126509274,Daily
2000-01-11,74.2333755493164,0.9834646196841699,98346.46196841699,-0.048648781306737554,-0.048648781306737554,-0.016535380315830128,1.0589005371488724,-0.07123985192019688,Daily
